"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_Cong","b_Sem","b_Acc","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC"
"asc_ruta2",-28.8658289435934,2.21425742962754,16.5394355301021,15.3814235656802,-8.32151266789306,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13,1.94227232768673e-13
"asc_ruta3",2.21425742962754,-16.7208724279235,9.0089374610792,-15.8956565654585,-4.85408952761418,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12,-3.18761250906289e-12
"asc_rutaEC",16.5394355301021,9.0089374610792,-66.9907767351447,-135.371803858199,24.8687952491053,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12,1.16788099865029e-12
"b_tt",15.3814235656802,-15.8956565654585,-135.371803858199,-2885.58233535081,-279.603412749362,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12,-6.04489659019217e-12
"b_dt",-8.32151266789306,-4.85408952761418,24.8687952491053,-279.603412749362,-159.827528943232,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12,3.80023083429021e-12
"b_Cong",1.94227232768673e-13,-3.18761250906289e-12,1.16788099865029e-12,-6.04489659019217e-12,3.80023083429021e-12,0,0,0,2.41424430619086,-6.46978084685742,-1.49375409819186,-4.83269237669466,-0.578438630327582,1.02631294218411,3.36120886633798,-2.10525921496043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_Sem",1.94227232768673e-13,-3.18761250906289e-12,1.16788099865029e-12,-6.04489659019217e-12,3.80023083429021e-12,0,0,0,0,0,0,0,0,0,0,0,3.72056093002281,-1.00016261556903,-0.33655349572873,-2.53639882229928,-0.405676424422559,0.333197075307885,1.27915380264113,-0.637656772737685,-5.22041934772584,4.52378619455592,0.389263068684329,-4.30950924081316,1.13577631789449,-1.76732944081067,-0.140466438026486,4.59294824595835,0,0,0,0,0,0,0,0
"b_Acc",1.94227232768673e-13,-3.18761250906289e-12,1.16788099865029e-12,-6.04489659019217e-12,3.80023083429021e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94526585478962,-1.06519953104197,2.07797303853804,4.56012419720006,-1.77747598907226,2.8270322132488,-0.622780856036988,-4.58086134007497
"b_CongAB_ruta1",1.94227232768673e-13,-3.18761250906289e-12,1.16788099865029e-12,-6.04489659019217e-12,3.80023083429021e-12,2.41424430619086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_CongCD_ruta1",1.94227232768673e-13,-3.18761250906289e-12,1.16788099865029e-12,-6.04489659019217e-12,3.80023083429021e-12,-6.46978084685742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
