"...1"	"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"	"JOVEN30"	"ADULTO40"	"ADULTO60"	"ADULTOMAYOR"	"EDUBASICA"	"EDUSUP"	"EDUNR"	"HPICO"	"HVALLE"	"CSECO"	"CLLUVIA"	"CONG_AB_A1"	"CONG_CD_A1"	"CONG_EF_A1"	"CONG_AB_A2"	"CONG_CD_A2"	"CONG_EF_A2"	"CONG_AB_A3"	"CONG_CD_A3"	"CONG_EF_A3"	"CONG_AB_EC"	"CONG_CD_EC"	"CONG_EF_EC"	"SININFOTRF"	"CONINFOTRF"	"USOCINTURON"	"NOUSOCINTURON"	"USODISPMOB"	"NOUSODISPMOB"	"NO_MTRP_A1"	"NO_MTRP_A2"	"NO_MTRP_A3"	"NO_MTRP_EC"	"SI_MTRP_A1"	"SI_MTRP_A2"	"SI_MTRP_A3"	"SI_MTRP_EC"	"NO_ZER_A1"	"NO_ZER_A2"	"NO_ZER_A3"	"NO_ZER_EC"	"SI_ZER_A1"	"SI_ZER_A2"	"SI_ZER_A3"	"SI_ZER_EC"	"HTRB_1"	"HTRB_2"	"HTRB_3"	"SEMF_A1_1"	"SEMF_A1_2"	"SEMF_A1_3"	"SEMF_A2_1"	"SEMF_A2_2"	"SEMF_A2_3"	"SEMF_A3_1"	"SEMF_A3_2"	"SEMF_A3_3"	"SEMF_EC_1"	"SEMF_EC_2"	"SEMF_EC_3"	"NO_CAMFD_A1"	"SI_CAMFD_A1"	"NO_CAMFD_A2"	"SI_CAMFD_A2"	"NO_CAMFD_A3"	"SI_CAMFD_A3"	"NO_CAMFD_EC"	"SI_CAMFD_EC"	"ACC_A1_0"	"ACC_A1_1"	"ACC_A1_2"	"ACC_A2_0"	"ACC_A2_1"	"ACC_A2_2"	"ACC_A3_0"	"ACC_A3_1"	"ACC_A3_2"	"ACC_EC_0"	"ACC_EC_1"	"ACC_EC_2"	"NO_PANEL_A1"	"SI_PANEL_A1"	"NO_PANEL_A2"	"SI_PANEL_A2"	"NO_PANEL_A3"	"SI_PANEL_A3"	"NO_PANEL_EC"	"SI_PANEL_EC"	"EXP_1"	"EXP_2"	"EXP_3"	"EXP_4"	"EXP_5"	"SEM_A1_km"	"SEM_A2_km"	"SEM_A3_km"	"SEM_EC_km"	"Panel_A1_km"	"Panel_A2_km"	"Panel_A3_km"	"Panel_EC_km"	"ZER_A1_km"	"ZER_A2_km"	"ZER_A3_km"	"ZER_EC_km"	"T_Alt_1"	"T_Alt_2"	"T_Alt_3"	"T_Alt_4"	"D_Alt_1"	"D_Alt_2"	"D_Alt_3"	"D_Alt_4"	"Vel_fl_Alt1"	"Vel_fl_Alt2"	"Vel_fl_Alt3"	"Vel_fl_Alt4"	"T_fl_Alt1"	"T_fl_Alt2"	"T_fl_Alt3"	"T_fl_Alt4"	"CG_Alt_1"	"CG_Alt_2"	"CG_Alt_3"	"CG_Alt_4"	"UsoCel_Poco"	"UsoCel_Frec"
"1"	"2"	"{01023F7A-67C3-E811-914C-74867AD5B714}"	1	0	1	21	10	0	3	8	24	3	7.2	28	3	6.8	29	3	5.97650183766384	52.4813833316167	20	19	13	8	5	4	1	0	3	3	0	5	2	2	2	2	1	4	0	0	0	1	1	1	1	1	6	1	2	2	2	15900	3	5	4	4	2	2	5	2	2	4	2	2	5	3	4	2	2	4	3	2	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	2.5	2.63888888888889	1.91176470588235	1.33857567809719	0.125	0.138888888888889	0.147058823529412	0	0.375	0.416666666666667	0	0.836609798810746	0.0952944147466069	0.22235363440875	0.254118439324285	1	1	0.623263154077853	0.858723682779195	0.0470921057402682	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	21.8181818181818	19.6363636363636	18.5454545454545	16.2995504663559	1.1	1.42592592592593	1.56372549019608	3.21980556702739	0	1
"2"	"4"	"{019DE0D5-31C0-E811-914C-74867AD5B714}"	1	0	1	12	12	1	2	9.8	17	0	8.7	18	0	8.4	26	0	7.25357902960908	21.357216668129	8	14	14	17	3	4	3	4	5	1	0	9	1	2	2	1	0	0	0	0	0	1	2	1	1	1	2	1	1	2	1	15200	4	4	1	2	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0.816326530612245	1.60919540229885	1.66666666666667	2.34367061151551	0.102040816326531	0.229885057471264	0.119047619047619	0	0.510204081632653	0.114942528735632	0	1.24076679433174	0.25	0.333333333333333	1	0.61310138901075	1	0.584344285241394	0.811065584200634	0.0377868831598731	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	21	18.6428571428571	18	15.5433836348766	0.80952380952381	0.96551724137931	1.44444444444444	1.37403908761585	1	0
"3"	"5"	"{0221C89B-CED2-E811-8FB7-74867AD5B714}"	1	0	1	10	8	2	3	6.3	18	3	7.4	21	3	7.6	23	2	6.25408258109686	18.2935499986013	17	14	21	17	2	3	2	2	1	3	4	1	2	2	1	2	0	0	0	0	0	0	1	0	1	1	1	1	1	1	2	11500	1	4	3	3	2	1	4	3	1	1	1	1	3	5	1	2	2	2	2	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	2.6984126984127	1.89189189189189	2.76315789473684	2.71822442053819	0	0.135135135135135	0	0	0.158730158730159	0.405405405405405	0.526315789473684	0.159895554149305	0.375	0.75	1	0.411693749825162	0.100916841443014	0.861679514068156	1.6224421866933	0.0691602429659218	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	17.1818181818182	20.1818181818182	20.7272727272727	17.0565888575369	1.04761904761905	1.04054054054054	1.10964912280702	1.07252101527427	0	1
"4"	"6"	"{0275F221-8CC6-E811-914C-74867AD5B714}"	1	0	1	15	13	4	4	4.6	16	2	5.2	20	3	5.1	28	3	4.78786320352643	35.2122833331426	6	9	14	6	0	0	1	1	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	1	2	1	6	1	2	2	1	12000	4	5	4	4	2	4	5	4	2	4	2	2	2	1	4	2	1	1	3	3	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1.30434782608696	1.73076923076923	2.74509803921569	1.25316863597539	0	0	0.196078431372549	0	0	0	0	0.417722878658465	0.135060405767639	0.315140946791157	0.675302028838194	1	0.142857142857142	1	2.14285714285714	0.4112331478949	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	9.85714285714286	11.1428571428571	10.9285714285714	10.2597068646995	1.6231884057971	1.79487179487179	2.56209150326797	3.43209448354682	0	1
"5"	"7"	"{03DF384B-A6D8-E811-8FB7-74867AD5B714}"	1	0	1	2	10	1	2	5.2	26	3	5.6	29	3	5.9	33	3	5.38568444871494	25.9026000022888	6	11	11	7	1	2	2	1	6	6	6	6	1	2	2	1	0	0	0	0	0	0	0	1	1	1	5	1	1	2	2	11600	1	1	2	2	2	1	4	1	1	2	1	1	1	5	1	1	1	1	1	1	5	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1.15384615384615	1.96428571428571	1.86440677966102	1.29974194861532	0	0	0.169491525423729	0	1.15384615384615	1.07142857142857	1.01694915254237	1.11406452738456	0.306752233091023	0.603858418909156	1	0.297106185818133	0.125	0.624999999999999	2.125	0.357105560893675	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	14.1818181818182	15.2727272727273	16.0909090909091	14.6882303146771	1.83333333333333	1.89880952380952	2.05084745762712	1.76349358958552	1	0
"6"	"8"	"{04857B76-DDC0-E811-914C-74867AD5B714}"	1	0	1	6	10	1	2	7.8	17	0	6.7	18	0	7.1	19	0	5.5117573711736	14.9695000012716	12	13	16	12	2	4	3	3	3	2	7	0	1	0	2	2	0	1	0	0	1	1	0	1	2	1	1	1	1	1	1	11500	2	3	1	1	2	4	2	1	2	2	1	1	2	5	5	1	1	2	2	5	3	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1.53846153846154	1.94029850746269	2.25352112676056	2.1771640498473	0.128205128205128	0	0.140845070422535	0.181430337487275	0.384615384615385	0.298507462686567	0.985915492957746	0	0.715525211526671	0.857762605763336	1	0.426712182709993	1	0.539410281550603	1.08374358517262	0.0418717925863087	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	16.7142857142857	14.3571428571429	15.2142857142857	11.8109086525149	1.01709401709402	1.25373134328358	1.24882629107981	1.26743000404835	0	1
"7"	"9"	"{04B1F452-BDC5-E811-914C-74867AD5B714}"	1	0	1	15	12	4	2	5.1	11	2	5.4	16	3	5.3	17	3	4.34436271383387	24.1902833342552	5	7	8	8	1	3	2	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	2	1	2	2	1	9000	3	5	4	2	2	2	5	2	2	4	2	2	4	2	1	3	1	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0.980392156862745	1.2962962962963	1.50943396226415	1.84146686797707	0.392156862745098	0	0	0	0	0.185185185185185	0.188679245283019	0	0.185296324842731	0.494123532913948	0.555888974528192	1	0.740402976270122	1	1.69225872994634	0.0865323412432921	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	10.9285714285714	11.5714285714286	11.3571428571429	9.30934867250115	1.00653594771242	1.38271604938272	1.49685534591195	2.59849364174218	0	1
"8"	"10"	"{04C56E00-AAD3-E811-8FB7-74867AD5B714}"	1	0	1	25	12	1	3	6.1	17	2	5.8	17	2	5.7	19	3	5.36099042527625	17.3442666649818	10	10	10	10	1	3	1	3	8	2	1	2	1	2	2	0	0	0	0	0	1	0	1	1	2	1	2	1	1	1	1	10800	2	5	4	1	2	2	2	1	1	2	1	1	2	5	2	4	2	2	3	1	3	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1.63934426229508	1.72413793103448	1.75438596491228	1.86532696511666	0	0.172413793103448	0.175438596491228	0.186532696511666	1.31147540983607	0.344827586206897	0.175438596491228	0.373065393023331	0.6	0.6	1	0.66885333299636	1	0.642435546580291	1.59594075569952	0.119188151139903	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	13.0714285714286	12.4285714285714	12.2142857142857	11.487836625592	1.30054644808743	1.36781609195402	1.55555555555556	1.50979398735034	0	1
"9"	"11"	"{051C17B0-41DC-E811-8FB7-74867AD5B714}"	1	0	1	10	14	4	3	6.4	17	2	6.1	17	3	6.3	19	3	6.10252462287688	16.7100666681925	11	13	15	17	6	3	3	5	2	2	2	3	2	2	2	2	0	0	0	1	1	1	0	1	1	1	5	1	1	1	2	11000	4	4	3	3	2	1	4	3	1	3	1	1	3	1	1	1	1	1	1	3	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1.71875	2.13114754098361	2.38095238095238	2.78573230762087	0.15625	0	0.158730158730159	0.16386660633064	0.3125	0.327868852459016	0.317460317460317	0.491599818991919	0.621923401572128	0.621923401572128	1	0.567114897641808	1	0.249999999999999	3	0.256311557192199	0.366666666666667	0.366666666666667	0.366666666666667	0.366666666666667	17.4545454545455	16.6363636363636	17.1818181818182	16.6432489714824	0.973958333333333	1.02185792349727	1.10582010582011	1.00401470270766	0	1
"10"	"13"	"{08C503A7-58E8-E811-8FB7-74867AD5B714}"	1	0	1	22	16	1	3	4.9	18	3	4.9	18	0	4.9	18	0	4.37178317857192	19.6127166668574	11	11	11	9	2	999	999	2	0	0	0	0	2	999	999	1	0	0	999	999	0	0	1	1	2	2	2	1	1	2	1	9500	4	5	5	2	1	2	3	2	2	2	2	2	3	5	1	1	2	1	3	1	3	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	2.24489795918367	2.24489795918367	2.24489795918367	2.05865653267368	0	0.204081632653061	0.204081632653061	0	0	0	0	0	0.650375953406189	0.650375953406189	0.650375953406189	1	1	1	2.43262639474393	0.159180710527102	0.466666666666667	0.466666666666667	0.466666666666667	0.466666666666667	10.5	10.5	10.5	9.36810681122554	1.71428571428571	1.71428571428571	1.71428571428571	2.09356245205873	0	1
