"...1"	"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"	"JOVEN30"	"ADULTO40"	"ADULTO60"	"ADULTOMAYOR"	"EDUBASICA"	"EDUSUP"	"EDUNR"	"HPICO"	"HVALLE"	"CSECO"	"CLLUVIA"	"CONG_AB_A1"	"CONG_CD_A1"	"CONG_EF_A1"	"CONG_AB_A2"	"CONG_CD_A2"	"CONG_EF_A2"	"CONG_AB_A3"	"CONG_CD_A3"	"CONG_EF_A3"	"CONG_AB_EC"	"CONG_CD_EC"	"CONG_EF_EC"	"SININFOTRF"	"CONINFOTRF"	"USOCINTURON"	"NOUSOCINTURON"	"USODISPMOB"	"NOUSODISPMOB"	"NO_MTRP_A1"	"NO_MTRP_A2"	"NO_MTRP_A3"	"NO_MTRP_EC"	"SI_MTRP_A1"	"SI_MTRP_A2"	"SI_MTRP_A3"	"SI_MTRP_EC"	"NO_ZER_A1"	"NO_ZER_A2"	"NO_ZER_A3"	"NO_ZER_EC"	"SI_ZER_A1"	"SI_ZER_A2"	"SI_ZER_A3"	"SI_ZER_EC"	"HTRB_1"	"HTRB_2"	"HTRB_3"	"SEMF_A1_1"	"SEMF_A1_2"	"SEMF_A1_3"	"SEMF_A2_1"	"SEMF_A2_2"	"SEMF_A2_3"	"SEMF_A3_1"	"SEMF_A3_2"	"SEMF_A3_3"	"SEMF_EC_1"	"SEMF_EC_2"	"SEMF_EC_3"	"NO_CAMFD_A1"	"SI_CAMFD_A1"	"NO_CAMFD_A2"	"SI_CAMFD_A2"	"NO_CAMFD_A3"	"SI_CAMFD_A3"	"NO_CAMFD_EC"	"SI_CAMFD_EC"	"ACC_A1_0"	"ACC_A1_1"	"ACC_A1_2"	"ACC_A2_0"	"ACC_A2_1"	"ACC_A2_2"	"ACC_A3_0"	"ACC_A3_1"	"ACC_A3_2"	"ACC_EC_0"	"ACC_EC_1"	"ACC_EC_2"	"NO_PANEL_A1"	"SI_PANEL_A1"	"NO_PANEL_A2"	"SI_PANEL_A2"	"NO_PANEL_A3"	"SI_PANEL_A3"	"NO_PANEL_EC"	"SI_PANEL_EC"	"EXP_1"	"EXP_2"	"EXP_3"	"EXP_4"	"EXP_5"	"SEM_A1_km"	"SEM_A2_km"	"SEM_A3_km"	"SEM_EC_km"	"Panel_A1_km"	"Panel_A2_km"	"Panel_A3_km"	"Panel_EC_km"	"ZER_A1_km"	"ZER_A2_km"	"ZER_A3_km"	"ZER_EC_km"	"T_Alt_1"	"T_Alt_2"	"T_Alt_3"	"T_Alt_4"	"D_Alt_1"	"D_Alt_2"	"D_Alt_3"	"D_Alt_4"	"Vel_fl_Alt1"	"Vel_fl_Alt2"	"Vel_fl_Alt3"	"Vel_fl_Alt4"	"T_fl_Alt1"	"T_fl_Alt2"	"T_fl_Alt3"	"T_fl_Alt4"	"CG_Alt_1"	"CG_Alt_2"	"CG_Alt_3"	"CG_Alt_4"	"T_rf_Alt1"	"T_rf_Alt2"	"T_rf_Alt3"	"T_rf_Alt4"	"UsoCel_Poco"	"UsoCel_Frec"
"1"	"3"	"{01579974-02D2-E811-8FB7-74867AD5B714}"	0	1	1	10	12	4	2	5.8	18	3	5.4	20	3	6.7	25	3	4.6118611667335	19.8945500016212	14	17	12	12	2	0	2	1	0	0	1	1	2	2	2	0	0	0	0	1	0	0	0	2	1	1	2	1	1	1	2	9800	4	4	3	2	2	2	5	2	2	3	2	2	2	5	1	1	3	3	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	2.41379310344828	3.14814814814815	1.7910447761194	2.60198639251307	0	0	0.298507462686567	0	0	0	0.149253731343284	0.216832199376089	0.3	0.5	1	0.48945500016212	0.588691546296237	0.405887789094565	1	0.0457009393004179	0.44	0.44	0.44	0.44	13.1818181818182	12.2727272727273	15.2272727272727	10.481502651667	1.36551724137931	1.62962962962963	1.64179104477612	1.8980627742776	0.466196809157342	0.39184736677816	0.633483054510502	0.245353159851301	0	1
"2"	"12"	"{071F74A3-0FD2-E811-8FB7-74867AD5B714}"	0	1	1	7	12	1	3	3.4	10	3	4.2	12	2	3.9	14	3	2.76399721459216	7.22566666603088	11	13	13	11	2	3	2	2	3	6	6	0	1	2	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	2	7300	1	3	4	1	2	1	1	1	1	1	1	1	2	5	2	2	2	3	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	3.23529411764706	3.09523809523809	3.33333333333333	3.97974351852706	0	0.238095238095238	0.256410256410256	0	0.882352941176471	1.42857142857143	1.53846153846154	0	0.590764928580996	0.795382464290498	1	0.306926303564253	0.479167611152747	1	0.80468785418228	0.0651040486059067	0.44	0.44	0.44	0.44	7.72727272727273	9.54545454545454	8.86363636363636	6.28181185134582	1.29411764705882	1.25714285714286	1.57948717948718	1.15025200324694	0.679167633822167	0.956945411599945	0.852778744933278	0.458333333333333	0	1
"3"	"14"	"{09CAC4F7-D8D2-E811-8FB7-74867AD5B714}"	0	1	1	18	12	4	3	2.4	8	2	2.4	8	1	2.6	9	2	2.46359452833276	8.91083333492279	5	5	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	6600	2	5	3	2	2	2	5	2	2	2	2	2	2	3	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2.08333333333333	2.08333333333333	1.92307692307692	2.02955475931494	0	0	0	0	0	0	0	0	0.75	0.75	1	0.977708333730698	0.333333333333333	0.333333333333333	1	0.545315094442533	0.44	0.44	0.44	0.44	5.45454545454545	5.45454545454545	5.90909090909091	5.59907847348355	1.46666666666667	1.46666666666667	1.52307692307692	1.59148212998322	1.03125	1.03125	1.1875	1.08093322525997	0	1
"4"	"15"	"{0AFFFCBB-0AD2-E811-8FB7-74867AD5B714}"	0	1	1	10	14	1	3	5.4	14	2	5.5	14	2	5.6	16	2	5.30979527223473	20.4150666673978	10	15	16	15	2	3	4	3	3	4	2	4	1	1	2	1	1	0	0	0	1	0	1	1	2	1	2	1	1	1	2	11500	4	4	4	1	2	1	4	1	1	1	1	1	3	5	2	2	2	2	2	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1.85185185185185	2.72727272727273	2.85714285714286	2.82496767407135	0	0.181818181818182	0.178571428571429	0.188331178271423	0.555555555555555	0.727272727272727	0.357142857142857	0.753324713085693	0.31863821106953	0.31863821106953	0.531063685115884	1	0.487448547470417	0.743724273735208	1	0.256275726264792	0.44	0.44	0.44	0.44	12.2727272727273	12.5	12.7272727272727	12.0677165278062	1.14074074074074	1.12	1.25714285714286	1.6917091663827	0.329487085926465	0.352851571907773	0.376216057889082	0.308411214953271	0	1
"5"	"19"	"{0C97D2B2-DCD3-E811-8FB7-74867AD5B714}"	0	1	2	8	12	1	3	7.6	21	3	7	23	3	7.2	23	3	5.65309412435009	14.4128999988238	6	8	12	9	4	3	2	0	8	9	10	0	2	2	2	2	0	0	0	0	1	1	0	1	1	1	1	1	1	2	1	14000	4	3	4	1	2	1	1	1	1	1	1	1	3	5	3	1	1	1	3	1	3	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0.789473684210526	1.14285714285714	1.66666666666667	1.59204849627985	0.131578947368421	0	0.138888888888889	0.176894277364427	1.05263157894737	1.28571428571429	1.38888888888889	0	0.827394257424465	1	1	0.258908613863302	1	0.706874650594525	0.80458310039635	0.0488542249009124	0.56	0.56	0.56	0.56	13.5714285714286	12.5	12.8571428571429	10.0948109363394	1.54736842105263	1.84	1.78888888888889	1.42775333680991	0.612653019535458	0.511301668184107	0.54508545196789	0.283783783783784	0	1
"6"	"31"	"{14ECDC53-57E7-E811-8FB7-74867AD5B714}"	0	1	1	1	18	1	3	5.8	15	3	5.6	17	3	7.4	18	3	3.15650373100609	18.1158333301544	6	10	9	25	1	2	1	2	6	0	6	2	1	2	1	2	1	0	0	0	0	0	0	1	1	1	2	1	1	1	1	10900	4	1	4	1	1	1	2	1	1	1	1	1	2	5	4	2	1	3	5	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1.03448275862069	1.78571428571429	1.21621621621622	7.92015537774499	0	0	0.135135135135135	0	1.03448275862069	0	0.810810810810811	0.633612430219599	0.490530045220226	0.817550075367043	0.981060090440451	1	0.631633158885938	0.58558730374668	1	0.0230229275696289	0.56	0.56	0.56	0.56	10.3571428571429	10	13.2142857142857	5.63661380536802	1.44827586206897	1.7	1.36216216216216	3.21395681089626	0.755855991082851	0.720890956117816	1.03557627080313	0.293706293706294	0	1
"7"	"34"	"{160BB759-80CD-E811-914C-74867AD5B714}"	0	1	1	20	15	2	3	5.1	13	2	5.4	14	2	5.3	16	3	3.80938883249998	11.7963333328565	6	8	8	7	1	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	1	2	1	1	2	1	8600	1	5	3	2	1	2	5	2	2	3	2	2	3	2	1	1	1	3	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1.17647058823529	1.48148148148148	1.50943396226415	1.8375651076307	0.392156862745098	0	0	0.525018602180199	0.196078431372549	0.185185185185185	0	0.2625093010901	0.583545416713513	0.722363611142342	1	0.416454583286487	0.82254937991234	1	0.940849793304113	0.0591502066958864	0.56	0.56	0.56	0.56	9.10714285714286	9.64285714285714	9.46428571428571	6.80248005803568	1.42745098039216	1.45185185185185	1.69056603773585	1.73412244243504	0.798551389112909	0.879196550403231	0.852314829973124	0.451612903225806	0	1
"8"	"41"	"{1A27CCF2-1FCF-E811-914C-74867AD5B714}"	0	1	1	15	10	4	3	7	15	1	7.2	16	2	7.6	16	2	7.09674130805823	15.2309999982516	7	9	7	7	3	5	3	3	2	4	1	2	2	2	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	12100	1	5	3	1	2	1	4	1	1	3	1	1	2	3	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1.25	0.921052631578947	0.986368207060277	0	0.138888888888889	0.131578947368421	0	0.285714285714286	0.555555555555556	0.131578947368421	0.281819487731508	0.75	1	1	0.8077499995629	0.142857142857142	0.428571428571429	1	0.281059011511757	0.56	0.56	0.56	0.56	12.5	12.8571428571429	13.5714285714286	12.6727523358183	1.2	1.24444444444444	1.17894736842105	1.20186993280084	0.283783783783784	0.317567567567568	0.385135135135135	0.300125220955782	0	1
"9"	"42"	"{1B8E1A94-98C2-E811-914C-74867AD5B714}"	0	1	1	8	12	1	3	4.8	14	3	4.7	17	3	5.3	18	3	4.6130956407692	14.6347333351771	8	14	8	8	2	2	1	2	0	2	0	0	1	2	1	1	0	0	0	0	0	1	0	0	1	2	2	1	1	2	1	10000	1	3	4	2	2	4	5	4	4	4	2	2	4	3	3	2	2	2	3	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1.66666666666667	2.97872340425532	1.50943396226415	1.73419339701053	0.208333333333333	0	0	0	0	0.425531914893617	0	0	0.428571428571429	0.857142857142857	1	0.519247619311014	0.36459876713766	0.237518520565192	1	0.127080246572468	0.56	0.56	0.56	0.56	8.57142857142857	8.39285714285714	9.46428571428571	8.23767078708786	1.63333333333333	2.02553191489362	1.90188679245283	1.77656205418118	0.515719436251602	0.488095126859337	0.653840983212928	0.464088397790055	0	1
"10"	"44"	"{1CEB8473-D4DE-E811-8FB7-74867AD5B714}"	0	1	1	14	14	2	3	6.3	22	3	6.6	25	3	7.6	26	3	6.33638655798182	26.6689500013987	19	19	20	17	4	3	3	4	2	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	2	1	13000	1	5	4	1	2	1	4	1	1	1	1	1	2	5	2	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	3.01587301587302	2.87878787878788	2.63157894736842	2.68291712389066	0.158730158730159	0.151515151515152	0.131578947368421	0	0.317460317460317	0	0.131578947368421	0	0.391187841810528	0.782375683621055	0.912771630891231	1	0.0714285714285712	0.285714285714285	1	0.0974189699870141	0.56	0.56	0.56	0.56	11.25	11.7857142857143	13.5714285714286	11.3149759963961	1.95555555555556	2.12121212121212	1.91578947368421	2.35696036915084	0.283783783783784	0.33445945945946	0.503378378378378	0.289930161821253	0	1
