"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.0499789510870619,0.0294744202626453,0.00761709029195422,0.00829622524282434,0.00506383303287406,-0.00127653180009369,-0.00451566540270117,-0.00770657072320972,-0.000898052749849408,-0.00320055149216398,-0.0137980588419939,-0.00268062059946554,0.00443515336422412,0.001654865232021,-0.00414953754479778,-0.00169278448012796,-0.00147843243015642,-0.00236575370662836,0.000741982320536205,-0.000874292416569615,0.00198831045675339,0.000338495997097157,-0.000578458686957698,8.6091608836683e-06,-0.000171919012403732,0.000777147603924671,-7.17394833931598e-05,0.000133506874550803,-0.000846941818455823,0.00382382926637385,-0.000137116153464472,-0.00363729250505431,0.00111342031374964,0.00158149531321316,-0.0023529337141364,0.00695371529329215,-9.03635212442927e-05,-0.00703973285104738,0.0101044060877951,0.00261872220512731,0.00404469122765025,-0.00123610869231755,-0.00196137464764533,0.00207964941704606,0.00231056484677633,0.0135030608789847,-0.000791535710302081,-0.00568611114198056,-0.0062250539421873,-0.0100026527517237,-0.00956074452715556,0.0139312958509033,0.015759109487837,0.0495464291238092,-0.000326267728891651,-0.000443583074799868,-0.000461143800361447,0.000685888865820927,-0.000693012526278242,-0.0082640422739768,-0.00996212096545227,-0.0222358717625579,-0.0150404136870495,0.0218665904669674,0.0241761435262817,0.0112227235534817,-0.00521945347779113,-0.00251632241680346,-0.00160541937839242,-0.00063254958087493,-0.0123090581142976,-0.00628106166742565,-0.005805875686369,-0.00193886481820801,0.000915460601686483,-0.00293030776024599,-0.00295724936510882,-0.00468230394278648
"asc_ruta4",0.0294744202626453,0.350219532545519,-0.00432411548189474,-0.00628644863686292,-0.00110727683800008,0.0437355503795641,-0.0236842146377566,-0.0306905573183169,0.00426403088508857,0.00180949055842576,-0.0436939607278111,-0.133711162500929,-0.181791619397148,0.0144357946519554,-0.00924688975152917,0.0389008463096913,-0.0185592211943431,-0.031392092633848,0.00835134436142316,-0.00826150549236451,0.0310667871275195,0.00934170276372681,-0.00060726643047369,0.014538161294552,0.00385784283416138,0.0121281022026458,0.00438745366638991,0.00181849755117741,-0.0360383111113009,0.0199790052271048,-0.00759041218094391,-0.0285412590136984,0.000972321083799262,-0.0017696461565525,-0.00659819847320933,0.0196837460315192,-0.00810548805209636,-0.0272286978095421,0.0205142307419994,0.00954876737758022,0.0722849785180891,0.000690407621681777,0.0609101884161456,0.0507134847171021,0.0417575224289008,0.103823504401733,0.0386150326756834,0.035408160659291,0.047269032898068,-0.00516727781991866,0.0361642142364563,0.0988087221507217,0.100787603122669,0.434851907207149,0.0429374752805955,0.0216152937400617,0.016034343229043,-0.00333820113265247,0.0314069963576541,-6.99754451627784e-05,-0.00623473132169674,-0.0930850622256885,0.0810409921186972,0.282167243872168,0.242056029945045,0.0561970372017431,-0.06843356074802,-0.0524195090958739,-0.0487413484682117,-0.0409690909830395,-0.26071970890887,-0.184252125113709,-0.16067397092594,-0.0859526437505241,0.038496149511216,0.034585358254969,0.0432653418628292,0.0438039317359598
"b_tt",0.00761709029195422,-0.00432411548189474,0.013036501647206,-0.00561195336268348,-0.00176615536546192,-0.000507561253883741,-0.00304045233310897,-0.00379343582356023,0.000470857043962558,-0.00292543487117679,-0.00118239402454934,-0.00414196779592827,0.000429233743103455,0.00157468631234967,-0.00259031910448736,-0.00209235911378157,0.00103362226467298,0.00048060733672114,0.000453916262094114,0.0003531549212645,-0.000165580989692463,-5.47550542868616e-06,-0.000192279614382297,-0.000390200865858379,-7.71817099409127e-05,-0.000229778198807972,-0.000313460874469324,-0.000151576746047995,0.00152119503465696,0.000749559647509303,0.000703631767192776,0.000214475391484595,0.000566861730188344,-0.000190877869195182,0.000413797081077552,-0.0042733330008123,-0.000145313567868263,-0.00165726604557696,0.00382403373039002,0.00154670584781387,-0.00548032604796186,0.000364937180273583,0.000868921292866515,0.000929661226131409,0.000776910568222766,-0.00161764160946786,8.19307620824363e-05,0.00131528523525524,0.00135310991998745,0.00304256255212423,0.00447938576453715,-0.00866166520893724,-0.00941982133313144,-0.0226257876184353,0.000386467806080428,-1.75511212819986e-05,-1.88536106896791e-05,-0.000652415520384848,-0.00186207111784399,-0.00383650576455783,-0.00433411689772156,-0.00313943565248645,-0.0104349019206916,-0.00411570480424575,-0.00224049012879955,-0.00273059923629973,0.00067080544192835,0.000949118639074161,0.00148554406258923,0.00260619487880842,0.0169733424330224,0.0125331619509102,0.0105177437144292,0.00451731359804469,3.2304426493957e-05,0.00112273360874778,0.0010837028157879,0.00212992538853807
"b_dt",0.00829622524282434,-0.00628644863686292,-0.00561195336268348,0.0737467487277814,0.0129750533403401,0.000721728257995772,0.0232150429428744,-0.00220422487404614,0.00636596576572614,-0.00236742710727016,-0.0239664762619985,0.00137370450963529,0.0290265922433369,-0.00790158654746385,0.0141704597447539,-0.0156557940757164,-0.00179585542468222,0.000387228647359899,-0.000531197536371214,-0.00160907612459251,0.000355023038280324,-0.000784433123113953,-6.34423160149028e-05,0.00205869365248647,-0.00111734659070598,-0.000327624176206324,0.000441959743797416,0.000183053957083624,-0.00803140844955317,0.00905272184390969,0.000745810796843383,-0.0127026822688008,-0.00164891975606594,0.00402503027505728,-0.000319258582350479,0.0320678629201579,0.00214574600911913,0.00617065691744544,-0.0042686893231348,-0.00036203567747303,0.0324645260950742,-0.00198438157356441,-0.0050303313099963,-0.00110884424827819,2.04850497006779e-05,0.0188674651860145,-0.000533024942157416,-0.00439316016295315,-0.00653723275552557,-0.0141633726115895,-0.0277856103065022,0.0641474414427701,0.0714177628562618,0.151077761048014,-0.00432180640008474,4.1966807508065e-05,0.000942431443747753,0.0084008835769992,0.0038871537147156,0.00869074654614478,0.0109530900364119,-0.00110442723420461,0.0234975571991908,-0.0172616470808792,-0.0124773380242495,0.0124708803230269,-0.0136852053208408,-0.0116990606432705,-0.0120424125523203,-0.0144440742861965,-0.0976105222541031,-0.0669361782767793,-0.0565675181576327,-0.0248301955213758,0.00156994423725497,-0.00682886484250249,-0.00720341276375673,-0.0144751040602891
"b_Sem",0.00506383303287406,-0.00110727683800008,-0.00176615536546192,0.0129750533403401,0.0398629650625622,-0.00101993298219046,0.0243482429416471,0.00214910926442398,0.000484499314335833,0.000844962622306148,-0.0117227385765592,-9.73212559576283e-05,0.00481080471539327,0.00262455986959158,-0.00649906460423012,-1.68978828478954e-06,-0.000928967261164244,0.000192809988844796,0.000298141464182804,-0.00158062846533582,-0.00075951902492128,-0.000435803546913024,0.000172488988859058,0.000603698789885928,-0.000187827244964795,0.000170054838988082,0.000158922622264605,1.50336871335067e-05,-0.00310609600240443,0.00451045498853841,-0.000814651440554201,-0.00458205825544906,-0.000227319543817473,-0.00153771630408617,0.000163149720681332,0.0130456301619895,0.000468986834854322,0.000834875400290259,0.00214909025953329,-0.00104121235802914,0.0134943904577445,-0.000465081614680348,-0.000120318127461232,-0.00623478117591273,-0.00724975423915653,-0.0110468059140848,-0.00205567668654222,-0.00249062548813998,-0.00266957918298262,-0.00736208882407416,-0.0136851294186147,0.0229628310696043,0.0254024355243281,0.0735126541418437,-0.00141158532896647,-0.00101498606182522,-0.00110666822517883,-7.68661373764541e-05,0.00294953368845067,0.00277182398729214,0.00328603267700745,-0.00339059287108483,0.0123752742210198,0.00370281614561658,0.00801423017838588,0.0104811412904246,-0.00364139328375503,-0.00328966801969832,-0.00380488211201072,-0.00488613638104235,-0.0401187888104786,-0.0283662686094187,-0.0237750035518705,-0.0096328164369656,-0.000542984781355128,-0.00320780616276206,-0.00295737581980342,-0.00556781678102428
"b_ACC_1",-0.00127653180009369,0.0437355503795641,-0.000507561253883741,0.000721728257995772,-0.00101993298219046,0.134280535715483,0.07483341026313,-0.014152411159369,-0.00807498619585672,-0.00496707186264527,0.0265880298685238,-0.0144717596642718,-0.044384608124072,0.00535241896838093,0.00137141134888529,0.00770177884515269,-0.00100434579515838,-0.00185514386279957,-0.000752090011694715,0.00275432390658309,-0.000418444931250272,0.00160415915191081,-0.000660287855604588,-0.00388496584484097,0.00110137765630422,-0.0018278707526414,-0.000613298517658079,-0.000767658423135393,0.00912946755410198,-0.0092474661797056,0.0015085080733719,0.0117343928606256,0.00438363704011561,-0.00303881271556711,0.000978089029168198,-0.0510009169242006,-0.00277288284400591,-0.00834984417378753,0.0137645674052541,0.00515300775310988,-0.0452541471899524,0.00206698053597739,-0.00301690906784799,-0.00302599723758527,-0.00384651831509062,-0.0278433318795033,-0.00833513893687363,-0.00335525768051286,-0.000408588803455739,0.0179106107520113,0.0284539484743404,-0.1181135662445,-0.12930964480619,-0.278189760986332,0.0014731307848986,-0.00527757035778178,-0.00592609029557808,-0.0162625396342924,-0.00581628278515867,-0.0168069401003863,-0.0197217303127885,-0.00370520541293408,-0.0383152648428011,-0.022207264230139,-0.00965642608728658,-0.0118770921406942,0.0106855929774194,0.00949052767565289,0.0118402638465454,0.0178068682576094,0.133744486080403,0.0922800197329379,0.0778712782639654,0.0310983158395832,-0.00674486149926127,0.000498837127697598,9.62299400167621e-05,0.011306417925777
"b_ACC_2",-0.00451566540270117,-0.0236842146377566,-0.00304045233310897,0.0232150429428744,0.0243482429416471,0.07483341026313,1.50137586847517,0.0241500767556572,0.045578562364157,0.0505634961042657,0.00931624487903584,0.0479145246332877,0.0120810399504528,-0.00903370044403233,0.0398788309684624,-0.0191136644028082,-0.0282733243430383,0.0057003904703818,-0.035585313019093,-0.0302000100876862,-0.0473883116888494,-0.0192692713828784,-0.00141099634554352,-0.0224260647936315,-0.00609111671633199,-0.0170522042189976,0.00278675421956349,0.00016664747333304,0.00840736136237535,-0.0240239169894989,0.00820691917417685,0.0271347070252933,0.00438786554892066,0.00034668400992239,-0.00623061379261325,0.154173958512939,0.0138675932991879,0.0128540992239436,0.0653815792326438,-0.0151044435482615,-0.079532326912001,-0.0139215843728737,-0.203819887255885,-0.234349285357254,-0.230115187546856,-0.350420505810991,-0.206664465061942,-0.250383668501756,-0.263214408875467,-0.244497785468709,-0.43902491283134,0.0181118124310068,0.0422518424386749,0.0763157063204346,-0.11172449301349,-0.097129179912493,-0.0926697217747889,-0.0664307175506563,0.0177183805730756,0.00433210559000602,0.00186909045080595,0.0381257160150385,0.18205416361058,-0.35214825875301,-0.012322136664345,0.221149067021127,0.0475221335934778,0.0313208880867551,0.0275750796924254,0.0139245151846393,0.218805205533251,0.147851010440806,0.126010802414434,0.0476329904274316,-0.124688240581471,-0.185275040961752,-0.205934976212565,-0.252735855418727
"b_SI_CAMFD",-0.00770657072320972,-0.0306905573183169,-0.00379343582356023,-0.00220422487404614,0.00214910926442398,-0.014152411159369,0.0241500767556572,0.121155089276191,-0.00879956755079249,0.0107077692953757,0.0217915137944363,0.0189352777996943,0.0134081616676077,-0.00713046695019029,0.00865361287639429,-0.00329775042972626,0.00534225134876505,0.00650393987268019,0.000723507760783608,-0.000621265484004066,-0.00546212164880914,-0.00180344578698383,0.000204312077746896,-0.000334529141829461,-2.11995196319582e-05,-0.00116727493019013,-0.00064877533528744,0.000111032666198745,0.00332196799435839,-0.00444366491784133,-0.000307275811356905,0.00433592990147377,-0.00096188458163339,-0.00830623581625021,0.0045634232467901,-0.0156519270885608,-0.000800408433976026,0.00272294097322254,-0.0130175281540535,-0.00115630475196626,-0.0153460582358762,0.00235429364044737,0.00729282730403975,-0.0123648767788667,-0.0166223375407446,-0.0636654046756412,-0.00303655195571817,0.00757946297176506,0.00945453858192168,0.0100431754338817,0.0123405525252457,-0.0379359318470488,-0.0432857765254999,-0.11050376599032,0.000603803866538934,-0.00192070633661555,-0.00318984928819269,-0.0107442844452605,-0.00303161144127387,0.000463482922036999,0.00179831232122359,0.0176112503451652,-0.0126353016984843,-0.0261513863240187,-0.0358214753899853,-0.0189205171406915,0.00522831884200777,0.00379664431330206,0.00364396256561983,0.00430370278821928,0.0450504039068688,0.0284763401580848,0.0237384027463904,0.00855071075286807,-0.00298504096137749,0.00286101867547696,0.00300208838178441,0.00686300850738204
"b_SI_PANEL",-0.000898052749849408,0.00426403088508857,0.000470857043962558,0.00636596576572614,0.000484499314335833,-0.00807498619585672,0.045578562364157,-0.00879956755079249,0.0690156764906192,-0.00147291120940583,-0.000491606102955275,0.0138883347464013,-0.010197285767266,-0.00386941620431505,0.01046490765523,0.00638165726618973,-0.000921200835386374,-0.0019821891290493,-0.00162350333279578,0.00106354844389627,-0.000656639782780191,-3.25155884859874e-05,-0.000335703155784692,-0.00243205486269656,-0.000278401763477307,-0.00112580022640404,-0.000602619695670708,-0.000169099360921993,0.00594616652505245,-0.00516129657123749,-0.000209478794934898,0.00735864076649041,0.00208616402245866,0.00249139045629133,0.000191717733491999,-0.0114283523167737,-0.00011416074697542,-0.00812672393263087,0.0044142293587167,0.00339651976853682,-0.0220202686191725,-0.000440353741932718,-0.0119888227799296,-0.00357422681013057,-0.00182008384007934,-0.000679955379011288,-0.0090250279560967,-0.0084507509746036,-0.00831503923486806,0.000915715048577304,-0.00429286957441766,-0.0359473126925407,-0.0381539576235988,-0.0917902980408319,-0.00415564085919634,-0.00452098027831103,-0.00406137542020768,-0.00421450020744178,-0.00480918888585642,-0.0156927196168584,-0.0173638879119932,-0.013674298255886,-0.0193879849669051,-0.0262368961406494,-0.0163834507216984,-0.000813640303591982,0.00554604072897104,0.00571614974977138,0.00716178064777871,0.0101538346347309,0.0657625064183541,0.0483411087247806,0.0411088063367534,0.0182350877658798,-0.0063604715796365,-0.00742595533598685,-0.00828177169328612,-0.00637801467407028
"b_SI_ZER",-0.00320055149216398,0.00180949055842576,-0.00292543487117679,-0.00236742710727016,0.000844962622306148,-0.00496707186264527,0.0505634961042657,0.0107077692953757,-0.00147291120940583,0.094579413668086,0.00242968595280678,0.00285238272543822,-0.00879611822707047,-0.00406458628304218,0.0134483068064036,-0.000434935974634139,3.70321979520871e-05,0.000172780712439089,-0.00275489474417698,0.000304111994975206,-0.00268914443749364,-0.000137325085228571,-0.000395730489355368,-0.0034533787965854,-0.000605080701866504,-0.00226260954690958,-0.000238645236518733,-0.000291155994868981,0.00591689162029402,-0.00211430333343645,0.000953346159312469,0.00698412806472477,0.000795188007426799,-0.00202828278162739,0.00271547840031787,-0.0177761433410528,-0.000453367954036268,0.000969412889612649,0.00434226355583842,0.00112069195108503,-0.0276197575534136,0.00119437943044419,-0.0119628893740499,-0.0138532911594693,-0.0137644127132863,-0.0326127067603147,-0.0142641615065943,-0.00661421067664016,-0.00410859936095318,0.0068494240665835,-0.00492611615430303,-0.0552852058501269,-0.05949965082716,-0.138566000371334,-0.00633223425495306,-0.00709245662074747,-0.00702325250735958,-0.0103581163550018,-0.00405682602915247,-0.00462060126054322,-0.00465410683959067,0.0141809794707779,-0.015814802154259,-0.0419247960186277,-0.0244356468658295,-0.00479931530238936,0.00865449696224358,0.00675036243295771,0.00745366828602553,0.00889467698582286,0.0837306055164435,0.0554048594550121,0.0461090025591213,0.018651582963736,-0.0107918344767648,-0.0055926166455464,-0.00664833425115179,-0.00310374223994496
