"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.13419380890651,0.227542497583707,4.98453616775158,6.21106274634187e-07,0.281894887053597,4.02346357098298,5.73484581629646e-05
"asc_ruta2",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.31746452497363,0.683817176977945,1.92663268681846,0.0540254220951493,1.00093055374427,1.31623969319877,0.18809360499179
"b_tt",0.412126573941577,0.132141500073719,3.11882772415676,0.00181572091213589,0.143358610135765,2.87479470923497,0.00404290270528018
"b_dt",-0.224644895604433,0.311175631064351,-0.721923162286368,0.470341719836572,0.454460616424703,-0.49431103045131,0.621086536237482
"b_Sem",0.497233451467651,0.201832781523399,2.46359113576407,0.0137552921083426,0.177893233610957,2.79512290251059,0.00518799879479026
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.547672067696806,0.389825960562254,-1.4049143030569,0.160046762850555,0.475029857755442,-1.15292135590088,0.248942665607278
"b_ACC_2",-2.53144450465393,0.34251874105391,-7.39067443978343,1.46105350040671e-13,2.12022676511518,-1.19394988607099,0.232497571777461
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.52454984927221,0.366644708898441,-1.43067617380375,0.152523044847396,0.476109912383565,-1.10174108042855,0.270574251915922
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.486234324335771,0.25554194025491,-1.9027574254572,0.0570722049150525,0.240282385443045,-2.02359537691132,0.0430118011115201
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0632321210398344,0.316388223278664,-0.199856114695337,0.841593113334889,0.343599389726705,-0.18402861859018,0.853991003936232
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.255107844036977,0.411869608496895,0.619389823318077,0.535659583663863,0.521384466780967,0.489289306242695,0.624636890854255
"b_No_Info",-0.333054800119832,0.411650134926096,-0.80907249108427,0.418473450389686,0.514615950727563,-0.647190977366635,0.517508350058817
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",-0.121432928440206,0.536373976472627,-0.226396010557389,0.820893430504008,0.672073259604336,-0.180684064876641,0.856615567300513
"lambda1",0.37888417624431,0.220389479702484,1.71915726991954,0.0855857390219499,0.317983739997737,1.1915205986539,0.233449275072578
"lambda2",-0.928792387934625,0.493058296967738,-1.88373746805725,0.0596004956394898,0.720754885223271,-1.2886383526168,0.197523843503434
"lambda3",0.592330987815892,0.255240110597971,2.32068144159706,0.020304043064129,0.321141915708991,1.84445243314997,0.0651172319365365
"gamma_EDUBASICA_LV1",-0.185633437863535,0.26509251373336,-0.700259072763751,0.483765526138704,0.34736663561348,-0.534402037592614,0.5930634095629
"gamma_EDUSUP_LV1",-1.3500227553368,0.338976331336241,-3.98264607447672,6.81522101213528e-05,0.421035810465249,-3.206432141354,0.00134391997876282
"gamma_HPICO_LV1",-0.410327136994479,0.199681560841598,-2.05490750004694,0.0398879399192722,0.305778864399128,-1.34190810669924,0.179625792917683
"gamma_CSECO_LV1",0.527443815862739,0.220995823491861,2.38666870499552,0.0170018046848988,0.320556487869546,1.64540053258066,0.0998872398070343
"gamma_SININFOTRF_LV1",-0.178269204638598,0.206072359180983,-0.865080621909283,0.38699453983364,0.261295113584723,-0.682252347519678,0.495079399199851
"gamma_LV2_LV1",1.84835276200444,0.1882610770529,9.8180292545817,0,0.301690177258754,6.12665874241951,8.97436569502474e-10
"gamma_ADULTO40_LV2",-0.161531788205894,0.0743346581232478,-2.17303465549102,0.0297777090785829,0.083581132678588,-1.93263459143425,0.0532812280022641
