"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.339543669617175,0.297205501323701,0.288790152645457,0.157940151224091,-0.174536206170142,0.0671002172260949,-0.252781571267933,-0.00889612788053811,-0.11298293499764,-0.128566111916709,-0.0850539457310406,-0.174113071492247,-0.0497996258793352,0.0650357705800281,0.157644035929261,-0.06103448375089,-0.110025091000359,0.0349407007148683,-0.0229252895666118,0.128423125741915,0.0599103504162201,-0.105243862186174,-0.194915168492633,-0.00193918905787733,0.0527417673903054,0.0101772786834493,0.0598065323921993,0.152600857316668,-0.171419926669256,-0.100885980646015,0.169568061243625,0.200028949441665,0.0496943738965506,-0.0831419001933908,-0.16681667420752,-0.100165681135183,-0.30928405769247,0.00873706739612738,0.0971500459937843,-0.300999567068163,-0.121707566122503,0.0820481622943398,0.0436190280641495,0.0524040181248709,0.0923072252746765,0.0203235343372755,-0.107582298925927,-0.0571170910371973,-0.0734604098100655,0.110638907915035,-0.19567999161735,-0.190866323463534,-0.147050892784546,0.186364986951019,-0.00834478115825172,-0.0582939957772518,-0.0488927994756749,-0.0588076527343738,-0.293130357012259,-0.301399316730002,-0.264709353978463,-0.123054530186024,0.102283883118075,0.107315258422763,0.0772161784213791,0.061647136510201,0.114654974544243,0.196676954576052,0.240315141441985,0.27046004502934,0.286825834434001,0.283389352006177,0.265214085866517,0.0592184789153102,-0.0976205207852589,-0.0902858406398933,-0.040936140418326
"asc_ruta4",0.339543669617175,1,-0.15973421371474,0.195557027236357,0.183211105075795,-0.0920444569827886,-0.346193751549925,-0.436324203462774,-0.190343546158096,-0.354902191234434,0.0885277264962378,-0.658521158233951,-0.80671701203411,0.336371051812629,-0.307440019106276,0.664130537350403,-0.168026863015612,-0.336934776146474,0.309223225558771,0.0745015455474535,0.326024203971395,0.30169472271756,-0.0813500646510983,-0.12702218966344,0.127370881148757,0.188260282282954,-0.152301199265475,-0.156670595372658,0.21573465287508,-0.11089104538775,-0.093361257132075,0.277326611249242,0.182351074761913,0.018155593236661,-0.133730463235171,-0.505937707264908,-0.355813191750858,-0.205170614449357,0.154021137083033,0.260306829520643,-0.377976685832348,0.138999178232529,0.117415982149742,0.359867071739863,0.326440499768732,0.326260141448047,0.140126868264916,0.0381580756849336,0.126127528033361,0.104936418381878,0.44650620026243,-0.48179507217122,-0.465416096469165,-0.317155248246867,0.314304518914878,0.0699568576822012,-0.00727713668357861,-0.28454485356197,-0.214354835592966,-0.254677628833416,-0.276464329754299,-0.251908381906261,-0.336212087059751,0.100744015090987,-0.0105239809569525,-0.230686323537359,-0.0540496893322198,0.0981391789645663,0.224494808400006,0.36417367221065,0.357708495219689,0.358234348752846,0.350459331903912,0.318848182174038,-0.0268675619345974,0.380660054833969,0.400996306355914,0.411529423838265
"b_tt",0.297205501323701,-0.15973421371474,1,-0.223998640669525,-0.243610216589454,0.154887249739876,0.0125510286416794,-0.206460161318185,0.0626100512938564,0.00546188720224637,-0.174502413590995,0.0949169591055287,0.0824139880091944,-0.127903579668427,0.16637841613868,-0.22627546615317,-0.00778404777024202,0.0499933705852901,-0.0891246963679496,-0.020714607944976,-0.0908164306189519,-0.151808463983067,0.01587708847238,0.0598234949726263,0.0451885557742754,0.0258034203438847,0.103869244656904,0.158538639751759,-0.14497725718014,0.0450166212802094,-0.0329306664669104,-0.147539408275168,-0.0433065210703195,0.0561359509265913,0.0260094974435538,0.228395440416559,0.190636298438326,-0.124314124762622,-0.0268398121978648,-0.0320872421268352,0.121143868736601,-0.0471910742860025,0.0103445495110162,-0.161622392272184,-0.125136820169444,-0.0313727202452181,-0.00678081571039054,-0.0921853540721521,-0.136377358169733,-0.103995395546199,-0.168310851257488,0.208317768899302,0.194310535136284,0.213817827086286,-0.0190899639348921,0.0242620834017027,0.0351185985527292,0.135776373326169,0.191320763067013,-0.0645153319534109,-0.0321689450955777,-0.128213358585871,0.188390708473089,0.123140008694337,0.19635050730776,0.189940983762108,-0.0671380238055107,-0.150401505481488,-0.164446250546353,-0.170279445570607,-0.161114756033473,-0.147731155854762,-0.138320861421739,-0.130816492070568,0.0689455855806439,-0.162142233000554,-0.167827054269722,-0.187974887576165
"b_dt",0.288790152645457,0.195557027236356,-0.223998640669525,1,0.463764144135418,-0.387234986784383,0.223825834937909,-0.0567440747282274,-0.139362810358229,-0.193982142245064,0.161132904764811,0.0348598875014602,-0.225365598540351,-0.0833910913492356,0.12345481901895,0.0667390185646941,0.073839521814369,-0.00426529131434998,0.0820732772378276,0.189593528926912,-0.150110951060398,-0.0157243829264979,0.104094031854236,-0.172681930432616,0.0301731411945615,-0.209254929688081,-0.146763113557939,-0.0763585732224211,0.423691777718376,-0.14372313412357,-0.0933703141188085,0.310905479956489,0.0735635896017191,-0.0976218140348539,0.143136891752327,-0.463640245802681,-0.200692305086915,-0.163009639388875,-0.126161575023403,0.175388352869147,-0.515546203658965,0.101036135690557,0.169687731809539,0.100069537734962,0.0100457806463564,-0.158998895927477,-0.0984374060860276,0.233257724726441,0.278611222438091,0.194767443902162,0.379428543994493,-0.518860662126499,-0.519999479935465,-0.556567684138243,0.206890389991162,-0.0775187076332256,-0.101192636508186,-0.304051744992393,-0.126765032979222,-0.128230349098062,-0.160405697970683,0.048742367808631,-0.198410647452392,-0.130641070411812,-0.179500947582024,-0.198377242165071,0.130383690693677,0.219604549404301,0.318917757745441,0.384461968605215,0.534608164502387,0.520671624944781,0.507487220262772,0.467019027126208,-0.0651228865129862,0.114340568531582,0.0866073614454343,0.106123337178807
"b_Sem",0.157940151224091,0.183211105075795,-0.243610216589455,0.463764144135418,1,-0.328178798850316,0.0961442033342909,-0.00452820980719154,-0.161078304705782,-0.0606997603007789,0.268310894250513,-0.0559193130507325,-0.26745040471908,0.182808576928423,-0.183175114254244,0.251776645090306,0.153759237105042,0.0521557315188489,0.150196553235249,0.0596541522604191,-0.033147760057647,-0.0189842888179786,0.01124337553815,-0.162338116473285,-0.0537949335039177,-0.232858558961813,-0.275250252384976,-0.176099410546581,0.329713370840324,-0.0782971525241183,-0.0444995845415421,0.237129679650638,0.170878917237923,-0.0630603083717697,0.0753847239732202,-0.378610772015101,-0.126837373545457,-0.0161583309751978,0.133071186603946,0.180025869633783,-0.408174952218195,0.159646331550031,0.102448563841034,0.0650932641766433,0.0247798395847255,-0.103333277983069,-0.0168526233970859,0.116785549686129,0.203926536831398,0.118080627243663,0.297735822870461,-0.434922704686625,-0.419355385071399,-0.437308375497786,0.150546061786601,-0.132845287377474,-0.130657850843015,-0.231560487187903,-0.239952247659589,-0.132921705572808,-0.144155913978266,0.0186040591415776,-0.299940660884407,-0.262146744119415,-0.253859926326137,-0.229231829957714,0.158980782742838,0.205672351588746,0.286872297238963,0.383088356946324,0.421733553984504,0.422264096717535,0.42333883802811,0.400093543458008,-0.123174680125544,0.126587838380326,0.153722891930142,0.159905023011395
"b_ACC_1",-0.174536206170142,-0.0920444569827887,0.154887249739876,-0.387234986784384,-0.328178798850316,1,0.127774678586941,-0.0533198498851245,0.128330186621271,0.0865540412103366,-0.142894648479687,-0.084056840156329,0.184714601186993,0.0551297502667765,0.0266555173674362,-0.272861571606815,-0.127318156039256,0.0753602571576157,-0.125764996049862,-0.18655728651767,0.0151612753814069,-0.101462307290526,-0.00288676279463622,0.0762828043861453,0.0482818111068864,0.137094087300451,0.2853602514867,0.103986467325022,-0.43736521390553,0.150071484078541,0.0698241863515005,-0.318891574200497,0.0429733112759648,0.149473110713113,-0.028140006031537,0.423817147854401,0.144638498150599,0.032910606840491,0.0557911459594638,-0.083394238947683,0.427879734718553,-0.0621247137695759,-0.0822177437103707,-0.154701068066161,-0.0684978482149679,0.00106990785821138,0.0317142730562128,-0.223756765188797,-0.203871709403922,-0.191737325722175,-0.332139683342242,0.393568237388293,0.395550094532985,0.440458391458056,-0.0795678180013637,-0.0279767107755183,0.0214287534034484,0.0669793625191469,0.310868683693188,0.122632387295179,0.177832810601475,-0.0607780736461663,0.360458987164708,0.184316336498503,0.319330314449364,0.273352905374462,-0.223617860949099,-0.274396496237839,-0.292043517711306,-0.348960763408192,-0.453509883736358,-0.462441944868531,-0.456137360185955,-0.424738030369591,0.112689882973853,-0.205564538386139,-0.169030283967826,-0.218425212506292
"b_ACC_2",0.0671002172260947,-0.346193751549926,0.0125510286416795,0.223825834937908,0.0961442033342908,0.127774678586941,1,0.189720587001361,0.188941769024302,0.288701976037955,-0.00108540424066749,0.401189900180502,0.252575296107679,-0.191237466693968,0.262668731874799,-0.228842157386,0.0848553953208708,0.224980604958146,-0.145522102800233,-0.0679543480433513,-0.228899204441731,-0.186659985803643,0.0169519090394211,-0.039767064169338,-0.128223249914625,-0.288730285792793,0.0503691674471755,0.154586367152803,0.111549393572078,-0.160627480405562,-0.0162746877093068,0.0989026927267881,0.0993929142663914,-0.1940232728797,0.0843201070647461,0.125781634411001,0.0492187326300582,-0.0932526660854518,-0.0667688389254089,-0.107550618995672,-0.106253207524691,-0.200242973038129,0.185279165297627,-0.286423345415832,-0.291659157564333,-0.453959986278268,-0.102824052043074,-0.0710299205368972,-0.00374676838652023,-0.0621092330968238,-0.09275684734909,0.060527163361844,0.0712847910857863,-0.0786901574421502,0.108613359352312,-0.146188446882214,-0.121313464833473,-0.0851561205811646,0.182776340521234,-0.0460054772107933,-0.00565343597669654,0.0507998390267422,0.207029394698639,-0.175441791483381,0.0238707540769103,0.1928402406359,0.160694466738972,0.143432270931966,0.169439533959651,0.101204455728402,0.128436546698139,0.114088568875815,0.128969264636589,0.146884959617677,0.165814455126489,-0.403630111915473,-0.408010176364846,-0.36876895920721
"b_SI_CAMFD",-0.252781571267933,-0.436324203462774,-0.206460161318185,-0.0567440747282276,-0.00452820980719152,-0.0533198498851244,0.189720587001361,1,0.128945956079225,0.283732962427784,-0.0618791492080032,0.330546673020368,0.416398038785013,-0.275777303211934,0.257478920151491,-0.265654879348518,0.214431700318294,0.230414029840496,-0.1247104447592,-0.133834279097893,-0.231872977691064,-0.269551134805477,0.0581910729099918,0.0878453230925977,-0.156415862467536,-0.11909843722199,0.07224005744358,0.0681434484954343,-0.118067383739752,0.0733387855573919,0.0313568661787191,-0.121471274960838,-0.10155524086777,0.00313060160050221,0.210884469107549,0.341385041968263,0.250400174403232,0.0655707572693778,-0.109111710508056,-0.134895508860433,0.26566263122721,0.0217777520651404,-0.0933489538274134,-0.235600059475225,-0.241330706620388,-0.209896913428288,-0.158485716663572,0.0900781731460696,0.0170173679992116,-0.0200721379246525,-0.319438526407244,0.303392820028312,0.291986355199928,0.24669596981416,-0.29918991122491,-0.0784442541590757,-0.0894406612005069,0.0891201568567453,0.079699591992291,0.086965183869529,0.0729580068865037,0.0506003118924498,0.154143876288275,-0.124527094481727,-0.0386458108796589,0.104835612387123,0.0178629116688402,-0.0251552032230173,-0.141073308753999,-0.218181262876511,-0.239437232881985,-0.242373895328505,-0.238085594571734,-0.219684828370637,-0.0718596295780546,-0.203216930571503,-0.219282744893855,-0.22554195182563
"b_SI_PANEL",-0.00889612788053811,-0.190343546158096,0.0626100512938568,-0.13936281035823,-0.161078304705782,0.128330186621271,0.188941769024302,0.128945956079226,1,0.0620630987138,-0.26831790249473,0.209187641325311,0.263776450260998,-0.167400248796269,0.142236661536324,-0.10754305202761,-0.203688065594799,-0.0813868733793509,-0.132614194066949,-0.0672081018924343,0.119134696582791,0.0205736746801137,-0.0822333593411923,-0.0214732895177833,-0.113972763605779,0.0666415915930536,0.193701886050574,0.114585295163612,-0.190195164149981,0.110956183465248,0.00636057387368386,-0.162807741546356,0.0571987941711503,0.128552167078815,-0.186581826413907,0.354417621386262,0.0123787973775436,-0.0805981384204099,0.023975649806607,-0.197378675834625,0.274331476316482,-0.171175950625874,-0.165220384576295,-0.085111854299386,0.00332385764861567,0.0774371787075673,0.00542026550805251,-0.314989165754867,-0.330801599653094,-0.305175701812749,-0.306978086769791,0.380089728999303,0.378521050410891,0.353336806285763,-0.0253696821821352,-0.0291943105870342,-0.0456924440589017,0.0984578461733721,0.135751941215446,-0.0503681508084741,-0.0347510561129969,-0.183934894743155,0.164559133335991,0.108345833012906,0.174979138417537,0.221872524665186,0.0106667359723613,-0.022548176178343,-0.0703430401173883,-0.167278313180511,-0.271223555386775,-0.25921670291914,-0.242959131915495,-0.19230780640176,0.0545743151555087,-0.280275441240669,-0.27176974890931,-0.270645039720277
"b_SI_ZER",-0.11298293499764,-0.354902191234434,0.00546188720224662,-0.193982142245064,-0.0606997603007789,0.0865540412103362,0.288701976037955,0.283732962427784,0.0620630987137999,1,-0.254138226618155,0.214792336762358,0.378272158420282,-0.158568397362477,0.14727523238869,-0.298793855885376,0.0377204649444084,0.115403689796164,-0.12237737184916,-0.190061857617305,-0.0759303047289006,-0.121672000222236,0.0591116249635267,0.0275396717035145,-0.180849717277618,-0.0925394070297084,0.100852523611999,0.00135972236007341,-0.169554940030302,0.0167814465913422,-0.0310145310403487,-0.129933675802638,-0.0980508946895741,-0.0109740738815841,0.0547600675810684,0.407860413692706,0.241558259109518,0.14067940176431,0.0689983998894242,-0.22117008314856,0.326500991484383,-0.0999161571456036,-0.121758850617865,-0.268133343937903,-0.258354200049701,-0.173062198123702,-0.109190587323173,-0.0628940115803564,-0.110943232843878,-0.144355561094388,-0.402033221877003,0.393693155675068,0.380196865720325,0.342584101009215,-0.26519046617488,-0.100734582111959,-0.0502575293374419,0.14866627181152,0.124847909406229,0.152514607099989,0.202074720107633,0.0947961259813889,0.235117041088149,-0.0508074271199568,0.0391821796410572,0.204907105026492,0.045109664495682,-0.0315449656002556,-0.128280741810429,-0.227675597351889,-0.308111673199914,-0.323606206711946,-0.315072938261092,-0.235533876802353,-0.0137754057650587,-0.284541859754036,-0.287605647847689,-0.27329499916872
