"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.0627117204691758,0.0721191798332298,0.00903025497935702,0.0244365441879997,0.00783456190026555,-0.0195528576971245,0.0211622697231727,-0.0244876763231181,-0.000574073824897736,-0.00895829668386045,-0.016306857317373,-0.00997516333181086,-0.0305860990212344,-0.00290885721295404,0.00884166069247736,0.0123900585499084,-0.00413039958545986,-0.0112810751166243,0.0018279543637723,-0.00126489977719112,0.0080099429326181,0.00370185045703843,-0.00200873032623685,-0.00852113974884984,-4.24418045693792e-05,0.00139292817202563,0.000180159946483296,0.00143693960626349,0.0112695555294851,-0.0219081840755547,-0.004958581245224,0.016564212780496,0.00961806897530822,0.00361473339086052,-0.00736887207052034,-0.0425020232881903,-0.00404009637276562,-0.0423837651811483,0.00150624118044022,0.00784370579137009,-0.0616749835418068,-0.00698960310861516,0.0104598307750413,0.00612120659119354,0.0090371426326286,0.0357233662876742,0.00210724801449188,-0.0165460207769492,-0.00937286420906654,-0.0194427604216066,0.0266520493559846,-0.09373347438454,-0.101027645172691,-0.175122330467319,0.0135744613877743,-0.000460145752467166,-0.00362936485676454,-0.00624860913626473,-0.00494654115479628,-0.0534525248883161,-0.0555372484879055,-0.0676057778199448,-0.0494329301998089,0.0549781796574406,0.0522042499269327,0.0271269532344814,0.00810771904713056,0.0119058236210206,0.0191051145347826,0.0265073338978351,0.160446044503119,0.119882126818747,0.0991438761328321,0.0437464482579197,0.00437163040243345,-0.0117925919157889,-0.0119204285096484,-0.00822101436863453
"asc_ruta4",0.0721191798332299,0.719385312420905,-0.0164379457593933,0.0560450498753391,0.030780834264657,-0.0349243855001093,-0.369797499136908,-0.14315874982397,-0.0416017222266138,-0.0953076355363856,0.0380302777842623,-0.261578297391596,-0.479976919693237,0.0665459090595334,-0.141562550295646,0.176789183163309,-0.0385125200859025,-0.117006777455465,0.0547913839691841,0.0139223643157768,0.0688719618863617,0.0631380478457522,-0.00525883066815205,-0.018807803156016,0.00944170154406495,0.0168398870461543,-0.00913137810051898,-0.0127492257767929,0.053960522972958,-0.048000745168833,-0.0155417432480158,0.0917539387540765,0.029696809024332,0.00447286630550263,-0.040143741313124,-0.436589835353655,-0.0486072719544601,-0.0952277635521561,0.0899322754542167,0.0711820142196824,-0.262309856327695,0.0270366946679498,0.0506978381758146,0.17104468694592,0.190667647503264,0.427648670161384,0.0492089682243819,0.0198767619012274,0.0701007321669882,0.0940669884902806,0.364297883425746,-0.781658533078368,-0.834370127813691,-1.27924047045184,0.0775381319773171,0.0130652337720223,-0.0015345242718979,-0.123167355124027,-0.0610671275300385,-0.157291281471989,-0.172539139130867,-0.217903180624944,-0.457444590287219,0.183404011181758,-0.0173392721651127,-0.274486499151387,-0.024076059608006,0.0345155968756852,0.0738599311266171,0.136050419288979,0.718723059018403,0.507118931961309,0.415266043561833,0.178129801226653,-0.00671770415649692,0.155744199590187,0.179315990388491,0.279914780435874
"b_tt",0.00903025497935701,-0.0164379457593933,0.0147210105139473,-0.00918326769320965,-0.005854800729294,0.00840687964167958,0.00191783876856988,-0.00969020317586444,0.00195751564397911,0.000209821394777918,-0.0107235764628221,0.00539341476173731,0.00701436073573402,-0.00361970748979966,0.0109590521434212,-0.00861643736991713,-0.000255221195745405,0.00248350836077224,-0.00225905214503679,-0.000553748366160416,-0.00274438519695004,-0.00454472333843972,0.000146821676052659,0.00126712157437259,0.000479177706425627,0.000330176206829356,0.000890857015234093,0.00184552305141375,-0.00518733322335873,0.00278748427358141,-0.000784190519350368,-0.00698279411136539,-0.00100888759927874,0.00197835664078007,0.00111688249778024,0.0281936971051479,0.00372539928367855,-0.0082538568149338,-0.00224183041781788,-0.0012551774546925,0.0120264946861392,-0.00131307416287621,0.000638942587706498,-0.0109889712548239,-0.0104555315587241,-0.00588251862223593,-0.000340637779110867,-0.0068692469025212,-0.0108428380528604,-0.0133356178790761,-0.0196439716486783,0.0483469479696559,0.0498312433711017,0.123370756509597,-0.000673686500316174,0.000648191020829206,0.00105934747228899,0.0084073109959298,0.00779694264472371,-0.00569986825049075,-0.00287192681827295,-0.0158650796244779,0.0366667722424458,0.0320683623670767,0.046277604031724,0.0323300109415175,-0.00427807889744557,-0.00756681610031798,-0.00773953021704376,-0.00910000423985962,-0.0463079622392411,-0.0299159447736693,-0.0234457702268996,-0.0104544975490391,0.00246596613344814,-0.00948983700539451,-0.0107356574789096,-0.0182899619075001
"b_dt",0.0244365441879997,0.0560450498753391,-0.00918326769320966,0.114173706453694,0.0310404513122484,-0.0585339711392062,0.095248298139469,-0.00741705292575268,-0.0121345120166038,-0.0207531025632893,0.0275763440865617,0.00551645682049602,-0.0534181727625154,-0.00657241038372093,0.022646354080683,0.00707757241646675,0.0067423976196383,-0.000590087133311821,0.00579354262242955,0.0141147596916337,-0.0126330220576771,-0.00131098980505789,0.0026807689304921,-0.0101860930098647,0.000891051706958807,-0.00745690196035023,-0.00350551787574321,-0.00247546271732969,0.04221905834053,-0.0247845163029116,-0.00619218788878557,0.0409792320125437,0.00477272749255218,-0.00958130385574354,0.0171175397563675,-0.159389594579936,-0.0109222519292536,-0.030141438775713,-0.0293470617249815,0.019106789830325,-0.142534322789939,0.00782925354983679,0.0291887123603362,0.018948360498385,0.00233753935635964,-0.0830270258220144,-0.013771627619204,0.04840580779948,0.061689825574477,0.0695552049690764,0.1233279236994,-0.335357274762696,-0.371383430595156,-0.894335646014865,0.0203332730951158,-0.00576760728231133,-0.00850089022307264,-0.0524317854952625,-0.0143871889531792,-0.031550550711269,-0.0398814169047373,0.0167969272160681,-0.10754554243143,-0.0947483315627304,-0.117820218052069,-0.0940358069028615,0.0231375699463312,0.0307692256786576,0.0418007009891043,0.0572198863818391,0.427927481703083,0.293635646236589,0.239561028100918,0.103941619540474,-0.00648677036326065,0.0186370508105179,0.0154289268951278,0.0287566375893381
"b_Sem",0.00783456190026554,0.030780834264657,-0.00585480072929401,0.0310404513122485,0.0392369840393389,-0.0290809560576175,0.0239847322975596,-0.000346978175584156,-0.0082219954019183,-0.00380691356406891,0.0269187890316401,-0.00518753247467353,-0.037162885206795,0.00844629688029165,-0.0196979702066653,0.0156525358491532,0.008230599311939,0.00422994038611073,0.00621537242026715,0.00260348701317554,-0.00163536170366743,-0.000927865002942685,0.000169744232468546,-0.00561365869103345,-0.000931297667944153,-0.00486451671144304,-0.00385414237870691,-0.00334673438824617,0.0192601570832091,-0.00791524743172721,-0.00173003950814768,0.0183225582788431,0.00649915609439466,-0.00362826157047556,0.00528491334796164,-0.0763021127867281,-0.00404662972926819,-0.00175150729743173,0.0181462258488187,0.0114970561782738,-0.0661550455827823,0.00725215926139518,0.0103308278801194,0.00722554407250757,0.0033801695902591,-0.0316322684603426,-0.00138215702231456,0.0142074228103355,0.0264699694089932,0.0247204675488237,0.0567318924241784,-0.164791127551523,-0.175576584980406,-0.41194108523014,0.00867363482080174,-0.0057942878904272,-0.00643451423322445,-0.0234086495915531,-0.0159648945753355,-0.0191724133575928,-0.0210110623292561,0.00375833672904656,-0.095307602117477,-0.111455388000717,-0.097681424700831,-0.0637002427626573,0.0165387950086455,0.0168933549392532,0.0220423672049246,0.0334239149502583,0.197896223114245,0.13960268825399,0.117150441723039,0.0522012865253444,-0.00719252009462466,0.0120957717998362,0.0160540354863652,0.025401190462429
"b_ACC_1",-0.0195528576971245,-0.0349243855001093,0.00840687964167959,-0.0585339711392063,-0.0290809560576175,0.200124702915145,0.0719878343634408,-0.00922713930698593,0.014793520791396,0.0122595895784418,-0.0323769338318424,-0.0176106182204968,0.0579655461610766,0.00575252269718592,0.00647358213630045,-0.0383101790934436,-0.0153915772112936,0.0138031153931285,-0.0117535622717556,-0.0183877882885381,0.00168926550640633,-0.0111994768731744,-9.84264792889198e-05,0.00595737163387567,0.00188770112323005,0.00646798136493635,0.00902393687443639,0.00446316260368248,-0.0576992336319756,0.0342625155735817,0.00613067776222651,-0.0556475159637364,0.00369121927272554,0.0194226333882128,-0.0044553440773645,0.192896640150647,0.0104215585375069,0.00805663860420341,0.0171818572086699,-0.0120279143494834,0.156617714290098,-0.00637346098095901,-0.01872394456816,-0.0387820138739177,-0.0211017984053746,0.000739671780064669,0.00587417892906282,-0.0614759023451981,-0.0597639372421876,-0.0906540551806926,-0.142928714636842,0.336778476641875,0.37401447213809,0.937032692013809,-0.0103531313535366,-0.00275583436273908,0.00238330543776252,0.0152916890066594,0.0467111702859138,0.0399474077532693,0.0585369352405166,-0.0277292069499777,0.258672701232829,0.176979502882479,0.277498426833079,0.171550663248376,-0.0525373621472341,-0.0509003883717859,-0.0506780311332734,-0.0687602590531717,-0.480605401597289,-0.345278379496004,-0.285071632687187,-0.125153602034807,0.0148609683709609,-0.0443600819117858,-0.0398669246032135,-0.0783605134120743
"b_ACC_2",0.0211622697231726,-0.369797499136909,0.0019178387685699,0.0952482981394688,0.0239847322975596,0.0719878343634408,1.58609035017422,0.0924285692496739,0.0613174815648351,0.115120309667307,-0.000692348696122074,0.23662746146375,0.223137820996086,-0.0561770473489992,0.17958891847546,-0.0904526824444814,0.0288792464955776,0.11600946887409,-0.0382870851452855,-0.0188559379336413,-0.0717992772647118,-0.0580039865213173,0.00162717055235749,-0.00874309473052241,-0.0141133487430315,-0.0383491716407463,0.00448415848212438,0.0186788737884645,0.0414292080561442,-0.103241552586049,-0.00402280407126505,0.0485874901423341,0.0240347750323773,-0.0709761564531071,0.0375838982620149,0.161167319809269,0.00998372951820817,-0.0642677152886347,-0.0578884950200713,-0.0436697597597853,-0.10949009287528,-0.0578338130210986,0.118787841070414,-0.202143168875263,-0.25294830249414,-0.883535203237095,-0.053616780885609,-0.0549393702932164,-0.00309209405084079,-0.0826704588872481,-0.112372051982585,0.145810305080207,0.189756825797965,-0.471285285431793,0.0397860783269703,-0.0405399418535641,-0.0379844126097581,-0.0547323287392985,0.0773174216551631,-0.0421897129985663,-0.00523894908720566,0.0652478890183679,0.418254251224001,-0.474248325215578,0.0583982894945766,0.340706158110158,0.106286060139319,0.0749036567741156,0.0827752541004289,0.0561402252517089,0.383181137695532,0.239810342544274,0.226912381116285,0.121846523996981,0.0615599390893882,-0.245211769748086,-0.270914855607851,-0.372445279964292
"b_SI_CAMFD",-0.0244876763231181,-0.14315874982397,-0.00969020317586443,-0.0074170529257527,-0.000346978175584154,-0.00922713930698591,0.0924285692496739,0.149642728596917,0.0128536925106034,0.0347516822834909,-0.0121238776872787,0.0598841364869936,0.112993858759499,-0.024883318318257,0.0540725292905941,-0.0322527731741133,0.0224160575895933,0.0364939712598522,-0.0100783635041192,-0.0114067546826928,-0.0223403398994191,-0.0257283317398294,0.00171567362594188,0.00593231421642476,-0.00528820076283334,-0.00485885073190866,0.00197541392727557,0.00252910844733818,-0.0134689334041994,0.0144787890880825,0.00238074410497948,-0.0183296337535562,-0.00754311667380061,0.000351763117877043,0.0288721495789431,0.134359409400665,0.0156013023980552,0.0138805172801657,-0.0290571922478613,-0.0168239987366806,0.0840866581227423,0.00193197471790679,-0.0183830981812417,-0.0510728272902232,-0.064288395165746,-0.125480483639718,-0.0253839963842955,0.0214005909546468,0.00431372133483934,-0.00820638073042299,-0.118867594414858,0.224495192048899,0.238740957100406,0.453825995070325,-0.033663454420515,-0.00668182435674519,-0.00860191718471931,0.0175941321077209,0.010355649221914,0.0244966275090417,0.020766748754222,0.0199627869068117,0.0956529735629149,-0.103395218518804,-0.0290402439418714,0.0568924979900022,0.00362903773844067,-0.00403503981005489,-0.0211687139636921,-0.0371754142202257,-0.219417385136782,-0.156485992095632,-0.128667521858414,-0.0559757252344689,-0.00819454067590578,-0.0379211490694626,-0.0447229179920458,-0.0699679741463571
"b_SI_PANEL",-0.000574073824897736,-0.0416017222266138,0.00195751564397912,-0.0121345120166039,-0.0082219954019183,0.014793520791396,0.061317481564835,0.0128536925106034,0.0664025474710369,0.00506365440306809,-0.0350196195763763,0.0252452447528517,0.0476811526448213,-0.0100616784769176,0.0198980774545649,-0.00869753497474702,-0.0141840544363968,-0.00858679573491384,-0.00713907199668684,-0.00381575892745467,0.00764614380070392,0.0013081179101101,-0.00161506834016302,-0.000965981129490432,-0.00256680443586079,0.00181107909029854,0.00352840508529308,0.00283293619553622,-0.0144533093282269,0.014591992540349,0.000321692493704579,-0.0163651432261811,0.00283008786578852,0.00962202459115821,-0.017016428904058,0.092918772869384,0.000513770593682516,-0.0113654078218512,0.00425321395804766,-0.0163982132020215,0.0578411374317905,-0.01011569437007,-0.021673918776673,-0.0122904877448043,0.000589830161996556,0.0308378587385159,0.00057830239523235,-0.0498501390162454,-0.0558588329797725,-0.0831136858829614,-0.0760935973928565,0.187349457888311,0.206166914584307,0.432992879399353,-0.0019014780770051,-0.00165652007116507,-0.00292731330012277,0.0129481224744435,0.0117498370249501,-0.0094510801629493,-0.00658913061243047,-0.0483388892150508,0.0680234652622474,0.0599257357020751,0.0875888190650396,0.0802073657085957,0.0014435616646767,-0.0024093282580729,-0.00703129496881171,-0.0189863973985456,-0.165566060871876,-0.111485187461206,-0.0874648600981969,-0.0326408259094168,0.00414564869466001,-0.0348394433504607,-0.0369225210905621,-0.0559289412617453
"b_SI_ZER",-0.00895829668386045,-0.0953076355363856,0.000209821394777928,-0.0207531025632893,-0.00380691356406891,0.0122595895784417,0.115120309667307,0.0347516822834909,0.00506365440306808,0.100248172101637,-0.040754693332015,0.0318499097468913,0.0840157994621347,-0.0117105376239872,0.0253148375154349,-0.0296914460930836,0.00322743648050238,0.0149603695920569,-0.00809466228527009,-0.0132586751243864,-0.00598777126864148,-0.00950542483590956,0.00142646667662863,0.00152221039196959,-0.00500443896571534,-0.00309004375346578,0.00225723731268904,4.13051311713268e-05,-0.0158315754631671,0.00271167941842715,-0.0019273283327307,-0.01604768327256,-0.00596088121503309,-0.00100925474703485,0.00613633300532071,0.131384936438171,0.0123185202227082,0.0243745376564912,0.0150394420282461,-0.022577119907542,0.0845846485648384,-0.00725495184439362,-0.0196254766487243,-0.047574666311662,-0.0563308037943068,-0.0846803743430845,-0.0143141476686395,-0.0122299847252063,-0.0230181775010957,-0.0483060993820767,-0.122447111404891,0.238435014359054,0.25443879373038,0.515828032293979,-0.0244219345770193,-0.00702300420242693,-0.00395614146427848,0.0240223106528719,0.0132773966448347,0.0351627425724317,0.0470779946726497,0.03061039886045,0.119417157378871,-0.0345282227848116,0.0240988794578587,0.0910151325615447,0.00750100150888524,-0.00414152677833271,-0.0157551124364613,-0.0317515749217558,-0.231098924707306,-0.171008181842171,-0.139366162728945,-0.0491205777614506,-0.00128574387267685,-0.0434588459020725,-0.0480101988929321,-0.0693927457288189
