"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0481443141528069,0.0304007013158937,0.00726532832436454,0.0109895192994314,0.00538477558417241,-0.00302999480446376,-0.00434345155442465,-0.00812561697988019,-0.000700420753424484,-0.00405590281808178,-0.00964476185314487,-0.00161351103554992,0.00127365686077539
"asc_ruta4",0.0304007013158937,0.23822273465401,-0.0043715030504409,0.0226002263849581,0.0012063618693405,0.0036834347632487,-0.00688009776015814,-0.0121204265304004,-0.000587833477405308,-0.00875858529065819,-0.0126176892937537,-0.107364209069195,-0.126092746382126
"b_tt",0.00726532832436454,-0.0043715030504409,0.0149635303429561,-0.00720061917019569,-0.00180475818441938,0.00132204615095704,-0.000901642271614943,-0.00465674334780126,0.00166253048282162,-0.00194901497714469,-0.00224103585128847,-0.00309427091168857,0.00145584698860867
"b_dt",0.0109895192994314,0.0226002263849581,-0.00720061917019569,0.0724924291419835,0.0151307084861533,-0.00793446833195044,0.00102492226042505,-0.0096810975769858,0.00251707915240887,-0.00964711132976656,-0.0150492233172244,-0.00192121030472338,0.0020588117828625
"b_Sem",0.00538477558417241,0.0012063618693405,-0.00180475818441938,0.0151307084861533,0.0381049938745001,-0.00563065918093213,0.0123059664691248,-0.00124832142541799,-6.81582421609658e-05,-0.00223442525239113,-0.00841111386907104,-0.00133089805511611,-0.00175615310874924
"b_ACC_1",-0.00302999480446376,0.0036834347632487,0.00132204615095704,-0.00793446833195044,-0.00563065918093213,0.130338215430511,0.0447853934625801,-0.00529798680816382,-0.00266240252719231,-0.0037294345912541,0.00779886207696277,-0.00862232511723499,-0.000516468403942346
"b_ACC_2",-0.00434345155442465,-0.00688009776015814,-0.000901642271614943,0.00102492226042505,0.0123059664691248,0.0447853934625801,1.53943397655883,-0.00513732995869428,0.0225586678263539,0.0165605032484306,-0.0148426141493321,0.00585492093367387,0.00880787570060779
"b_SI_CAMFD",-0.00812561697988019,-0.0121204265304004,-0.00465674334780126,-0.0096810975769858,-0.00124832142541799,-0.00529798680816382,-0.00513732995869428,0.108741411063901,-0.00677436907802137,0.011304874428564,0.0160949397341075,0.0107326955069677,0.00596678155865514
"b_SI_PANEL",-0.000700420753424484,-0.000587833477405308,0.00166253048282162,0.00251707915240887,-6.81582421609658e-05,-0.00266240252719231,0.0225586678263539,-0.00677436907802137,0.0621102704022712,4.01468596781731e-05,-0.00594600208455849,0.00764202021938852,0.00160074863029826
"b_SI_ZER",-0.00405590281808178,-0.00875858529065819,-0.00194901497714469,-0.00964711132976656,-0.00223442525239113,-0.0037294345912541,0.0165605032484306,0.011304874428564,4.01468596781731e-05,0.0845673174293411,-0.000870898988910995,0.000835605583867953,0.00903346316236718
"b_Si_MTRP",-0.00964476185314487,-0.0126176892937537,-0.00224103585128847,-0.0150492233172244,-0.00841111386907104,0.00779886207696277,-0.0148426141493321,0.0160949397341075,-0.00594600208455849,-0.000870898988910995,0.145655554622871,0.000432576530478047,-0.00250072057470306
"b_No_Info",-0.00161351103554992,-0.107364209069195,-0.00309427091168857,-0.00192121030472338,-0.00133089805511611,-0.00862232511723499,0.00585492093367387,0.0107326955069677,0.00764202021938852,0.000835605583867953,0.000432576530478047,0.130513988264613,0.00796705569327212
"b_UsoCel_F",0.00127365686077539,-0.126092746382126,0.00145584698860867,0.0020588117828625,-0.00175615310874924,-0.000516468403942346,0.00880787570060779,0.00596678155865514,0.00160074863029826,0.00903346316236718,-0.00250072057470306,0.00796705569327212,0.147224302087874
