"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.16387660715186,0.219418126308669,5.30437765891121,1.13058035822178e-07,0.23390067223668,4.975943831295,6.49304749522628e-07
"asc_ruta2",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",0.822619820904245,0.488080664085364,1.68541776274991,0.0919079989638432,0.495636598422044,1.6597237240414,0.0969700444702177
"b_tt",0.483979250177583,0.122325509780078,3.95648668088692,7.60601269562677e-05,0.129614258704638,3.73399697698741,0.000188464756473383
"b_dt",-0.153335856372449,0.269244181259286,-0.569504810300002,0.569013607217066,0.259776949492636,-0.59025966958164,0.555016573501347
"b_Sem",0.452940794361237,0.195205004737328,2.32033392264058,0.0203228203873955,0.165361847583414,2.73908885864836,0.0061609719307727
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.485025246164711,0.36102384329918,-1.34347150518469,0.17911934675832,0.353204845890398,-1.37321232086158,0.169686350509767
"b_ACC_2",-2.21759719422569,1.24073928629621,-1.78731923677983,0.0738859066105046,0.827454781263368,-2.68002221322577,0.00736172747801978
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.455858994890954,0.329759626188381,-1.38239783978447,0.166849579038288,0.335178184055425,-1.36004971855678,0.173814191009641
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.498947689296401,0.249219321887913,-2.00204256041112,0.0452801543212571,0.222473562727024,-2.24272800408474,0.0249143596311805
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.0297063836073215,0.290804603521576,0.102152384273096,0.918635721809737,0.263620115591289,0.11268633101344,0.910279238489802
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.244210148285553,0.381648469960081,0.63988242455445,0.522249040942621,0.392382093435632,0.622378422387448,0.533693065379847
"b_No_Info",-0.440681766180501,0.361267197880755,-1.2198222500288,0.222532264783752,0.369809713701516,-1.19164464818841,0.233400610318568
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.0816675121186648,0.383698191405529,0.212843098945834,0.831449345775523,0.378262068253877,0.215901934062953,0.829064189490967
