"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0547095244727706,0.0378073154633506,0.0102659022682118,0.0171517146018534,0.0043485372453577,-0.0103448179696628,0.00803806588993606,-0.0144628632504987,0.0037156007556058,3.36770747476692e-05,-0.0208145809322739,-0.00672147038971393,0.004519886869063
"asc_ruta4",0.0378073154633507,0.245655637695375,-0.00298814314670992,0.0364801852021978,-0.00505367056611229,0.00550346111025128,-0.00923519406955411,-0.0190351840111315,0.00549641866728327,-0.0111799619290386,-0.0368113675964988,-0.118681907030664,-0.108403382841522
"b_tt",0.0102659022682118,-0.00298814314670989,0.0167998560595529,-0.00695789207618407,-0.00259269329560359,0.00271005127131623,0.00390462433253259,-0.0147008772008062,0.00101710984264517,-0.00174283723258568,-0.0024446026947285,0.00223768516402449,-0.00650187934044296
"b_dt",0.0171517146018535,0.0364801852021978,-0.00695789207618408,0.0674840634876994,0.0111415287024533,-0.0169447801316411,0.0163328886311305,0.00154170249474867,0.00677103245711271,-0.00506358260679516,-0.0282329650712482,-0.0104895804752192,0.00918699669653907
"b_Sem",0.0043485372453577,-0.00505367056611229,-0.00259269329560359,0.0111415287024533,0.0273445406362003,-0.0075367525612804,-0.000142781876292657,0.00214170339373328,0.000861929793822212,0.00276119439776668,-0.00146089564546099,0.000469415445933165,0.0046345399400099
"b_ACC_1",-0.0103448179696628,0.00550346111025124,0.00271005127131623,-0.0169447801316411,-0.00753675256128041,0.12475366316046,0.0115077662021615,-0.0211811695476189,-0.00209671536496413,-0.0174608073285959,0.0223491625189724,-0.0200391395518776,-0.00976092220986599
"b_ACC_2",0.00803806588993606,-0.00923519406955403,0.00390462433253259,0.0163328886311305,-0.000142781876292654,0.0115077662021615,0.684681415035608,-0.00871812720382055,0.0106166678074996,0.0266715461237064,-0.0225078391215403,0.0154089081901534,0.0283459663633576
"b_SI_CAMFD",-0.0144628632504987,-0.0190351840111315,-0.0147008772008062,0.00154170249474867,0.00214170339373328,-0.021181169547619,-0.00871812720382054,0.112344415066692,-0.0038128081434112,0.0105418120893078,0.0175694507761015,0.0132911394675415,0.0245477777059458
"b_SI_PANEL",0.0037156007556058,0.0054964186672833,0.00101710984264517,0.00677103245711271,0.000861929793822212,-0.00209671536496413,0.0106166678074996,-0.00381280814341119,0.0494944861124551,-0.008464505242321,-0.00466148240440915,0.00597790656549767,0.00147608240114895
"b_SI_ZER",3.36770747476658e-05,-0.0111799619290386,-0.00174283723258568,-0.00506358260679516,0.00276119439776668,-0.0174608073285959,0.0266715461237064,0.0105418120893078,-0.008464505242321,0.0694955653443648,-2.67783210283308e-05,0.00158129306865436,0.0174264051991059
"b_Si_MTRP",-0.0208145809322739,-0.0368113675964987,-0.0024446026947285,-0.0282329650712482,-0.00146089564546099,0.0223491625189724,-0.0225078391215403,0.0175694507761015,-0.00466148240440914,-2.67783210283334e-05,0.153963707248929,0.00129779044480154,0.00612055494181008
"b_No_Info",-0.00672147038971387,-0.118681907030664,0.00223768516402448,-0.0104895804752191,0.000469415445933162,-0.0200391395518776,0.0154089081901534,0.0132911394675415,0.00597790656549767,0.00158129306865434,0.00129779044480153,0.136759224347997,0.00351342887322136
"b_UsoCel_F",0.00451988686906292,-0.108403382841522,-0.00650187934044294,0.00918699669653903,0.00463453994000989,-0.009760922209866,0.0283459663633576,0.0245477777059457,0.00147608240114896,0.0174264051991059,0.00612055494181012,0.00351342887322161,0.143082192279701
