"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.284372462905313,0.267471193994293,0.189479106820858,0.126048259422061,-0.0381917856981806,-0.0156197409182839,-0.112155614913646,-0.0123729512680779,-0.0635030193636146,-0.114877219351103,-0.0203137672836117,0.0149894367422429
"asc_ruta4",0.284372462905313,1,-0.0734650487765279,0.171957898248153,0.0128635615799802,0.0209388101203552,-0.0112858094326202,-0.0751828011044572,-0.00481739009392417,-0.0615343668384969,-0.0678010037976121,-0.608673999349665,-0.673224047235962
"b_tt",0.267471193994293,-0.0734650487765279,1,-0.210919474366835,-0.0759740217075137,0.0307481951325795,-0.00568660971264989,-0.11614826824519,0.0558869399739711,-0.054912033315898,-0.0473380119883167,-0.0705369648122219,0.0306117913300108
"b_dt",0.189479106820858,0.171957898248153,-0.210919474366835,1,0.287805808252446,-0.0816385433173566,0.00317768426047314,-0.109964963912694,0.0376374671718237,-0.123865914027041,-0.147026401493381,-0.0202091948324492,0.0202096090997455
"b_Sem",0.126048259422061,0.0128635615799802,-0.0759740217075137,0.287805808252446,1,-0.0799906327647427,0.0507876100399292,-0.0192158187356633,-0.00156349340541665,-0.0391830742333423,-0.112958930334046,-0.018899402071946,-0.0236098068106014
"b_ACC_1",-0.0381917856981806,0.0209388101203552,0.0307481951325795,-0.0816385433173566,-0.0799906327647427,1,0.09986949492806,-0.044677948303037,-0.029431207860912,-0.035845740086289,0.0564257242794304,-0.0664791476954943,-0.00360053426196492
"b_ACC_2",-0.0156197409182839,-0.0112858094326202,-0.00568660971264989,0.00317768426047314,0.0507876100399292,0.09986949492806,1,-0.0126307610723137,0.0728332251910876,0.0457384312125563,-0.0315301885356802,0.013066662362654,0.0186000337217757
"b_SI_CAMFD",-0.112155614913646,-0.0751828011044572,-0.11614826824519,-0.109964963912694,-0.0192158187356633,-0.044677948303037,-0.0126307610723137,1,-0.0826198068877267,0.118180791619743,0.127728096982504,0.0901088188485262,0.0470722544644651
"b_SI_PANEL",-0.0123729512680779,-0.00481739009392417,0.0558869399739711,0.0376374671718237,-0.00156349340541665,-0.029431207860912,0.0728332251910876,-0.0826198068877267,1,0.000210484339653271,-0.0625110140387649,0.0846308418430251,0.0168543549776625
"b_SI_ZER",-0.0635030193636146,-0.0615343668384969,-0.054912033315898,-0.123865914027041,-0.0391830742333423,-0.035845740086289,0.0457384312125563,0.118180791619743,0.000210484339653271,1,-0.00783309090817138,0.00782670145805333,0.080861000197891
"b_Si_MTRP",-0.114877219351103,-0.0678010037976121,-0.0473380119883167,-0.147026401493381,-0.112958930334046,0.0564257242794304,-0.0315301885356802,0.127728096982504,-0.0625110140387649,-0.00783309090817138,1,0.00318842892201922,-0.0170073342945247
"b_No_Info",-0.0203137672836117,-0.608673999349665,-0.0705369648122219,-0.0202091948324492,-0.018899402071946,-0.0664791476954943,0.013066662362654,0.0901088188485262,0.0846308418430251,0.00782670145805333,0.00318842892201922,1,0.0573299592396532
"b_UsoCel_F",0.0149894367422429,-0.673224047235962,0.0306117913300108,0.0202096090997455,-0.0236098068106014,-0.00360053426196492,0.0186000337217757,0.0470722544644651,0.0168543549776625,0.080861000197891,-0.0170073342945247,0.0573299592396532,1
