"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0480394755405325,0.0304164683413436,0.00630297051569707,0.0111616413620805,0.00539378938773547,-0.00302194967934883,-0.0042437627011017,-0.0081071642103525,-0.000675884926149661,-0.00404666359328595,-0.00961197764490813,-0.00160820115285988,0.0012604721142819
"asc_ruta4",0.0304164683413436,0.238146518666879,-0.00385453523785986,0.022553391213797,0.00122557911415464,0.00368886066996252,-0.00682704818243525,-0.0121001134172821,-0.000585914523660817,-0.00873058717675741,-0.0126310062737521,-0.107289602581441,-0.126046426797566
"b_tt",0.00630297051569707,-0.00385453523785986,0.0115594790145439,-0.00609471521264528,-0.00159474867413022,0.00119345732341731,-0.000757880424275255,-0.00411842052426849,0.00149754468811772,-0.00171648595475639,-0.00194293760649517,-0.00273928151065889,0.00126271888105051
"b_dt",0.0111616413620805,0.022553391213797,-0.00609471521264528,0.072232926867818,0.015101676521396,-0.00792101778084376,0.00105865995544176,-0.00974699543395434,0.00252108986030981,-0.00967883344442351,-0.0150849072023541,-0.00196185716432177,0.00208388773918591
"b_Sem",0.00539378938773547,0.00122557911415464,-0.00159474867413022,0.015101676521396,0.0381167624515869,-0.00563787275691201,0.012291189536001,-0.0012372735143799,-7.60771765340266e-05,-0.00222412969287907,-0.00841895682928832,-0.0013327749910392,-0.00176847626698926
"b_ACC_1",-0.00302194967934883,0.00368886066996252,0.00119345732341731,-0.00792101778084376,-0.00563787275691201,0.130327561566004,0.044691931557652,-0.00531936971405971,-0.00264805225168097,-0.00376235078362062,0.0077763354356423,-0.00866870742142709,-0.000498693700776584
"b_ACC_2",-0.0042437627011017,-0.00682704818243525,-0.000757880424275255,0.00105865995544176,0.012291189536001,0.044691931557652,1.53658388188715,-0.00516364618757151,0.0225013206232285,0.0164840149464623,-0.0149205355885037,0.00585050794508943,0.00884587234905199
"b_SI_CAMFD",-0.0081071642103525,-0.0121001134172821,-0.00411842052426849,-0.00974699543395434,-0.0012372735143799,-0.00531936971405971,-0.00516364618757151,0.108767122807228,-0.00679099366493923,0.0113318107612601,0.0160810710392943,0.0107341308413719,0.00595610874914251
"b_SI_PANEL",-0.000675884926149661,-0.000585914523660817,0.00149754468811772,0.00252108986030981,-7.60771765340266e-05,-0.00264805225168097,0.0225013206232285,-0.00679099366493923,0.0621155963653289,1.52518918543699e-05,-0.00594752918962269,0.0076186804451157,0.00161161487003058
"b_SI_ZER",-0.00404666359328595,-0.00873058717675741,-0.00171648595475639,-0.00967883344442351,-0.00222412969287907,-0.00376235078362062,0.0164840149464623,0.0113318107612601,1.52518918543699e-05,0.0845292852483084,-0.000869393670021471,0.000821926786567469,0.0090196878324736
"b_Si_MTRP",-0.00961197764490813,-0.0126310062737521,-0.00194293760649517,-0.0150849072023541,-0.00841895682928832,0.0077763354356423,-0.0149205355885037,0.0160810710392943,-0.00594752918962269,-0.000869393670021471,0.14573350736489,0.000439650140294854,-0.00249094854529992
"b_No_Info",-0.00160820115285988,-0.107289602581441,-0.00273928151065889,-0.00196185716432177,-0.0013327749910392,-0.00866870742142709,0.00585050794508943,0.0107341308413719,0.0076186804451157,0.000821926786567469,0.000439650140294854,0.130467258030104,0.00794476764588176
"b_UsoCel_F",0.0012604721142819,-0.126046426797566,0.00126271888105051,0.00208388773918591,-0.00176847626698926,-0.000498693700776584,0.00884587234905199,0.00595610874914251,0.00161161487003058,0.0090196878324736,-0.00249094854529992,0.00794476764588176,0.147196539264458
