"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0545611394071428,0.0378420737937508,0.00892576809103165,0.0174104316664962,0.00434833496762493,-0.0103328118694423,0.00811552613246271,-0.0143554006664887,0.00375731762051701,2.03815774616112e-05,-0.0207599171057904,-0.00671390493498262,0.00452417497656923
"asc_ruta4",0.0378420737937508,0.245688035944901,-0.00258593564421196,0.0364260296699474,-0.005029818940763,0.00548843457680709,-0.00913458035968285,-0.0190386974418879,0.00548855408691649,-0.0112098173552188,-0.0367565716530307,-0.118560838262338,-0.10854907017263
"b_tt",0.00892576809103165,-0.00258593564421195,0.0129980288363999,-0.00584879344788081,-0.0023320601430501,0.00245448529029173,0.00338269263532701,-0.0129478951169231,0.000940348867558195,-0.00159253135213717,-0.00210844617283349,0.00199897791067543,-0.00580010539184779
"b_dt",0.0174104316664962,0.0364260296699474,-0.00584879344788081,0.0672253700055992,0.0110936865652291,-0.0169270424473679,0.0165899790118796,0.00128228577889515,0.00677189991746687,-0.00503647530816276,-0.0282869737695474,-0.0104349146672617,0.00912758174662807
"b_Sem",0.00434833496762493,-0.005029818940763,-0.0023320601430501,0.0110936865652291,0.0274008959562009,-0.00755435450491464,-0.000153148185177306,0.00220326586715776,0.000848770779204385,0.00279078351142981,-0.00148629632401934,0.000444252700894212,0.00465729614575102
"b_ACC_1",-0.0103328118694423,0.00548843457680713,0.00245448529029173,-0.0169270424473679,-0.00755435450491463,0.124499958799256,0.0112463146114003,-0.0212185452879898,-0.00204183292038663,-0.0175179608762112,0.0223089276533665,-0.0200850005730646,-0.00973592647682659
"b_ACC_2",0.00811552613246271,-0.0091345803596828,0.00338269263532701,0.0165899790118796,-0.000153148185177307,0.0112463146114003,0.68442815218565,-0.00873684543242866,0.0105899003862693,0.0266746926397295,-0.0226744766369251,0.0154609220819719,0.0284305206909922
"b_SI_CAMFD",-0.0143554006664887,-0.0190386974418879,-0.0129478951169231,0.00128228577889515,0.00220326586715776,-0.0212185452879898,-0.00873684543242866,0.112286425177807,-0.00389944566424353,0.0105906005078325,0.017496842135762,0.0132630512546092,0.0245930952137391
"b_SI_PANEL",0.00375731762051701,0.0054885540869165,0.000940348867558195,0.00677189991746687,0.000848770779204385,-0.00204183292038663,0.0105899003862693,-0.00389944566424354,0.0495857817067613,-0.0085167159331222,-0.00460704768618662,0.00595667719503746,0.00151014270845787
"b_SI_ZER",2.03815774616109e-05,-0.0112098173552188,-0.00159253135213717,-0.00503647530816276,0.00279078351142982,-0.0175179608762112,0.0266746926397295,0.0105906005078325,-0.0085167159331222,0.0695287991393713,-7.18149456560395e-05,0.00161017360161778,0.0174587478422583
"b_Si_MTRP",-0.0207599171057904,-0.0367565716530307,-0.00210844617283349,-0.0282869737695474,-0.00148629632401934,0.0223089276533665,-0.0226744766369251,0.017496842135762,-0.00460704768618662,-7.18149456560352e-05,0.154233921835854,0.00115740902389137,0.00617101489534277
"b_No_Info",-0.00671390493498257,-0.118560838262338,0.00199897791067541,-0.0104349146672617,0.00044425270089422,-0.0200850005730646,0.0154609220819719,0.0132630512546092,0.00595667719503746,0.00161017360161778,0.00115740902389138,0.136626063614668,0.00349858205362653
"b_UsoCel_F",0.00452417497656926,-0.108549070172631,-0.00580010539184779,0.00912758174662804,0.00465729614575102,-0.0097359264768266,0.0284305206909922,0.0245930952137391,0.00151014270845789,0.0174587478422584,0.00617101489534275,0.00349858205362687,0.143306097023309
