"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.151507875612319,0.124502938797771,0.136519734950608,0.00747176796886416,0.0519084491336715,0.0162308909191674,-0.00964724051958358,0.00135779571538337,-0.00621356738048262,0.00224212106529225,-0.00755444371127704,-0.00573638372263924,-0.00260129389668796,0.00264046784856288
"asc_ruta2",0.124502938797771,0.143210406325678,0.125840110898387,0.00218780121930715,0.0436304860299496,0.0119614014476796,-0.0045043015307801,0.00857493508539727,-0.00172472229527885,0.00280836691114211,-0.00502238426926994,0.00159127449837284,-0.00179167960325666,0.00164807878197141
"asc_ruta4",0.136519734950608,0.125840110898387,0.332582240492638,-0.00264647716677926,0.0615174515925849,0.0144836685959514,-0.00322292796151528,0.00366626009270921,-0.0135113153364049,0.00167829679902799,-0.0110028519746265,-0.00910945032939804,-0.103449848068453,-0.114861970122192
"b_tt",0.00747176796886416,0.00218780121930715,-0.00264647716677926,0.0114457923129415,-0.0042072493383483,-0.00134278417312105,-0.000552916122765115,0.0041717839287151,-0.00311639587897204,0.00103160362910381,-0.00201871026988356,-0.00236122200674655,-0.00243119345055062,0.0024807252736976
"b_dt",0.0519084491336715,0.0436304860299496,0.0615174515925849,-0.0042072493383483,0.0516014777678208,0.00992305359076738,-0.00543753557624222,-0.00507917301332381,-0.00398787683485367,0.00178478119248077,-0.00565085837730662,-0.00823005718722761,-0.000820915374291911,-0.000125116336018376
"b_Sem",0.0162308909191674,0.0119614014476796,0.0144836685959514,-0.00134278417312105,0.00992305359076738,0.0302474425169182,-0.00380896194337445,0.00314407222476166,-0.00144088114405194,-0.00136235665871759,-0.00258446842852048,-0.00724856450616865,-0.00287417788090969,-0.00229803502402454
"b_ACC_1",-0.00964724051958358,-0.0045043015307801,-0.00322292796151528,-0.000552916122765115,-0.00543753557624222,-0.00380896194337445,0.109045562406042,0.0448374814789364,-0.00369029663510744,-0.00214334062665627,-0.00168220950091243,0.00445387309568661,-0.00486374773157926,-0.000729569396305909
"b_ACC_2",0.00135779571538337,0.00857493508539727,0.00366626009270921,0.0041717839287151,-0.00507917301332381,0.00314407222476166,0.0448374814789364,1.34931608548684,-0.00580938059761799,0.0124914489714491,0.00020849789246675,-0.0130082957514929,-0.00336259286345192,0.00530978149865238
"b_SI_CAMFD",-0.00621356738048262,-0.00172472229527885,-0.0135113153364049,-0.00311639587897204,-0.00398787683485367,-0.00144088114405194,-0.00369029663510744,-0.00580938059761799,0.0884743722061753,-0.00525553215994053,0.00906737113648194,0.0109194214731288,0.00850725671125603,0.00883714213294469
"b_SI_PANEL",0.00224212106529225,0.00280836691114211,0.00167829679902799,0.00103160362910381,0.00178478119248077,-0.00136235665871759,-0.00214334062665627,0.0124914489714491,-0.00525553215994053,0.0491675993682707,-0.000186282336169905,-0.00530894669366584,0.0070152472907762,0.00151845990955107
"b_SI_ZER",-0.00755444371127704,-0.00502238426926994,-0.0110028519746265,-0.00201871026988356,-0.00565085837730662,-0.00258446842852048,-0.00168220950091243,0.00020849789246675,0.00906737113648194,-0.000186282336169905,0.0702008638833664,-0.00216986946377075,0.00110293447389986,0.00805216421213644
"b_Si_MTRP",-0.00573638372263924,0.00159127449837284,-0.00910945032939804,-0.00236122200674655,-0.00823005718722761,-0.00724856450616865,0.00445387309568661,-0.0130082957514929,0.0109194214731288,-0.00530894669366584,-0.00216986946377075,0.119036393911489,-0.00109949807601107,0.00126216997963012
"b_No_Info",-0.00260129389668796,-0.00179167960325666,-0.103449848068453,-0.00243119345055062,-0.000820915374291911,-0.00287417788090969,-0.00486374773157926,-0.00336259286345192,0.00850725671125603,0.0070152472907762,0.00110293447389986,-0.00109949807601107,0.122713871261493,0.00819456299753245
"b_UsoCel_F",0.00264046784856288,0.00164807878197141,-0.114861970122192,0.0024807252736976,-0.000125116336018376,-0.00229803502402454,-0.000729569396305909,0.00530978149865238,0.00883714213294469,0.00151845990955107,0.00805216421213644,0.00126216997963012,0.00819456299753245,0.134292735826974
