"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.98244931031426,0.389240125902146,5.09312678316378,3.52206001030808e-07,0.419210440264353,4.7290074862261,2.25620065452681e-06
"asc_ruta2",0.893901444436648,0.378431508103749,2.36212214177362,0.0181706543984725,0.389191900346501,2.29681410029551,0.0216293768487483
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.78793258854764,0.576699436875603,3.10028495646564,0.00193334544612123,0.589763608775907,3.03160887166065,0.00243254179617947
"b_tt",0.339447818467406,0.106985009758103,3.17285402165134,0.00150948400743611,0.109966164418093,3.08683875866417,0.00202297296274678
"b_dt",-0.220706491171088,0.227159586563765,-0.971592238345326,0.331253445388848,0.211713181977025,-1.04247873991634,0.297189777206797
"b_Sem",0.43796928805451,0.173917918906932,2.51825281033221,0.0117938634838646,0.14649269196893,2.98970059303299,0.00279251023302041
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.555561263130428,0.330220475449422,-1.6823949586237,0.0924922783261595,0.323781334494746,-1.71585327485715,0.0861889005253866
"b_ACC_2",-2.54865980967777,1.16160065663155,-2.19409294849098,0.0282287281082134,0.767351728440728,-3.3213710417473,0.000895763666545202
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.468324610619383,0.297446419050852,-1.57448394273429,0.115375610884293,0.30241314213369,-1.54862519305575,0.121471846148811
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.419348796223521,0.221737681435228,-1.89119320410147,0.0585985582050075,0.198841001364846,-2.10896542134222,0.0349475664583807
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0571616476870229,0.264954456243647,-0.215741408910134,0.829189321567916,0.259848196863262,-0.219980928777053,0.825886007546531
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.162976541048416,0.345016512520038,0.472373162252489,0.636660457061668,0.334391400607033,0.487382572496058,0.625987241417291
"b_No_Info",-0.477214265995316,0.350305397134404,-1.36228065539116,0.173109330184327,0.362732593688866,-1.31560900315632,0.188305310191573
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.07240689648838,0.36645973288613,0.197584864012546,0.843369878105223,0.361671148242119,0.200200919648441,0.841323447958788
