"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.851266337196027,0.618885014136114,0.398181072521167,0.557179307163067,0.150848793812522,-0.10572184986929,0.0941475724920013,-0.0254245533451124,-0.026326605221214,0.0220097372336302,-0.0219498418290968,-0.000652563938629477,0.0428554873295273
"asc_ruta2",0.851266337196026,1,0.572929379961082,0.272197144122066,0.443559431829122,0.110413579983546,-0.00359067721230851,0.0904245885732722,0.0208608718421168,-0.0642721149242467,-0.00417685137657959,0.0824481644856485,0.0338254178385265,0.00649771350350804
"asc_ruta4",0.618885014136112,0.57292937996108,1,0.0780537518887201,0.528059054209407,0.0570551571086145,-0.0617896802632874,0.0331660788215746,-0.0754657739648424,0.0277984297869104,-0.0448690045078523,-0.071558269543419,-0.513084330311942,-0.476270997802704
"b_tt",0.398181072521167,0.272197144122066,0.0780537518887196,1,-0.11917488247625,-0.169297258408122,0.0238853953297935,0.159534892638561,-0.235216407549462,0.000899527777980654,0.0309760929913038,-0.0799895171584036,0.062874330064066,-0.00132067631380711
"b_dt",0.557179307163066,0.443559431829121,0.528059054209408,-0.119174882476249,1,0.200108140623672,-0.198288005516987,0.0205605458419375,0.0422552567760436,0.0972742037914542,-0.0686072737610139,-0.14563343113208,-0.0720493770026767,0.0255382325904609
"b_Sem",0.150848793812521,0.110413579983546,0.0570551571086151,-0.169297258408122,0.200108140623672,1,-0.0135869272426553,-0.0791336429713611,0.0541671938622651,-0.0833752403608003,-0.0118330186246846,-0.0367274140453976,-0.0692096038832187,0.070823297282635
"b_ACC_1",-0.10572184986929,-0.00359067721230856,-0.0617896802632871,0.0238853953297935,-0.198288005516987,-0.0135869272426553,1,0.120985956433724,-0.177012806498783,-0.0859908374361237,-0.0659047795646158,0.0767245761713818,-0.0950869842581805,0.014686690491311
"b_ACC_2",0.0941475724920014,0.0904245885732723,0.0331660788215747,0.159534892638561,0.0205605458419375,-0.0791336429713611,0.120985956433724,1,-0.0420543014566136,-0.0137829143095595,0.0715824059123929,-0.0788704012549168,0.0086762225921745,0.0961867385177151
"b_SI_CAMFD",-0.0254245533451124,0.0208608718421169,-0.0754657739648427,-0.235216407549462,0.0422552567760436,0.054167193862265,-0.177012806498783,-0.0420543014566136,1,-0.0620784619771177,0.0986661190321531,0.135944855522943,0.0661070287802945,0.21558343895589
"b_SI_PANEL",-0.026326605221214,-0.0642721149242467,0.0277984297869101,0.000899527777980637,0.0972742037914543,-0.0833752403608003,-0.0859908374361237,-0.0137829143095595,-0.0620784619771177,1,-0.152699020039824,-0.0746101398468436,0.0704327770355288,-0.0447548032937845
"b_SI_ZER",0.0220097372336305,-0.00417685137657952,-0.0448690045078526,0.0309760929913038,-0.0686072737610139,-0.0118330186246846,-0.0659047795646158,0.0715824059123929,0.0986661190321532,-0.152699020039823,1,-0.0672695283557775,-0.016479608834337,0.179666143801136
"b_Si_MTRP",-0.0219498418290967,0.0824481644856485,-0.071558269543419,-0.0799895171584036,-0.14563343113208,-0.0367274140453976,0.0767245761713817,-0.0788704012549168,0.135944855522943,-0.0746101398468436,-0.0672695283557775,1,-0.00343883662725906,0.0600926853356415
"b_No_Info",-0.000652563938629276,0.0338254178385275,-0.513084330311946,0.0628743300640661,-0.0720493770026765,-0.0692096038832189,-0.0950869842581805,0.00867622259217452,0.0661070287802947,0.0704327770355289,-0.0164796088343369,-0.00343883662725903,1,0.0219790651213044
"b_UsoCel_F",0.0428554873295281,0.00649771350350873,-0.476270997802706,-0.00132067631380705,0.0255382325904607,0.070823297282635,0.014686690491311,0.0961867385177151,0.21558343895589,-0.0447548032937845,0.179666143801136,0.0600926853356415,0.0219790651213032,1
