"","asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.222201162033234,-0.0416450158879638,-0.248980505091352,0.256992046764904,0.102701502510301,-0.0462789269645176,-0.0112889728251586,-0.0476306668274994,-0.0160684458739236,-0.0535075215832625,-0.0813560825275544,-0.00853910520459754,0.02017354946654
"asc_ruta4",0.222201162033234,1,0.0139756190611326,0.00743756962016736,0.0811425691780203,0.00131633350538955,0.0605087143145908,-0.017085124830844,0.524307143429211,-0.0346365152258381,-0.067995135318844,-0.0789291401694065,-0.550604070785013,-0.589332053519275
"b_gain",-0.0416450158879638,0.0139756190611326,1,-0.336043635940731,-0.0998818146777658,0.204814896725986,0.0400617586054267,0.0283906901494057,-0.0220480658947839,-0.0628971894883231,-0.0567911288975692,0.0480771938668933,-0.0581587366093111,0.0214921841464038
"b_loss",-0.248980505091352,0.00743756962016736,-0.336043635940731,1,0.012476800506848,0.032260373316069,-0.0530718116861272,-0.00191877727302844,-0.0206657065753181,-0.00634856078837346,0.0753837813017189,-0.0329802077497854,0.0705493559525418,-0.0316611686723745
"b_dt",0.256992046764904,0.0811425691780203,-0.0998818146777658,0.012476800506848,1,0.251920713799735,-0.0875675968179967,0.00397123865533761,-0.0941052299534338,0.0515854771101652,-0.121172034350992,-0.155060161882542,-0.0230617100481534,0.0330203462058311
"b_Sem",0.102701502510301,0.00131633350538955,0.204814896725986,0.032260373316069,0.251920713799735,1,-0.0723179765371671,0.0631305216174288,-0.0414903816462167,-0.0183015500188129,-0.0617046461726727,-0.107975362503787,-0.0450997360044873,-0.0202353727621302
"b_ACC_1",-0.0462789269645176,0.0605087143145908,0.0400617586054267,-0.0530718116861272,-0.0875675968179967,-0.0723179765371671,1,0.0982066581277189,0.0854623417373168,-0.0382428046511214,-0.0368960038522448,0.0641125690471123,-0.070883936651284,-0.00270244346039247
"b_ACC_2",-0.0112889728251586,-0.017085124830844,0.0283906901494057,-0.00191877727302844,0.00397123865533761,0.0631305216174288,0.0982066581277189,1,-0.0229147961471053,0.0677192132801528,0.0275466021804548,-0.0307789100971566,0.00832395970481204,0.0161773858728671
"b_SI_CAMFD",-0.0476306668274994,0.524307143429211,-0.0220480658947839,-0.0206657065753181,-0.0941052299534338,-0.0414903816462167,0.0854623417373168,-0.0229147961471053,1,-0.0609430725227195,-0.0320212746275296,-0.0448894464512393,-0.0534490140525537,-0.0440827276834834
"b_SI_PANEL",-0.0160684458739236,-0.0346365152258381,-0.0628971894883231,-0.00634856078837346,0.0515854771101652,-0.0183015500188129,-0.0382428046511214,0.0677192132801528,-0.0609430725227195,1,0.0127139895764196,-0.0472095622676332,0.0905388561448918,0.0221621845086593
"b_SI_ZER",-0.0535075215832625,-0.067995135318844,-0.0567911288975692,0.0753837813017189,-0.121172034350992,-0.0617046461726727,-0.0368960038522448,0.0275466021804548,-0.0320212746275296,0.0127139895764196,1,-0.0251744747170585,0.00978394880254483,0.0773620315952368
"b_Si_MTRP",-0.0813560825275544,-0.0789291401694065,0.0480771938668933,-0.0329802077497854,-0.155060161882542,-0.107975362503787,0.0641125690471123,-0.0307789100971566,-0.0448894464512393,-0.0472095622676332,-0.0251744747170585,1,-0.00627366016671556,-0.0147511489223215
"b_No_Info",-0.00853910520459754,-0.550604070785013,-0.0581587366093111,0.0705493559525418,-0.0230617100481534,-0.0450997360044873,-0.070883936651284,0.00832395970481204,-0.0534490140525537,0.0905388561448918,0.00978394880254483,-0.00627366016671556,1,0.0506098582698094
"b_UsoCel_F",0.02017354946654,-0.589332053519275,0.0214921841464038,-0.0316611686723745,0.0330203462058311,-0.0202353727621302,-0.00270244346039247,0.0161773858728671,-0.0440827276834834,0.0221621845086593,0.0773620315952368,-0.0147511489223215,0.0506098582698094,1
