"","asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0462241295863044,0.0249868031297901,-0.026286161663688,-0.00590729883467702,0.0152914530913709,0.0049756684104312,-0.0043383959711064,-0.000609974883863166,-0.00368802032653809,-0.00074763756669462,-0.00285362866163005,-0.0075410279527319,0.000195907479145932,0.0022006967227734
"asc_ruta4",0.0249868031297901,0.326312698327095,0.0464472090295627,0.0119459767339108,0.0109320934649379,0.00191019871629372,0.0112755656169816,-0.011192160519974,0.0972749635106487,-0.00461721034633407,-0.0093700316641599,-0.018094940903808,-0.11305929381047,-0.128188988314548
"b_gain",-0.026286161663688,0.0464472090295627,1.07946401752204,-0.0428023561293673,-0.0263729716345024,0.0369431920610088,0.000714168916433015,-0.0204085488570125,0.00395945012571117,-0.00655086454779718,-0.0016780165939665,0.010318324615904,-0.0142233782619243,-0.00782549628044488
"b_loss",-0.00590729883467702,0.0119459767339108,-0.0428023561293673,0.047078215309158,0.000921664550520748,0.00121009005453103,-0.00192351990571619,0.00411863955110108,-0.0058720768576059,-0.0016576857039121,0.00399884130400619,-0.00261787069335377,0.00231243066180221,-0.00409448529209203
"b_dt",0.0152914530913709,0.0109320934649379,-0.0263729716345024,0.000921664550520748,0.0691163537965806,0.0147131223958828,-0.00821818893399685,0.00552309895136551,-0.00900038797413463,0.0030499582805811,-0.00945097710774399,-0.0150246574947384,-0.00208475103060476,0.0037723440235395
"b_Sem",0.0049756684104312,0.00191019871629372,0.0369431920610088,0.00121009005453103,0.0147131223958828,0.042622629455643,-0.00587420773985316,0.01490411427916,-0.00279104959546468,-0.000286291914901218,-0.00345151861420951,-0.00933105034027585,-0.00375854603293082,-0.00199116381987369
"b_ACC_1",-0.0043383959711064,0.0112755656169816,0.000714168916433015,-0.00192351990571619,-0.00821818893399685,-0.00587420773985316,0.128642127125893,0.0427513045295406,0.010285849965974,-0.0032983886242047,-0.0038408952659033,0.00765795788461022,-0.00855058889492886,-0.000320289422178508
"b_ACC_2",-0.000609974883863166,-0.011192160519974,-0.0204085488570125,0.00411863955110108,0.00552309895136551,0.01490411427916,0.0427513045295406,1.5558597131385,-0.0106798204029723,0.0214197084207052,0.00879522656619416,-0.0178262591026909,0.00434576561271456,0.00746721527757869
"b_SI_CAMFD",-0.00368802032653809,0.0972749635106487,0.00395945012571117,-0.0058720768576059,-0.00900038797413463,-0.00279104959546468,0.010285849965974,-0.0106798204029723,0.114810125003725,-0.00487860312382274,-0.00332693856830637,-0.00506813071662037,-0.00600507612666796,-0.00406798734805556
"b_SI_PANEL",-0.00074763756669462,-0.00461721034633407,-0.00655086454779718,-0.0016576857039121,0.0030499582805811,-0.000286291914901218,-0.0032983886242047,0.0214197084207052,-0.00487860312382274,0.0616014191322255,0.000856390061031218,-0.0047476474553105,0.00720256169942707,0.0023705881954446
"b_SI_ZER",-0.00285362866163005,-0.0093700316641599,-0.0016780165939665,0.00399884130400619,-0.00945097710774399,-0.00345151861420951,-0.0038408952659033,0.00879522656619416,-0.00332693856830637,0.000856390061031218,0.0835931103839626,-0.00302056578431691,0.000428741016935082,0.00813023064562404
"b_Si_MTRP",-0.0075410279527319,-0.018094940903808,0.010318324615904,-0.00261787069335377,-0.0150246574947384,-0.00933105034027585,0.00765795788461022,-0.0178262591026909,-0.00506813071662037,-0.0047476474553105,-0.00302056578431691,0.145319421057283,5.90578645239714e-05,-0.00172444773444735
"b_No_Info",0.000195907479145932,-0.11305929381047,-0.0142233782619243,0.00231243066180221,-0.00208475103060476,-0.00375854603293082,-0.00855058889492886,0.00434576561271456,-0.00600507612666796,0.00720256169942707,0.000428741016935082,5.90578645239714e-05,0.130040667666117,0.00757129631111344
"b_UsoCel_F",0.0022006967227734,-0.128188988314548,-0.00782549628044488,-0.00409448529209203,0.0037723440235395,-0.00199116381987369,-0.000320289422178508,0.00746721527757869,-0.00406798734805556,0.0023705881954446,0.00813023064562404,-0.00172444773444735,0.00757129631111344,0.14510022472213
