"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.0834262768085,0.214997975772574,5.03923942965192,4.67385483204907e-07,0.226478169709152,4.78380003776904,1.72011811305772e-06
"asc_ruta2",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",0.188879448638286,0.571237864927646,0.33064938484463,0.740909338657363,0.575072591456763,0.328444532819448,0.742575576449016
"b_gain",-2.17533095909912,1.03897257784893,-2.09373279476047,0.0362837898168682,1.09172961598988,-1.99255468317284,0.0463102316444464
"b_loss",-0.538862848603397,0.21697514905896,-2.48352334790639,0.0130089806159428,0.218575338806067,-2.46534147697928,0.0136882729693346
"b_dt",0.137760233252434,0.262899893108728,0.524002621771549,0.60027671634046,0.255237569360145,0.539733369181443,0.589380923879258
"b_Sem",0.412171421402309,0.206452487162647,1.99644686807571,0.0458853036176941,0.185043289654293,2.22743241417913,0.0259183880944704
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.562412417741134,0.358667153675791,-1.56806223256651,0.116866609454483,0.33140367322584,-1.69706150890449,0.0896850323234288
"b_ACC_2",-2.20231825583772,1.24734105726481,-1.76561033007844,0.0774612457603892,0.763221307269584,-2.88555656774899,0.00390722238379571
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.436965520626198,0.338836428094331,-1.2896060883529,0.197187460744999,0.343693272969634,-1.27138223233367,0.203592700437775
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.517142576760253,0.248196331826692,-2.08360281940572,0.0371963103475001,0.223715713717448,-2.31160595814652,0.02079940800088
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.0839511229707839,0.289124731532885,0.29036299498037,0.771538550486321,0.262936634320368,0.319282716871228,0.749512137317889
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.398992836799856,0.381207844957686,1.04665431752629,0.295259040206408,0.40371068669158,0.98831378497709,0.322998996307307
"b_No_Info",-0.282125756271838,0.36061151904247,-0.782353700239432,0.434006735761874,0.383203963060098,-0.736228701861292,0.461591527857174
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.158215758562477,0.38092023406762,0.415351415893521,0.677884667210796,0.373961167458974,0.42308071620788,0.67223637134241
