"","asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.225981536263096,-0.102424084746613,-0.155584087314921,0.419848119908058,0.151388637640022,-0.181416243777494,0.06762351954764,-0.0894756009887235,0.0696455639489745,0.0324234499950673,-0.194955966861068,-0.0686368395702592,0.0931489351649274
"asc_ruta4",0.225981536263096,1,0.0912298745599303,0.135311669295605,0.228938214512489,-0.0195819773848683,0.00464743835547834,-0.0707084637861122,0.479085900544355,0.0861586896743463,-0.12288545039374,-0.209038737714507,-0.585592353543625,-0.427999550820545
"b_gain",-0.102424084746613,0.0912298745599298,1,-0.258292730237181,-0.0940739118829425,0.114397035881333,0.0358545748622611,-0.0164464590188249,0.0983212453384056,0.0366254460666175,-0.11729186337735,0.0803931304620353,0.0478286209969595,-0.0248100031985537
"b_loss",-0.155584087314921,0.135311669295604,-0.258292730237181,1,-0.0394290799308916,0.0886495311958327,-0.0158231141470961,-0.0374567967490562,0.0192983437767519,-0.0743349508178935,0.0926175623005002,-0.0782027844155953,-0.162111995115781,0.0868010634567515
"b_dt",0.419848119908058,0.228938214512488,-0.0940739118829425,-0.0394290799308916,1,0.239946264237866,-0.184411390942165,0.110406103350992,-0.0637921418669679,0.114077645573036,-0.0687020061567405,-0.290353494669425,-0.126827576139901,0.0492862846955341
"b_Sem",0.151388637640022,-0.0195819773848686,0.114397035881333,0.0886495311958327,0.239946264237866,1,-0.0990807138536794,0.0278001273385559,-0.0682307480805715,0.0218837270037128,0.00273733900121142,-0.0229210312175556,-0.0666881964509753,0.0648412734654626
"b_ACC_1",-0.181416243777494,0.00464743835547839,0.0358545748622611,-0.0158231141470961,-0.184411390942165,-0.0990807138536793,1,0.0304072095092891,0.0130983770691409,-0.0228351453343794,-0.176150740430567,0.168549058896571,-0.137207356009417,-0.0165847852323997
"b_ACC_2",0.06762351954764,-0.0707084637861121,-0.0164464590188249,-0.0374567967490562,0.110406103350992,0.027800127338556,0.0304072095092891,1,-0.118379099594163,0.0624580711693033,0.100543760885414,-0.0808924357096752,0.0360355655477382,0.0985291963773405
"b_SI_CAMFD",-0.0894756009887241,0.47908590054435,0.0983212453384054,0.0192983437767518,-0.0637921418669678,-0.0682307480805717,0.0130983770691406,-0.118379099594163,1,0.0404895663967681,-0.0582662581817039,-0.102716180797379,-0.0191652428785809,0.0790905664078603
"b_SI_PANEL",0.0696455639489746,0.0861586896743463,0.0366254460666175,-0.0743349508178935,0.114077645573036,0.0218837270037128,-0.0228351453343794,0.0624580711693033,0.0404895663967679,1,-0.155223784020147,-0.0451075813509961,0.027619567058232,0.0214024648755977
"b_SI_ZER",0.0324234499950674,-0.122885450393739,-0.11729186337735,0.0926175623005002,-0.0687020061567405,0.00273733900121141,-0.176150740430567,0.100543760885414,-0.0582662581817038,-0.155223784020147,1,-0.038076453257654,0.0416367767549488,0.177109646699709
"b_Si_MTRP",-0.194955966861068,-0.209038737714506,0.0803931304620353,-0.0782027844155953,-0.290353494669425,-0.0229210312175556,0.168549058896571,-0.0808924357096752,-0.102716180797379,-0.045107581350996,-0.0380764532576539,1,0.0126293809719486,0.00757171279943006
"b_No_Info",-0.0686368395702592,-0.585592353543623,0.0478286209969596,-0.162111995115781,-0.126827576139901,-0.0666881964509754,-0.137207356009416,0.0360355655477383,-0.0191652428785828,0.027619567058232,0.0416367767549491,0.0126293809719485,1,-0.0413745569628971
"b_UsoCel_F",0.0931489351649273,-0.427999550820543,-0.0248100031985538,0.0868010634567515,0.0492862846955337,0.0648412734654629,-0.0165847852323997,0.0985291963773405,0.0790905664078581,0.0214024648755976,0.177109646699709,0.0075717127994301,-0.0413745569628963,1
