"","asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0512923613548075,0.0294321489369226,-0.0253246545693121,-0.00770180792206877,0.0242696302301395,0.0063444352286614,-0.0136163226868073,0.0116889258408719,-0.00696469339940443,0.00352871266239195,0.00193079724248432,-0.0178251471728434,-0.00595680819551073,0.00788915971052899
"asc_ruta4",0.0294321489369227,0.330708485444798,0.057276284643815,0.0170082284773718,0.0336035809909189,-0.00208378330623293,0.000885714235480314,-0.0310344860308914,0.094690648492953,0.011084554537396,-0.0185812203806023,-0.0485310501781608,-0.129047043222011,-0.0920433653666208
"b_gain",-0.0253246545693121,0.0572762846438147,1.1918735544294,-0.0616351468433144,-0.0262137344536223,0.0231101734021109,0.0129723000957972,-0.0137037045059623,0.0368921099579151,0.00894529164309148,-0.0336692992147472,0.0354327025012326,0.0200093482583946,-0.0101290430979521
"b_loss",-0.00770180792206876,0.0170082284773718,-0.0616351468433144,0.0477751787341871,-0.00219969467478124,0.00358551004985605,-0.00114617370032839,-0.00624859361836892,0.00144974703993509,-0.00363488527849133,0.00532286689113974,-0.00690070754981131,-0.013578328233087,0.00709500512014123
"b_dt",0.0242696302301395,0.0336035809909188,-0.0262137344536224,-0.00219969467478124,0.065146216812875,0.0113326619346466,-0.0155987451067944,0.0215074126987559,-0.00559606584873834,0.00651390828272586,-0.00461068145690699,-0.0299186438200386,-0.0124047576675783,0.00470432360200836
"b_Sem",0.0063444352286614,-0.00208378330623296,0.0231101734021109,0.00358551004985605,0.0113326619346465,0.0342410190460825,-0.00607602826227865,0.00392618366768785,-0.00433934824995659,0.000905922651620465,0.000133184297820889,-0.00171229165102771,-0.00472881479128686,0.00448695158272365
"b_ACC_1",-0.0136163226868073,0.000885714235480324,0.0129723000957972,-0.00114617370032839,-0.0155987451067944,-0.00607602826227864,0.10982839462758,0.00769102761179412,0.00149192103814577,-0.00169300245412835,-0.015349452538064,0.0225503816054477,-0.0174246757486204,-0.00205538733719068
"b_ACC_2",0.0116889258408719,-0.0310344860308914,-0.0137037045059623,-0.00624859361836891,0.0215074126987559,0.00392618366768786,0.00769102761179413,0.582506763870294,-0.0310524985752595,0.0106643783461072,0.0201770054821931,-0.0249246256690271,0.0105393013024158,0.0281217235008318
"b_SI_CAMFD",-0.00696469339940448,0.0946906484929522,0.036892109957915,0.00144974703993508,-0.00559606584873833,-0.00433934824995661,0.00149192103814574,-0.0310524985752595,0.118125065884579,0.00311322599199108,-0.00526549567383711,-0.0142521420002085,-0.00252415111254042,0.0101653473846129
"b_SI_PANEL",0.00352871266239196,0.011084554537396,0.00894529164309147,-0.00363488527849133,0.00651390828272586,0.000905922651620464,-0.00169300245412835,0.0106643783461072,0.00311322599199106,0.050048720564107,-0.00913073746559409,-0.00407395546134055,0.00236779090683764,0.0017905513888183
"b_SI_ZER",0.00193079724248432,-0.0185812203806022,-0.0336692992147472,0.00532286689113974,-0.00461068145690699,0.000133184297820888,-0.015349452538064,0.0201770054821931,-0.0052654956738371,-0.00913073746559409,0.0691356736677231,-0.00404182804798647,0.00419525335422435,0.0174148534112956
"b_Si_MTRP",-0.0178251471728434,-0.0485310501781608,0.0354327025012326,-0.00690070754981131,-0.0299186438200386,-0.00171229165102772,0.0225503816054477,-0.0249246256690271,-0.0142521420002086,-0.00407395546134055,-0.00404182804798647,0.162982318548987,0.00195380988210531,0.00114311753117171
"b_No_Info",-0.00595680819551073,-0.129047043222011,0.0200093482583947,-0.013578328233087,-0.0124047576675783,-0.00472881479128688,-0.0174246757486204,0.0105393013024159,-0.00252415111254067,0.00236779090683764,0.00419525335422438,0.00195380988210531,0.146845277304965,-0.00592911474423677
"b_UsoCel_F",0.00788915971052898,-0.0920433653666205,-0.0101290430979521,0.00709500512014123,0.00470432360200832,0.00448695158272367,-0.00205538733719069,0.0281217235008318,0.0101653473846126,0.0017905513888183,0.0174148534112957,0.00114311753117172,-0.00592911474423666,0.139846954767279
