"","asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.205501153014697,-0.133907064962079,-0.147275302143254,0.278709490148488,0.116217672347166,-0.0585051826308621,-0.0167755654534031,-0.058715404775095,-0.0101416665385865,-0.0564766958294743,-0.0920025157153056,0.00246703749839443,0.0316599641917353
"asc_ruta4",0.205501153014697,1,0.010109212320093,0.106147854415028,0.0837292478378001,0.00420548490245979,0.0530937105774887,-0.0105279048961406,0.517805464307422,-0.0359524271570726,-0.0692158122255238,-0.0770788725396094,-0.547300118328034,-0.59634416356525
"b_gain",-0.133907064962079,0.010109212320093,1,-0.103088424937264,-0.16671344695992,0.165605131285995,0.0376578397035325,-0.00457600560046752,0.0486257132972749,-0.0877634105031151,0.0174419485442899,0.0505792598805864,0.0373277907964606,-0.0304097030877755
"b_loss",-0.147275302143254,0.106147854415028,-0.103088424937264,1,0.0109579487291145,0.0100004601864297,-0.0378773301166902,0.0431730521952762,-0.0483293787263854,-0.0135292067729611,0.0641673579916295,-0.04047914842722,0.0300910420428423,-0.0749547316997996
"b_dt",0.278709490148488,0.0837292478378001,-0.16671344695992,0.0109579487291145,1,0.256333031191834,-0.087782106184636,0.00340910776941758,-0.0984809863472425,0.0629622771739183,-0.130650671660352,-0.174557718366443,-0.0261439934815462,0.0357729167798041
"b_Sem",0.116217672347166,0.00420548490245979,0.165605131285995,0.0100004601864297,0.256333031191834,1,-0.071573536185177,0.0530496127793499,-0.0132237291310895,-0.0131736049064247,-0.0488861132544084,-0.119819752542436,-0.0200570768155629,-0.029780548694134
"b_ACC_1",-0.0585051826308621,0.0530937105774887,0.0376578397035325,-0.0378773301166902,-0.087782106184636,-0.071573536185177,1,0.0973410663335523,0.081247145315825,-0.033630685874709,-0.0393771623209509,0.0661321174565146,-0.0680719864652518,-0.00101353342219126
"b_ACC_2",-0.0167755654534031,-0.0105279048961406,-0.00457600560046752,0.0431730521952762,0.00340910776941758,0.0530496127793499,0.0973410663335523,1,-0.020895460879822,0.0640849975315445,0.0270835135087837,-0.0324860244848044,0.00772587172933779,0.00876541759672531
"b_SI_CAMFD",-0.058715404775095,0.517805464307422,0.0486257132972749,-0.0483293787263854,-0.0984809863472425,-0.0132237291310895,0.081247145315825,-0.020895460879822,1,-0.065855249722224,-0.0383188463624934,-0.0325248003479211,-0.0521034256175627,-0.0431273046349625
"b_SI_PANEL",-0.0101416665385865,-0.0359524271570726,-0.0877634105031151,-0.0135292067729611,0.0629622771739183,-0.0131736049064247,-0.033630685874709,0.0640849975315445,-0.065855249722224,1,0.0111213553572846,-0.0496522135050822,0.0862109813680631,0.0229413593565902
"b_SI_ZER",-0.0564766958294743,-0.0692158122255238,0.0174419485442899,0.0641673579916295,-0.130650671660352,-0.0488861132544084,-0.0393771623209509,0.0270835135087837,-0.0383188463624934,0.0111213553572846,1,-0.0161972144237731,0.0110167440744586,0.0747819991118996
"b_Si_MTRP",-0.0920025157153056,-0.0770788725396094,0.0505792598805864,-0.04047914842722,-0.174557718366443,-0.119819752542436,0.0661321174565146,-0.0324860244848044,-0.0325248003479211,-0.0496522135050822,-0.0161972144237731,1,-0.00641147912255985,-0.0171855347759055
"b_No_Info",0.00246703749839443,-0.547300118328034,0.0373277907964606,0.0300910420428423,-0.0261439934815462,-0.0200570768155629,-0.0680719864652518,0.00772587172933779,-0.0521034256175627,0.0862109813680631,0.0110167440744586,-0.00641147912255985,1,0.0615747875500425
"b_UsoCel_F",0.0316599641917353,-0.59634416356525,-0.0304097030877755,-0.0749547316997996,0.0357729167798041,-0.029780548694134,-0.00101353342219126,0.00876541759672531,-0.0431273046349625,0.0229413593565902,0.0747819991118996,-0.0171855347759055,0.0615747875500425,1
