"","asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0468206304336846,0.025505195533269,-0.0214561407151464,-0.00406305074226751,0.0161132492017584,0.00501558059347128,-0.00452768179113146,-0.00471846895307633,-0.00433477441498168,-0.000548562650897158,-0.00354025764999968,-0.00760646221735907,0.000192455108660837,0.00261153767326382
"asc_ruta4",0.025505195533269,0.328996692384777,0.00429380752661158,0.00776266208134588,0.0128317442210433,0.000481107642550503,0.0108918530347431,-0.00784951862637532,0.10133470525936,-0.0051549239290805,-0.0115013295194905,-0.0168925611724883,-0.11317652950988,-0.130394714069844
"b_gain",-0.0214561407151464,0.00429380752661158,0.548351427268461,-0.0097329185387121,-0.0329847243101505,0.0244587180210278,0.00997350524343646,-0.00440475078675363,0.0122854561977479,-0.0162458059210649,0.00374172142770395,0.0143108800030181,0.0099654483155172,-0.00858437964832512
"b_loss",-0.00406305074226751,0.00776266208134588,-0.0097329185387121,0.0162557641792809,0.00037328943429046,0.000254304527484952,-0.00172721333760788,0.00715519960477352,-0.00210237760231778,-0.000431195588948729,0.00237008987127954,-0.00197196609538092,0.00138317135792147,-0.00364309080658973
"b_dt",0.0161132492017584,0.0128317442210433,-0.0329847243101505,0.00037328943429046,0.0713880430378219,0.0136599063957881,-0.00838844891329419,0.00118401927989005,-0.00897761427050608,0.00420524637566354,-0.0101127983182517,-0.0178203478045005,-0.0025183711150938,0.00364363057678426
"b_Sem",0.00501558059347128,0.000481107642550503,0.0244587180210278,0.000254304527484952,0.0136599063957881,0.0397796377166706,-0.0051055885771132,0.0137536489584331,-0.000899870821969987,-0.000656800274985631,-0.00282463855231402,-0.00913110235652314,-0.00144222531416655,-0.00226428116671316
"b_ACC_1",-0.00452768179113146,0.0108918530347431,0.00997350524343646,-0.00172721333760788,-0.00838844891329419,-0.0051055885771132,0.12791629076641,0.0452547670423809,0.00991440950452801,-0.00300674732465823,-0.00407994497221803,0.00903732161895885,-0.00877741065692873,-0.000138187337946467
"b_ACC_2",-0.00471846895307633,-0.00784951862637532,-0.00440475078675363,0.00715519960477352,0.00118401927989005,0.0137536489584331,0.0452547670423809,1.6897039168124,-0.00926729682967575,0.0208237987169944,0.010198992454698,-0.016134899092715,0.00362066099398971,0.00434355338913308
"b_SI_CAMFD",-0.00433477441498168,0.10133470525936,0.0122854561977479,-0.00210237760231778,-0.00897761427050608,-0.000899870821969987,0.00991440950452801,-0.00926729682967575,0.116410358651235,-0.00561674224654522,-0.0037875223146714,-0.00424008764657683,-0.00640910159199982,-0.00560938666168376
"b_SI_PANEL",-0.000548562650897158,-0.0051549239290805,-0.0162458059210649,-0.000431195588948729,0.00420524637566354,-0.000656800274985631,-0.00300674732465823,0.0208237987169944,-0.00561674224654522,0.0624879906502738,0.00080538392804103,-0.00474243377632336,0.00776955120553265,0.00218617374873943
"b_SI_ZER",-0.00354025764999968,-0.0115013295194905,0.00374172142770395,0.00237008987127954,-0.0101127983182517,-0.00282463855231402,-0.00407994497221803,0.010198992454698,-0.0037875223146714,0.00080538392804103,0.0839254970304337,-0.00179288186151164,0.0011506289218606,0.00825869217587851
"b_Si_MTRP",-0.00760646221735907,-0.0168925611724883,0.0143108800030181,-0.00197196609538092,-0.0178203478045005,-0.00913110235652314,0.00903732161895885,-0.016134899092715,-0.00424008764657683,-0.00474243377632336,-0.00179288186151164,0.145991900426893,-0.000883197188593263,-0.00250319498055933
"b_No_Info",0.000192455108660837,-0.11317652950988,0.0099654483155172,0.00138317135792147,-0.0025183711150938,-0.00144222531416655,-0.00877741065692873,0.00362066099398971,-0.00640910159199982,0.00776955120553265,0.0011506289218606,-0.000883197188593263,0.129978083484019,0.00846262767546267
"b_UsoCel_F",0.00261153767326382,-0.130394714069844,-0.00858437964832512,-0.00364309080658973,0.00364363057678426,-0.00226428116671316,-0.000138187337946467,0.00434355338913308,-0.00560938666168376,0.00218617374873943,0.00825869217587851,-0.00250319498055933,0.00846262767546267,0.145323046830654
