"","asc_ruta1","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0527725410711745,0.0307528319954895,-0.036895821623406,-0.00369097881615505,0.0254692586573705,0.00402631237810684,-0.0124017548955218,0.00597171142493017,-0.00834826945001228,0.00367894429950943,0.0011680613568973,-0.0178699572138736,-0.00657163412370524,0.00780360774630071
"asc_ruta4",0.0307528319954894,0.328458938732258,0.00829172487417615,0.0105717690041842,0.0344472769316034,-0.00592363038478361,-0.00225733476016983,-0.030205790710307,0.102809695623217,0.00988304955675005,-0.0174744832902926,-0.0491710650079821,-0.130023540725707,-0.0854859754608686
"b_gain",-0.036895821623406,0.00829172487417596,0.547168790971267,-0.00557430006702699,-0.0383528975250691,0.019631990200384,0.00449205708557368,-0.0158764017532975,0.0449992977027517,0.00664255812530526,-0.0262935447881572,0.02545153007043,0.0371703482623121,-0.000252773849000655
"b_loss",-0.00369097881615505,0.0105717690041843,-0.00557430006702699,0.0169294640006892,-0.000320122856066607,0.00177281099455516,-0.00276352756440341,-0.00101486016870374,0.00165588925689272,-0.00266675939227115,0.00389070516804314,-0.00504049312027765,-0.00295480533324163,0.000935537718292785
"b_dt",0.0254692586573705,0.0344472769316035,-0.0383528975250691,-0.000320122856066608,0.0700030385918232,0.00890281953267482,-0.0148852743028786,0.0133624444122227,-0.00542390085617227,0.00741313771400042,-0.00595641808828959,-0.0337860123445102,-0.0128057269521289,0.00696731618371012
"b_Sem",0.00402631237810685,-0.00592363038478359,0.0196319902003841,0.00177281099455516,0.00890281953267481,0.0288276287476625,-0.00713271575401515,0.00249289561061518,-0.00100045577142429,0.00178921655937853,0.00147545427680722,-0.000786484486253916,0.00143964371512222,0.00384894805210853
"b_ACC_1",-0.0124017548955218,-0.00225733476016981,0.00449205708557369,-0.00276352756440341,-0.0148852743028786,-0.00713271575401515,0.117235895548687,0.0183495660113158,-0.000829879677363887,-0.000763797695808128,-0.0174451573403974,0.0243477297891108,-0.0175248196144897,-0.000994514851384882
"b_ACC_2",0.00597171142493016,-0.0302057907103071,-0.0158764017532975,-0.00101486016870375,0.0133624444122227,0.00249289561061518,0.0183495660113158,0.540502008464518,-0.026982601204385,0.010060531321278,0.0184818819894046,-0.0196121916268313,0.00850773524088387,0.0239202784897683
"b_SI_CAMFD",-0.00834826945001231,0.102809695623218,0.0449992977027518,0.0016558892568927,-0.00542390085617229,-0.00100045577142431,-0.000829879677363881,-0.026982601204385,0.124599751632715,0.00303752558324896,-0.00709860187500907,-0.0146716338830429,-0.00487562524183478,0.00967656652927411
"b_SI_PANEL",0.00367894429950943,0.00988304955675003,0.00664255812530527,-0.00266675939227114,0.00741313771400042,0.00178921655937853,-0.000763797695808128,0.010060531321278,0.00303752558324895,0.0486590888143876,-0.00769753245971911,-0.00397457075154496,0.00288080959675515,0.00149960007398999
"b_SI_ZER",0.0011680613568973,-0.0174744832902927,-0.0262935447881572,0.00389070516804314,-0.00595641808828959,0.00147545427680722,-0.0174451573403974,0.0184818819894046,-0.00709860187500908,-0.00769753245971911,0.0705422540157126,-0.00311433543414211,0.0038350085568847,0.0146865577369438
"b_Si_MTRP",-0.0178699572138736,-0.0491710650079822,0.02545153007043,-0.00504049312027765,-0.0337860123445102,-0.000786484486253916,0.0243477297891108,-0.0196121916268313,-0.014671633883043,-0.00397457075154496,-0.00311433543414211,0.162590519341474,0.00131875648789693,0.000273592859040986
"b_No_Info",-0.00657163412370535,-0.130023540725709,0.0371703482623121,-0.00295480533324164,-0.012805726952129,0.00143964371512222,-0.0175248196144897,0.00850773524088389,-0.00487562524183512,0.00288080959675517,0.00383500855688476,0.00131875648789697,0.145092182753179,-0.000417747339692689
"b_UsoCel_F",0.0078036077463007,-0.0854859754608692,-0.000252773849000736,0.000935537718292785,0.00696731618371013,0.00384894805210855,-0.000994514851384886,0.0239202784897683,0.0096765665292737,0.00149960007399,0.0146865577369438,0.000273592859041006,-0.000417747339693081,0.126499699227022
