"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.12554470293067,0.218022909973568,5.16250655982497,2.4366483342142e-07,0.231529406016227,4.86134665266573,1.16589879195494e-06
"asc_ruta2",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",0.311899451221585,0.571653650773698,0.545609130282731,0.585334646913504,0.57104404126963,0.546191587128944,0.58493424847982
"b_gain",-1.34923147614053,0.719235435252659,-1.87592464165306,0.0606656284414742,0.750735882303449,-1.79721191959113,0.0723019829618996
"b_loss",-0.353027504867076,0.126379317245248,-2.7933962024973,0.00521577649724314,0.123595363705167,-2.85631672810327,0.00428587357079224
"b_dt",0.11705962334197,0.26334148980572,0.444516446794354,0.656669240666452,0.257663048965362,0.45431280818891,0.649603698640631
"b_Sem",0.394980669839673,0.201004511988452,1.96503384890368,0.0494103199830846,0.173467646450193,2.27697024731976,0.0227880023900242
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.59209531894159,0.359091458054509,-1.64887051936421,0.0991741639183505,0.34164773851472,-1.73305791958602,0.0830853747068772
"b_ACC_2",-2.24719380547778,1.25255420492843,-1.79408906747168,0.0727989537300793,0.789457377932872,-2.8465042803981,0.00442021349752086
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.465549293071811,0.340134872000905,-1.36871967973508,0.171086916247034,0.347872361927704,-1.33827617259391,0.180806426148905
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.50948860663041,0.250061348911471,-2.03745444407238,0.0416045227178927,0.222249803929,-2.29241420070351,0.0218817533531617
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.0800210587322567,0.288181007951008,0.277676378819039,0.781260794748841,0.266244076477631,0.30055526414305,0.763753648961504
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.325647807675186,0.383815093195989,0.848449718231635,0.396187563837316,0.404784314155659,0.804497102004695,0.421109942345005
"b_No_Info",-0.339121298087993,0.35958621909201,-0.943087582567284,0.345636106655382,0.376096196203736,-0.901687657336177,0.367222811400651
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.189132831227585,0.379663838003029,0.498158666420256,0.61837221315928,0.357677417771226,0.528780464828104,0.596957750858381
