"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_Acc1","b_Acc2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.0556833739380211,0.0403166386686115,0.00695610542924957,0.00851141869807033,0.00363418934939961,0.0105339072300563,-0.00314937074120671,-0.00867982916383993,-0.0329078068427078,-0.00151992221097231,0.00946276236686952,0.0241374405209118,0.0161536655446462
"asc_ruta4",0.0403166386686115,0.295198039208038,0.000467192511229192,0.023829537938817,-0.0006072484512002,0.0581522594951942,0.010010083230924,0.0196554008615211,-0.0834103044056928,-0.000257158687867769,0.0336590494857606,0.377847342382933,-0.3875896893545
"b_tt",0.00695610542924958,0.000467192511229217,0.00660464044601588,-0.00390262593474977,-0.00217650488061886,0.00718179909858703,-0.00385064508752388,-0.000220136323799349,-0.00246748852711704,-0.00186479080106673,-0.00201776111217951,-0.00263920905085017,-0.00848645051808007
"b_dt",0.00851141869807034,0.023829537938817,-0.00390262593474976,0.0305215555975823,0.00682421955555276,-0.00183764014401448,0.00292828990933425,0.0100030431168312,-0.0144408947953666,-0.00155134002755208,0.00947484358250756,0.0341026089269042,0.0164365041715278
"b_Sem",0.00363418934939961,-0.000607248451200195,-0.00217650488061886,0.00682421955555276,0.0163984588951442,-0.0101375384276237,-0.00409292405282846,-0.0116372667778429,-0.000259446371356019,-0.000506013403797772,0.00452561500612997,0.00911687211095493,0.00885805432089765
"b_Acc1",0.0105339072300563,0.0581522594951942,0.00718179909858702,-0.00183764014401449,-0.0101375384276237,0.325243098717166,0.0108148728873743,0.0115734595196553,-0.0268502678208491,0.00813159035957561,0.00765431788144449,0.108965408822595,-0.0522145806328391
"b_Acc2",-0.00314937074120671,0.010010083230924,-0.00385064508752388,0.00292828990933425,-0.00409292405282847,0.0108148728873743,0.789040030021209,0.0141815229174878,-0.00856232745487108,-0.0814067125753196,-0.0186282446399279,0.0509306106840909,-0.0443492184684051
"b_SI_CAMFD",-0.00867982916383991,0.0196554008615211,-0.000220136323799349,0.0100030431168312,-0.0116372667778429,0.0115734595196553,0.0141815229174878,0.50086813580432,-0.0914384188802243,0.0316264174804892,-0.00618937399956727,-0.0187102346728062,-0.0891925332821693
"b_SI_PANEL",-0.0329078068427078,-0.0834103044056928,-0.00246748852711704,-0.0144408947953666,-0.000259446371356018,-0.0268502678208491,-0.00856232745487107,-0.0914384188802243,0.374088031504825,-0.033349514151713,-0.067779971015835,0.0107362251330882,0.0634308032134438
"b_SI_ZER",-0.00151992221097231,-0.000257158687867773,-0.00186479080106673,-0.00155134002755208,-0.000506013403797771,0.00813159035957561,-0.0814067125753197,0.0316264174804892,-0.033349514151713,0.144613590362767,-0.0112582798330054,-0.0262972657088739,-0.00325643581636445
"b_SI_MTRP",0.0094627623668695,0.0336590494857604,-0.0020177611121795,0.00947484358250755,0.00452561500612997,0.00765431788144449,-0.0186282446399279,-0.00618937399956726,-0.067779971015835,-0.0112582798330054,0.199126576947414,0.0398241503190156,-0.000847062039445627
"b_No_Info",0.0241374405209118,0.377847342382933,-0.0026392090508502,0.0341026089269041,0.00911687211095492,0.108965408822595,0.0509306106840909,-0.0187102346728061,0.0107362251330881,-0.0262972657088739,0.0398241503190156,1.23856496759424,-0.0242484845533359
"b_UsoCel_F",0.0161536655446462,-0.3875896893545,-0.00848645051808006,0.0164365041715278,0.00885805432089765,-0.0522145806328392,-0.0443492184684051,-0.0891925332821693,0.0634308032134438,-0.00325643581636445,-0.000847062039445764,-0.0242484845533362,1.27741825822643
