"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ruta1",0,NA,NA,NA,NA
"asc_ruta2",-0.933127539704313,Inf,0,NA,NA
"asc_ruta3",-1.65191255471266,Inf,0,NA,NA
"asc_rutaEC",1.0463381098052,Inf,0,NA,NA
"b_time",0.0696229149090976,Inf,0,NA,NA
"b_dist",-0.40803093649597,Inf,0,NA,NA
"b_semaf",0.000624054628833055,Inf,0,NA,NA
"b_CamFD",0.00345439553581187,Inf,0,NA,NA
"b_ZER",-0.0440365349519924,Inf,0,NA,NA
"b_MtrP",0.155616049256693,Inf,0,NA,NA
"b_Acc",-0.435858435595659,Inf,0,NA,NA
"b_Panel",-0.166913543725282,Inf,0,NA,NA
"b_clima",-0.156519776064405,Inf,0,NA,NA
"b_cong",0.0573821778619672,Inf,0,NA,NA
"b_Hpico",0,NA,NA,NA,NA
"b_Hvalle",0.0982046336380924,Inf,0,NA,NA
"b_T_prof",-0.011033541706097,Inf,0,NA,NA
"b_Hor_trab",-0.00923308091526293,Inf,0,NA,NA
"b_EduBasica",-0.0120358865664932,Inf,0,NA,NA
"b_EduSuperior",0,NA,NA,NA,NA
"b_Info_traf",0.30389275919145,Inf,0,NA,NA
"b_usodisp",0,Inf,0,NA,NA
"b_Joven30",-1.37684412083004,Inf,0,NA,NA
"b_Adulto40",-0.434412050372021,Inf,0,NA,NA
"b_Adulto60",-0.539117899976046,Inf,0,NA,NA
"b_AdultoMayor",0,NA,NA,NA,NA
"b_USOCINTURON",-0.23083042047998,Inf,0,NA,NA
"b_NOUSOCINTURON",0,NA,NA,NA,NA
"b_USODISPMOB",-0.230947719409671,Inf,0,NA,NA
"b_NOUSODISPMOB",0,NA,NA,NA,NA
"gamma_EDUBASICA",0.158,Inf,0,NA,NA
"gamma_CSECO",0.144,Inf,0,NA,NA
"gamma_CONG_EF",0.205,Inf,0,NA,NA
"gamma_SININFO",-0.233,Inf,0,NA,NA
"gamma_EDUBASICA",0.158,Inf,0,NA,NA
"gamma_CSECO",0.144,Inf,0,NA,NA
"gamma_CONG_EF",0.205,Inf,0,NA,NA
"gamma_SININFO",-0.233,Inf,0,NA,NA
"gamma_HORAS_TRABAJO",-0.0470533814673417,Inf,0,NA,NA
"gamma_HPICO",0.100352085556191,Inf,0,NA,NA
"gamma_CONG_CD",0.0835843792424222,Inf,0,NA,NA
"gamma_USOCINTURON",-0.295450751130964,Inf,0,NA,NA
"gamma_USODISPMOB",0.00389837087542113,Inf,0,NA,NA
"zeta_FRbr",4.72314636339227,Inf,0,NA,NA
"zeta_EnfCond",2.91999367051397,Inf,0,NA,NA
"zeta_AFrSem",76.8154492487462,Inf,0,NA,NA
"zeta_CulFr",1.96964358661101,Inf,0,NA,NA
"zeta_OmLmVel",3.58622733832082,Inf,0,NA,NA
"zeta_IgPare",648.254052249824,Inf,0,NA,NA
"zeta_UsoCel",1.09287965479855,Inf,0,NA,NA
"lambda1",0.0240615742786957,Inf,0,NA,NA
"lambda2",-0.107825520405021,Inf,0,NA,NA
"tau_FRbr_1",1.00813259865703,Inf,0,NA,NA
"tau_FRbr_2",6.37399245664746,Inf,0,NA,NA
"tau_FRbr_3",7.44093885577012,Inf,0,NA,NA
"tau_FRbr_4",11.887458141508,Inf,0,NA,NA
"tau_EnfCond_1",0.602696148683696,Inf,0,NA,NA
"tau_EnfCond_2",4.55038255311047,Inf,0,NA,NA
"tau_EnfCond_3",5.53952684351674,Inf,0,NA,NA
"tau_EnfCond_4",7.99964027213834,Inf,0,NA,NA
"tau_AFrSem_1",20.3918699640531,Inf,0,NA,NA
"tau_AFrSem_2",117.378041876771,Inf,0,NA,NA
"tau_AFrSem_3",125.098783125143,Inf,0,NA,NA
"tau_AFrSem_4",197.383058511528,Inf,0,NA,NA
"tau_CulFr_1",-1.11811672040637,Inf,0,NA,NA
"tau_CulFr_2",1.37552195578235,Inf,0,NA,NA
"tau_CulFr_3",2.36787153038754,Inf,0,NA,NA
"tau_CulFr_4",5.38512099469807,Inf,0,NA,NA
"tau_OmLmVel_1",-3.23342403976909,Inf,0,NA,NA
"tau_OmLmVel_2",2.09610926936219,Inf,0,NA,NA
"tau_OmLmVel_3",3.10613814293564,Inf,0,NA,NA
"tau_OmLmVel_4",5.08277505610773,Inf,0,NA,NA
"tau_IgPare_1",-515.498995575521,Inf,0,NA,NA
"tau_IgPare_2",372.694486712359,Inf,0,NA,NA
"tau_IgPare_3",500.4406617287,Inf,0,NA,NA
"tau_IgPare_4",828.338007230283,Inf,0,NA,NA
"tau_UsoCel_1",-2.57254710767787,Inf,0,NA,NA
"tau_UsoCel_2",-0.316608701338947,Inf,0,NA,NA
"tau_UsoCel_3",0.560268871060687,Inf,0,NA,NA
"tau_UsoCel_4",3.22318250178938,Inf,0,NA,NA
