"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","lambda3","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel1","zeta_UsoCel2","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4"
"asc_ruta2",0.0364259577790775,0.0133381055967551,0.0062887375872525,-0.000842029081275113,-0.00244059623766614,1.39480269800259e-06,5.03610849905913e-07,0.000988832720885215,3.369307938271e-05,0.00406305494453004,-0.000262826924259385,0.00239093940755292,0.000771814231331699,0.00233164987639534,-5.70747680219626e-05,0.000196937216554379,-0.000725714808052466,0.00149672643693715,-0.00367851357104631,-0.00296948604763182,-0.00139121267715457,0.0022234877850917,-0.000954216759942668,0.000927529554099843,-0.000661166291489124,-0.000777886564483401,-2.23686023406388e-05,9.10330323491935e-06,3.15325074539787e-05,-4.88880669752076e-06,-2.15063462180454e-06,1.69286017843284e-05,6.31098185380766e-07,-2.28805100898482e-05,-1.62643290626931e-05,-0.000166655970901174,1.28329071127302e-05,4.62789702594425e-05,-2.06922540941289e-05,-1.32745587940476e-05,0.000437012994507388,4.1720464832193e-05,1.28351588988328e-05,-0.000429032857446947,9.94965950331711e-05,0.000129503392886459,-1.62490785421934e-05,-5.29281989803593e-05,-0.000263421037390268,7.85878505992381e-06,2.94926931942001e-05,2.46307952642711e-05,3.02848096989052e-05,4.32225404519716e-06,7.52209556199364e-05,4.48944602789331e-05,0.000168107152445127,3.78057098752203e-05,1.7585310117125e-05,7.79483637943882e-06,-1.92935219228733e-05,-7.44773678969098e-05,-0.000103759271850175,-0.000118587813308899,-0.00015051178962882,-0.000445987917155403,3.02545090218974e-05,-0.000103509042694042,-5.84445081559798e-05,-4.76608618716216e-05,-3.48642684213364e-05,-2.9283725743781e-05,-1.49741526267288e-05,0.000213220213098515,-6.48353638678635e-05,-0.000179730570739375,-0.000421436144755934,-0.000146215701186573,-0.000116920891794471,-0.000105935759754932,-4.53865188125859e-05
"asc_ruta3",0.0133381055967551,0.0648371775962914,0.00642085276697827,-0.00152008781824389,-0.0018799469955633,-1.75480006986941e-06,-8.02099224298217e-06,0.000943978574483043,-0.00378852485309598,0.00270513867831452,-0.00022094796790698,0.00237536007061831,0.000645662187418033,0.0016342948455804,-9.7007257975486e-05,0.000447714784212103,-0.000597068640971857,0.0014660071610574,-0.0053744943250277,-0.00605828352687649,-0.00256192694955026,0.00359925433145231,-0.000813079409202873,0.00120334444889115,-0.00106785699260841,-0.00129317621601233,-3.67684350823536e-05,8.72295528431109e-06,7.04977083672238e-05,5.05154557607448e-05,-4.93858851596447e-06,4.44303558905141e-05,2.36612190835511e-05,-2.32177099506514e-05,-2.55011740499044e-05,-0.000158030754713874,5.16622131670748e-05,6.32752073011286e-05,-2.59338982531798e-05,-7.37641246256128e-05,-0.000918935273105247,6.82798992008252e-05,-4.80975979924765e-05,-0.00108023548905199,0.000309942265357086,0.000363071604401733,0.000253960886404057,0.000218332505256464,-9.53095708404306e-06,0.000103732502642968,0.000163179701871653,0.000165854187690476,0.000202442926474632,0.000202096342607076,0.000320477693631246,0.00026984622005746,0.000403222257961997,0.000136564613359332,0.000101721030558573,8.77042638678192e-05,5.439185875431e-05,-0.00014441149618162,-0.000206285470614363,-0.000223197046525533,-0.000257037535692154,-0.000650734437537684,-0.00157761595628503,-0.00182687893284158,-0.00214031140365526,-6.65227991297494e-05,-5.59145717133176e-05,-5.07216591944859e-05,-3.41838376645775e-05,0.000696904184880939,4.69585900909349e-05,-0.000255194525944223,-0.000888829054904379,-0.000395269954030954,-0.000272771141707201,-0.00021163944800443,5.09012672214457e-07
"asc_rutaEC",0.0062887375872525,0.00642085276697827,0.840924355920971,0.00189926447777765,-0.00901926046469889,6.02977447985837e-05,-3.16748499508549e-05,1.62825089518185e-06,-0.00222415555354178,-0.0118633123834737,0.00150429337795031,-0.10795338243205,-0.00546518058740783,-0.00810006007363638,-0.00292984073271241,-0.0372670018256807,-0.00822660316665986,-0.0458403582781122,-0.189287035413051,-0.120848328344663,-0.0951560932180419,-0.0917274986121583,-0.0159082465046746,0.0279047017931301,-0.052569663526567,0.0182293625794301,-0.00212473256101704,-0.00161115386316931,-0.000834771470580284,-0.00123616934182001,0.000224301297405166,-0.00058859479488414,-0.000222068156499308,-0.000397378193361051,-0.000123155620774887,-0.00862758975301197,0.00197770705784484,0.00436762720619844,0.00176791220879499,-0.000445328093896169,0.115030396777604,0.00148939687841055,-0.000866385130958529,0.00135624646312568,-0.000684444471095223,-0.015150366152705,-0.0281690971808131,-0.0301422757573295,-0.0342022303747422,-0.0105645818352696,-0.0100308694469728,-0.00993658193960249,-0.00826734215442236,-0.0203359269649279,-0.0190817578521479,-0.0187649680241904,-0.0082528866663574,-0.00786148281085966,-0.0076735827537634,-0.00752806465012938,-0.00632893660733451,0.0114513709730625,0.00950600979601383,0.00896860093011491,0.00798395953585889,0.0420191935537286,0.162616402898556,0.178499327987143,0.211218995757863,0.000103738751190099,0.000397962764959961,0.000417309565115838,0.000396196884898551,-0.00702726506475946,-0.00552397651093103,-0.00537887160220977,-0.0051547543710229,-0.00361973439516782,-0.00306380143140952,-0.0029598271878892,-0.00334160094679672
"b_time",-0.000842029081275113,-0.00152008781824389,0.00189926447777765,0.000568375860772804,-0.000781576544202785,2.88593247249593e-06,-2.73424780250283e-06,-0.000207819528074748,-0.00010351786136153,-0.000301932941300492,7.38491991888116e-05,-0.000825432504065043,-0.000676289441804949,-0.000570644020601153,4.63712673094948e-06,-0.000165190804820352,-0.000138739505844134,-0.000376999704497029,9.74932328072887e-05,0.000497182545116332,0.000123051141967272,-0.000820105040978383,0.000584320158169202,9.18392359344282e-05,-0.000104895146340081,0.000222832897984334,-3.3542701521172e-06,-6.93870109236199e-06,-1.28874702772452e-05,-1.72141808418623e-05,1.49242356339503e-06,-9.32403484646182e-06,1.00943700577476e-07,3.32932317026573e-06,9.51847794573996e-07,6.71121791528936e-05,-1.54592323977014e-05,-6.58669977641322e-05,2.3740962498252e-05,-4.97058172396608e-07,0.00133222477845672,-7.80788395978008e-06,3.08104334880316e-06,5.44172997897647e-05,-1.28764394092955e-05,-0.000151484272716353,-0.000103613250260013,-9.21933917499886e-05,1.52462483334675e-05,-4.19211858239596e-05,-6.59452464241318e-05,-7.02837766241461e-05,-7.35399567176268e-05,-6.18063045461111e-05,-0.000156497504472588,-0.000154648202291491,-0.000196867299368419,-5.81498218592024e-05,-4.10234409880091e-05,-3.57860754729522e-05,-1.60059218707722e-05,5.19474758102792e-05,5.19204774352118e-05,5.26474945892761e-05,5.39292029039264e-05,6.87684501329391e-05,0.00156987054429645,0.00178670028155485,0.00226537687473361,1.1298643763523e-05,9.88844512624087e-06,8.29031149858395e-06,5.39312082866099e-06,-2.10166080474981e-05,1.16146191364088e-05,1.98225537895995e-05,3.0023030263946e-05,2.06548831874992e-05,1.43966069576442e-05,1.24198246171969e-05,2.23943943301059e-06
"b_dist",-0.00244059623766614,-0.0018799469955633,-0.00901926046469889,-0.000781576544202785,0.0132973949565966,-4.7941099438721e-05,4.23420113104658e-05,0.000201240969891544,1.87856357914443e-07,-0.000474410044622456,-0.000952111825763663,0.00227235079027053,0.000631704191853081,-0.000579963273090776,0.000111267426391578,0.000438713602975176,0.00119187143756328,-0.000814435038718336,0.00588237359355327,0.00439032791439713,0.00210332865199787,0.0016237779591367,0.000692223024829215,-0.00389049927382341,0.00479823025120577,-0.00246648704272807,0.000115958274881262,2.11596991080119e-05,3.53917200724466e-05,8.22019467059834e-05,-4.57082645293095e-06,5.93273367354893e-05,-2.90971844930601e-05,4.43197440095319e-05,6.33781961705949e-05,0.000977945355033043,-9.31817652485977e-05,0.000164868875895166,-0.000184785746226848,9.78213843139494e-05,-0.0121256060841856,-4.40583426942759e-05,0.000101293293728349,0.00114502581333859,-0.000186509546468362,0.000278409352729934,0.00147213331810215,0.00167974158175466,0.00205091788849175,0.000429455842888879,0.000406347610110349,0.000395779359308991,0.000219272561490584,0.000664043852039671,0.00100758034985248,0.00102626545689766,0.000492592441789051,0.000382024023473118,0.000323747809848823,0.000299135195275799,0.00012164338425126,8.70713362226287e-06,0.000127363894832968,0.000164942795130771,0.000246486640719537,0.00185806969167346,-0.0119785910167562,-0.0134831124008343,-0.017193133941904,8.17901486493585e-05,7.39252268804502e-05,7.73337278104428e-05,9.05445704297971e-05,-0.00067222850855964,-1.513896102739e-05,0.000373633235545306,0.00119773231037691,0.000381188080644812,0.00030172226813728,0.000259014535101261,0.000113761918245576
"b_semaf",1.39480269800259e-06,-1.75480006986941e-06,6.02977447985837e-05,2.88593247249593e-06,-4.7941099438721e-05,1.57955992065828e-05,-1.57814533577841e-05,-7.55127120290988e-06,-4.07684595603728e-05,-0.000116172552467259,2.80972562642764e-06,5.75898300766507e-05,-5.86307467945707e-06,-2.96148994233931e-05,-2.41587714985253e-06,-2.36600125461704e-06,-3.3925970527944e-05,-2.54658094990012e-05,-6.4313910323428e-05,-8.34022389803795e-05,-2.6261332085304e-05,-5.52864618621913e-06,-1.03684411615295e-05,3.1859447113792e-05,-5.36281345595417e-05,-1.93002353497468e-07,1.10605813533951e-06,2.88982511944299e-06,-1.9109658710707e-07,-1.23482052961238e-06,8.15710393319666e-08,-5.71221889744089e-07,-2.19964381062163e-08,-1.87458401593131e-07,-3.49806815720819e-07,1.20337323815436e-05,1.21935295837242e-06,-3.62348503739262e-06,2.41629944366504e-06,1.67057094251099e-06,0.00011752397538675,1.36023376815351e-06,-1.9382499719978e-07,1.11690057636215e-05,-1.65864960019981e-06,1.61230145318734e-05,2.01910790308541e-05,2.15654717746371e-05,3.24339411765809e-05,9.58521441790283e-06,7.94602687535457e-06,7.67686827620956e-06,7.73142798825622e-06,2.18005186444995e-05,1.05648914713044e-05,9.5623183370899e-06,7.12229118876077e-06,5.19450490674605e-06,5.94339460390184e-06,6.15060136883778e-06,7.06886423418397e-06,3.60332081036736e-06,3.23121679512887e-06,3.05008974749112e-06,2.77641688475436e-06,4.13468758987495e-06,0.000127133783816672,0.000141869693508947,0.000178716574082476,1.84198218109361e-07,5.09193615842192e-07,5.91842804851862e-07,7.36954809015246e-07,-9.28155936647191e-06,-1.95001053044826e-06,1.52730989131977e-06,8.35949792526985e-06,1.82357694228597e-06,1.36021121559771e-06,1.11817156761663e-06,-5.47240727182875e-08
"b_CamFD",5.03610849905913e-07,-8.02099224298217e-06,-3.16748499508549e-05,-2.73424780250283e-06,4.23420113104658e-05,-1.57814533577841e-05,7.43293862595209e-05,2.39506927847477e-06,3.26801822990659e-05,9.83580438403963e-05,-7.294660100117e-06,-5.17818010624195e-05,3.01816423069156e-06,4.20066829674414e-05,5.73329777067462e-06,7.06980831789667e-07,-8.39235765708702e-06,3.70302225467964e-05,0.0001236165946638,0.000123123436001751,1.78877508637365e-05,-5.06958048383323e-05,-2.35157177656272e-05,-2.75320981512906e-05,-1.25897698443539e-06,4.89168427489054e-05,-2.33084578533322e-06,-4.64985027500495e-06,1.84453377406342e-07,1.11343699103612e-06,-1.44960896426056e-07,5.08329427280017e-07,-4.08627796842328e-07,-5.45436632750096e-07,3.41077840789671e-07,-8.72840958689213e-06,-4.84313366446819e-06,-1.03433642034951e-05,-3.82213716964111e-06,-3.33013477029586e-06,-0.000271123900493131,-1.64730907855859e-07,-3.6197652522327e-07,-4.28410528795931e-06,-1.73369147033845e-06,-2.95286741383744e-05,-2.67446064678224e-05,-2.52292539808865e-05,-3.06993102241612e-05,-1.29473073957925e-05,-1.27261384157059e-05,-1.30603109555975e-05,-1.42436259666259e-05,-2.43922965589155e-05,-2.38950611786095e-05,-2.48226207843682e-05,-3.85446209243983e-05,-7.65459487297883e-06,-9.01403357239639e-06,-9.24126010280177e-06,-1.01660715957053e-05,-6.717884932541e-06,-8.29592210896679e-06,-7.92044015010155e-06,-7.60922777054189e-06,-2.42732700524579e-07,-0.000304700647640383,-0.000335062570498892,-0.000432645094413773,-1.82951504558749e-06,-1.82062093907341e-06,-1.83732462100839e-06,-2.02649047339162e-06,-1.59752199636692e-06,-4.57781175878947e-06,-5.04116152595296e-06,-6.66865297476011e-06,-8.8967304647526e-07,-2.14122309255933e-06,-2.77272495829844e-06,-3.34594475988078e-06
"b_ZER",0.000988832720885215,0.000943978574483043,1.62825089518185e-06,-0.000207819528074748,0.000201240969891544,-7.55127120290988e-06,2.39506927847477e-06,0.00450773797327759,0.000341252492630514,0.000407174227714176,0.000266550211545813,-0.000220524395266928,-6.58619339920659e-05,-0.000176713596938524,-1.5526532879887e-05,4.56646521618292e-05,0.000879189123559552,0.00077129015400857,-2.76715872979091e-05,-0.000863463470150319,0.000115664711543834,0.000818095423927235,0.000445659808308038,-0.000707047561740496,0.00167605642236949,-0.000608725314006391,1.50094724001571e-05,-2.81017340303141e-05,2.73292660620057e-05,2.40363036174712e-05,-1.08084370413881e-06,1.76453758912276e-05,-4.90387564734055e-06,-3.7223593622378e-06,5.62915056436995e-06,0.000327541554513441,-0.000104037997997978,-0.00013161332856556,-0.00010711827394873,2.76677984046037e-05,0.00130535708272915,-3.44173383479942e-05,7.57133994696469e-05,0.000450266991903808,-6.86829216594793e-05,-0.000277453760530818,0.000237109866247793,0.00031101533832282,0.000623659678640286,1.65766074274894e-05,-2.16943850571652e-05,-3.53001359911057e-05,-8.55710380445753e-05,7.1263638398214e-06,7.37184601340137e-06,-2.85956644746514e-06,-0.00022343939745589,5.28560247587938e-05,1.54951565080103e-05,4.59815394359539e-07,-6.50265402805912e-05,-3.89143349950287e-06,2.91113667971649e-06,-2.01358219593951e-06,8.93952465339382e-06,-0.000317142203135964,0.00100771818482255,0.00143782237952494,0.00200315020717196,1.8962051794983e-05,1.53017294647598e-05,1.72001768775207e-05,2.43232949368925e-05,-0.000331862020033692,-6.65750326843617e-05,8.6199670292205e-05,0.000380740248472535,0.000135659064580664,8.12442422590939e-05,6.14766752957436e-05,-2.40962241071771e-06
"b_MtrP",3.369307938271e-05,-0.00378852485309598,-0.00222415555354178,-0.00010351786136153,1.87856357914443e-07,-4.07684595603728e-05,3.26801822990659e-05,0.000341252492630514,0.0202044113980977,0.000712757848342835,-0.00154118861540134,0.00187577949832747,1.93140673363941e-05,0.00347174597515853,0.000113482927805206,-7.39707405597841e-05,-0.000934840565621374,0.00332983797718989,-0.00336756713981088,0.00483531245273229,0.000712728381290084,-0.00380819386844514,-0.000993070035219567,-0.00158153570765368,0.00278635405947077,-9.9349526795528e-05,2.82343944119311e-05,6.22253999428924e-05,-2.39873548859902e-06,-7.28401218249533e-05,-1.53362733584674e-06,3.08928133278968e-06,-3.63208298463865e-05,-4.11992185605596e-06,4.48515260093325e-05,-0.000982441019258829,-4.12905875353032e-05,0.000377256315988745,-5.8342320816871e-05,-8.24173530191563e-06,-0.00458941977163991,1.75054633321998e-05,-6.77114543569298e-05,0.000378650210296625,-0.000183586786097422,0.000458870711864268,-0.000435193161819979,-0.000637393800888641,-0.00189905757503269,-4.44996286640592e-05,-4.01624711050612e-05,-5.01070040922941e-05,-0.000160587620544254,-0.000297357998992153,0.000168090620682691,0.000238873105802972,0.000382715464878755,-3.50405991172731e-05,-3.24823950437468e-05,-3.06694344653456e-05,-9.10410082121268e-05,-1.40886511849233e-05,-2.02401208371615e-05,-2.49686754626339e-05,-2.51495470012653e-05,0.000382444915580847,-0.00468335952221813,-0.00535481570400246,-0.00703638476580743,1.80818164126936e-05,-1.02657006671747e-05,-1.28174030164227e-05,-1.40816056205308e-05,-0.000373720178413274,-0.000155652442144787,1.2775589850973e-05,0.000334703125990385,0.000127012706207612,8.16104810745248e-05,5.40053349136058e-05,-5.39830741498113e-05
"b_Acc",0.00406305494453004,0.00270513867831452,-0.0118633123834737,-0.000301932941300492,-0.000474410044622456,-0.000116172552467259,9.83580438403963e-05,0.000407174227714176,0.000712757848342835,0.0662931057155508,-0.000324226518107325,0.0042888678592976,0.000887177447927435,0.00112460592072849,0.000140182393496433,-0.000223036267927674,-0.00369182121271248,0.00165866954442574,0.00823258005570016,0.0103212381775841,0.00656483098930301,0.00530123307231095,0.00254051399314512,0.00340525974897984,0.00146021822608567,-0.00123709173723332,-4.98388110602505e-05,0.000213908509097584,7.81643849581122e-06,-0.000100074709505019,4.40095357431279e-06,-3.19257621661198e-05,2.18154779434941e-05,-4.03685287709343e-05,-8.10973937985409e-05,-3.80331111663695e-05,-9.23133629020653e-05,-0.0004015960359139,-2.92342796239199e-06,-0.00035717411514643,0.013957829844164,0.00013203867521625,-0.00011122420170887,0.000376652915361689,0.00017728556983675,0.000539579044900513,0.000611960665353996,0.000567303512049965,0.000276901662187257,0.000312706456340374,0.000237037534278309,0.000197720071246808,0.000100958968975028,0.000695244983523454,0.000277818583182134,0.000164587869291673,-0.000379066897006472,0.000229892158855732,0.000230904708722707,0.000211024631449288,0.000165562098608006,-0.000102082662641473,-0.000416348004861716,-0.000488397513038859,-0.000614924455041808,-0.00255210884907785,0.0133843955754589,0.0153672922810942,0.0200586141831499,-2.8420922901729e-05,-4.45003517254464e-05,-5.48666778381193e-05,-5.92129038722551e-05,-0.000249056723455059,-0.000237054892736288,-0.000182186861423731,4.36212656632727e-05,-9.87774569702577e-05,-5.14444429918864e-05,-4.18402046302717e-05,-1.28932805082107e-05
