"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_usodisp","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta2",1,0.287539119259714,0.0418452563714367,-0.2138253246624,-0.10851188886149,-0.00625448571075743,0.00575956379787476,0.0801912636501465,0.0182254222052813,0.0889550394498292,-0.00831388208442694,0.0199328493258406,0.132380021976609,0.0521362114699446,-0.0244986936138496,0.0211929276737565,-0.00677851134326665,0.0393662459509232,-0.0354022308891925,-0.0252861997992323,-0.0217274488446539,-0.0135176878321553
"asc_ruta3",0.287539119259714,1,0.0267054238020383,-0.302279450730063,-0.0562469381892884,-0.0105479152292015,0.00272237408672102,0.0655231400466603,-0.0750804144320843,0.0490536005159759,-0.00765065628256489,0.00922493036069178,0.170913130938918,0.0266501318972601,-0.0331635871431741,0.0377002047254708,0.00262957085137417,0.0369234798208933,-0.034459211918802,-0.0236285622313592,-0.030745167190002,-0.0137253963684765
"asc_rutaEC",0.0418452563714367,0.0267054238020383,1,0.083019330240878,-0.067103483068706,0.012149907358192,-0.0115522124362254,0.030372994101621,-0.0338737704424759,-0.0344844799518845,0.0205450265097576,-0.353368873430137,-0.0848543421308804,-0.00789023688318591,-0.217132610508671,-0.758025713994332,0.00266691883689209,-0.153546630378571,-0.0375610795920986,-0.314800481331459,-0.322845185152443,-0.310746720315017
"b_time",-0.2138253246624,-0.302279450730063,0.083019330240878,1,-0.290918109497665,0.0563380701235473,-0.0310897088494425,-0.139643576564857,-0.0602460040025957,-0.0845548263583997,0.0172119900013983,-0.0365818621549492,-0.533975712869654,-0.0821162670978922,0.0296679153185033,-0.125991804495742,-0.0337100620314081,-0.0527223497154083,0.139387571854163,0.000514492066494573,-0.00387341345535457,-0.0153407618495671
"b_dist",-0.10851188886149,-0.0562469381892884,-0.067103483068706,-0.290918109497665,1,-0.108663254287935,0.0457430465019037,0.0132798456906415,-0.0139666066928641,-0.00496952949952266,-0.0575840501153154,0.0610004775444688,0.103347581116913,-0.0550805554501122,0.0511910635066345,0.0602460072712057,0.0476686199761578,-0.0534412760363844,0.00774101139448058,0.0802840463843132,0.109428086208341,0.070577151353028
"b_semaf",-0.00625448571075743,-0.0105479152292015,0.012149907358192,0.0563380701235473,-0.108663254287935,1,-0.442458896700677,-0.0263939204946184,-0.0701921752413618,-0.125605320413896,0.00516375522357215,0.0519630112995548,-0.063326670026272,-0.0179572547330085,-0.0381392360974436,-0.00921817818529231,-0.0378185970933071,-0.0156161255390579,-0.000530430420278374,-0.0255212127939351,-0.0490081962700764,-0.0186585162534019
"b_CamFD",0.00575956379787476,0.00272237408672102,-0.0115522124362254,-0.0310897088494425,0.0457430465019037,-0.442458896700677,1,0.0052936157155538,0.0233484341490071,0.0521351201392392,-0.00473415054327251,-0.0155233042189363,0.0314236806864986,0.0148504863154704,0.0464308659379689,0.00253375781411095,-0.00485810281318964,0.00867028764662825,-0.00990652551630486,0.0263248597255305,0.0317278795633108,0.0088452839233898
"b_ZER",0.0801912636501465,0.0655231400466603,0.030372994101621,-0.139643576564857,0.0132798456906415,-0.0263939204946184,0.0052936157155538,1,0.0335419565364566,0.0211261415720322,0.0325734017706455,-0.0225154941329538,0.0343045767182302,-0.0331960839992032,-0.0365451702760799,0.0074497897660937,0.0573838391130417,0.0244761436696505,0.0363271366296534,-0.0135115090445416,-0.0418995327059599,-0.00424339827403363
"b_MtrP",0.0182254222052813,-0.0750804144320843,-0.0338737704424759,-0.0602460040025957,-0.0139666066928641,-0.0701921752413618,0.0233484341490071,0.0335419565364566,1,0.022560127289273,-0.0661498669040341,0.0654187697873818,0.0448159600253421,0.0784621604947312,0.0565215316217771,-0.0280102427875418,-0.0124244038898714,0.0788463080488505,-0.0289443344423186,-0.0382037762057129,0.0674454765112023,0.00881109564481187
"b_Acc",0.0889550394498292,0.0490536005159759,-0.0344844799518845,-0.0845548263583997,-0.00496952949952266,-0.125605320413896,0.0521351201392392,0.0211261415720322,0.022560127289273,1,0.00729050820877152,0.0205347350948417,0.133825318951483,0.0192610780079203,0.0356605165775575,-0.0155291046101276,-0.0404843717875588,0.040225087706742,0.0104073517557161,0.0526533376812899,0.0985780119837666,0.0620809316512798
