"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_usodisp","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta2",0.0367435481881478,0.0141809864695723,0.00657838149555609,-0.00105970000911442,-0.00233520862138395,-4.54863218232032e-06,9.48609149180372e-06,0.00100940209258677,0.000479686860516356,0.00425680180817606,-0.000247445401078967,0.00113156834241563,0.000258045365904599,0.00238448467783833,-6.05823944692366e-05,0.000222596520234158,-0.000309062866097451,0.000334635401810076,-0.000296484181267993,-0.0028026243786111,-0.00174457760475005,-0.000926779877937025
"asc_ruta3",0.0141809864695723,0.0661969403761056,0.00563508808794389,-0.00201076276601611,-0.00162470927937526,-1.02963727897117e-05,6.01830135329164e-06,0.00110703221132491,-0.00265237727406723,0.00315073716679545,-0.000305634678422951,0.000702915165772727,0.000447174940331732,0.00163599827589213,-0.000110076197900552,0.000531495431398733,0.000160925841894774,0.000421287835053278,-0.000387350971780126,-0.00351517571048186,-0.00331349888184033,-0.00126307020440661
"asc_rutaEC",0.00657838149555609,0.00563508808794389,0.672611909916624,0.00176033268890267,-0.00617852994278769,3.78054064896018e-05,-8.14056620890197e-05,0.00163574830843245,-0.00381448134388542,-0.00706038339947406,0.0026162181990462,-0.085828481174081,-0.000707684064852677,-0.00154396282359146,-0.00229731364619161,-0.034064583517067,0.00052025232518458,-0.0055844435224954,-0.00134586250309687,-0.149282344930573,-0.11090920729927,-0.0911533149406089
"b_time",-0.00105970000911442,-0.00201076276601611,0.00176033268890267,0.000668446269212801,-0.000844426442693236,5.52629274171117e-06,-6.90648505682051e-06,-0.000237083217688249,-0.000213870643787647,-0.000545750298025585,6.90954288772059e-05,-0.000280104392673169,-0.000140390533798325,-0.000506555425181736,9.89539750045169e-06,-0.000178489394697104,-0.000207307377642881,-6.04484745657526e-05,0.000157448183716736,7.69135254288275e-06,-4.19486626341375e-05,-0.000141861261244908
"b_dist",-0.00233520862138395,-0.00162470927937526,-0.00617852994278769,-0.000844426442693236,0.0126042100449604,-4.62848853461648e-05,4.41255438396267e-05,9.79033251175439e-05,-0.000215297208004661,-0.000139282135419951,-0.00100379494227546,0.00202820528336267,0.000117988913382299,-0.00147543692323981,7.41421080892225e-05,0.000370614967564229,0.00127295294327854,-0.000266067587488987,3.79695869939485e-05,0.00521168133565501,0.00514609300339398,0.00283403740608122
"b_semaf",-4.54863218232032e-06,-1.02963727897117e-05,3.78054064896018e-05,5.52629274171117e-06,-4.62848853461648e-05,1.43945249886792e-05,-1.44237694078897e-05,-6.57580870308239e-06,-3.65659658118295e-05,-0.000118967690938568,3.04193056170267e-06,5.8386687754266e-05,-2.44325271428504e-06,-1.62556048189553e-05,-1.866739087314e-06,-1.91637561698146e-06,-3.41291944541869e-05,-2.62741876337568e-06,-8.79240009934266e-08,-5.59874595570242e-05,-7.78858203656009e-05,-2.53197498703238e-05
"b_CamFD",9.48609149180372e-06,6.01830135329164e-06,-8.14056620890197e-05,-6.90648505682051e-06,4.41255438396267e-05,-1.44237694078897e-05,7.38268501278879e-05,2.98680024407308e-06,2.75457504304454e-05,0.000111830399409196,-6.31588499893227e-06,-3.95013735412505e-05,2.74566338359678e-06,3.04447467687718e-05,5.14667702142093e-06,1.19291401116887e-06,-9.92877858267932e-06,3.30368028763271e-06,-3.71885189475425e-06,0.000130786831790287,0.000114192933297589,2.71833254283708e-05
"b_ZER",0.00100940209258677,0.00110703221132491,0.00163574830843245,-0.000237083217688249,9.79033251175439e-05,-6.57580870308239e-06,2.98680024407308e-06,0.00431214340168961,0.000302429859654285,0.000346329201019671,0.00033211974318165,-0.000437873778593722,2.29077129124712e-05,-0.000520113316063808,-3.09591871321012e-05,2.68057204044151e-05,0.000896309815020938,7.1276592225058e-05,0.000104221691011864,-0.000513028199924772,-0.00115251553448974,-9.9665311800484e-05
"b_MtrP",0.000479686860516356,-0.00265237727406723,-0.00381448134388542,-0.000213870643787647,-0.000215297208004661,-3.65659658118295e-05,2.75457504304454e-05,0.000302429859654285,0.0188529517970838,0.000773309867675762,-0.00141027443472846,0.00266019155396281,6.25756618767912e-05,0.0025704813753982,0.000100119013663289,-0.00021073827489458,-0.000405776782259465,0.000480096320396622,-0.000173633530860806,-0.00303310018127145,0.00387912269932491,0.000432716276116992
"b_Acc",0.00425680180817606,0.00315073716679545,-0.00706038339947406,-0.000545750298025585,-0.000139282135419951,-0.000118967690938568,0.000111830399409196,0.000346329201019671,0.000773309867675762,0.0623224697328094,0.000282595414693951,0.0015182115503847,0.000339737654437113,0.00114727475752394,0.000114847863309664,-0.000212424992709795,-0.00240398463019284,0.000445324576723504,0.000113512296901572,0.00760044495377082,0.0103084506016117,0.00554324648546275
