"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_usodisp","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta2",1,0.323737058250328,0.123415946466171,-0.276640792855595,-0.144765345521603,-0.105490411551762,0.0922799613825631,0.144023870557763,0.0119455614861505,0.152759573809774,-0.0543293723675785,-0.148325263463014,0.13459745591676,-0.00193658074532577,0.0429151031232451,0.0161959406833853,0.0161307724550801,0.001758395086328,-0.0114580825302164,-0.0226706240470241,-0.0681728195312978,-0.0827107265600838
"asc_ruta3",0.323737058250328,1,0.106415960175044,-0.528640334743128,0.0492341798113513,0.00466941165500794,0.00480438167641077,0.0799310386177517,-0.125531594841282,-0.0699714851225635,-0.0221275650998286,-0.0866024647785034,0.090957928198981,-0.0144852692220704,-0.0379903152142675,0.0441415355334717,0.0337605522538108,0.0684041533532645,0.0116876451785944,-0.047256209895503,-0.100314170067063,-0.0937348870677038
"asc_rutaEC",0.123415946466171,0.106415960175044,1,0.0283909584630435,-0.05591609192808,0.0395330356525268,-0.073289507741482,0.14376307472913,-0.0748612548402523,-0.0104030160399184,-0.00448343464094933,-0.391415180710236,-0.132937919079314,-0.0163294678071255,-0.18606490662913,-0.754896756578204,-0.00558042837447703,-0.20475601575111,-0.0879878025483676,-0.279511573477731,-0.303353584777828,-0.316550589221105
"b_time",-0.276640792855595,-0.528640334743128,0.028390958463041,1,-0.324024393363687,0.146131260484873,-0.145152157916437,-0.169576432605892,-0.0858842371700545,0.0774575215918955,0.00340426786464027,0.0481609196670337,-0.47010806970284,0.00447250796613981,0.0767236906753613,-0.145051856270636,-0.0665134171847611,-0.145534710099711,0.128663143175306,0.0212832800541028,0.0128594010798737,-0.0131988347639471
"b_dist",-0.144765345521603,0.0492341798113513,-0.055916091928081,-0.324024393363688,1,-0.243339670755885,0.189369888868216,-0.0721053502351347,0.145559145092362,-0.0895182422377058,0.0671727770610866,0.106167123816202,0.0380115670187326,-0.0772117118716139,0.0354888273455694,0.0785100910057188,0.0299642972789355,-0.0542842437576678,-0.00588539493702257,0.0291666169597403,0.119677029752811,0.0911947577613747
"b_semaf",-0.105490411551762,0.00466941165500794,0.0395330356525269,0.146131260484873,-0.243339670755884,1,-0.783451042708829,-0.0318102515839641,-0.206499766328637,-0.474981992954455,0.102003019827145,0.283633718143762,-0.252729761195758,-0.143945297228594,-0.204459048790024,-0.010325431541614,-0.18736323597337,-0.10944940451411,0.00167747767162024,-0.122400454408607,-0.216938791332713,-0.0740624788322752
"b_CamFD",0.0922799613825631,0.00480438167641074,-0.0732895077414804,-0.145152157916437,0.189369888868216,-0.783451042708829,1,-0.0046236326857495,0.178042773386662,0.359990866603947,-0.0829518764337701,-0.187150346695887,0.180345565280927,0.167214125344801,0.258011131286575,0.0266573666988187,0.0671894833960249,0.11454212692383,-0.0826537548440764,0.116071027735547,0.204363677739104,0.0507167142218162
"b_ZER",0.144023870557763,0.0799310386177518,0.14376307472913,-0.169576432605892,-0.0721053502351347,-0.0318102515839641,-0.00462363268574954,1,0.0284169672458663,0.0422234092562334,-0.0147110427475372,-0.111779929022908,0.110734396839286,-0.0301851034364534,-0.0294452478727681,-0.102079935748092,0.0514002329121778,0.0110164658803339,-0.000201802511079348,0.0555248287722599,-0.0450542890164774,0.0665467217119779
"b_MtrP",0.0119455614861505,-0.125531594841282,-0.0748612548402522,-0.0858842371700545,0.145559145092362,-0.206499766328637,0.178042773386662,0.0284169672458663,1,0.105447591923118,-0.0553337214304119,0.0653690558062388,0.101910309327042,0.0455560776864229,0.122079418384521,-0.0103003175427812,0.0181176923490479,0.0949501223292057,-0.00860356938527145,0.0031643329177845,0.119315327532571,0.0353843189887061
"b_Acc",0.152759573809774,-0.0699714851225634,-0.0104030160399178,0.0774575215918956,-0.089518242237706,-0.474981992954455,0.359990866603947,0.0422234092562334,0.105447591923118,1,-0.0626832584105692,-0.0785542018371222,0.201129644702978,0.0644370250924861,0.112779585141371,-0.090640349085707,-0.005003196506527,0.136317370444275,-0.0495890839104108,0.128831620847749,0.186240761987105,0.141689207775086
"b_Panel",-0.0543293723675785,-0.0221275650998286,-0.00448343464094875,0.00340426786464037,0.0671727770610868,0.102003019827145,-0.0829518764337701,-0.0147110427475372,-0.055333721430412,-0.0626832584105692,1,-0.0124417052538216,-0.00681127190833147,0.00282181012636894,0.0261534021747726,0.0450157138225084,-0.00109253879058867,-0.111724810548502,0.0827108585349827,-0.0454395506438462,-0.0161668506013973,-0.0236306492568058
"b_clima",-0.148325263463014,-0.0866024647785031,-0.39141518071024,0.0481609196670325,0.106167123816202,0.283633718143762,-0.187150346695886,-0.111779929022908,0.065369055806239,-0.0785542018371219,-0.0124417052538215,1,-0.0431631295775818,-0.0492144923454368,-0.0370274059135087,0.0349261816116781,-0.190688167896452,-0.00626637445156604,0.0407437462835031,-0.0420907246345551,-0.0825178686348007,-0.020624860558101
"b_cong",0.13459745591676,0.0909579281989812,-0.132937919079313,-0.470108069702839,0.0380115670187324,-0.252729761195758,0.180345565280927,0.110734396839286,0.101910309327042,0.201129644702978,-0.00681127190833146,-0.0431631295775828,1,-0.0259189380951602,-0.0465396560183049,0.0122753399508279,0.125324086713801,0.146540696226595,-0.130986725415962,0.134654656938173,0.182835823225253,0.165564513443615
"b_Hvalle",-0.0019365807453257,-0.0144852692220705,-0.0163294678071261,0.00447250796614007,-0.0772117118716141,-0.143945297228594,0.167214125344801,-0.0301851034364535,0.045556077686423,0.0644370250924861,0.00282181012636895,-0.0492144923454354,-0.0259189380951603,1,0.0244363163746904,-0.115441303917103,0.0543170043317522,0.0575333140190888,0.0124098364766235,-0.0782229857082933,0.0246910494119691,0.0130358827202239
"b_T_prof",0.0429151031232449,-0.0379903152142678,-0.186064906629129,0.0767236906753617,0.0354888273455687,-0.204459048790024,0.258011131286575,-0.0294452478727681,0.122079418384521,0.112779585141371,0.0261534021747725,-0.0370274059135088,-0.0465396560183044,0.0244363163746908,1,-0.0900911470136062,-0.103020920393552,0.0234960984599392,-0.0780122983142301,0.343643878237901,0.335179003017375,0.176876627928458
"b_Hor_trab",0.0161959406833858,0.0441415355334727,-0.754896756578205,-0.145051856270639,0.0785100910057188,-0.0103254315416139,0.0266573666988202,-0.102079935748092,-0.0103003175427812,-0.090640349085706,0.0450157138225087,0.0349261816116749,0.0122753399508289,-0.115441303917104,-0.0900911470136026,1,-0.0750332417131802,0.108444529858618,0.0729020466596057,-0.0200670882194854,-0.0735395839104037,-0.0933084941562122
"b_EduBasica",0.0161307724550801,0.033760552253811,-0.00558042837447719,-0.0665134171847613,0.0299642972789359,-0.18736323597337,0.0671894833960246,0.0514002329121778,0.0181176923490479,-0.00500319650652705,-0.00109253879058865,-0.190688167896451,0.125324086713801,0.0543170043317522,-0.103020920393553,-0.0750332417131788,1,0.0287593783321235,-0.00651111047496423,0.0234653641696887,-0.0576992047689139,-0.00456288905623807
"b_Info_traf",0.00175839508632808,0.0684041533532646,-0.204756015751107,-0.145534710099711,-0.054284243757668,-0.10944940451411,0.11454212692383,0.0110164658803341,0.0949501223292056,0.136317370444275,-0.111724810548502,-0.00626637445156769,0.146540696226595,0.0575333140190889,0.023496098459939,0.108444529858615,0.0287593783321233,1,-0.143264379791189,0.0158169791568335,0.124744050352374,0.126357853040951
"b_usodisp",-0.0114580825302164,0.0116876451785944,-0.0879878025483668,0.128663143175305,-0.00588539493702272,0.00167747767162044,-0.0826537548440763,-0.000201802511079295,-0.00860356938527144,-0.0495890839104108,0.0827108585349828,0.0407437462835029,-0.130986725415962,0.0124098364766235,-0.0780122983142298,0.0729020466596052,-0.00651111047496419,-0.143264379791189,1,-0.136222865319327,-0.177052808913904,-0.0559433139027816
"b_Joven30",-0.0226706240470239,-0.0472562098955029,-0.279511573477728,0.0212832800541027,0.02916661695974,-0.122400454408607,0.116071027735547,0.0555248287722601,0.00316433291778432,0.128831620847749,-0.0454395506438461,-0.0420907246345566,0.134654656938173,-0.0782229857082938,0.343643878237899,-0.0200670882194886,0.0234653641696884,0.0158169791568342,-0.136222865319326,1,0.559736266782202,0.555687285597479
"b_Adulto40",-0.0681728195312975,-0.100314170067063,-0.303353584777824,0.0128594010798739,0.11967702975281,-0.216938791332713,0.204363677739104,-0.0450542890164771,0.11931532753257,0.186240761987105,-0.016166850601397,-0.0825178686348041,0.182835823225252,0.0246910494119687,0.335179003017374,-0.0735395839104092,-0.0576992047689131,0.124744050352374,-0.177052808913903,0.559736266782202,1,0.747062552147971
"b_Adulto60",-0.0827107265600839,-0.0937348870677038,-0.316550589221104,-0.0131988347639474,0.0911947577613743,-0.0740624788322754,0.0507167142218164,0.0665467217119779,0.0353843189887063,0.141689207775086,-0.0236306492568059,-0.0206248605581006,0.165564513443615,0.0130358827202244,0.176876627928458,-0.0933084941562173,-0.0045628890562385,0.126357853040952,-0.0559433139027811,0.555687285597482,0.747062552147976,1
