"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_usodisp","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta2",0.0382587920141382,0.0177810100457346,0.0210072064334178,-0.00167340852214581,-0.0031285864051075,-3.18500777487886e-05,3.59858126846184e-05,0.00169756846834068,0.000282005993464931,0.00758232037899009,-0.00140396904996265,-0.00894957742390645,0.000292459438311613,-9.04992205494166e-05,0.000112895154859192,0.000177741425743237,0.000766354395938336,1.62762764482389e-05,-9.90916471914743e-05,-0.0025646721174066,-0.00567220687534883,-0.00593513028000754
"asc_ruta3",0.0177810100457346,0.0788491051843494,0.0260037840548588,-0.00459069891262416,0.00152750629195724,2.02391575428515e-06,2.68964009753545e-06,0.00135251171546441,-0.00425439269909848,-0.00498594567704472,-0.000820898063261036,-0.007501539691451,0.000283727941925195,-0.000971781346435909,-0.000143473204353841,0.000695444819826508,0.00230259092125969,0.000908978949794769,0.000145105835451101,-0.00767467546857972,-0.0119821802381253,-0.00965611521225593
"asc_rutaEC",0.0210072064334177,0.0260037840548587,0.757291001986375,0.00076406724405063,-0.00537633255542972,5.31035366729063e-05,-0.000127154427602726,0.0075388646441287,-0.00786275321021988,-0.00229730539537713,-0.000515465330698528,-0.105072928835401,-0.00128511927754328,-0.00339505669985376,-0.00217768662674037,-0.0368583434907123,-0.00117952675899568,-0.00843220270085951,-0.0033854261522371,-0.1406805125375,-0.112293781971233,-0.101059540312267
"b_time",-0.00167340852214581,-0.00459069891262416,0.000764067244050562,0.000956401520851349,-0.00110717367484552,6.97581802560105e-06,-8.94956465495292e-06,-0.000316018726533472,-0.000320567680839854,0.000607871513860318,1.39091654650709e-05,0.000459448327453741,-0.000161503150567945,3.30456922706496e-05,3.19116405305386e-05,-0.000251686705058678,-0.000499618200613231,-0.000212990230503138,0.000175927511946416,0.000380681206692432,0.000169167156767306,-0.000149747132503978
"b_dist",-0.0031285864051075,0.00152750629195724,-0.00537633255542982,-0.00110717367484552,0.0122077557562078,-4.15013969428818e-05,4.17145078682583e-05,-0.000480078880917446,0.00194108054026368,-0.00250990641077891,0.000980547052347273,0.00361850970866517,4.66548559818634e-05,-0.00203819015583415,5.27362302084703e-05,0.000486698773566139,0.000804138534604576,-0.000283834169639153,-2.87510031378669e-05,0.00186383182280971,0.00562475870923064,0.00369649892103615
"b_semaf",-3.18500777487885e-05,2.02391575428515e-06,5.31035366729065e-05,6.97581802560104e-06,-4.15013969428817e-05,2.38266928781276e-06,-2.41102675931116e-06,-2.95887202823133e-06,-3.84713646400796e-05,-0.00018605317898433,2.08018582264867e-05,0.00013505526392815,-4.3336260590215e-06,-5.30851399616231e-05,-4.24460944261429e-06,-8.94245884950195e-07,-7.02465699767325e-05,-7.99499609332229e-06,1.14484872940269e-07,-0.000109274206649259,-0.000142444038689814,-4.19404340620799e-05
"b_CamFD",3.59858126846184e-05,2.68964009753543e-06,-0.000127154427602723,-8.94956465495293e-06,4.17145078682583e-05,-2.41102675931116e-06,3.97481178090718e-06,-5.55480482794131e-07,4.28419054670194e-05,0.000182128467231328,-2.18495108148379e-05,-0.000115098773166984,3.99417340172599e-06,7.9647995091551e-05,6.91824987018027e-06,2.98189526659094e-06,3.25363212398395e-05,1.08067846393698e-05,-7.28585203045759e-06,0.00013383967167986,0.000173315407609089,3.70947276854377e-05
"b_ZER",0.00169756846834068,0.00135251171546441,0.0075388646441287,-0.000316018726533472,-0.000480078880917445,-2.95887202823133e-06,-5.55480482794136e-07,0.00363123528476203,0.000206676484296333,0.000645666951778082,-0.000117119139188611,-0.00207784333125663,7.4126399003638e-05,-0.000434573726132345,-2.3863927775078e-05,-0.000345131372225644,0.000752317463297089,3.14153901788e-05,-5.37666819091754e-07,0.00193516130501752,-0.00115488439891402,0.00147114897827154
"b_MtrP",0.000282005993464932,-0.00425439269909848,-0.00786275321021986,-0.000320567680839854,0.00194108054026367,-3.84713646400796e-05,4.28419054670194e-05,0.000206676484296333,0.0145670726910231,0.00322961591217254,-0.000882334462596494,0.00243377334369553,0.000136636719696577,0.00131363911354489,0.000198165529328851,-6.97515097948621e-05,0.00053112639613231,0.000542318777237586,-4.59117962210774e-05,0.000220887460069041,0.00612572590587311,0.00156675027322462
"b_Acc",0.00758232037899008,-0.00498594567704471,-0.002297305395377,0.000607871513860319,-0.00250990641077891,-0.00018605317898433,0.000182128467231328,0.000645666951778082,0.00322961591217254,0.0643955908371951,-0.00210153607458173,-0.00614920909364138,0.000566979447254318,0.00390667380452871,0.000384909008270812,-0.00129052520432921,-0.000308378781458007,0.00163701340418855,-0.000556382711169849,0.0189083348829333,0.0201037921275238,0.0131906935876815
"b_Panel",-0.00140396904996265,-0.000820898063261035,-0.000515465330698461,1.39091654650712e-05,0.000980547052347275,2.08018582264867e-05,-2.18495108148379e-05,-0.000117119139188611,-0.000882334462596495,-0.00210153607458173,0.0174547823859595,-0.000507059474894585,-9.9965145126176e-06,8.90694169620209e-05,4.64713113766433e-05,0.000333686176633745,-3.50592762242526e-05,-0.000698521560672532,0.000483146928637717,-0.00347211415920654,-0.000908568808804491,-0.00114534326757948
"b_clima",-0.00894957742390645,-0.00750153969145098,-0.105072928835402,0.000459448327453729,0.00361850970866517,0.00013505526392815,-0.000115098773166984,-0.00207784333125663,0.00243377334369554,-0.00614920909364136,-0.00050705947489458,0.0951576150564322,-0.000147910111362122,-0.00362709045540208,-0.000153618874144562,0.000604490858523453,-0.0142874387545985,-9.14768258567073e-05,0.000555702317613714,-0.0075094983388701,-0.0108279179305506,-0.00233407920444715
"b_cong",0.000292459438311613,0.000283727941925196,-0.00128511927754327,-0.000161503150567945,4.66548559818632e-05,-4.33362605902151e-06,3.99417340172599e-06,7.4126399003638e-05,0.000136636719696576,0.000566979447254318,-9.99651451261758e-06,-0.000147910111362125,0.000123403173194183,-6.878978792702e-05,-6.95321805377466e-06,7.6509179960706e-06,0.000338147805504514,7.70361169196934e-05,-6.43353878929268e-05,0.000865141788429986,0.000863971933027514,0.000674734962924313
"b_Hvalle",-9.04992205494131e-05,-0.00097178134643592,-0.00339505669985388,3.30456922706516e-05,-0.00203819015583415,-5.30851399616231e-05,7.96479950915509e-05,-0.000434573726132347,0.00131363911354489,0.00390667380452871,8.90694169620212e-05,-0.00362709045540197,-6.87897879270201e-05,0.0570804259097899,7.85197409650481e-05,-0.0015474680150082,0.00315201498591774,0.000650483017594574,0.000131089871056588,-0.0108088811027696,0.00250933318549466,0.00114258058712856
"b_T_prof",0.000112895154859191,-0.000143473204353842,-0.00217768662674035,3.19116405305388e-05,5.27362302084694e-05,-4.24460944261429e-06,6.91824987018027e-06,-2.3863927775078e-05,0.000198165529328851,0.000384909008270813,4.6471311376643e-05,-0.000153618874144563,-6.95321805377459e-06,7.85197409650492e-05,0.000180883533365762,-6.79827123582605e-05,-0.000336537762725214,1.49543740475238e-05,-4.63897534302617e-05,0.00267307335358743,0.00191757120844147,0.000872715642592098
"b_Hor_trab",0.000177741425743243,0.000695444819826524,-0.0368583434907124,-0.000251686705058683,0.000486698773566139,-8.94245884950187e-07,2.98189526659112e-06,-0.000345131372225643,-6.9751509794862e-05,-0.0012905252043292,0.000333686176633747,0.000604490858523398,7.65091799607118e-06,-0.00154746801500821,-6.79827123582578e-05,0.00314799265605324,-0.00102253792949889,0.000287936999673425,0.000180848974770778,-0.000651184363799909,-0.00175514581388522,-0.00192061727067946
"b_EduBasica",0.000766354395938336,0.00230259092125971,-0.00117952675899571,-0.000499618200613232,0.000804138534604586,-7.02465699767325e-05,3.25363212398394e-05,0.00075231746329709,0.00053112639613231,-0.00030837878145801,-3.50592762242519e-05,-0.0142874387545985,0.000338147805504514,0.00315201498591774,-0.000336537762725216,-0.00102253792949888,0.0589953419127901,0.000330568391567326,-6.99235389063973e-05,0.00329639243206018,-0.00596147693312035,-0.000406585198560218
"b_Info_traf",1.62762764482396e-05,0.00090897894979477,-0.00843220270085937,-0.000212990230503138,-0.000283834169639154,-7.99499609332228e-06,1.08067846393698e-05,3.14153901788004e-05,0.000542318777237586,0.00163701340418855,-0.000698521560672531,-9.14768258567313e-05,7.70361169196933e-05,0.000650483017594575,1.49543740475237e-05,0.000287936999673417,0.000330568391567324,0.00223947355704862,-0.000299757921227219,0.000432911637141757,0.0025111230216904,0.00219370387014977
"b_usodisp",-9.90916471914744e-05,0.000145105835451102,-0.00338542615223707,0.000175927511946415,-2.87510031378676e-05,1.14484872940282e-07,-7.28585203045757e-06,-5.37666819091612e-07,-4.59117962210773e-05,-0.000556382711169849,0.000483146928637717,0.000555702317613711,-6.43353878929267e-05,0.000131089871056587,-4.63897534302616e-05,0.000180848974770776,-6.99235389063968e-05,-0.000299757921227219,0.00195487480726902,-0.00348347128171568,-0.0033299481797374,-0.000907424410129772
"b_Joven30",-0.00256467211740657,-0.0076746754685797,-0.140680512537499,0.000380681206692429,0.00186383182280969,-0.000109274206649259,0.00013383967167986,0.00193516130501752,0.000220887460069029,0.0189083348829333,-0.00347211415920653,-0.00750949833887037,0.00086514178842998,-0.0108088811027697,0.00267307335358742,-0.000651184363800012,0.00329639243206014,0.000432911637141774,-0.00348347128171566,0.334507220849687,0.137708698738344,0.1179060261782
"b_Adulto40",-0.0056722068753488,-0.0119821802381253,-0.112293781971231,0.000169167156767308,0.0056247587092306,-0.000142444038689814,0.000173315407609089,-0.00115488439891401,0.0061257259058731,0.0201037921275238,-0.000908568808804474,-0.0108279179305511,0.000863971933027508,0.00250933318549463,0.00191757120844146,-0.00175514581388535,-0.00596147693312027,0.00251112302169041,-0.00332994817973739,0.137708698738344,0.180946571245488,0.116582923055325
"b_Adulto60",-0.00593513028000754,-0.00965611521225593,-0.101059540312267,-0.000149747132503982,0.00369649892103613,-4.194043406208e-05,3.70947276854379e-05,0.00147114897827154,0.00156675027322463,0.0131906935876815,-0.00114534326757948,-0.0023340792044471,0.000674734962924312,0.0011425805871286,0.000872715642592095,-0.00192061727067957,-0.000406585198560255,0.00219370387014978,-0.000907424410129765,0.1179060261782,0.116582923055325,0.134587767037365
