"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60"
"asc_ruta2",0.0361347878324462,0.013127084495769,0.00833972662344491,-0.000788153253567199,-0.00250324278553757,1.75562713599111e-06,1.91262932516838e-06,0.000946987000377034,0.00023123636100627,0.0033639057511944,-0.000320489190158937,0.00152437982994418,0.000754395606160389,0.00235836781208765,-5.16140551062556e-05,0.000187560467037142,-0.000741454936078261,0.0012299524926651,-0.00371802044222365,-0.0030081531785265,-0.00140285781076304
"asc_ruta3",0.013127084495769,0.0643333779922061,0.00910228028359036,-0.00147739172638349,-0.00209282446820086,6.61409084572577e-07,-6.66219253500565e-06,0.00100758755111767,-0.00304201265429207,0.00169299645643331,-0.000360342865668099,0.00118994463727749,0.000725925580976664,0.00170068759397077,-8.59866324955915e-05,0.000464328389224936,-0.000842515536782306,0.00136153943796604,-0.00516430110719478,-0.00539832606096412,-0.00217870693194369
"asc_rutaEC",0.00833972662344491,0.00910228028359036,0.668597040099693,0.00120553018684383,-0.00606108529018457,2.37818911886996e-05,-5.93558572849228e-05,0.00195444210799614,-0.00331917975521699,-0.00433824881689783,0.00307367567118998,-0.0871332252000329,-0.00510725139378717,-0.00175772384689335,-0.00235972087909137,-0.0337471933881347,-0.000588780760027393,-0.0391059920757421,-0.154417414268522,-0.114297795137368,-0.0931961702174529
"b_time",-0.000788153253567199,-0.00147739172638349,0.00120553018684383,0.000546531573070502,-0.000755056050084312,2.74391951656938e-06,-2.86121947996583e-06,-0.000205277026614657,-0.000124834170162876,-0.00017922946371991,9.66589440680347e-05,-0.000549811182387242,-0.000608485417591414,-0.000471432248639097,4.80107718156632e-06,-0.000174088806565004,1.74890758592398e-05,-0.000186889381814411,0.000251268511617784,0.000457997935356497,-1.90473664958454e-05
"b_dist",-0.00250324278553757,-0.00209282446820086,-0.00606108529018457,-0.000755056050084312,0.0125474529507594,-4.37833518524758e-05,4.03241046402033e-05,5.03775590108632e-05,-0.000211366059168804,-0.000525570333678605,-0.00109404467339568,0.00220683820329827,0.000540636283041211,-0.00150906886221965,8.17859296967853e-05,0.000392808064418788,0.00106411637643909,-0.000820705540991318,0.00547111105406071,0.0051200023404122,0.00281172103639419
"b_semaf",1.75562713599111e-06,6.61409084572577e-07,2.37818911886996e-05,2.74391951656938e-06,-4.37833518524758e-05,1.43567439891748e-05,-1.43754135290245e-05,-5.90472611621727e-06,-3.53538585730767e-05,-0.000110194534632762,3.04836915657443e-06,5.22534115409193e-05,-6.08234354230215e-06,-1.59077278632363e-05,-1.969830413951e-06,-1.58248685253632e-06,-2.89012851730154e-05,-2.08136184736003e-05,-5.0909802178658e-05,-7.09194194469052e-05,-2.29136791637076e-05
"b_CamFD",1.91262932516838e-06,-6.66219253500565e-06,-5.93558572849228e-05,-2.86121947996583e-06,4.03241046402033e-05,-1.43754135290245e-05,7.65430772743894e-05,2.42730482871693e-06,2.52424358490817e-05,0.000100481335027584,-5.53466315291659e-06,-3.49939763542454e-05,-1.39747200543082e-06,3.20008043146739e-05,5.34695743911555e-06,6.26709290051708e-07,-1.88587527443831e-05,1.76708436135827e-05,0.00011359746122866,9.51169927972992e-05,1.89591190111132e-05
"b_ZER",0.000946987000377034,0.00100758755111767,0.00195444210799614,-0.000205277026614657,5.03775590108632e-05,-5.90472611621727e-06,2.42730482871693e-06,0.00431416386222223,0.000268827213325816,0.000242080175439878,0.000289044262369004,-0.000450797121167189,-7.69848475188253e-06,-0.000499858506912075,-2.90630012177768e-05,2.27941034627851e-05,0.000869387852821992,0.000701571910529674,-0.000513651667809264,-0.0011309202293293,-0.000161298363673199
"b_MtrP",0.00023123636100627,-0.00304201265429207,-0.00331917975521699,-0.000124834170162876,-0.000211366059168804,-3.53538585730767e-05,2.52424358490817e-05,0.000268827213325816,0.0188332777657498,0.000576814061191131,-0.00137171642608504,0.0026847423242505,6.09633087577852e-05,0.00266209775355662,0.000100837240966991,-0.00022700401487294,-0.000506480770916934,0.0030046081735632,-0.00372557189692509,0.00337299741029371,0.000199247752789141
"b_Acc",0.0033639057511944,0.00169299645643331,-0.00433824881689783,-0.00017922946371991,-0.000525570333678605,-0.000110194534632762,0.000100481335027584,0.000242080175439878,0.000576814061191131,0.061669561944047,0.000113279691731649,0.00223778000723941,0.00128941579776203,0.00102737630039674,0.000139249494642249,-0.000340670089166687,-0.00266372563695705,0.00219665549682803,0.00769288706089017,0.00977244551038,0.00547198298349092
"b_Panel",-0.000320489190158937,-0.000360342865668099,0.00307367567118998,9.66589440680347e-05,-0.00109404467339568,3.04836915657443e-06,-5.53466315291659e-06,0.000289044262369004,-0.00137171642608504,0.000113279691731649,0.0242171599114526,0.000375900969012421,-0.000235935066561307,-0.000988974570732492,8.84045662836848e-05,9.97820826025646e-05,-0.000587131482860686,-0.00439709359627868,-0.0015377344492201,-0.00231142983966156,-0.00188718976680673
"b_clima",0.00152437982994418,0.00118994463727749,-0.0871332252000329,-0.000549811182387242,0.00220683820329827,5.22534115409193e-05,-3.49939763542454e-05,-0.000450797121167189,0.0026847423242505,0.00223778000723941,0.000375900969012421,0.0877948856868471,0.00128245242455213,-0.00323986276815087,-9.76128878047876e-06,-0.000197934257822936,-0.0116265593163023,-0.00358583377283695,-0.000555482295706211,-0.00679527812119608,-0.00285165917272392
"b_cong",0.000754395606160389,0.000725925580976664,-0.00510725139378717,-0.000608485417591414,0.000540636283041211,-6.08234354230215e-06,-1.39747200543082e-06,-7.69848475188253e-06,6.09633087577852e-05,0.00128941579776203,-0.000235935066561307,0.00128245242455213,0.00566986069142637,-0.00112609520137061,-3.54897703348715e-05,0.000115106768734857,0.00168233976582264,0.000860155623666312,0.00496235537670774,0.0030280445786418,0.00278460085892744
"b_Hvalle",0.00235836781208765,0.00170068759397077,-0.00175772384689335,-0.000471432248639097,-0.00150906886221965,-1.59077278632363e-05,3.20008043146739e-05,-0.000499858506912075,0.00266209775355662,0.00102737630039674,-0.000988974570732492,-0.00323986276815087,-0.00112609520137061,0.0570993950223583,-1.70586195487426e-06,-0.00143614821678553,0.00232843765930634,0.00271926556445726,-0.00486223135960739,0.00286749503358111,0.00193196858093519
"b_T_prof",-5.16140551062556e-05,-8.59866324955915e-05,-0.00235972087909137,4.80107718156632e-06,8.17859296967853e-05,-1.969830413951e-06,5.34695743911555e-06,-2.90630012177768e-05,0.000100837240966991,0.000139249494642249,8.84045662836848e-05,-9.76128878047876e-06,-3.54897703348715e-05,-1.70586195487426e-06,0.000165920023590063,-4.93285279212654e-05,-0.000390132412354246,-3.93611993308253e-07,0.00255693652630622,0.00173791051750134,0.000778335289854254
"b_Hor_trab",0.000187560467037142,0.000464328389224936,-0.0337471933881347,-0.000174088806565004,0.000392808064418788,-1.58248685253632e-06,6.26709290051708e-07,2.27941034627851e-05,-0.00022700401487294,-0.000340670089166687,9.97820826025646e-05,-0.000197934257822936,0.000115106768734857,-0.00143614821678553,-4.93285279212654e-05,0.00297486696130102,-0.00106102613289728,0.00177501710461066,0.000437456265461203,-0.00123211813268196,-0.00170700266032182
"b_EduBasica",-0.000741454936078261,-0.000842515536782306,-0.000588780760027393,1.74890758592398e-05,0.00106411637643909,-2.89012851730154e-05,-1.88587527443831e-05,0.000869387852821992,-0.000506480770916934,-0.00266372563695705,-0.000587131482860686,-0.0116265593163023,0.00168233976582264,0.00232843765930634,-0.000390132412354246,-0.00106102613289728,0.0561661875504921,0.000333683539685357,-0.00279664786119314,-0.00411442584333362,0.000340235697414907
"b_Info_traf",0.0012299524926651,0.00136153943796604,-0.0391059920757421,-0.000186889381814411,-0.000820705540991318,-2.08136184736003e-05,1.76708436135827e-05,0.000701571910529674,0.0030046081735632,0.00219665549682803,-0.00439709359627868,-0.00358583377283695,0.000860155623666312,0.00271926556445726,-3.93611993308253e-07,0.00177501710461066,0.000333683539685357,0.0855750565578792,0.000222358588542238,0.00718062432435055,0.0032465256091863
