Nodo longitud latitud
0 -75.574404 6.286315
1 -75.592982 6.273829
2 -75.571295 6.27907
3 -75.58755 6.241308
4 -75.604523 6.232039
5 -75.59199 6.25696
6 -75.5909 6.207895
7 -75.58655 6.21883
8 -75.565989 6.286183
9 -75.56978 6.275893
10 -75.572182 6.265202
11 -75.573703 6.260895
12 -75.577288 6.254212
13 -75.580281 6.24796
14 -75.577397 6.239645
15 -75.576467 6.236897
16 -75.57567 6.231378
17 -75.578073 6.213594
18 -75.579593 6.204031
19 -75.581542 6.195293
20 -75.561384 6.282256
21 -75.563666 6.266524
22 -75.565777 6.261663
23 -75.564185 6.253639
24 -75.567432 6.252321
25 -75.56956 6.235712
26 -75.56778 6.209042
27 -75.574438 6.223611
