"Nodo"	"longitud"	"latitud"
"1"	0	-75.574404	6.286315
"2"	1	-75.592982	6.273829
"3"	2	-75.571295	6.27907
"4"	3	-75.58755	6.241308
"5"	4	-75.604523	6.232039
"6"	5	-75.59199	6.25696
"7"	6	-75.5909	6.207895
"8"	7	-75.58655	6.21883
"9"	8	-75.565989	6.286183
"10"	9	-75.56978	6.275893
"11"	10	-75.572182	6.265202
"12"	11	-75.573703	6.260895
"13"	12	-75.577288	6.254212
"14"	13	-75.580281	6.24796
"15"	14	-75.577397	6.239645
"16"	15	-75.576467	6.236897
"17"	16	-75.57567	6.231378
"18"	17	-75.578073	6.213594
"19"	18	-75.579593	6.204031
"20"	19	-75.581542	6.195293
"21"	20	-75.561384	6.282256
"22"	21	-75.563666	6.266524
"23"	22	-75.565777	6.261663
"24"	23	-75.564185	6.253639
"25"	24	-75.567432	6.252321
"26"	25	-75.56956	6.235712
"27"	26	-75.56778	6.209042
"28"	27	-75.574438	6.223611
