"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_CongAB","b_CongCD","b_CongEF","b_Sem_0","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_0","b_ACC_1","b_ACC_2","b_NO_CAMFD","b_SI_CAMFD","b_NO_PANEL","b_SI_PANEL","b_NO_ZER","b_SI_ZER","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec"
"asc_ruta1",474.740021948446,474.731725540311,474.751400211762,-0.000815106740596058,0.00252413883070515,-133086.036160675,-133086.038591678,-133086.037530635,92583.8075622456,92583.8118545529,92583.8100737753,92583.8110748948,92583.8092843895,94797.2354064423,94797.2356037642,94797.2578678023,241843.263866768,241843.264426251,13380.6764365566,13380.6761574647,-10092.9018848617,-10092.9054131355,-0.0192026044180186,-0.00630619013340207,-0.0118217282835297,-0.0125894061922448,-0.00992572966097502,-0.00527313147210135,0.000281580980448792,474.808376406521,474.774774369777,474.805285507587,-0.00534947495046305,0.000138872398065876,0.000222382297919351,-0.00360591955729327,-0.00712574883265938,-0.0106543608675465,0.000369045004179822,-0.0010701167813716,-2.81863848291281e-05,-1.32173433199915e-05,-3.12037375447112e-05,-3.13266045852633e-05,2.82256856063991e-05,-2.64661519633575e-05,4.92058931687311e-05,-9.74708292981159e-05,0.000117262305547844,-8.5606767942488e-06,-1.12250784410345e-05,2.72963380203055e-05,-1.11418005524997e-05,-3.53519378767636e-06,1.53819400493208e-06,-5.15442627905335e-06,6.22222414930847e-05,-9.22245734536236e-05
"asc_ruta2",474.731725540311,474.773539266221,474.764291038687,-0.00170854592763471,-0.00171229420250896,-133085.974714842,-133085.972817099,-133085.975928848,92583.7805140397,92583.7761489339,92583.7711102483,92583.7673087514,92583.7684794249,94797.198700559,94797.204553211,94797.246197601,241843.139594074,241843.147038251,13380.6687698061,13380.6696026843,-10092.8978447087,-10092.898520307,-0.0209701090049801,-0.0100334768367091,-0.0180664296601563,-0.0159958337434699,-0.0104254507638913,0.000480097072742188,-0.00275203086343959,474.820152029827,474.787400548793,474.817695845807,-0.00629186279997534,0.000404335762845092,0.00224242139949156,-0.00211608708780981,-0.00800773479174917,-0.0135999839165671,0.0019297021896675,-0.00510774793203119,-0.000110244031098569,-7.22899159044526e-05,-9.95277431213367e-05,-0.000103307616947984,-4.46136576457567e-05,-7.1461159669308e-05,5.28242944986193e-06,-0.000695845809489005,0.000599207145831751,8.63465746249816e-06,-1.40697746584596e-05,3.01135235874332e-05,-4.86967599699726e-06,4.01405785805252e-06,-3.67119769548702e-06,-2.18852339727534e-07,0.000538745686774105,-0.000632117468692797
"asc_ruta3",474.751400211762,474.764291038687,474.848554154915,-0.00268909833166951,-0.00140395430702826,-133085.869571119,-133085.866892689,-133085.87802593,92583.7035418671,92583.7063508674,92583.6966960625,92583.6881102563,92583.6793644655,94797.1073242401,94797.1142993545,94797.1454524125,241842.926461268,241842.934154504,13380.6582923958,13380.6578881018,-10092.8894529848,-10092.8914227574,-0.0184651197867449,-0.0110483815971463,-0.0243953008032792,-0.0197462781613548,-0.0118753481168488,0.00163002832139575,-0.00219197215365468,474.839616141477,474.804735419051,474.838465036325,-0.00400761800437677,0.00345818054441111,0.0048819125804148,-0.00484010601278896,-0.00876337077002628,-0.0143208916060315,0.00193523908241432,-0.00565784175306869,-0.000129657490839235,-9.06173573255906e-05,-0.000114777165434147,-0.000120303136098268,-6.74556080732658e-05,-8.48658576767743e-05,-6.5445664079985e-06,-0.00111734392278629,0.000940150603733379,1.19330533391737e-05,-9.9089915248086e-06,2.82626513837177e-05,-3.79523193831009e-06,7.39426932417267e-06,-2.25382741323088e-06,1.38856291933057e-06,0.000877612778235591,-0.00100974964675505
"b_time",-0.000815106740596058,-0.00170854592763471,-0.00268909833166951,0.000676361654881384,-0.000823544945906838,-0.0168685018074985,-0.0183694929007986,-0.018728128263713,0.0122703950546986,0.0110005655094256,0.0108838523237757,0.010593577083497,0.0106261696778494,0.00320819209896081,0.00223698458958456,0.00409955498323008,0.0325273149857163,0.0316996869905668,0.00192596416818045,0.00215149117969281,-0.00102760313199167,-0.00176522064990166,0.000727614055407158,0.00082336116026537,0.00090409683974885,0.0012202898327422,0.000299331519616743,-0.00127275517591908,0.000537610763466126,-0.00433965940112199,-0.00493832708031333,-0.00559181123146792,-0.000229472180804887,5.53448330044323e-05,3.19203935706064e-05,0.000241551671167138,0.000762891174825825,0.000451708831667906,-0.000115184709695837,0.000673750211814031,1.22465548224075e-05,8.14935662954251e-06,1.08793087220497e-05,1.0216532500678e-05,1.1099032748795e-05,6.6276205284097e-06,5.97994245788927e-06,0.000107150270106405,-8.49870426170647e-05,-2.87921613410969e-06,1.04983730015749e-06,-2.03467809640156e-06,-5.91709144592957e-07,-1.23052855251532e-06,7.38588824909057e-07,-5.60708384860944e-07,-8.43857248568232e-05,9.65051461186894e-05
"b_dist",0.00252413883070515,-0.00171229420250896,-0.00140395430702826,-0.000823544945906838,0.0182344684326929,0.0361570265882538,0.0368157820033865,0.040134219778836,-0.022031421014988,-0.0213077195859701,-0.0220319206996355,-0.0241269556078729,-0.0320089150945504,0.0128554852245302,0.0122306399731798,0.00501811544629853,-0.0338140721771701,-0.0363914044902794,-0.00262239025193675,-0.00353717375534693,0.0040804614615146,0.00271240952721053,-0.00337661179747345,0.00241681320230457,0.00381538135818487,0.00379935144529992,0.00169187158171275,0.00160480120805109,0.00260168783941549,0.00186812108096636,0.00575715969366902,0.00854883210112173,0.00234620393757853,0.00145924945701861,-0.0019079248950677,0.00156087031760501,-0.000668997419273837,0.00115083365033196,-0.0010724412600386,-0.000906239883252594,-1.18837476780566e-05,1.27815070754305e-06,-1.61651465021223e-05,-2.45908317028365e-06,2.56415495117447e-06,-1.75579218324086e-06,7.37503358582041e-07,0.0002252153998413,-0.00013647719685556,5.3214553473329e-06,-1.06878479675312e-05,1.51959027918268e-05,-5.23927846609126e-06,-2.5165560564844e-06,-4.68464102252491e-06,-1.54092800514186e-06,-0.000185975988065151,0.000145552262404847
"b_CongAB",-133086.036160675,-133085.974714842,-133085.869571119,-0.0168685018074985,0.0361570265882538,2401665.76828166,2401665.65919114,2401665.68222271,-1468917.98733314,-1468918.0557946,-1468918.06136701,-1468918.07248527,-1468917.86275984,-10590802.9888479,-10590803.1048724,-10590802.7526683,-1888042.06443175,-1888042.23021241,56419.6046461937,56419.6766334182,353789.175458602,353789.082402051,-0.575013840769646,-0.210285659259068,-2.24280705589546,-0.58640925907008,-0.428209438634539,-0.358510578969813,-0.404056147797007,-133084.207121815,-133084.446788985,-133084.26513886,-0.263182610087071,-0.446245877104017,0.766532499817141,0.0429833720538089,-0.146417254703474,0.0841157379250548,0.0215165920707038,-0.288281600688088,-0.00265388187297751,-0.00190835647956612,-0.00204338592486778,-0.00178783690473629,-0.00374637248720581,-0.00136280268358541,-0.00210610358626266,-0.0399375574440723,0.0305844318741576,0.000796133319146405,0.000135953845435097,-0.000298428754121659,0.000129479008239262,0.000363668667742013,-7.32400506040339e-05,0.000304264917749728,0.0318694659240425,-0.0345102098556488
"b_CongCD",-133086.038591678,-133085.972817099,-133085.866892689,-0.0183694929007986,0.0368157820033865,2401665.65919114,2401665.62513297,2401665.62962915,-1468917.92374846,-1468917.98521298,-1468917.98685748,-1468917.99827557,-1468917.79747829,-10590802.9729407,-10590803.0833103,-10590802.736788,-1888041.8779753,-1888042.03526093,56419.6198552988,56419.6860905912,353789.165259511,353789.0796003,-0.57747139237876,-0.204489002976899,-2.21196237139254,-0.569268262683123,-0.416884873099419,-0.352238594189126,-0.407915558985567,-133084.191875282,-133084.419786778,-133084.244393944,-0.256225151146453,-0.455714100037956,0.759756314205892,0.0520012590275443,-0.147456341244658,0.072853061073374,0.0193128584403431,-0.288355155038662,-0.00277942879619969,-0.00196682075935486,-0.00214917693514691,-0.00186707796843212,-0.00377466400864294,-0.00139215389135542,-0.0021114937928012,-0.0385170827344937,0.0295664259492559,0.00084789906350137,0.000107876044373933,-0.000266053130765964,0.000122332050282594,0.000353177931111054,-0.00011297317859772,0.000292241194255158,0.0307237610694864,-0.0333849392366987
"b_CongEF",-133086.037530635,-133085.975928848,-133085.87802593,-0.018728128263713,0.040134219778836,2401665.68222271,2401665.62962915,2401665.69349564,-1468917.90226469,-1468917.97262177,-1468917.97419642,-1468917.9898882,-1468917.78148178,-10590802.8092145,-10590802.9239592,-10590802.6009409,-1888041.78833775,-1888041.9499856,56419.6194169662,56419.6854875946,353789.168184524,353789.08405178,-0.594247962513442,-0.202019184325738,-2.20682042848024,-0.568894529311098,-0.416488225197806,-0.348102859828838,-0.413110011960166,-133084.165032479,-133084.397533689,-133084.224069553,-0.25289808564209,-0.449276718203146,0.76107796818999,0.057096878916565,-0.148349267766674,0.0710525159721922,0.0156718928659229,-0.284037971567447,-0.00263426735285893,-0.00184473657236096,-0.00203359455732478,-0.0017347418177232,-0.00364425864297881,-0.00130297324520431,-0.00202370642230083,-0.0375196696972833,0.028728438173475,0.000829740123077833,9.87922123123836e-05,-0.000248616654055868,0.000112515427255513,0.000340746589853235,-0.000108873492491841,0.000280989313480228,0.0299362577624787,-0.0324382879288099
"b_Sem_0",92583.8075622456,92583.7805140397,92583.7035418671,0.0122703950546986,-0.022031421014988,-1468917.98733314,-1468917.92374846,-1468917.90226469,-225759.670252495,-225759.78086788,-225759.808695183,-225759.861617221,-225759.980112311,6973017.9563401,6973018.01366211,6973017.7840891,2557617.3844744,2557617.50783357,-39738.0635538014,-39738.1009077391,-6684.06355188465,-6683.97844831276,0.216914165089017,0.149984351340594,1.56143016273227,0.400934654908603,0.303893069893791,0.25149754467827,0.272080315987774,92582.7348808902,92582.8826321875,92582.7518864599,0.170822668756881,0.31788675903848,-0.530771824686726,-0.00865032826153957,0.0917300398369371,-0.0712433476079913,-0.0264028737065514,0.206533408162982,0.00213052912823085,0.0014017308622834,0.00163655282519065,0.00150825622243375,0.00124545091318537,0.00103895565399463,0.0014005723150926,0.0286306591541819,-0.0219356516085472,-0.00061198430426107,-3.58002292522697e-05,8.51178832041855e-05,-3.62309114259006e-05,-0.000257427978010706,5.33647494383684e-05,-0.000308190963240636,-0.0229603796559894,0.0246848612360222
"b_Sem_1",92583.8118545529,92583.7761489339,92583.7063508674,0.0110005655094256,-0.0213077195859701,-1468918.0557946,-1468917.98521298,-1468917.97262177,-225759.78086788,-225759.725081409,-225759.761914858,-225759.812385667,-225759.927137312,6973017.97328364,6973018.03777709,6973017.7980109,2557617.39864924,2557617.5178025,-39738.0597474873,-39738.0999507767,-6684.07462262056,-6683.98608739402,0.223367137676113,0.148764934191871,1.56833863046686,0.383911756933723,0.29723325499276,0.245865326285194,0.28375044002104,92582.7435548052,92582.881643968,92582.7563965321,0.171291116914179,0.304705097710649,-0.536110534446498,-0.0196756374297983,0.0949544376698235,-0.0646781779424814,-0.026832731904016,0.21183548250077,0.00217503207847068,0.00142948320052359,0.00167271732773735,0.00155107380061281,0.00128380148243221,0.00106813472256596,0.00144434601434788,0.029009425558797,-0.0222223360689281,-0.000617927381428614,-2.70476357448319e-05,8.86955158361902e-05,-4.15500467491005e-05,-0.000260793555098821,5.24774487845928e-05,-0.000317587984658634,-0.0232571331632536,0.0250131108206345
