"","asc_ruta1","asc_ruta2","asc_ruta3","b_tt","b_dt","b_CongAB","b_CongCD","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","gamma_JOVEN30","gamma_USOCINTURON","gamma_EDUBASICA","gamma_EXP_2","gamma_USODISPMOB","gamma_LV1","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4"
"asc_ruta1",330.361733829859,330.346688693576,330.345771530729,0.00287128880979137,-0.00864546919218598,-0.00947820687461855,0.00445803590112637,0.0943400659834636,0.0803721938153764,0.466587156203375,0.109892650028836,0.0862044010531097,0.0775774424964376,0.0777937181773417,329.974695501942,330.008899825012,330.003374088525,0.052325592826752,0.113144567263728,-0.146106952831399,0.0116620900564659,0.0345560199879069,-0.0182944888887127,-0.0106513555627727,-0.0456386770564132,-0.000971946266910737,-0.00405809014977778,0.00119583811063349,-0.00372596080292615,-0.00185415124447717,-0.000532709269868538,0.00215834077682254,-8.07282635446342e-05,-0.00412449718534195,0.000227259028894588,-0.000199560592869941,-0.00105635372230003,6.1018458666557e-05,-0.002651269997938,0.157815545926715,-0.0222044823606811,-0.0200955603197228,-0.019930300260904,-0.0154516924409221,-0.0150128670811036,-0.0154905128181662,-0.0153117332239644,-0.014185190345349,-0.0283060842270978,-0.0347771349499742,-0.0359629458685154,-0.0317578571405138,-0.0100919944984863,-0.0098437072313723,-0.00982845304688972,-0.00945746996780646,-0.0148236205523522,-0.0151560485820171,-0.0148318850665591,-0.0141137242837136,-0.0193571692278144,-0.021071333760196,-0.020941162027633,-0.0196119865611972,-0.00388892511001915,-0.00389270983767718,-0.00389961951939212,-0.0038205801006705,-0.000980967117728754,0.000476548351315149,0.00134132310391124,0.003588345308567,0.296176297949813,0.164060674702643,0.111569800507057,-0.0535819932680071
"asc_ruta2",330.346688693576,330.375311526862,330.344849066267,0.00229420933730925,-0.00811820880662302,-0.00933332803287237,0.00601127976488814,0.0933288896304943,0.0792021312260616,0.464342582690348,0.108978130571372,0.0857328841768837,0.0787480039320025,0.0774826792944074,329.974400956368,330.010624310014,330.005314166063,0.0517469108652221,0.112956609721051,-0.146173817731468,0.0128841905790527,0.0334987298709797,-0.0189541016586163,-0.0104550070442103,-0.0453849957083774,-0.00100766221516014,-0.00404331848409288,0.00115940121068061,-0.00368912389479741,-0.00185562065763205,-0.0005244878565347,0.00216088621296541,-7.27546282215872e-05,-0.00423208764391009,0.000226276379933076,-0.000187643140319575,-0.00102212225960873,6.51733029771236e-05,-0.00264038231888245,0.155966791144395,-0.0221366964518853,-0.0200249666968703,-0.0198563958506915,-0.0153848517123586,-0.0149663218457683,-0.0154372700733984,-0.0152584629086666,-0.0141306657586619,-0.0281519863195496,-0.0347717749693527,-0.035972823003874,-0.0318881813230207,-0.0100532243348397,-0.0098095947412488,-0.00979573069818179,-0.00942751179112931,-0.0147794588125951,-0.0151003878174907,-0.0147768239973591,-0.0140587397498932,-0.019303541938793,-0.0209733426296056,-0.0208381612746092,-0.0194958284880795,-0.00387681786551422,-0.00387933377254687,-0.00388595099222881,-0.00380634312270188,-0.00093748466002108,0.00050640548038705,0.00136376030599346,0.00359703833397486,0.293018996851991,0.162453613737515,0.110541312276867,-0.052708324769577
"asc_ruta3",330.345771530729,330.344849066267,330.402859028258,0.00155818393273411,-0.00674367363946547,-0.00410041512236481,0.012208682128369,0.0947005934615264,0.0791272206929073,0.462948256558295,0.107789066226693,0.0847114797117188,0.0785744370932577,0.0781630798900383,329.972162258128,330.008918147877,330.005474095884,0.052604527888206,0.113987301312652,-0.147353580693073,0.0110217736523204,0.0328189776567783,-0.0182891321847677,-0.0101641560964016,-0.0457831650247232,-0.00101674079463234,-0.00403286892825614,0.00116627797599786,-0.00369040900672386,-0.00184603250854015,-0.000527011820588455,0.00214372890297591,-7.3695145744174e-05,-0.00433968694490513,0.000212858105290685,-0.000188413533545951,-0.00101379625325924,7.32294908105559e-05,-0.00263002158194898,0.156007218209008,-0.0221069179336328,-0.0200018974718941,-0.0198403388171575,-0.0153821983578775,-0.0149469836513897,-0.0154158156413799,-0.0152383365331659,-0.014110437299016,-0.0280643887545046,-0.0348213714795803,-0.0360372537965127,-0.0320471176415624,-0.0100275539885592,-0.00979222400196275,-0.00978407763610762,-0.00942706909871244,-0.0147595760793284,-0.0150795803515008,-0.0147567057844925,-0.0140391896906038,-0.0192790759509267,-0.0209361518469597,-0.0207985536290744,-0.0194485900649313,-0.00387520537645996,-0.00387351800077932,-0.0038791153647915,-0.00379775309191787,-0.000947612609222806,0.00049207814100474,0.0013481823106056,0.00357929945342822,0.292926273387162,0.162369627778364,0.110470180409474,-0.0528057101362244
"b_tt",0.00287128880979137,0.00229420933730925,0.00155818393273411,0.000639448540738819,-0.00132162135894576,0.0017642309351677,0.000594204894923321,0.000785230642215578,0.000423393372108115,0.000121323441105181,0.000333146508324156,-9.39055874494171e-06,-0.000696279400662747,0.000522910322412158,8.11660053747574e-05,-0.00054130452615617,-0.00128530586181359,-0.000310600966670165,6.44898914727655e-05,0.000394362177294516,2.84729574846184e-05,0.000685060148173141,9.95956173400759e-05,2.81553245981883e-05,5.03071702594129e-05,1.59000049793332e-05,-7.99040975293676e-06,3.70782207095713e-06,-6.71438843248087e-06,-4.56996420855869e-06,-4.5111422464842e-06,-3.51755509119287e-06,-2.31690002035916e-06,4.87678642361072e-05,-2.93035810640169e-06,-1.14864460029453e-05,-2.53038618100585e-05,-2.98224369038075e-06,4.20556389677573e-06,0.00071230106071203,-4.9781475101926e-05,-4.67730651730371e-05,-4.57595571550633e-05,-3.56232225452682e-05,-3.4834291041444e-05,-3.19664458857469e-05,-3.05653721235503e-05,-2.63602449176224e-05,-0.000101126688633264,-1.82850622954456e-05,-1.44875899287104e-05,5.51875647342654e-05,-2.13442141564809e-05,-2.26077275092392e-05,-2.24506610221066e-05,-2.15576996933434e-05,-3.08752228859798e-05,-3.8175898557379e-05,-3.82919306026433e-05,-3.98738047261027e-05,-3.87163732267428e-05,-6.44386857718442e-05,-6.52232733391372e-05,-6.98665613777872e-05,-7.41565823490324e-06,-8.88210693888179e-06,-8.94262529857618e-06,-8.80661431631456e-06,-6.91048482660644e-06,-4.18394508422711e-06,-3.07959097979086e-06,-4.28299493367864e-06,0.00123296805430016,0.000647303963092467,0.00042726346746922,-0.000288108632940868
"b_dt",-0.00864546919218598,-0.00811820880662302,-0.00674367363946547,-0.00132162135894576,0.0100497016729602,-0.00257793112538712,0.000226759928717353,-0.00327483786335905,-0.000175380595307708,-0.00106102088457394,0.000130769311320141,0.000763675895719901,0.00169820810586704,0.000995681910414351,-0.00347912607653537,-0.00122565764528517,0.000455088008202552,0.00149447364942796,0.000660497859773519,0.000459268412813512,0.00111357818862265,-0.00163447944772699,0.000147105629350901,-0.000521797589568061,0.000480360765597553,-2.17263884503824e-05,-8.76422017871749e-07,-2.6555908816655e-05,4.53954082363739e-05,-3.43566966555674e-06,2.25620913380856e-07,6.48778816679479e-06,7.18824537735203e-07,-0.000118215614578131,2.71349549425322e-05,2.90175741436535e-05,6.51331997035035e-05,6.92408303691037e-06,2.85096569720165e-05,-0.00275856757604123,9.78074839132574e-05,8.73632125230546e-05,9.00002924185742e-05,4.88564008746015e-05,6.54584173600894e-05,5.66889755604753e-05,5.10066404311246e-05,3.33726149059454e-05,0.000207182139639546,1.48537262229883e-05,1.60338450098213e-05,-0.000211549451640344,1.44010438340453e-05,3.88479149974049e-05,4.61022156450101e-05,6.09387127006006e-05,5.39191931047163e-05,7.93557039507568e-05,7.74515320453883e-05,7.80708454523831e-05,6.41232974759029e-05,0.000145072916700401,0.000147363666634612,0.000155415834062998,1.26858660741836e-05,1.66084607866055e-05,1.68532261811487e-05,1.67168372231846e-05,6.94469890909385e-05,4.95221384430357e-05,3.95574525696753e-05,1.19434868210069e-05,-0.00473581684359643,-0.00242833706185703,-0.00154213703972462,0.00135953219834577
"b_CongAB",-0.00947820687461855,-0.00933332803287237,-0.00410041512236481,0.0017642309351677,-0.00257793112538712,0.0874999950479405,0.0365694933515816,0.0174337204596099,-0.00701366071405942,-0.0287155771262051,-0.0166181413779625,-0.0118537732387315,-0.0110533548251464,0.011721006933857,-0.0467671199763699,-0.0520388001916866,-0.0447620685118913,-0.00737833127783628,0.00310837050306064,0.00234873067212898,-0.0118081004351645,0.00173555562727192,0.00915267025759872,0.00470425798780001,-0.0012012941158301,-0.000121482018005194,1.06321837916507e-05,-0.000187102469006698,3.72422210878489e-05,-0.000105692042224331,7.34745916341665e-06,0.000271529953998344,0.000235701869771759,-0.000470568633502907,-0.000118229362029562,7.4082258508404e-05,-1.56778360392384e-05,8.21593058289014e-05,0.000181264019760246,-0.000600761976754506,-0.000669916165899481,-0.000443508519168612,-0.000408950045702474,-0.000250704610317147,-0.000445562732925284,-0.000292092150148371,-0.000247539799191329,-0.000150596715191099,-0.000517544991869599,-0.00132402273957606,-0.00151627129167424,-0.00193151392122058,-2.5984396915103e-05,-0.000211316072741646,-0.0002920565283772,-0.000431845241091827,-0.000368468342242146,-0.000396816374043564,-0.000390903301124393,-0.000384545082742199,-0.000448718111166866,-0.00066952375025252,-0.000679917601311211,-0.00066734487493874,-0.000114575035623274,-9.94838029436341e-05,-8.98168496072261e-05,-6.81315846977918e-05,0.000220890193233251,0.000148177037162784,0.000105391687519548,-7.93598917712164e-06,-0.000964429998599068,3.21210642776327e-05,0.000360739340380507,0.00115640680009934
"b_CongCD",0.00445803590112637,0.00601127976488814,0.012208682128369,0.000594204894923321,0.000226759928717353,0.0365694933515816,0.0529247461174686,0.014241379884168,-0.00119043722552898,-0.00254335132261744,0.00106194111612189,-0.000844807374829081,-0.00493168562343092,0.00616598799880582,-0.0177514481226571,-0.0130155148389991,-0.011743850513781,-0.00252934820413469,-0.00582872233679824,-0.0020185880897967,-0.00352806709510442,0.00113682663759714,0.000709657915691047,0.0024356947727575,0.00113992765324004,-4.39605423910715e-05,3.95784738783853e-05,-9.40725901417199e-05,0.000112798511795436,-4.92826284629994e-05,-2.13500324288002e-05,7.81961431879958e-06,1.80374295566931e-06,-0.000615796560521789,-1.20042468641116e-05,-1.26634073428718e-05,3.80519473882901e-05,-6.63661814608818e-07,0.000114483623579127,1.32109786020956e-05,-0.000126236932923772,-5.93416697820513e-05,-4.73521164030965e-05,9.72434856301258e-05,-5.70051693441098e-05,-4.64673739397784e-05,-3.70508768507142e-05,3.52715895004605e-05,0.000136978053870741,-0.000610919041245031,-0.00074995578629147,-0.00101103781685692,6.75696416130189e-06,-1.41965916991918e-05,-2.68243647084046e-05,-2.70610669038936e-05,-5.52233970033589e-05,-4.88836847136099e-05,-3.84166452492265e-05,-2.58051981617679e-05,-9.4333162674488e-05,-1.33551525379174e-05,3.27548651582149e-05,0.000156526314355716,-1.52600659702151e-06,-9.29034112079984e-06,-8.10635048832206e-06,-2.36398456973004e-06,6.05912223708641e-05,2.04784306669804e-05,-7.19825413621112e-07,-6.89501720834916e-05,-0.000450145807083871,5.53240101498115e-05,-3.35266631855095e-06,0.000156147359966391
"b_CSECO",0.0943400659834636,0.0933288896304943,0.0947005934615264,0.000785230642215578,-0.00327483786335905,0.0174337204596099,0.014241379884168,0.128165244421043,-0.00279473475364865,-0.00976066341655743,0.0103562627589793,-0.00314587189333721,-0.0205484671676624,0.0036331024249693,-0.0207694866159144,-0.00857022938848902,-0.0038398164485385,0.00717359403498927,-0.00520578263801655,-0.00186905797509928,-0.0111632389644208,0.00312685258363923,-0.00120242196998627,-0.000740311492678167,0.00152266286503569,-6.62534208455843e-05,3.53754523809591e-05,-0.000163017175561277,0.000206215152556336,-2.60043883004193e-06,3.9231808767493e-05,0.000401146231172595,4.21412577853901e-05,-5.38574250287987e-05,0.000165168743073749,-3.39939635870221e-05,0.000145607016706062,-3.51210617237014e-05,0.000103446356177567,-0.00912085295280096,0.000267542073298532,0.00062949401999503,0.000684330579454571,0.000924008452780314,0.000320066398206913,0.000290652834509313,0.000283609413863785,0.000288924770603612,0.000771778567582724,0.000439308603258301,0.000438573352307135,0.000201393147807938,6.71325932778173e-05,0.000190292729033028,0.000236737354933052,0.000333714685090854,0.000359783884835157,0.000231565256929958,0.000218304775719631,0.000178440782023499,0.00038901381407369,0.000474465253699919,0.000496815319845518,0.000508928835205373,0.000103110742515512,8.16685189512242e-05,7.53592787226288e-05,5.93214795759076e-05,0.000287281593181833,0.000225736091081192,0.000176251216470559,3.79079865768341e-05,-0.0160971795758467,-0.00724424339299042,-0.00442521314055195,0.00473008617601451
"b_Hpico",0.0803721938153764,0.0792021312260616,0.0791272206929073,0.000423393372108115,-0.000175380595307708,-0.00701366071405942,-0.00119043722552898,-0.00279473475364865,0.0743861809803867,0.00672571720861081,-0.0052681150047553,-0.00397895532459859,0.00251882973921278,-0.0011390718128823,0.0381466513422477,0.037141960013168,0.0408724627399043,-0.00318371137774901,-0.0024133238478086,-0.00312587197930648,0.0154242481275935,0.00110836392114109,0.000441376695352365,-0.00287786293155362,-0.00233386140193977,0.000243823806219719,-8.09301194909074e-05,0.000218458798963788,-0.000159331965305052,0.000102345930009525,-7.89922886325397e-05,-0.000282722605008832,-0.000196263438234364,0.000215654568116155,-0.000100607232695074,-4.00874496885704e-05,-2.98398573589856e-05,-1.64524397923193e-05,-3.53174300935033e-05,0.00429515077005939,0.000118057412905208,-7.2844637621583e-05,-0.000129338308823651,-0.000245070209386787,6.33241501951411e-05,-5.87385494521703e-05,-8.40964574065167e-05,-0.000132059894384155,-0.000165779942536987,0.00032951631342851,0.000437923099968013,0.000795533564841295,8.67181248384303e-06,-1.24466789063857e-05,-1.88229981370683e-05,-3.3592124533909e-05,-1.62763218744727e-05,5.31621277978085e-05,5.73174354404764e-05,6.34602557744903e-05,-1.59426274518338e-05,0.000123386319744141,0.000131735418496391,0.000124650249668314,-8.94949380345607e-06,2.3310159749427e-06,3.45495833874356e-06,2.18693797530721e-06,-0.000209371062664017,-0.000170372867678837,-0.000154574137615523,-0.000115379401137156,0.00689126304626249,0.00318488599166258,0.00178167636970352,-0.00281167878746887
"b_Joven30",0.466587156203375,0.464342582690348,0.462948256558295,0.000121323441105181,-0.00106102088457394,-0.0287155771262051,-0.00254335132261744,-0.00976066341655743,0.00672571720861081,0.525696243355264,0.177964191320561,0.137538220571787,-0.000125286331908972,-0.0273139874293577,0.373201194712823,0.383291142574684,0.387986798672761,0.00444397926533603,-0.0452090629884723,-0.171347213094134,-0.0150675352281918,-0.0184407501963825,-0.0213292842930634,0.00164381177110768,-0.0137545657550229,0.00721639121057875,-7.66220975349288e-05,0.00191321366956228,-0.00400429475246818,-0.000198523052256442,-0.0004275454618874,0.000577964196333428,-0.00036520299908203,0.00121896224853838,-0.000332387813987534,-0.000544032611660153,-0.00108733726643446,-0.000122367460623872,-0.000766773045860723,0.0934835291602143,-0.00213072118350628,-0.00123815808686886,-0.00125764325012547,0.000187038972095973,-0.000994495743866115,-0.00137700803815314,-0.0014906993481476,-0.00127256355781151,-0.0031740955639604,-0.00150054565539654,-0.00156397728623237,0.00232682746449505,-0.000534001545036851,-0.000662735587110013,-0.00079129834229071,-0.000990641921446312,-0.000936155533468615,-0.00150280370988807,-0.00151180724877942,-0.00152993158344464,-0.00115557534533085,-0.00259091402492083,-0.00262370496145347,-0.00264096481749458,-0.000233755565570148,-0.000293078176574103,-0.000310580233699751,-0.000315745611762703,-0.0028354439253675,-0.00215617597931552,-0.00172987495709253,-0.000747103545204688,0.155181015405285,0.0797359560437973,0.0494885990088214,-0.0481558109317866
