"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",4.60204139833388,18.1758557936032,0.253195307587856,0.800117292408022,1.45389468037773,3.16531964828307,0.00154912664708284
"asc_ruta2",3.58971209035992,18.1762292989185,0.1974948726342,0.843440293471958,1.46199117262411,2.45535825220941,0.014074424687436
"asc_ruta3",2.84030004478671,18.1769870723467,0.156258021941808,0.875829643461034,1.46771745036988,1.93518176408608,0.052967994718927
"asc_rutaEC",0,NA,NA,NA,NA,NA,NA
"b_tt",0.0864072777740065,0.0252873197618652,3.41702001587032,0.000633106246890502,0.0338151316749595,2.55528437992131,0.0106101074117573
"b_dt",-0.194906145062379,0.100248200347738,-1.94423585048205,0.0518670164215993,0.0946180293134293,-2.05992606775542,0.0394056092167159
"b_CongAB",-0.111624955049379,0.295803980784472,-0.377361233453822,0.705905172149215,0.294694582151741,-0.378781836552063,0.704849876429166
"b_CongCD",-0.507838336076918,0.230053789617708,-2.20747650764988,0.0272807864803541,0.233694017625166,-2.17309087000878,0.0297734787367174
"b_CongEF",0,NA,NA,NA,NA,NA,NA
"b_CSECO",0.00984278136746445,0.358001738013998,0.0274936692264874,0.978065989165724,0.363350637903971,0.0270889337754948,0.978388801091086
"b_CLLUVIA",0,NA,NA,NA,NA,NA,NA
"b_Hpico",0.0438676921679474,0.272738301271359,0.160841700499929,0.872218080546114,0.267908534888667,0.163741301434003,0.869934802478834
"b_Hvalle",0,NA,NA,NA,NA,NA,NA
"b_Joven30",-1.67573252049567,0.725049131683684,-2.31119857574941,0.0208218890063772,0.732915966043633,-2.28639107091837,0.0222313902383908
"b_Adulto40",-0.553194870226417,0.471423158769434,-1.17345713704527,0.240612535920025,0.498184333215058,-1.11042205333184,0.266817199415225
"b_Adulto60",-0.514410322111516,0.404389273663556,-1.2720671778735,0.203349251765738,0.422173067572069,-1.21848209093466,0.22304082635347
"b_AdultoMayor",0,NA,NA,NA,NA,NA,NA
"b_USOCINTURON",-0.104109594338922,0.34419056174568,-0.302476610081621,0.762288761344657,0.344924867055908,-0.301832672220897,0.762779622913059
"b_NOUSOCINTURON",0,NA,NA,NA,NA,NA,NA
"b_USODISPMOB",-0.100281162936966,0.302984662829445,-0.330977687122783,0.740661339683307,0.303141755305123,-0.330806169661548,0.740790900317378
"b_NOUSODISPMOB",0,NA,NA,NA,NA,NA,NA
"b_HTRB_1",0,NA,NA,NA,NA,NA,NA
"b_HTRB_2",5.48053929974332,18.1720141414246,0.301592286748774,0.762962888648128,1.35244767442482,4.05231152626597,5.07140748189361e-05
"b_HTRB_3",5.09974817706955,18.1676920384257,0.280704239497417,0.778937256794997,1.30098783028252,3.91990459738743,8.85840284841066e-05
"b_HTRB_4",4.85815168494039,18.1686820654544,0.267391529415202,0.789167720635496,1.31958750305211,3.68156842475686,0.000231803558416788
"b_EduBasica",0.282604916373655,0.288473874164147,0.979655149682109,0.327256372081806,0.290572171273143,0.972580805434396,0.330761686244818
"b_EduSuperior",0,NA,NA,NA,NA,NA,NA
"b_Exp_1",0.615616726542895,0.403648343984152,1.52513130728232,0.127226349842245,0.393731738432784,1.56354356647322,0.117924796765753
"b_Exp_2",1.19536863703054,0.492230139014422,2.4284751019594,0.0151624661551837,0.531362494428582,2.24962930120993,0.0244724868269142
"b_Exp_3",0.144470203750944,0.467467511008467,0.309048651187071,0.757284518719885,0.463395362924216,0.311764457113419,0.755219537758559
"b_Exp_4",0.389561917309977,0.370215723565766,1.05225654263918,0.292681864039829,0.366802349871557,1.06204858678356,0.288213628582153
"b_Exp_5",0,NA,NA,NA,NA,NA,NA
"b_Info_traf",0,NA,NA,NA,NA,NA,NA
"b_NoInfo_traf",-0.158937412761563,0.331643124401872,-0.479242297117454,0.631766267011851,0.336483695557719,-0.472348036056028,0.636678388533377
"lambda_1",-0.168190329935584,0.148434443183563,-1.13309503056235,0.257174348025313,0.151625027812913,-1.10925176642414,0.267321586447877
"lambda_2",-0.24365448352138,0.167321011256776,-1.45620972340085,0.145334652400997,0.174812225169982,-1.3938068878447,0.163375927636347
"gamma_JOVEN30",0.508070016098801,0.276470420064831,1.83770117605949,0.0661064504859372,0.291888453755473,1.74063074288109,0.081748325225244
"gamma_USOCINTURON",-0.533475677351748,0.123455011642262,-4.32121523666946,1.55172216858013e-05,0.168562222007531,-3.16485907101957,0.00155158083034679
"gamma_EDUBASICA",0.456917782292368,0.145846340601115,3.13287107793827,0.00173105458208678,0.18122563210541,2.52126466319401,0.0116933864321278
"gamma_EXP_2",-0.486611369516207,0.202333289905626,-2.40499904757728,0.016172507933006,0.199894444233872,-2.434341641566,0.0149189063327111
"gamma_USODISPMOB",0.379674956550266,0.0978610543662635,3.87973498762093,0.000104570334481968,0.113855365876329,3.33471289322167,0.000853875104422031
"gamma_LV1",-0.34064893158411,0.0569173648568992,-5.98497369722868,2.16424833610063e-09,0.0587460179072355,-5.79867272232853,6.68418365101786e-09
