"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_4","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_ADULTO40","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_Op1",0.0422617445184688,0.0265075673003608,0.00141718638599717,0.00334503415217267,0.00265826576012093,0.00143146108823623,0.00752638722231836,0.0108572408906058,-0.0123569520257215,-0.0119311609307295,0.00110586528937531,0.00863769886168762,0.00752417611900188,0.00472454417516802,-0.0466916651910084,0.00233149062910211,-5.67979015680242e-05,-3.21287317964647e-05,-5.92591661854262e-05,-0.000154526038646761,0.00202004214107574,0.0114620674062781,0.0104091496909221,0.005903484368241,-0.00381292429360154,-0.000134705597491691,-0.000180539780320049,-7.77448530416401e-05,4.50703759703399e-05,-9.56757042643073e-05,-0.000142883428216005,1.74753573802867e-05,3.26904400106336e-06,1.45359320740123e-05,-2.20190975859725e-05,0.000555626228663881,0.000641600692015068,0.000670174758374066,0.000805314901490909,-3.7387601909094e-05,-0.000114608804681153,-0.000143445498296458,-0.000255920853057751,-0.00016121482125205,-1.04396342837575e-05,-2.41264735681898e-05,-0.00019428283414817,0.000259236620493618,0.000228469284345589,0.000216917630281096,0.000216961902280584,0.000407081226310945,0.000429613775440051,0.000452580755255991,0.000468383377577322,0.000624984107105829,0.00049513001820391,0.000513148788232349,0.0005283035540877,0.000105387292028212,9.45771459776149e-05,8.98287576585097e-05,8.11940638159624e-05,2.05878883255783e-05,2.02366682603333e-05,2.01004742286838e-05,1.93742447193242e-05,0.000103453519099457,0.000101210849179027,9.99655235698984e-05,8.56093981990558e-05,-7.27045496939678e-05,-1.5610215692783e-05,-9.19427483407308e-06,-2.62714648127306e-05
"asc_Op3",0.0265075673003608,0.163110034576077,-0.00109285483214477,0.00689096517850426,-0.0355713748146156,-0.0157013955705529,0.00897409295343957,0.0142612294947316,-0.00253162517044577,-0.00927246344290593,0.00623145446555933,0.00922502475962074,0.0136599295167346,0.00312164767136428,-1.59938624783744,0.0583942621775006,0.00390689716295209,-0.00600143555008532,-0.00161482812884879,-0.0286770156089314,-0.144257437205291,0.618207230960053,0.0957384666766807,0.0354808377431379,-0.0956974065222663,-0.00715104894546218,-0.00392295514576506,-7.71468603403302e-05,0.000390774609700539,-0.00517355039915307,-0.00755003335651678,0.00013242024218732,2.35412700948435e-05,0.00012373020624254,-0.00185466323154736,-0.0448306922799087,-0.0401639969681851,-0.0392965442995772,-0.0372563092756594,-0.0167403905554037,-0.0197712026385115,-0.0202179676601059,-0.022474667456168,-0.0282730273763378,-0.0258452809699882,-0.0255301824787128,-0.0279796404465491,-0.0208747862202269,-0.0200812161590007,-0.0197856846336029,-0.0195383530205912,-0.0286390228224298,-0.0303791062675944,-0.0306350753822875,-0.0312992620263521,-0.0398563533435908,-0.0478060212825105,-0.0485267150419449,-0.0510912299594277,-0.00758610257272238,-0.00792796747368861,-0.00801353254187172,-0.00817334910121736,-0.00143357039479275,-0.00144161153786399,-0.00144476633966385,-0.00146425630161932,-0.00673012676027499,-0.00671845938873745,-0.00673459515319656,-0.00677377896199069,-0.0119029047697853,-0.0130265840463357,-0.0131700687020769,-0.0140208047091339
"b_tt",0.00141718638599717,-0.00109285483214477,0.000775151939371751,-0.00155058991957347,0.00150234049726656,-0.00035949175320769,0.000991301997566266,0.000307195704820505,-0.00159573165358617,-0.0028587823323224,-0.00117869896638287,0.000381851834169398,-0.000704043914710656,-0.000440075356489505,-0.0788118275481251,0.00369484814751726,6.95563549317011e-05,0.000236247927606698,-7.73838115967209e-05,0.001200609013362,-0.00244541249338843,0.0130341811701476,0.00471991267595179,0.00502522324856165,-0.00248825790117205,-0.000139587129470366,-0.000100932347161045,0.000124360558864054,1.80478111608171e-05,-0.000106086410345211,-0.000161005656598881,6.25759397196232e-06,1.09067372038614e-06,5.91397784579734e-06,1.87788063405165e-06,0.000715710118130132,0.000937325783160219,0.000983706984954012,0.00112399943668852,0.000585543177537239,0.000476391096725948,0.000449607563267477,0.00031748602523427,0.000726123907104653,0.000901046436774564,0.000905071787056835,0.000757885464223323,0.000380863296609862,0.000390982846942723,0.000390530017901148,0.000390517107169289,0.000582059465345717,0.000541131740579903,0.000541325626466135,0.000524145602190275,0.000884155329442754,0.000560550951082702,0.000538214208597913,0.00043886174774209,0.000173020548720534,0.000157254310475789,0.000153230979654427,0.000143922257269598,3.39080565583221e-05,3.33073641295486e-05,3.30477814498521e-05,3.20966615824509e-05,0.000126916373375602,0.000130360043063732,0.000130979811643653,0.00012985204979847,0.00038579177231361,0.000392194168937473,0.000392666051758456,0.000356418814385114
"b_dt",0.00334503415217267,0.00689096517850426,-0.00155058991957347,0.0151536744441613,-0.00274732637887101,0.0010441193753043,-0.00707991242911348,-0.00209458927111237,-0.0172990771244795,-0.0119257898976011,-0.000132896862066153,-0.00108010978086369,0.000879868568751132,-0.00686814688523759,0.296811715756325,-0.0143790288095307,-0.000392709495612796,-0.00119960876077625,0.000323384615854329,-0.00871383759788476,0.0152534235998159,-0.0235024615716981,0.00103549609485414,-0.0135874112146647,0.00163895293277774,0.000211275709487304,0.000239305887303415,-0.000691313063574252,1.81892758426809e-05,0.000186989000804706,0.000296816393144718,1.02745457673402e-05,1.86628876793353e-06,5.37996330518261e-06,-4.42916894251196e-05,-0.00277525052530751,-0.00369823435110175,-0.00387200416316388,-0.00416019006823191,-0.00295791228468143,-0.00254674264179938,-0.00246040906493513,-0.00198943917291611,-0.00385519877477935,-0.00450666039781976,-0.0045534263390033,-0.00410546258422077,-0.00158819953606815,-0.00167165056103252,-0.00167638472485259,-0.00163787072206933,-0.00229144017325018,-0.00206881671562835,-0.00202470310665516,-0.00189921349769239,-0.00340915862346304,-0.00225740954102089,-0.00212688592881751,-0.00163048640727652,-0.000706076490182653,-0.000658475879956057,-0.000649139281603827,-0.000620611782448148,-0.00012979005111185,-0.00012867368362514,-0.00012782241600607,-0.000126492257707348,-0.000477738979749692,-0.00050062718625712,-0.000506956184464408,-0.000530942473173148,-0.00201694761323437,-0.00197538173748497,-0.00197312884131656,-0.00183944025062736
"b_CongAB",0.00265826576012093,-0.0355713748146156,0.00150234049726656,-0.00274732637887101,0.0863104156169894,0.0354623744478095,-0.00349453370127159,-0.00325768792326419,0.00190100524269827,0.00285238558139102,-0.00590838162058213,0.00494165921020286,-0.00982877896781684,0.00409518296138877,0.238020978616663,-0.0118909940234977,0.000536860526302248,-0.00186968303899492,0.00020859174244277,0.000417837436546652,0.00307532655487323,-0.0642026457376014,-0.0579947221403268,-0.0163026204245016,0.0205910942911649,0.000710734140900226,0.000578129720722199,-0.000464542799487599,-0.000244786421329784,0.000517867534792319,0.000786362517069811,-9.44123736669916e-05,-1.68674562889071e-05,-8.04511170564864e-05,9.20473452441738e-05,-0.00681757968149067,-0.00767881929735353,-0.00781192603537519,-0.0086452476529745,-0.0053896705431028,-0.00478368049988276,-0.00466838829643678,-0.00425869524214799,-0.00744275381226295,-0.00793503277820845,-0.00799408474650279,-0.00831098426627414,-0.00322941123795185,-0.00319669192799665,-0.00317267498578741,-0.00314870520875357,-0.00499612890283279,-0.00499531875795711,-0.0050309330759705,-0.00508985953523105,-0.00740757652438015,-0.00614239258945146,-0.0060796819749166,-0.00593290382991476,-0.00135068844493688,-0.00128424829542318,-0.00126756583831728,-0.00123655844140917,-0.000273712442667179,-0.000269651457428897,-0.000268530199112659,-0.000262272549823646,-0.00115258867667583,-0.00114035417315347,-0.00113162668773939,-0.00109484845729612,-0.00370850938922156,-0.00365882974664024,-0.00366866855057013,-0.00355623639142611
"b_CongCD",0.00143146108823623,-0.0157013955705529,-0.00035949175320769,0.0010441193753043,0.0354623744478095,0.060323801485926,-0.00376418009874308,-0.0019464509749239,0.0049600014390952,0.0142754980079208,0.00490066323129221,0.000364417651854515,-0.00683755884490545,0.00274513386845585,0.625464631749549,-0.0328952517164205,-0.000302859890173786,-0.0035266959016549,0.000676494624771991,-0.0124105405193162,0.0313094731545379,0.00393721094039582,-0.00399490642447401,-0.03015879666933,-0.00167040432019153,-0.000150507482562485,0.000700565064427786,-0.00083968942420985,1.53254633430579e-05,-3.42182125605112e-05,1.29505785066317e-05,1.12704245611868e-05,3.17227211043601e-06,5.57396400787617e-06,0.000196957641790263,-0.00979937596456058,-0.011373834860999,-0.0116876049842771,-0.0126008963459419,-0.00968965146980889,-0.00904586771450627,-0.00899253408669189,-0.00840327256528351,-0.0135225355533201,-0.0147079027417892,-0.0149069699880666,-0.0149271352844592,-0.00515472450249088,-0.00528097652299689,-0.00530684611161911,-0.00531105728244623,-0.00738567558474961,-0.00707467897026187,-0.0070574088199622,-0.00693182811086321,-0.0108016823278765,-0.00875804159781909,-0.00862374300461636,-0.00792228162021771,-0.00217602947254797,-0.0020960994683828,-0.0020854353234367,-0.00205001914860767,-0.00042973816041121,-0.000425384802248958,-0.000423746291832948,-0.000417475007051575,-0.00171321665410395,-0.00174001174652355,-0.00174323824698328,-0.00174941928940974,-0.00675588509673713,-0.00667242618496333,-0.00668980118586154,-0.00649473515647441
"b_Sem_1",0.00752638722231836,0.00897409295343957,0.000991301997566266,-0.00707991242911348,-0.00349453370127159,-0.00376418009874308,0.129844312584057,0.0577835138438976,-0.0153485392619603,-0.0114496856860829,-0.0028385411424576,0.00696981576058013,0.00401515699092181,0.016975161433983,-0.119424632452522,0.00833246176936902,-0.000287399598057781,0.00143172511004363,-0.00023298101557404,0.00604062670560533,-0.00895517576075672,-0.0365787986625857,0.0123872203197553,0.0139751259695194,0.00235567914868974,0.00048810482487988,-6.76161798078983e-05,0.000487784519714325,4.70052244472339e-05,0.000309963994228388,0.000422276750050543,1.57910962797228e-05,3.24842343463142e-06,1.62701525441918e-05,0.000114599954629866,0.00466758059218442,0.00534518214823992,0.00548688352491837,0.00577953426055616,0.00394271190633928,0.00380399834373051,0.00375581454645124,0.0034573508436998,0.00552127015741531,0.00608882269894011,0.00611182788858579,0.00584898440653089,0.00233236594869114,0.00237673955641677,0.00239162099174118,0.00240100183981105,0.00346315175131964,0.00339050165947345,0.00338348789311672,0.00331677972091266,0.00500941336391238,0.00443022093611499,0.00437260129700615,0.00408301780352047,0.00100301813965643,0.000955256715842336,0.000943252984813871,0.000917392335538717,0.000182853146971374,0.000181978012811669,0.000181437638980904,0.000180877982072803,0.000744660033098624,0.000761869680613895,0.000767467428200051,0.000787365955953612,0.00270653965158625,0.00278491790665463,0.00280285982636589,0.00274310843955795
"b_Sem_2",0.0108572408906058,0.0142612294947316,0.000307195704820505,-0.00209458927111237,-0.00325768792326419,-0.0019464509749239,0.0577835138438976,0.0797855107164392,-0.0127498367896546,-0.0066078293701502,-0.000912089629610852,0.0010227028099511,0.00527927592284733,-0.000453847527514131,-0.20485307822852,0.00986941477924144,-4.23681791586979e-05,0.00150915728495964,-0.000469955183618744,0.000376564357258663,-0.0118072782595074,0.0486212666025398,0.0401253366285041,0.0138840709664448,-0.0145195586537547,-0.000544378330311867,-0.000447507176291685,0.0005095244593677,0.000167399786051959,-0.000399107592391969,-0.000590644427647954,6.36469751737774e-05,1.32978669855981e-05,5.6774857224853e-05,-9.92795017681643e-05,0.00356204701475954,0.00411910998457472,0.00425807993256293,0.00421230434798418,0.00365307532474247,0.00332457944967222,0.00320149376123994,0.00253168777963699,0.00476630855612749,0.00579998527018227,0.00583312421083623,0.00492081347953765,0.00165568656144607,0.00171737976048152,0.001740507288449,0.0017121338860241,0.00268110107429105,0.00256696548862968,0.00255024846613645,0.00244952489499663,0.00393689716905758,0.00314818112142854,0.003079585717857,0.00271046017224301,0.000733873816067623,0.000688095516739096,0.000676160207675304,0.000646249255116412,0.000113794751003443,0.000115464176454276,0.000115721934970489,0.000118189833051948,0.000512801435789581,0.000529414997631464,0.000535232919714906,0.000558114032398847,0.00249536611673765,0.00249363830543881,0.0024782110050786,0.002263679420343
"b_ACC_0",-0.0123569520257215,-0.00253162517044577,-0.00159573165358617,-0.0172990771244795,0.00190100524269827,0.0049600014390952,-0.0153485392619603,-0.0127498367896546,0.31763687005719,0.264025860522791,0.0114545769059639,0.00271450920544487,0.0189228719020956,0.0365231188771823,-0.319843528362405,0.0172721787678914,0.00036823285587527,0.000895570611954597,-0.00050316768659024,0.016134675237833,-0.026212006598529,-0.0405958005236705,-0.0300554470933242,-0.00496292288655264,0.0138940686039365,0.000567243918243806,-9.17350617185495e-05,0.000739570576634342,-0.000164787274807546,0.000359671672184575,0.000511713451208378,-6.62873176259919e-05,-1.28700779137516e-05,-5.27573422235744e-05,0.000155433902512042,-0.000515671260624111,0.000374368288869166,0.000479167934043611,0.000277416479680646,0.00208596723047415,0.00132399520954351,0.00124822592898849,0.000938053658621434,0.0028184496355414,0.00233682833700412,0.00242941873177528,0.00269145953210083,0.000319210254263596,0.000394190687849289,0.000369679785397602,0.000144706077054259,-3.64784333571252e-05,-0.000179385003497088,-0.000224056222648783,-0.000280624411563333,-7.82473702331604e-05,-0.000333655616196846,-0.000448969799548012,-0.000679314735468515,0.000132520870916388,0.000113785755581022,0.000112058772082342,9.10925120494895e-05,2.86163014948215e-05,2.7675155571808e-05,2.64815373141113e-05,2.45608840819414e-05,-1.91550363391925e-05,5.83864361762732e-06,1.30325547050962e-05,6.01428606001337e-05,0.00141666333831178,0.00117123564338111,0.00118677703669607,0.00118088192805396
"b_ACC_1",-0.0119311609307295,-0.00927246344290593,-0.0028587823323224,-0.0119257898976011,0.00285238558139102,0.0142754980079208,-0.0114496856860829,-0.0066078293701502,0.264025860522791,0.319830050528121,0.00689567870151059,-0.00269548606446695,0.0128436512169006,0.0359923366211158,0.371713796799144,-0.0154009678325327,0.000286437922012376,-0.000985581185088356,6.5612363889647e-05,0.0110728276706646,0.00052953751954822,-0.179745553196186,-0.0988845525081131,-0.0210938010721461,0.0445954657314545,0.00214790188027441,0.000921665477896956,0.000605655451143538,-0.000430110449792529,0.0015101252842315,0.00219321129574851,-0.000165375033877398,-3.0935952168889e-05,-0.000141983655985509,0.00046906919131928,-0.00389975537492568,-0.00432168996563162,-0.0044550564066203,-0.00513730705214723,-0.00300293462916886,-0.00259937770653304,-0.00252164945333247,-0.00205879829647228,-0.00398965855346428,-0.00437188445613261,-0.00434525993830415,-0.00367315289284347,-0.00147812532017604,-0.00149968171713579,-0.00154434427769043,-0.00169445426429596,-0.00292265665506516,-0.00269237571273484,-0.0026784831513738,-0.00256337485989909,-0.00441001563883962,-0.00287977433225457,-0.00284363494089132,-0.00246131883159884,-0.000749069380665969,-0.000653189366209252,-0.000627794417633239,-0.000579113353986834,-0.000146466057456449,-0.000143646395010488,-0.000143127955598191,-0.000137173746091626,-0.000582643910784831,-0.000578914287663706,-0.000577259047624956,-0.000547498768675185,-0.00206523121204245,-0.00200234062297166,-0.00197294360323168,-0.00176181041365186
