"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_Op1",0.593378353657973,0.205576614716919,2.88640979167334,0.00389664433019532,0.207900573814865,2.85414485765862,0.00431528497931644
"asc_Op2",0,NA,NA,NA,NA,NA,NA
"asc_Op3",0.712683051419306,0.403868833380439,1.76463988432593,0.0776243078282826,0.424896657748656,1.67730914899521,0.0934820444377589
"b_tt",0.095075191585588,0.0278415505920872,3.41486697269688,0.000638131688234678,0.029771721106309,3.19347313667534,0.00140572416005424
"b_dt",-0.255947830582227,0.123100261755048,-2.07918185496248,0.037600638772731,0.104906723805105,-2.43976573949373,0.0146967888949554
"b_CongAB",-0.368654345034213,0.293786343482793,-1.25483826328982,0.209537479203517,0.295049933424873,-1.24946425425336,0.21149531981095
"b_CongCD",-0.70823246819236,0.245609041946599,-2.88357652706592,0.00393187099185033,0.236313681120621,-2.99700154825509,0.00272649328603491
"b_CongEF",0,NA,NA,NA,NA,NA,NA
"b_Sem_1",-0.107921387931457,0.360339163267132,-0.299499468647683,0.764558977390559,0.355091554267037,-0.303925527471986,0.761184629048553
"b_Sem_2",-0.24527782682357,0.282463290918376,-0.868352931901683,0.385201153380334,0.277664531399232,-0.883360311047089,0.377041627417918
"b_Sem_3",0,NA,NA,NA,NA,NA,NA
"b_ACC_0",1.14205804237496,0.563592822929099,2.02638854845502,0.0427249835286201,0.548910435349498,2.08059087389694,0.0374713699377387
"b_ACC_1",0.383538888896778,0.565535189469339,0.678187486894787,0.497652825406421,0.563146687900706,0.681063916626291,0.495831047741876
"b_ACC_2",0,NA,NA,NA,NA,NA,NA
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.509740277327804,0.308212623586175,-1.65385918135596,0.0981561279605117,0.286192324428176,-1.78111093072215,0.0748943303960756
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.35435329747475,0.222855646792979,-1.59005752187166,0.111821839718046,0.207957747365033,-1.70396776251257,0.0883871100756484
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.350360064190253,0.266015314821501,1.31706726894783,0.187816077189559,0.256122345306278,1.3679402465696,0.171330780607255
"b_NO_MTRP",0,NA,NA,NA,NA,NA,NA
"b_SI_MTRP",0.125362194276084,0.383992737847675,0.326470221751469,0.744068615757224,0.405014751944787,0.309525007852488,0.756922192002828
"lambda1",-11.2947344769727,11.997712439394,-0.941407333608607,0.346496156846346,12.9749978394188,-0.870499911965967,0.38402726729864
"lambda2",0.572447661961766,0.4686147517218,1.22157413922302,0.221868713135389,0.467195517167968,1.2252850057976,0.2204678558438
"lambda3",0.0147167132823426,0.0292864371620986,0.502509513222333,0.615309162249374,0.0239594101211968,0.614235208959624,0.539059910063417
"gamma_USOCINTURON",-0.288405525981402,0.155592213489237,-1.85359870853276,0.0637965925115092,0.171901084980225,-1.67774116152076,0.0933976401738672
"gamma_USODISPMOB",0.154901562551858,0.134652523685437,1.1503799432213,0.249987417282004,0.142590952566903,1.08633514092823,0.27733074524904
"gamma_EXP_4",-0.530265908497839,0.500184618688793,-1.06014037354428,0.289080742641908,0.436850679169504,-1.21383789423408,0.224809632689883
"gamma_HPICO",0.655369621049178,0.688285753698593,0.952176646875901,0.341007402492977,0.746646450776366,0.877750936025642,0.380078895817616
"gamma_LV1",18.5582595516535,11.8668421331226,1.56387515258621,0.117846890785597,9.23434510509446,2.00969958783706,0.0444629936190479
"gamma_EDUBASICA",-11.7604338866346,14.6192194291364,-0.804450192682372,0.421137023447199,4.41265188888348,-2.66516239730171,0.00769511524526822
"gamma_ADULTO40",-0.75609586470681,0.722713222230959,-1.0461907177688,0.295472987607144,0.76236011576277,-0.991783081346415,0.321303352518024
"gamma_LV2",2.31255430208271,3.88900191841333,0.594639537495063,0.552084445530253,2.6958766402824,0.857811617760249,0.390996493554676
"zeta_FRbr",0.223687693505237,0.142123895462166,1.57389222113451,0.115512368600302,0.104807554423063,2.13427070917337,0.0328206275091569
"zeta_EnfCond",3.47139299213458,0.37745576563692,9.19682068248962,0,0.488305349800806,7.1090619702419,1.16839871111551e-12
"zeta_AFrSem",5.16723324693493,0.710065988874463,7.27711695517989,3.41060513164848e-13,0.806715828959272,6.40527068075641,1.50102819063136e-10
