"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_4","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_ADULTO40","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_Op1",0.0432226485925502,0.0281087066896031,0.00221724826114792,-0.000163529614336295,0.00170768644939446,0.00327761778816065,0.00391343703160643,0.00593249585124408,-0.0164269999945727,-0.0166204440362695,-0.00497445144566044,0.0110945919261474,0.00671030198400046,0.00128443514832198,0.128165693349687,-0.00714446023608348,3.61446051868217e-05,4.54772552257488e-05,-0.00170063279760566,-0.0107434401111515,0.0105121817639049,0.000713771883530085,-0.0134235306455333,-0.0108557256672687,0.00933042334450073,0.000130238650934544,0.00230308557874303,0.0081908822021038,-0.000189523184045574,-0.000261872929854478,-0.000205218125570008,-6.28775257785694e-05,-3.18227715993434e-05,-8.7199892935842e-05,0.00239182907984238,-0.00409865865743803,-0.00521636200192857,-0.00373102290347352,0.0079402877955727,-0.00338458885069767,0.00218818457327035,0.00331632685935397,0.00572387450188144,-0.00686024585042433,0.00214320068136513,0.00254096678431325,0.0195785758636054,0.00119853153650079,0.00340081821676403,0.000355294108295886,-0.00122161009213999,-0.00484670919896817,-0.00880489191173842,-0.00646126733718798,-0.00513058993346325,-0.00208419602127358,-0.00780329817284759,-0.00401184787884897,0.000795098148840261,0.00184817342805311,0.00192345073458996,0.00063389264234777,0.00155023131390169,-0.000921841569552366,0.000474376484689983,0.000645744351299927,-0.00126320521798965,-0.00156165811278272,-0.00152531543905678,-1.09750072573362e-05,0.000194065495642374,-0.00272389700932551,0.00232696529051722,0.00402135090920091,0.00377654995856865
"asc_Op3",0.0281087066896027,0.180537169765979,-0.000206290901880092,0.000543105907969702,-0.0408633143148041,-0.0126181659026953,0.0195873203954678,0.0189494334695452,0.000359832277298815,-0.0182760836116648,0.00773362485241357,0.0186288924120769,0.0199761182498795,-0.00812672492121651,-2.97310317637093,0.0925902141647948,0.00486716108683989,0.00760249683576004,-0.000509938561893308,-0.0389540321109319,-0.192952216502198,1.91638466587759,0.649321531896058,0.104836159607594,-0.425944794403356,-0.0214560807139575,-0.00836230743631475,0.0576397571834798,0.003806407963937,-0.0161483931636536,-0.0222248537365429,0.00137585898857128,0.000281821961025122,0.00129920780508094,-0.00774665479006452,-0.00790415033268849,0.026823552173123,0.0271285093879465,0.0387797793055639,0.0286211509332251,0.0216937928883088,0.0177884681164566,0.0144375767068761,0.00978119804567319,0.0843206624674166,0.0898195812603067,0.0801251403160641,-0.0141264545837268,-0.00225674819241731,-0.00266397508217286,0.00447477824085559,0.00771364277102649,0.0117665050369165,0.0113256688858296,0.00399114835586236,0.0054590419233357,0.0132625877725116,0.0183756415049806,0.0246266418900902,0.00306618179108961,0.00159916202721374,-0.00130475006613365,-0.000265357251069959,-0.00325826601244152,-0.00238084404201795,-0.00461451680302249,-0.00140937843176843,-0.00431673062617343,-0.00703175944100665,-0.00834063635678725,-0.00541420421439997,0.0186199855698107,0.0153199103152591,0.0125301204902903,0.0109028433015697
"b_tt",0.00221724826114793,-0.000206290901879163,0.000886355377631846,-0.00164718781206637,0.00216672284820171,0.000362722794322289,0.00145165523304464,0.00103460331828113,-0.004358909992774,-0.00487569647597192,-0.00231414152742078,0.000299552341903974,-0.000545198787707197,-0.00113850501138996,-0.0562084242284389,0.00173528953029727,9.89866825359403e-05,7.15067182626886e-05,9.83754951065531e-05,-0.000920045127450689,-0.0021716284503618,0.0345726531856909,0.0092870359579838,0.00249460552030642,-0.00480764963290942,-0.000425840537840419,-0.000445081069811481,0.00101430814832089,2.34245358908111e-05,-0.000310523681023394,-0.000452016752302887,-1.07251240392433e-05,-1.00788094072888e-05,-5.3022034356115e-06,0.000432981317456338,-0.000155491399368288,-0.000835971714789227,-0.000344126032481503,0.000616654513532958,0.000274429240294004,5.62917237656206e-05,-1.32156664461297e-05,0.00056402549007213,-0.000129844707270038,0.000825639827744987,0.00122596874651031,0.00201498438558177,0.000343207087212446,0.00018456375542695,0.000505378053028176,-8.27815082537285e-05,-7.47934882607798e-08,-0.000736498080750477,-0.00031489326796085,-0.00147695303294398,0.000284239115562468,-0.000785690917406208,-0.000661851443568522,-0.00242778268544287,-5.84310702191698e-05,-5.35051363574171e-05,0.000196718800523262,0.00137602787165985,0.000274943687626238,-8.71233052149799e-05,4.89236075605363e-05,-0.000170209235150127,2.82508648774438e-05,0.000290746143541623,0.000601946644653808,0.000121128329294344,0.000188443423279165,0.000645571904483233,0.000779130901416749,0.000566227738749598
"b_dt",-0.000163529614336403,0.000543105907965556,-0.00164718781206643,0.0110054206995206,-0.00301868392140819,0.00203903715681572,-0.00684188775877808,-0.00365246846436683,-0.0126003790239479,-0.00809130477918727,0.00443940879962445,0.000751662143207935,0.000326428438982481,-0.00563522839153343,0.344462047607711,-0.0143424766467541,-0.000593273541176696,-0.00142784478596926,-0.000929373308802016,-0.0057103242711409,0.0208130288417163,-0.0941478040563109,-0.0100645439225279,-0.0160556477928595,0.01429241191207,0.00106408474860979,0.00303390595967319,-0.00647486476630663,-7.00677483152884e-05,0.000851080396034318,0.000906715507292966,1.38719726411207e-05,4.4495279056313e-06,-2.34846532691102e-05,0.0028642208149991,-0.00855845013638127,-0.00763166742472197,-0.00906380658101828,-0.0123158321607536,-0.00923216019180649,-0.00483096841489736,-0.00511227200969214,-0.00699815546104613,-0.00991531834303442,-0.0175713368319856,-0.0204199141939405,-0.0168422451473676,-0.00488220723314359,-0.00339473158143523,-0.00380468054832123,-0.00693982486462344,-0.00701470626320315,-0.00165491548755622,-0.00269669418928078,-0.00237780759479658,-0.00839589299294819,-0.0113427442858857,-0.0121453335254263,-0.0169874697884592,-0.00254383692857116,-0.00285384114077196,-0.00307867608018044,-0.0053751263378969,-0.00130144730818657,0.000402331919727077,0.000205000527951566,-0.001559072175043,-0.000682807473041789,-0.00171950907804512,-0.00214200246612603,-0.00131068187361271,-0.00849661646738046,-0.00455415824503173,-0.0047228080650531,-0.00722997083263915
"b_CongAB",0.00170768644939435,-0.0408633143148092,0.00216672284820162,-0.00301868392140816,0.0870544632140223,0.0341574220353631,-0.00414246506093321,-0.00149626706792437,-0.00332624315579041,-0.00210860306104658,-0.000429501632847917,-0.00142318760049025,-0.0145049568259106,0.0116581522466085,0.781630134046597,-0.0281508605150942,0.000310864393714837,-0.00772089233106647,-0.000606389607683138,0.0034376780351208,0.022455888271569,-0.498358233214866,-0.266334221403332,-0.0486920316568025,0.13162024698522,0.00607680984702383,0.010569897914208,-0.0286120242504843,-0.00127864337658669,0.00387973600415473,0.00557460206538617,-0.000428177618023918,-0.000140055026705721,-0.000482485086017408,0.01100108453136,-0.0310955279851088,-0.0355425104892588,-0.0313417615975666,-0.0321400713388836,-0.0254352329147202,-0.013827133075585,-0.0199488319476947,-0.0204247799513483,-0.0195160785939878,-0.0689258710525413,-0.0695767554739949,-0.0620766167088208,-0.0139378914263588,-0.0108923408047061,-0.0130529072187428,-0.0203913621149176,-0.022714468539636,-0.0314772144778516,-0.0277446442240832,-0.0289991321263198,-0.0310270184499182,-0.0346421739887514,-0.0344636181579371,-0.0410594415314823,-0.0100544212549991,-0.0103706539982977,-0.00957818703005606,-0.00104907117121392,-0.00111466119949469,0.00133787773735252,-0.000419389510396724,-0.00169144967952318,-0.00676873871959837,-0.00451012435516049,-0.00300268133049088,-0.00324419449147391,-0.0191268261987917,-0.0112919667163244,-0.0143915360454907,-0.0194594337309888
"b_CongCD",0.00327761778816059,-0.0126181659027004,0.000362722794322497,0.00203903715681424,0.0341574220353621,0.0558441558847785,-0.000833171677583822,0.00292279594685201,-0.00309613027583899,0.00271745918867837,0.00553476091333479,-0.00156926096016831,-0.00707946580478012,0.00243590317853023,0.862348249168768,-0.0362530623933721,-0.000286226711480247,-0.00888610004484898,0.00040305475007144,-0.00814632958907622,0.0413987637752297,-0.322659866385518,-0.199334186974879,-0.0413507912457609,0.0770732324029025,0.00330565844307785,-0.00397190441950951,-0.0214893953557593,-0.000724357176340927,0.00253042801433934,0.00344098041035941,-0.000250804194383726,-7.22444559283249e-05,-0.000257249723610987,0.000903961691772008,-0.0230563245593453,-0.0393323522166827,-0.0375976770852942,-0.0377763726962355,-0.0228958165124281,-0.029919692951538,-0.0325298283102617,-0.0182463202142166,-0.0259283429358434,-0.0586529699736186,-0.0606237582319171,-0.0486775843526404,-0.0110887032518877,-0.0110001480914336,-0.0119131095715936,-0.0129214327079699,-0.0184985188672764,-0.0227858653135587,-0.0223862929671613,-0.0109940334062976,-0.0233361256687221,-0.0415100429042879,-0.0420347197347633,-0.0199191167036358,-0.00480325764054664,-0.00640130172306302,-0.00392118922048022,-0.00246216579283803,-0.00112005460236265,-0.000254026978717425,-0.00105747920079377,-0.00111016076867563,-0.00793588473095339,-0.00527047119278172,-0.00536342244387766,-0.00315329946803176,-0.0149752201416445,-0.0180106628902767,-0.0189511262356118,-0.0198158359431245
"b_Sem_1",0.00391343703160642,0.0195873203954681,0.00145165523304454,-0.00684188775877755,-0.00414246506093288,-0.000833171677583591,0.12609001191178,0.063123625056849,-0.0293934239637922,-0.0262224691196094,-0.00597011715166625,0.0071226034308881,0.00490289611486547,0.0211181330844303,-0.650044492841309,0.027120168331643,0.000322353786369335,-0.00316458990979401,-0.000150364570675499,0.0138214457913144,-0.0372624284698775,0.26169188183572,0.128504807495929,0.0381243247176764,-0.0955044104079144,-0.00320907273095861,-0.0101895123191717,0.00885309964820681,0.0013907233844133,-0.00198862288844838,-0.0027105479518055,0.000483642403138172,0.000129209583112806,0.00040556789451778,-0.0174864427278085,-0.0173574137469631,-0.00972795545978696,-0.00529734736761556,-0.0191067924087963,-0.0113199555315539,-0.0172278885854986,-0.0240751582137665,-0.0251119632819206,-0.019172124889946,-0.011076149941113,-0.00727374345772951,-0.0137040360839931,-0.0157710944962873,-0.00758515787358283,-0.00804112238039318,-0.00881334111629562,-0.0112231472772769,-0.00835871517740738,-0.00632252996653045,-0.00825992847425168,-0.0137155156514444,-0.00449821630443308,-0.00212865703541936,-0.00782058103504387,-0.00294512322030932,-0.00386058358312858,-0.0038399782350022,0.00762633432377002,-0.0009076196066816,-0.00159282350216088,-0.0043706107741772,-0.00367691203546125,-0.00514159764480661,-0.00306822024962531,0.000576266168383079,-0.0029387483454781,-0.000560110091616488,-0.0189220285870804,-0.0255999838942185,-0.0274265003619556
"b_Sem_2",0.00593249585124426,0.0189494334695521,0.00103460331828135,-0.00365246846436745,-0.00149626706792482,0.00292279594684986,0.0631236250568495,0.0770975919971551,-0.02525678244735,-0.0165526838207531,-0.00617589655167256,0.00133352877028179,0.00172409932707528,0.00888377108319988,-0.577785144055493,0.0227476993514638,0.000414260156901106,-0.00250500301751887,0.000866858000375606,0.00133573927150396,-0.0302666553826888,0.259341745585213,0.0949593247399228,0.0339054415203505,-0.0668853612914847,-0.0033980037636476,-0.00893985556496481,-0.00614877979705647,0.000741666731511351,-0.00181745528532001,-0.00211276285694598,0.000225332754051535,8.7738309420295e-05,0.000268448562269488,-0.00698946276569609,-0.0148058495477821,-0.00588575585658851,-0.00329612990634011,0.00217401777403411,-0.0064130742063823,-0.00859289966035602,-0.0114523680965977,-0.00177139413668317,-0.00776100815585994,-0.00900037114329749,-0.00605443702568313,-0.0379446274885371,-0.00466454556809733,-0.00233411780950089,-0.0029694942419198,0.00048245221463314,-0.00821777273173691,-0.000871874942311315,-0.000465205436222453,-0.0108356898481981,-0.012254465409881,0.00566657554140197,0.00967545968682549,-0.000755167872788978,0.00147762038172176,-0.0011566328723626,-0.00148640351029856,-0.000107329094784561,-0.000669373743213606,-0.00336096140291443,-0.0046718636940957,-0.00510960208470188,-0.00296024422348121,-0.007259850289964,-0.00572004662549562,-0.00538838368594043,-0.00107101623928248,-0.00736155478600429,-0.00949011480667935,-0.00697419518458712
"b_ACC_0",-0.0164269999945725,0.000359832277306038,-0.00435890999277387,-0.0126003790239481,-0.0033262431557907,-0.00309613027584116,-0.0293934239637916,-0.0252567824473504,0.301302666035575,0.253007237512312,0.0245491572881929,0.00145789337290034,0.00969274911404158,0.0400028603158232,-0.193019423671834,0.0155247065520059,0.00149557042523597,0.00703781145602779,-0.00539303029642144,0.0306942664618192,-0.0200997689027792,-0.267909787345895,-0.148521793781976,0.00850547036121477,0.00473514832053933,0.00452193257771201,-0.00130414071084778,0.0503942197333783,0.000433586479284576,0.000395038661840922,0.00293059501431576,0.000203388343279753,0.000230158248200352,0.000559626763418152,-0.00577975705452651,0.0275928670569171,0.0422146463825119,0.0310578148371074,0.0524903402299836,0.0202232941414171,0.0185386863273142,0.0104270295020856,0.00121566115193261,0.0247301788815277,0.0841513587529589,0.0803167199254999,0.129848312599675,0.0118189302339519,0.0137340445160434,0.0108651312011238,0.0188533393540759,0.0359254595105524,-0.0102255497285743,-0.00550995169492722,0.0119625988961953,0.0361674656014343,0.0332312531145045,0.0267291544651458,0.102103326868749,0.00319983536231066,0.00675052624882968,0.00769338419488317,0.00572282319121122,-0.0114890491169039,-0.00643418192614599,-0.00516807110432829,-0.00259949982430464,-0.0114557162175489,-0.0167739286880787,-0.0197067049819705,-0.00770302165100819,0.0183486057065019,0.0151310185259023,0.0171738160627091,0.032548784816188
"b_ACC_1",-0.0166204440362696,-0.0182760836116738,-0.00487569647597215,-0.00809130477918673,-0.00210860306104641,0.0027174591886805,-0.0262224691196101,-0.0165526838207526,0.253007237512312,0.317134192093535,0.00758538906777739,-0.00713250820612225,-0.01139463796493,0.0512862519252916,1.07739499598963,-0.0343421896147262,0.00129836760642238,-0.000786943059341509,0.00213689793132608,0.0379145759099784,0.0299252373074389,-0.885220789894868,-0.505052879412282,-0.0371172068657225,0.173433929336557,0.0117553536378489,0.00311095276183394,0.0307760192847395,-0.00151524128777363,0.00612014536789413,0.0103432940795389,-0.000480422169959846,5.61902867741308e-05,-0.000118280778053663,-0.00195924098930086,0.0205055814112885,0.0279995838256584,0.0217424470681644,0.0333793348912355,0.0119102922895576,0.00237309533551911,0.00494665645061905,0.00293084511893386,0.011643932139743,0.0425980427332988,0.0478356010086522,0.0794735541921122,0.0171621132439047,0.0114528547640578,0.00965453620398275,0.00479149218323741,0.0248276432465571,-0.0136182998117552,-0.00229950360185729,0.0110845145333361,0.0267635667472724,0.005781521567163,0.0113981387742969,0.0681243148277459,0.000703639225708634,0.0032734766261005,0.00720947020020931,-0.00138592387801519,-0.00890097764920443,-0.00397746626055617,-0.000902033561847703,-0.000857650043276128,-0.0142952100907201,-0.0187076876616898,-0.0185788778441025,-0.00606886923961641,0.0140567087346339,0.00592790552653939,0.0105870519418485,0.0157445944577513
