"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_Op1",0.595715998086926,0.205212305517246,2.90292532207267,0.00369694780699303,0.210311440895919,2.83254204121847,0.00461794931574722
"asc_Op2",0,NA,NA,NA,NA,NA,NA
"asc_Op3",0.477921995497274,0.26583685022464,1.79780190403782,0.0722084055240597,0.277807945472088,1.72033234933265,0.085372046393948
"b_tt",0.0862783183311106,0.0253998248317494,3.39680761196683,0.000681768813321382,0.0285850854606995,3.01829842173225,0.00254198450926735
"b_dt",-0.211732845366087,0.114851783086676,-1.84353119886956,0.0652514908604471,0.097392493782122,-2.17401605753886,0.0297039292942236
"b_CongAB",-0.370231530470457,0.275683953264887,-1.34295640383075,0.179286090887611,0.277346799287858,-1.33490464436979,0.181907557530963
"b_CongCD",-0.668026393556615,0.225896614400399,-2.95722180400874,0.00310424727574654,0.218237893354185,-3.06100092559295,0.00220598412470618
"b_CongEF",0,NA,NA,NA,NA,NA,NA
"b_Sem_1",-0.156894692764489,0.356898444467091,-0.439605986511818,0.660222504108552,0.352377401035096,-0.445246182937999,0.656141855072068
"b_Sem_2",-0.286954622261447,0.276422174553345,-1.03810275975551,0.299222216760914,0.261210642371424,-1.09855639745879,0.27196160525276
"b_Sem_3",0,NA,NA,NA,NA,NA,NA
"b_ACC_0",1.07078583785951,0.545783322380883,1.96192480412995,0.0497712395314485,0.528496901176713,2.02609671972603,0.0427548741910384
"b_ACC_1",0.38519238928487,0.551101566250892,0.698949908462987,0.48458333583427,0.542714700348048,0.709751162144387,0.477858459283264
"b_ACC_2",0,NA,NA,NA,NA,NA,NA
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.481441810367729,0.290983935403683,-1.65453054891097,0.0980197615970182,0.276139970260218,-1.74347020430996,0.0812515145193577
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.323790007874612,0.217273763617258,-1.49023979004197,0.136161197555494,0.208257036773733,-1.55476142794831,0.120002898681918
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.308541080240655,0.255501958118476,1.20758792814255,0.227205804937302,0.246209449048481,1.25316506508205,0.210145640900551
"b_NO_MTRP",0,NA,NA,NA,NA,NA,NA
"b_SI_MTRP",0.122317782846926,0.364252189407353,0.335805209698095,0.737017761314827,0.365997218674349,0.334204132178831,0.738225526068096
"lambda4",-0.442996066943558,0.240585060491928,-1.84132824389743,0.0655734711720835,0.246289355843074,-1.79868133329245,0.0720691033646466
"lambda5",0.128902321451498,0.169832109917421,0.758998528100345,0.447853437277003,0.162577279189392,0.792867995418572,0.427854735642827
"gamma_USOCINTURON",-0.467859299349216,0.125529329078416,-3.72709153138987,0.000193702127666562,0.142352876732011,-3.28661640066462,0.00101398857168089
"gamma_USODISPMOB",0.447218987052925,0.146913676234154,3.04409363727403,0.00233382487285327,0.162169560147906,2.75772461024771,0.00582052105842679
"gamma_EXP_2",-0.840892940071292,0.299135123060901,-2.81108059617625,0.00493754159440263,0.334856953068753,-2.51120047639757,0.0120321344478282
"gamma_LV4",0.826688299788779,0.153141149222644,5.39821141466622,6.73085256419625e-08,0.23552837572934,3.50993079805711,0.00044822333072192
"zeta_PrPer",3.22030291861568,0.868980525364507,3.70584014787314,0.000210691157521925,1.00813493915999,3.19431734138581,0.00140161950981876
"zeta_AmbTr",1.66123132856043,0.242055396998308,6.86302123051626,6.74194033933873e-12,0.321937308598964,5.16010814586829,2.46807231318869e-07
"zeta_ComVrb",-0.381325076223612,0.132449465331843,-2.87902314492723,0.00398909057175789,0.160057907402137,-2.3824194781302,0.0171992929651006
"zeta_ComAfec",2.68958843581928,0.465642006777269,5.77608634245448,7.6458148701164e-09,0.540299477059997,4.97795861372011,6.42583912524586e-07
"zeta_ConCl",2.61405747176602,0.457274608977024,5.71660315365851,1.08674511611895e-08,0.536558294166476,4.87189835696579,1.10531032704309e-06
"zeta_Ans",0.627789872725236,0.112067829062742,5.60187413261807,2.1204651368123e-08,0.101272511398055,6.19901554783891,5.68174174375713e-10
"zeta_StrC",1.44653033126996,0.223603517656868,6.46917520094538,9.85393988628402e-11,0.264109658443045,5.47700655779654,4.32581193088311e-08
"tau_PrPer_1",-3.24777420387136,1.00285029539265,-3.2385433985436,0.00120141741235402,1.1548134647901,-2.8123799235937,0.00491763805362666
"tau_PrPer_2",0.83353647924622,0.734172093560746,1.13534209016793,0.256232013216445,0.84072851261202,0.991445474659286,0.321468104430139
"tau_PrPer_3",4.09678967373615,1.08336965003242,3.78152523805106,0.000155870416032711,1.13786930094113,3.60040443164054,0.000317722595459369
"tau_PrPer_4",7.91754625833004,1.94271353643672,4.07550887448501,4.59138311368346e-05,1.91277727950322,4.13929334228936,3.48377261110144e-05
"tau_AmbTr_1",-1.30814366292261,0.408009876713784,-3.20615685448288,0.00134520639493974,0.483296761378595,-2.70670893632963,0.00679538067239949
"tau_AmbTr_2",0.35545026826094,0.389262777449883,0.913137060238705,0.361170461144595,0.438526030026532,0.810556828837352,0.417620217343191
"tau_AmbTr_3",2.10383497756109,0.419728588814998,5.01236997818223,5.37637032893556e-07,0.468334243477354,4.49216559938099,7.05025673486404e-06
"tau_AmbTr_4",3.77816771415154,0.521852816953689,7.23991054835452,4.48974191158413e-13,0.609966725911302,6.19405543557623,5.86355852760789e-10
"tau_ComVrb_1",-2.13045510865117,0.207078456992786,-10.2881542560721,0,0.209914489373432,-10.1491569972626,0
"tau_ComVrb_2",-0.969787255330523,0.150686123553233,-6.43580996353605,1.22816645742319e-10,0.158072788672228,-6.13506767025809,8.51229531306785e-10
"tau_ComVrb_3",0.0696907019726331,0.13888395998381,0.501790861815556,0.615814641826026,0.146821755324939,0.474661958770325,0.63502793649668
