"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.77912355627868,0.721035793515929,-0.036588160879008,0.133992650313481,-0.0295072281490595,0.0256147161523126,0.152614136112972,-0.0313571274601852,0.0104569458930785,-0.0379828677413312,-0.00661315790234861,0.00830635186386101,0.0435400945602416
"asc_ruta2",0.77912355627868,1,0.637629903465118,-0.133884877435263,0.00134316119714646,-0.00453254011675789,0.0610979329405007,0.0430540640126416,0.0230681166979813,0.0281689419163379,0.0347333000807036,-0.011965877270322,0.0304543508304151,0.123994253098185
"asc_rutaEC",0.721035793515929,0.637629903465118,1,0.149475452418908,0.0210854103107108,0.13326732998132,0.499128766539024,-0.0137980272526567,-0.0379199818994528,0.0535067036859143,-0.00451561573715344,0.0682022563595125,0.0478864433480382,-0.000731986368955964
"b_tt",-0.036588160879008,-0.133884877435263,0.149475452418908,1,-0.303773586965005,-0.0637704916659683,-0.196226936296624,-0.139679746424192,-0.069833522725029,0.0050504985928819,-0.136425031460219,0.0633562565488303,-0.123897283514338,-0.132701841704231
"b_dt",0.133992650313481,0.00134316119714646,0.0210854103107108,-0.303773586965005,1,-0.0466439715334597,-0.0206368580356357,0.383378502799826,-0.0407645188819254,-0.00117432454810959,-0.0699938387111004,-0.0349421180382266,-0.0328167943425579,-0.115721300391075
"b_CongCD",-0.0295072281490595,-0.00453254011675789,0.13326732998132,-0.0637704916659683,-0.0466439715334597,1,0.486388262352368,0.019448263867565,0.0812544965816009,0.0395207756353169,0.0608105444624346,-0.00521776230868059,0.0537150450375907,-0.0596365229812309
"b_CongEF",0.0256147161523126,0.0610979329405007,0.499128766539024,-0.196226936296624,-0.0206368580356357,0.486388262352368,1,0.0127009408848269,0.0341950166657452,0.057664879402363,0.0274085634269447,-0.0255049947067792,0.0984925965615689,0.0360113185482116
"b_Sem",0.152614136112972,0.0430540640126416,-0.0137980272526567,-0.139679746424192,0.383378502799826,0.019448263867565,0.0127009408848269,1,-0.069159863265742,0.01886166546438,-0.0687163943862879,-0.0646879546616658,-0.0285575449830134,-0.128751862611922
"b_ACC_1",-0.0313571274601852,0.0230681166979813,-0.0379199818994528,-0.069833522725029,-0.0407645188819254,0.0812544965816009,0.0341950166657452,-0.069159863265742,1,0.107781437426482,-0.0302393852788696,-0.0451392485581683,-0.0253931315182567,0.0470993254909987
"b_ACC_2",0.0104569458930785,0.0281689419163379,0.0535067036859143,0.0050504985928819,-0.00117432454810959,0.0395207756353169,0.057664879402363,0.01886166546438,0.107781437426482,1,-0.00371158455970485,0.0391995815658865,-0.0100046276892875,-0.0262710689251112
"b_SI_CAMFD",-0.0379828677413312,0.0347333000807036,-0.00451561573715344,-0.136425031460219,-0.0699938387111004,0.0608105444624346,0.0274085634269447,-0.0687163943862879,-0.0302393852788696,-0.00371158455970485,1,-0.0718310567742101,0.116016396661136,0.109444250709655
"b_SI_PANEL",-0.00661315790234861,-0.011965877270322,0.0682022563595125,0.0633562565488303,-0.0349421180382266,-0.00521776230868059,-0.0255049947067792,-0.0646879546616658,-0.0451392485581683,0.0391995815658865,-0.0718310567742101,1,0.0155473292330725,-0.0639714291486402
"b_SI_ZER",0.00830635186386101,0.0304543508304151,0.0478864433480382,-0.123897283514338,-0.0328167943425579,0.0537150450375907,0.0984925965615689,-0.0285575449830134,-0.0253931315182567,-0.0100046276892875,0.116016396661136,0.0155473292330725,1,-0.0260482721566832
"b_Si_MTRP",0.0435400945602416,0.123994253098185,-0.000731986368955964,-0.132701841704231,-0.115721300391075,-0.0596365229812309,0.0360113185482116,-0.128751862611922,0.0470993254909987,-0.0262710689251112,0.109444250709655,-0.0639714291486402,-0.0260482721566832,1
