"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP"
"asc_Op1",1,0.538838163141623,0.243917138272972,0.141009578621312,0.0494496319050044,0.0319899931470324,0.0950592551222863,0.178854742216795,-0.0971283407126441,-0.0870554163570884,0.0151791577677748,0.19771024700772,0.134499401809045,0.0678584049870574
"asc_Op3",0.538838163141623,1,-0.253600120932494,0.397062368597901,-0.506831604271926,-0.101828285059633,0.115532904231931,0.160724495026467,-0.0764379452757653,-0.0527879451817123,0.176346399489099,0.185053869870076,0.230519355436685,-0.00211090037299472
"b_tt",0.243917138272972,-0.253600120932494,1,-0.413942896078318,0.228027411121947,0.0292183503144039,0.092123636301208,0.0226996886355561,-0.129796563143732,-0.169196074926953,-0.121077354386761,0.0747705476016554,-0.104365028683579,-0.0423471137244352
"b_dt",0.141009578621312,0.397062368597901,-0.413942896078318,1,-0.0790383544292971,-0.0428375951012871,-0.142742612686267,-0.0316241960853256,-0.220095805940075,-0.177507590113063,-0.0205768555086864,-0.0395613830025102,0.0315096452044808,-0.138163487113896
"b_CongAB",0.0494496319050044,-0.506831604271926,0.228027411121947,-0.0790383544292971,1,0.49855528036375,-0.0368094355197706,-0.0401312876342435,0.00534561835437514,-0.0101813499721244,-0.0721360621797668,0.0636276528838697,-0.134840220447244,0.0319412597629919
"b_CongCD",0.0319899931470324,-0.101828285059633,0.0292183503144039,-0.0428375951012871,0.49855528036375,1,-0.0430241268666636,-0.0217711825710322,0.0547708415084038,0.0774702083687592,0.0347920244943689,-0.0111905646627643,-0.098286991226759,0.0476034860760248
"b_Sem_1",0.0950592551222863,0.115532904231931,0.092123636301208,-0.142742612686267,-0.0368094355197706,-0.0430241268666636,1,0.576031721629837,-0.0869307381199835,-0.0628961667910272,-0.0186406236729884,0.075212688331114,0.041140253156993,0.122173564918708
"b_Sem_2",0.178854742216795,0.160724495026467,0.0226996886355561,-0.0316241960853256,-0.0401312876342435,-0.0217711825710322,0.576031721629837,1,-0.0872180749531666,-0.0428250416818637,0.0126108082619469,0.0161383732172612,0.0709294038876989,-0.00260738492566764
"b_ACC_0",-0.0971283407126441,-0.0764379452757653,-0.129796563143732,-0.220095805940075,0.00534561835437514,0.0547708415084038,-0.0869307381199835,-0.0872180749531666,1,0.846593042230498,0.0595478993049821,0.0238814099186833,0.136158225905463,0.148906177208703
"b_ACC_1",-0.0870554163570884,-0.0527879451817123,-0.169196074926953,-0.177507590113063,-0.0101813499721244,0.0774702083687592,-0.0628961667910272,-0.0428250416818637,0.846593042230498,1,0.0202387014999226,-0.0243700051475987,0.0992946173526203,0.157412579804197
"b_SI_CAMFD",0.0151791577677748,0.176346399489099,-0.121077354386761,-0.0205768555086864,-0.0721360621797668,0.0347920244943689,-0.0186406236729884,0.0126108082619469,0.0595478993049821,0.0202387014999226,1,-0.103736994567803,0.122274439771311,0.107653000066738
"b_SI_PANEL",0.19771024700772,0.185053869870076,0.0747705476016554,-0.0395613830025102,0.0636276528838697,-0.0111905646627643,0.075212688331114,0.0161383732172612,0.0238814099186833,-0.0243700051475987,-0.103736994567803,1,-0.0302294970131841,-0.0386028516047348
"b_SI_ZER",0.134499401809045,0.230519355436685,-0.104365028683579,0.0315096452044808,-0.134840220447244,-0.098286991226759,0.041140253156993,0.0709294038876989,0.136158225905463,0.0992946173526203,0.122274439771311,-0.0302294970131841,1,-0.0840729594191692
"b_SI_MTRP",0.0678584049870574,-0.00211090037299472,-0.0423471137244352,-0.138163487113896,0.0319412597629919,0.0476034860760248,0.122173564918708,-0.00260738492566764,0.148906177208703,0.157412579804197,0.107653000066738,-0.0386028516047348,-0.0840729594191692,1
