"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.782384256584215,0.601067712606488,0.363160573725332,0.110712359976325,-0.112186272817703,-0.107912468159776,0.145154506765905,-0.0580059254698261,0.019464427720666,-0.0688868073283359,0.0190016961717422,-0.0505912725581131,0.00168358380666416,0.040436595647505,-0.00478710439958648,-0.0032335981600706,0.0189519261723271,-0.00146045833986491,0.00102046895427206,-0.00121476164222477,0.00138056871934974,-0.00204595831816297,-0.00138742126895801,0.000401594212975162,-0.00114569938583882,0.00271690488429822,0.000176068489916733,-0.00134655113929344,0.0024464185862052,-0.00226192206597809,-0.00202944178170549,-0.00217958762915613,-0.00384084469566861,-0.00199819768036122,-0.00103937572071605,-0.00256163039511323,-0.00217748294863162,-0.000664429521975383,-0.00244657404937006,-0.000330678134668566,0.000295476162684508,0.00101902889791533,-0.0010184095795374,-0.00183107903876247,-0.00153034563612634,-0.000517811114810671,-0.000357779362789355,-0.000258965854544121,-0.000132903140195947,4.41522729052949e-05,-0.00131515573684663,-0.00201913879525517,-0.00174284081563064,-0.00132394875864639,-0.00158581457919905,-0.00130583020500275,-0.00112619981467096,-0.000722151504406245,0.000443716743606266,0.000280547909807562,0.000186194761244839,6.81047175908189e-05,0.000918606337809523,0.00156918003967361,0.00172200378221027,0.00169870832716556,6.65238492050547e-05,-0.000628009919383921,-0.000973280970274785,-0.00169459100867595,-0.00205955893634044,-0.0012435376325591,-0.000954648778628569,-7.15962829138906e-05,0.00147423376630012,-0.000665481550178204,-0.00105121688183935,-0.00068701289458274,0.00197362799867778,0.00261038384239058,0.00262732070714522,0.00245663495506728,-0.000259930647117394,2.59517802139497e-05,0.000488045523626361,0.000726302092358133,-0.00123681653453125,-0.000842545785179027,-0.000386511878499533,-0.000727413087873847,-0.00104802732216625,-0.000745645674517606,-0.000528283244561226,-0.00064054493971002,-0.000432674280754266,-0.00196762802040245,-0.00245728986081782,-0.0025225124519485,-0.0008348351557955,-0.00116945005296356,-0.000650690020169578,-0.000912591859429183
"asc_ruta2",0.782384256584215,1,0.585694910298193,0.16034957974879,0.0269033264721315,-0.0551172577573528,-0.0284703775231238,0.0605363956205429,-0.00291639012836603,0.0372299668543271,-0.00550031950276359,0.00935931465893115,-0.0151232119819814,0.0746986953055298,0.0191392590577014,0.00873706620588968,-0.00951686472448915,0.00922994892996163,-0.000929752852823952,0.000746775773359833,-0.000757976912230695,0.000390824092855,-0.00133624534598324,-0.00115114998210797,-0.00151483524595058,-0.00259589939475334,0.00160066895450014,0.000230818143448268,-0.00107759064388297,0.0014348038812367,-0.00165629356367557,-0.00202049519924833,-0.00163419674830948,-0.00197974576020822,-0.00092257973314079,-0.00091765721746135,-0.00187801808193296,-0.00161971773128637,-0.00058987104069594,-0.00188464256907319,-0.000323526426571872,8.89021565746846e-05,0.000547909386852642,-0.000926757528240618,-0.00131208218049309,-0.00112197719968036,-0.000435871920637541,-0.000164540029308755,-0.000138777562079254,-9.03293303660493e-05,-1.12576620839521e-05,-0.00109856826211837,-0.00146256326256629,-0.00129106511638451,-0.0010029110640514,-0.0012257732920487,-0.00120340769729101,-0.00111226080381686,-0.00084013184786615,0.00107326379976139,0.00149796186720967,0.00150306312340643,0.00108387859661599,0.000927584773829789,0.00232445270805074,0.00267182807027024,0.00277763182146268,0.000104284125872115,-0.000372396962170526,-0.000639329055882551,-0.00108693820731753,-0.00161769236625281,-0.000936381767136595,-0.000714114395834875,-0.00011127694580878,0.000853817398098279,-0.000694877613690253,-0.000921887833367753,-0.00089348055741261,0.00119120980289416,0.00150688740043975,0.00149383056750985,0.00125627278859889,-0.00016228803913876,5.09321956534968e-05,0.000404172058169539,0.000580169264609771,-0.00096586957936644,-0.00131963817341392,-0.00109576707207232,-0.00125466507772902,-0.0010377223663113,-0.000806204440031372,-0.000676866219729457,-0.000827188783980809,-0.000652336208478844,-0.0013799960868511,-0.00153736680559801,-0.00141187553014889,-0.000871173087383161,-0.000931936555563849,-0.000374072256045742,-0.000478261625247537
"asc_ruta4",0.601067712606488,0.585694910298193,1,-0.0342641197534037,0.179441254017922,0.0820912562676519,0.407235158050621,0.0331668814574972,-0.0171202659442118,0.0715472941332778,0.0290764181760485,0.0814562366414491,0.0246661122809386,-0.0376582881012748,0.113053553901559,0.0387013506158882,-0.183718901819595,0.406350050818916,-0.0037834163437138,0.00821565495324214,-0.00692135554248012,0.00761001812564182,-0.0239484484086003,-0.0305612822119379,-0.0246745978803841,-0.0134850328514268,-7.35652443524973e-05,-0.00773419864835283,-0.0206008684671931,0.0153783149644195,-0.00682862616740378,-0.0289945633511203,-0.00909901341326678,-0.0384279500873712,-0.0261550366462722,-0.0398176539672784,-0.0397905801966277,-0.0330416041325315,-0.0073095298905019,-0.0475177410110987,-0.0251791101320038,-0.0147324088717591,-0.000884010497823227,-0.0357907592298957,-0.0305145358945961,-0.0253284217657387,-0.0056507381035607,-0.00248984254029076,-0.00192817281410662,-0.00106822005021153,0.000198422035017943,-0.035981324101188,-0.0387884809407818,-0.034086962991241,-0.0254367871678766,-0.0350720362238345,-0.0400200893957065,-0.0383809272585411,-0.0295598537967282,0.00546140780969911,0.01512593006461,0.0164170517903819,0.0134111895356024,-0.012426676986256,0.00294876423209029,0.00887059592262919,0.0112447115845378,-0.00351442624559506,-0.00697523043676711,-0.0075089055766571,-0.00357362359901036,-0.0361753636104451,-0.0367300644353085,-0.0320134088942925,-0.0178386889020794,-0.0227470739465068,-0.0266239079327518,-0.0230656508070173,-0.0191335547161902,-0.00891322997700139,0.00265422870481571,0.00880634424710718,0.00998983164182974,-0.000826469185403106,0.000335166630498763,0.0022777946308155,0.00343357021812485,-0.00874192818072118,-0.0124149804754069,-0.00940625901377844,-0.0127180727080785,-0.00402242675139038,0.00160058800002484,0.00475861132035252,0.00380079436931165,-0.00191533500115777,-0.0153997287063285,-0.0226803502859519,-0.024894268125692,-0.00562386100958245,-0.0111626094465203,-0.0104296553129229,-0.0120053418638755
"b_tt",0.363160573725332,0.16034957974879,-0.0342641197534037,1,-0.273151245448885,-0.191257940851595,-0.289036594364343,-0.0474351349466526,-0.0394315701857331,0.0110050779420033,-0.0738867414012753,0.0135692749374089,-0.114348156511567,-0.0781299302201076,0.104749268579308,-0.0241606458409478,-0.0223871922796127,0.0635347991794259,-0.000945171312526552,0.00556180125555921,-0.000514827435053001,0.00391448512592641,-0.00462362238555399,-0.00422629448129997,0.00360596694473155,-0.00265792195184054,0.00390616752632589,0.00243687029436223,-0.00591707084615486,0.0063176148963915,-0.00273605468056018,-0.0049820328681771,-0.00834364181959027,-0.0145724368872377,-0.00810297435643494,-0.00587782865748237,-0.00853166953165794,-0.00688502595946372,-0.00142036832419284,-0.00943035386843597,-0.00229091270829329,5.31067928891259e-05,0.00260871528886856,-0.00575518073401096,-0.00549437002400794,-0.00435857164911752,-0.000367056604039331,-0.00127025887463685,-0.00100112981728946,-0.000555751498062771,0.000106585987037347,-0.00573281196330325,-0.00777800517619754,-0.00681911569813311,-0.00511034082404164,-0.00617938512339491,-0.00656843451500763,-0.00608091275371069,-0.00428371448738625,-0.00121627930679902,-0.00268917382104245,-0.00299072881143085,-0.00211952899615591,0.000387414177035254,0.00239648115911964,0.00279402759997532,0.00287129949523831,-0.000360149925122674,-0.00158229403107179,-0.0019025376471818,-0.00270942739873324,-0.00773955769386228,-0.00531016925890338,-0.004241642676972,-0.00110897731335189,-0.00231509245991102,-0.00627821431550939,-0.00606082828333825,-0.00452987901918721,0.000788380397624725,0.00400671566520708,0.00521016403794654,0.0053239491950421,-0.0002893736607438,0.000224482691096053,0.00100630645550354,0.00145086642037963,-0.0034661751671468,-0.000895603727678863,0.000417608573831146,-0.000668456700495763,-0.00318144547827572,-0.00262129825618127,-0.00214456466247731,-0.00248359139398173,-0.000174744913515319,-0.0056732304094959,-0.00837570521572178,-0.00940743975261211,-0.00215482460849937,-0.00355789117451692,-0.00270587039842746,-0.00356196614127629
"b_dt",0.110712359976325,0.0269033264721315,0.179441254017922,-0.273151245448885,1,-0.0335168852290671,-0.0313104060774329,0.300704250361766,-0.0722409478111544,-0.0133940516310753,-0.0936502137115619,0.0368658083002046,-0.0895906502659577,-0.103626348155434,-0.0465373306216796,-0.0273935046537455,0.0634252618486027,-0.0096501427449556,-0.00259820503275181,-0.00648589252493207,-0.000505763770273906,0.00023287805282404,0.00115657416083248,0.000970488226805603,-0.00210336636557696,0.0106478930263666,0.00398445505239649,-0.00437140409662214,0.00397019524381564,-0.00337436879725389,-0.000545266921530108,0.00702511325955118,0.0104630784658114,0.00624996967529513,0.00418257087559828,0.00458324639299411,0.00520490665188658,0.00399595681874937,0.000504406509901521,0.00659877928437713,0.00134166858522832,-0.000232425150968485,-0.00160712967980602,0.00338771069938609,0.00482482414409436,0.00419167887722034,0.0010178387081188,0.000273182252876507,0.000298720884264612,0.0001898676955784,1.07432776487722e-05,0.00381323724303124,0.00573104978747761,0.00520756694218097,0.0039516157861869,0.00440999460099515,0.0048561593570701,0.00465028121731077,0.00333789492970214,0.00166543063612603,0.00307890988599894,0.00320352482648567,0.00202028550345852,-0.000870944227729698,-0.00701215179578259,-0.00825238094008454,-0.00887916037387096,0.000274116358412842,-0.000127815789934863,-0.000800783549447336,-0.00235763227923675,0.00541024673895041,0.00329557241474977,0.00255476332137687,0.00070266234254772,0.00214245409611209,0.00545027380306617,0.00459303442850888,0.0044230442448532,0.000324377357113118,-0.00129039596053576,-0.00197700985471118,-0.00147839709089052,7.38618551921941e-05,-1.27626232168269e-06,-0.000177625378433086,-0.000310620948372128,0.000878844671807794,0.00263899069323151,0.00279549906315388,0.00328723152325934,0.00373329319102843,0.00457757399991455,0.00489425280100197,0.00536669680090426,-0.000539543225532435,0.000561844973062135,0.00167812856361188,0.00292825131147017,0.000641372642510702,0.000729270723582435,0.000480557623058232,0.0011561556963506
"b_CongCD",-0.112186272817703,-0.0551172577573528,0.0820912562676519,-0.191257940851595,-0.0335168852290671,1,0.523837881509505,0.00589130950938465,0.0792053145096367,0.0321703622969166,0.0733775997823642,-0.0111417762188622,0.0766223599670827,-0.0502552154557251,-0.11307428101653,0.0297509127472934,0.0100563895699379,-0.100864116578296,0.00264837938324189,0.00221000972476206,0.00228401542640164,0.0078095016014025,0.00526768291341084,0.00358717396700106,-0.00652136073679681,-0.0213100671313499,0.00125171670657387,0.000739412673266272,-0.00665414470409956,-0.00616381847647628,-0.00369923202051511,-0.0037125917475014,-0.00131478801863956,-0.00887618556179254,-0.0118122227643954,0.00683485878344903,0.00644017516208677,0.00487576423596712,0.000932293569431529,0.00757890786653253,0.00538848359138259,0.00331172789099773,0.00071615255244733,0.00667834448941642,0.00432197108796951,0.00306855428437347,0.00072059622591523,-0.00135976824167465,-0.00079709451253345,-0.000101426836340399,0.000545167745636402,0.00653621882099963,0.00536832787026537,0.00446670370232004,0.00342358768959284,0.00761829596231063,0.00319332789603199,0.00269576799278835,0.0018930010997697,0.00287016663402197,0.00475713758243568,0.00508612975439819,0.00379278864353708,0.00397780376607653,0.0148804570673473,0.0175210316097286,0.0194447487900706,-0.000372700328668427,-0.00107537339407569,-0.00161618943407159,-0.00223242584387846,0.00755262916065996,0.00465282406417102,0.00364654661478773,0.00112718468574543,0.00299480453745242,-0.00265770506552734,-0.00385295990190619,-0.00493535700037018,0.00186646140439932,-0.000366341713343462,-0.00204142716673007,-0.00316943065990073,-0.0010345092987669,-0.000839340692491893,-0.00032817272882705,5.72905020713821e-05,-0.000811227316328788,-0.000179889704228778,-0.000100982112796542,-0.000704271585150668,-0.00118803995814236,0.000824301449962128,0.00221880455599106,0.00185625794199279,0.000552116721594693,-0.00320081092108738,-0.00445874914412916,-0.00489600603078169,0.00331300435240464,-0.00273583025222013,-0.00560766445189373,-0.00561074982275425
"b_CongEF",-0.107912468159776,-0.0284703775231238,0.407235158050621,-0.289036594364343,-0.0313104060774329,0.523837881509505,1,-0.016507338219079,0.0329169306672058,0.0488600454847574,0.0385896556421896,-0.0221729905516694,0.100131925040999,0.0383681941992115,-0.152563726476932,0.0372600229637925,-0.0239148136808046,-0.120958214658034,0.00305466191505637,0.0029830017107525,0.00106655001769667,0.00428184044534208,0.0063081379646667,0.00455029638625827,-0.00468377317668544,-0.0249063569009691,0.0011086192310874,0.000605811477335785,-0.00189626917723464,-0.00789921198271993,-0.00281194128075357,-0.00924777511930334,-0.00451902987712416,-0.00268609143944373,-0.012162847186356,0.00956439352575074,0.00812655875606928,0.00605502306123479,0.00173906861774306,0.0103562923537819,0.00731953215360862,0.00468601505547022,0.00170947917704996,0.0104420440300756,0.00371318584744091,0.00200493670161609,5.44772703518049e-05,-6.29758737174937e-05,0.000444321798375792,0.000796469520023878,0.000669489919470705,0.00915030379358372,0.00679682791418453,0.00572020519478183,0.00448423821504598,0.0106045652684297,0.00439714747962353,0.00404110529794728,0.00331273558628648,0.00116414296525418,0.0028107693289102,0.00316206346491143,0.00251216160014405,0.00235235926818038,0.0163402507710251,0.0200593202569065,0.022765464460675,-0.00120732314600607,-0.00275428735919133,-0.00339003338040807,-0.00280886706999762,0.0102461000581142,0.00611441294053852,0.00479470136245015,0.00164452054972665,0.00841000834265313,0.00326319302296895,0.00165615899506782,0.000135777540095335,0.00482459346889408,0.000575835187117211,-0.00213003903921835,-0.00388447266358336,-0.00167557900340717,-0.00185257890855605,-0.0015462921902501,-0.00118098125750747,0.00397836872825155,-0.00105257558789738,-0.00217672608741044,-0.0033941136270705,0.000752956557380539,0.000982539422129536,0.00175846735014575,0.00119444436820963,0.00330957009288422,0.00306460940174209,0.00345838665604723,0.00224161814027742,0.00727014819123439,0.0014772194802232,-0.0031436936081918,-0.00399129842561929
"b_Sem",0.145154506765905,0.0605363956205429,0.0331668814574972,-0.0474351349466526,0.300704250361766,0.00589130950938465,-0.016507338219079,1,-0.0818016055863665,0.0248906186235328,-0.0752187892588598,-0.038393736720592,-0.0627082291273739,-0.118165727776711,0.0677683312856213,-0.080603230490422,0.0664498789535765,0.00508787538363073,-0.00453424852539295,-0.00375177901170829,-0.00377446682050304,-0.00102833241828134,-2.10176211881029e-05,0.00178384350317021,-0.000589167523675994,0.00443212018495391,0.00301001567177267,-0.00107150167960034,-0.000338837676042982,1.0276064503447e-05,0.00175378585473987,0.0116137406965131,0.00368024727920717,0.00483462119854742,-0.00500839545566842,0.00441489293390989,0.00132015155102886,0.000465823237769502,-0.00115693691815959,0.00396260473705323,0.00150896617519593,0.000792104309465876,-5.60813099578418e-05,0.00416006006282766,0.000522576473582594,8.002434795042e-05,-0.00168256514823027,0.000602492884399978,0.000659173320149261,0.0005196230869513,0.000114614605272436,0.00265263792715824,0.00361381986178618,0.003429733855067,0.00275581225383269,0.00203623655512833,0.0045508026472759,0.00446154925024033,0.00356449196589419,0.00283545360678036,0.0023439074447156,0.00200374850352755,0.00112617031763055,0.00450940740218951,3.59938018158395e-05,-0.00171360279884236,-0.00302089304341132,0.00166090403767957,0.00149086228794718,0.000959199776349178,-0.000765273918084756,0.00228530121650809,0.00308312290986312,0.00279058632587906,0.00189682907467486,0.00345220731015414,0.00189145573425206,0.000755883010534623,0.000790371999063566,0.00272890330106879,0.00213881914306204,0.00169151987518787,0.00190676363077558,-0.000106192154221184,-0.000468732779264276,-0.00101681031454008,-0.00123535178923092,0.00359492158964318,0.00940334567378342,0.00979400610722418,0.00938505980629979,0.00311828532813755,0.00194009699161614,0.00234963423630083,0.00291249271664067,0.00198263253638482,0.00354032368574366,0.00443675936781831,0.00388728887188336,0.00537257176268354,0.00122425280297377,-0.00358847409642332,-0.00332650683419124
"b_ACC_1",-0.0580059254698261,-0.00291639012836603,-0.0171202659442118,-0.0394315701857331,-0.0722409478111544,0.0792053145096367,0.0329169306672058,-0.0818016055863665,1,0.114877709222578,-0.0337845306535337,-0.0403700691560334,-0.0187209951949268,0.0471582950316483,0.0241243676611929,0.0773490194124792,-0.0938947190831347,0.002123129133925,0.00284508282765921,0.00614009712235471,-0.000437079233376835,-0.00172621133131077,-0.00440600515028794,-0.00351920021489141,0.00909323458542109,-0.0147114445295497,-0.0088838876093667,0.00211072419779892,-0.00290919552723103,0.00234463196734318,0.00309967799913614,-0.0167414117289825,-0.0135621789077146,-0.00406917628258373,-8.49741882008476e-05,-0.00717999245244607,-0.00632848334517588,-0.00489017149890462,-2.52114630104716e-07,-0.00912735910917691,-0.00270666476673387,-0.000685175062267823,0.00161771147566853,-0.00539433934316475,-0.00665479217452421,-0.00589404667398867,-0.00136707434544449,-0.000176768054222646,-0.000320560698021392,-0.000254764489752229,-0.000154460073759454,-0.00516043300400117,-0.00872059284244906,-0.00786476177613958,-0.00601990829245653,-0.00610207112747121,-0.00715127939718738,-0.00682866087571528,-0.00511387019750506,-0.00428830393293843,-0.00810357052153101,-0.00835329979091873,-0.00559969725574924,0.00230108434928341,0.0109233980013508,0.0129532526483739,0.0142007871564629,0.0003807156849443,0.00256380891283586,0.00412228602253414,0.00735343020310234,-0.00657330450921171,-0.00569353377208291,-0.0049481324459819,-0.00242522941683883,0.000172536140449396,-0.00315178253168664,-0.00270735883916768,-0.00330790920467164,0.00139591836456945,0.00213491328653973,0.00214530320269365,0.000887140440247733,0.000320431925126054,0.000115036261972628,-0.000115276166785253,-0.000137724497120067,-0.00290600613824494,-0.00994460551714612,-0.0102708728702057,-0.0106580241282678,-0.00659672893699272,-0.00660919885701075,-0.00648010093008313,-0.00725220627055533,-0.0030170320630735,-0.00202250110355949,-0.00123794779542724,-0.00115022160736143,-0.00415669342267649,-0.00120681026515796,0.00300311262573899,0.00215786327698389
"b_ACC_2",0.019464427720666,0.0372299668543271,0.0715472941332778,0.0110050779420033,-0.0133940516310753,0.0321703622969166,0.0488600454847574,0.0248906186235328,0.114877709222578,1,-0.0175197044847394,0.0407819649997768,-0.0203955755513802,-0.0317166295048162,0.0526789854012504,-0.00415632648198997,-0.0370283012328212,0.0421728666012584,-0.000611380826686654,0.00365353524884024,-0.000207570074233262,0.00256213976092663,-0.00307266932740499,-0.00420662961133032,-0.00183250234159119,0.000747639242183249,0.00311373192911592,0.00120088516939469,-0.00468725246101659,0.0011221023078964,-0.00264370251901439,2.25318052052079e-05,-0.00119114154526658,-0.0104751565869405,-0.00862839736907092,-0.00332201205221197,-0.00460989258472082,-0.00377126474355993,-0.000540280009749527,-0.00539537066993051,-0.000498533468810524,0.000872302410494928,0.00225334637085634,-0.0033644362193784,-0.00252400901763206,-0.00189694341762412,0.000161216904454341,-0.000719520736842461,-0.000516626323787078,-0.000235871673762985,0.000109283589595977,-0.00292329716941717,-0.00421877638034086,-0.00371078534206669,-0.00278891962401578,-0.00271259971044616,-0.00481831293889987,-0.00463092689284588,-0.00358363161174783,0.000742520641117851,0.00137437903752834,0.00147111012060632,0.00120905428935426,-0.000621197450531058,-0.00040097213541662,-0.000245848334334251,-0.000388367147505513,-0.000237726968013527,-0.001304205321271,-0.00179480500429834,-0.00239140216557081,-0.00421789348463508,-0.00271024412254614,-0.00208053255813573,-0.000368713642573583,-0.000375071100274239,-0.00337302438743151,-0.00342056645358715,-0.0030825236682668,0.00106462321954676,0.00216393205759023,0.00260821991541091,0.00233314365342721,-0.000309565965266763,0.000174461744217326,0.000730751329418212,0.000980575962842073,-0.00228840545730984,0.00163162622011921,0.00280752668139468,0.0021016701772833,-0.000769310386992224,0.000485637232001036,0.0016424477283402,0.00157436655614569,0.00031724032047251,-0.00380973289105644,-0.00614438477675535,-0.00708484094199838,-0.000117618133092029,-0.00332827172632185,-0.00463884529328015,-0.00471992947827786
