"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",2.15851961827804,0.323564890342363,6.67105635594183,2.53967957775103e-11,0.358537393216602,6.02034727511397,1.74043246481403e-09
"asc_ruta2",1.07977158901027,0.323644001946849,3.33629414577441,0.000849032801563343,0.341780080830573,3.15925839325182,0.00158171186207046
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.78535591578936,0.403554675530008,4.42407441679263,9.68566323567011e-06,0.42730368147336,4.17818987571879,2.93838306677507e-05
"b_tt",0.612773535575393,0.213863813656726,2.8652511385538,0.00416678641482759,0.234483896375083,2.61328622156292,0.00896761661037893
"b_dt",-0.420998802515365,0.250374292027624,-1.68147775518788,0.0926701536814964,0.23890525304341,-1.76219985601936,0.0780355364309406
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",-0.0320837110809622,0.280567830172918,-0.114352779009584,0.908958145255939,0.288716541873439,-0.111125295671581,0.911516989923247
"b_CongEF",0.109456227999918,0.308739957253208,0.354525630481152,0.722944999403192,0.332741685536817,0.328952556164792,0.742191548753736
"b_Sem",0.365904359757875,0.156933174692339,2.33159343443612,0.0197220895542383,0.118743072254686,3.08147964180231,0.00205974561130606
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.361071322042843,0.304079305982751,-1.1874248425946,0.235060085769773,0.304697098814948,-1.18501726287237,0.236010621554885
"b_ACC_2",-2.56329284186834,1.15660868237519,-2.21621442146225,0.0266768206668999,0.743515262997202,-3.44753224235827,0.000565732877832348
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.65223932144447,0.280364086066596,-2.32640111148023,0.0199971623921116,0.275880542561206,-2.36420921674737,0.0180686054794861
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.32207385354778,0.208938065436377,-1.54148002124512,0.123200001685768,0.180560113635104,-1.78374862013359,0.0744645218291908
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.0134429081553358,0.258848911789883,0.0519334157612681,0.958581748264782,0.245710768565737,0.0547102930563638,0.956369268973226
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.159777768412039,0.340914374978473,0.468674189588302,0.63930253858273,0.314244364569267,0.508450704059706,0.611137301858411
"lambda1",0.158331566103176,0.15677460576687,1.00993120236973,0.312528252283373,0.1672253096611,0.946815804521763,0.343732646877553
"lambda2",-0.334925808501966,0.215704992349419,-1.55270309163462,0.120494083392753,0.222860298265858,-1.50285093894302,0.132877486821783
"lambda3",0.0763026264015536,0.162270928377171,0.470217476196361,0.638199649496905,0.171418598291778,0.44512454985588,0.656229748288768
"lambda4",-0.209739254181272,0.197210998189404,-1.06352716687654,0.287542951928756,0.216190363515951,-0.97016005140209,0.331966719849438
"g_LV2_LV1",0.501,NA,NA,NA,NA,NA,NA
"g_EXP_2_LV2",-0.421,NA,NA,NA,NA,NA,NA
"g_EXP_3_LV2",-0.659,NA,NA,NA,NA,NA,NA
"g_USODISPMOB_LV2",0.395,NA,NA,NA,NA,NA,NA
"g_EDUBASICA_LV3",0.191,NA,NA,NA,NA,NA,NA
"g_EXP_2_LV3",0.819,NA,NA,NA,NA,NA,NA
"g_EXP_3_LV3",0.364,NA,NA,NA,NA,NA,NA
"g_EXP_4_LV3",0.398,NA,NA,NA,NA,NA,NA
"g_EXP_5_LV3",0.366,NA,NA,NA,NA,NA,NA
"g_LV2_LV3",0.568,NA,NA,NA,NA,NA,NA
"g_EDUBASICA_LV4",-0.17,NA,NA,NA,NA,NA,NA
"g_JOVEN30_LV4",-0.278,NA,NA,NA,NA,NA,NA
"g_ADULTO40_LV4",-0.204,NA,NA,NA,NA,NA,NA
"g_EXP_2_LV4",0.196,NA,NA,NA,NA,NA,NA
"g_HTRB_2_LV4",-0.866,NA,NA,NA,NA,NA,NA
"g_HTRB_3_LV4",-0.681,NA,NA,NA,NA,NA,NA
"g_USODISPMOB_LV4",-0.167,NA,NA,NA,NA,NA,NA
"zeta_FRbr",3.39647428490041,0.36603431470259,9.27911441215592,0,0.407182936217875,8.34139641618732,0
"zeta_EnfCond",2.89883015512743,0.290846559404449,9.96687105758861,0,0.390281331511274,7.42753988232638,1.10578213252666e-13
"zeta_AFrSem",4.54862265189949,0.609385950363208,7.46427227143719,8.37108160567368e-14,0.65717821392993,6.92144467890787,4.47064607556058e-12
"zeta_CulFr",0.235131555929277,0.119134719233768,1.97366105734382,0.0484202960297142,0.126382647454923,1.86047341675717,0.062818576069527
"zeta_OmLmVel",2.40421444001709,0.251822326877008,9.54726481100036,0,0.341309619042403,7.04408638339139,1.86672899360474e-12
"zeta_IgPare",3.23946664374839,0.379002705131716,8.54734438537204,0,0.466162483685619,6.94922212130029,3.67306185466987e-12
"zeta_UsoCel",-0.803653834271798,0.17872521055896,-4.49658910322938,6.90522492763357e-06,0.193091781549585,-4.16203024190039,3.15430563782026e-05
"zeta_PasoPeaton",-1.50917636933893,0.336769877834067,-4.48132825609341,7.4179914180128e-06,0.470750801977647,-3.20589229587885,0.00134644374825843
"zeta_UsoDirec",-0.909602624834786,0.210809627920867,-4.3148058929084,1.59743200820461e-05,0.281988854474287,-3.22566871137713,0.00125678739077451
"zeta_UsoPito",2.0951467008703,0.210738509489583,9.94192616216574,0,0.261658305453155,8.00718592609474,1.11022302462516e-15
"zeta_PrPer",3.42409939798054,0.583764517900136,5.86554902359842,4.476489845473e-09,0.651128418246449,5.25871594915481,1.45064762868685e-07
"zeta_AmbTr",2.02260178757113,0.263051973893292,7.68898160175601,1.48769885299771e-14,0.338482996845374,5.97549007312498,2.29399499396266e-09
"zeta_ComVrb",-0.400299663991376,0.127992914909366,-3.12751423994708,0.00176291279715635,0.142808309387565,-2.80305582853033,0.00506209058360452
"zeta_ComAfec",2.35474745020047,0.314304615845767,7.49192767616232,6.79456491070596e-14,0.349373153555111,6.73992098774419,1.58473234534995e-11
"zeta_ConCl",2.17287978717019,0.30200272986806,7.19490114582571,6.25055562863963e-13,0.316466057880486,6.86607531222442,6.59916565837193e-12
"zeta_Ans",2.07627820045162,0.297743309277789,6.97338323231468,3.09419156963031e-12,0.431618421333374,4.81044853006387,1.50591979530823e-06
"zeta_StrC",1.89106486582087,0.250647782441519,7.54471014026265,4.52970994047064e-14,0.315253394808919,5.99855512092766,1.99080951723829e-09
"tau_FRbr_1",-2.0472361992187,0.356713731258077,-5.73915725643192,9.51488376976783e-09,0.438668928049683,-4.666927763315,3.05736756578412e-06
"tau_FRbr_2",2.95182583037127,0.370063632217262,7.97653585326717,1.55431223447522e-15,0.483588738777502,6.10400034920869,1.03446051724632e-09
"tau_FRbr_3",3.95416577734658,0.424221921582061,9.3209840797482,0,0.537020994657528,7.36314933062953,1.7963408538435e-13
"tau_FRbr_4",8.08612796552532,0.868898871191382,9.30617846751039,0,0.946559820070201,8.54264864625843,0
"tau_EnfCond_1",-1.44048888258153,0.285160171491403,-5.05150798250572,4.38335614250107e-07,0.381486411912892,-3.77599001589195,0.000159373374819971
"tau_EnfCond_2",3.03378392929434,0.334011390575381,9.08287565902536,0,0.462538917865727,6.55898090325675,5.41766631556584e-11
"tau_EnfCond_3",4.17814968145999,0.401362739790759,10.4099092099036,0,0.503626472601112,8.29612800113708,0
"tau_EnfCond_4",6.67592874276423,0.646680958847851,10.3233729885264,0,0.753625225704869,8.85841996135441,0
