"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",0.128549062334557,0.0975056043051562,0.0891198230690449,0.0456097078577634,0.00605578696795603,-0.0127683309036195,-0.0159821072937884,0.00384424408722961,-0.00523072788392625,0.0207680136699985,-0.0101607854067056,-0.00657435025342082,0.00258382028543466,0.00412742317795796,-0.00247041368409862,0.00782045957656445,-0.00194747703117058,-0.00165865320370078,-0.00104492869391899,0.0179201439240448,0.0051818001735263,0.00330907008394817,-0.0118107246537981,-0.0129038876242463,-0.00114197289935644,0.000885229323726663,-0.00103719333048581,0.0123139602126542,0.0120078822896133,0.00812326067474341,-0.000234201415493359,0.000658102402731904,0.0070300809939665,-0.00280240249903185,-0.000905005842699112,-0.00848572761974008,-0.0101129711032264,-0.00837014198186735,0.01747824329505,-0.00660451402960309,0.019863783140847,0.0265738941259515,0.033139285181456,-0.0108280386835517,-0.00114000627935351,-0.000859351076213983,0.0150842280268798,-0.00717436769405545,-0.00197036066505684,-0.00211410835376125,0.00173059762709122,-0.00557779029379161,-0.0190240348560287,-0.0164051598501327,-0.0189890790149726,-0.00343222783214091,-0.021515495643972,-0.020789637121629,-0.0237856312405956,0.000511398132596271,0.0056669572878578,0.00437619504086392,0.00829032214709914,-0.00287097506088064,-0.000484569215547591,-0.000819795809762903,-0.00906012932859701,0.00192045611144831,0.000427208835859771,0.000252610325454321,-0.00033940017363613,-0.00560612755653428,0.0137531733061142,0.0187693536239071,0.0154375374859669,0.00765224353360407,0.00755841890272967,0.00233704805883535,0.0190605515684499,0.00660490768893984,0.00850412107580572,0.00688339175389419,0.0219093856509878,0.00396662639234953,0.00142287914414979,0.00127261157489321,0.000665855781212972,0.0028542509204271,0.00120483472377086,-0.00398327948545741,-0.00527763842849776,0.00367783319619804,0.0107843938024207,0.0166706744885971,0.00591478286131215,-0.000388260546980726,-0.000103718411487948,0.00250821305526904,-0.00657308506006939,0.00416481080432246,0.00026570560530368,-0.00239917931244321,0.00078755482737638
"asc_ruta2",0.0975056043051564,0.116813623652553,0.0807823088784938,0.026649436794778,-0.00498135993473351,-0.00576910722812138,-0.00710779621750064,0.000445065771440996,0.00608781242110406,0.0204110162166347,-0.00307936364803693,-0.00925996141030695,0.00146956521899554,0.0167242356939815,-0.00377377450851629,0.00960128478592958,-0.00225527462656778,-0.00087387778986843,-0.00710640585528559,0.0144057476585725,0.00198790460477421,0.0028688515095235,-0.00705326224733655,-0.00874363773737128,0.00333246116301767,-0.00230943615165195,-0.00475662747484187,0.011692150030327,0.0142681099790311,0.00652589019974065,0.00131413708892982,0.00227630876035974,0.00196032320089315,-0.00295118814538528,-0.00263201029424253,-0.0096836543080771,-0.00563977161304301,-0.00483991251212602,0.0154806437012849,-0.00665938411093288,0.0187773139602572,0.024965134149278,0.0401599164091299,-0.00597351386157616,0.00122379210236499,0.00406267334689025,0.0125790614153517,-0.00935751266251782,-0.00309505623683117,-0.00224080420592357,0.000745829018552723,-0.00457740180197871,-0.0111979458340672,-0.0111729599540549,-0.0182564631301316,-0.0055538006955039,-0.0161759508536908,-0.0188641376468976,-0.0345851697453909,-0.00364905376190095,0.00013661709328402,-0.000452592726809893,0.00286461863363699,-0.00222523822572872,0.000217540645062604,0.000283368595162553,-0.00515718567533768,0.00453435515033734,0.00236171822628244,0.0021419870517402,0.00150135548558521,-0.0053160081496672,0.0148111754111894,0.0189960330952216,0.0158705537108271,0.00585324911776247,0.012990820204119,0.0112687504935571,0.0304776184796972,0.00372641625716436,0.00683258757671842,0.00570022717252462,0.0190019035091767,0.00290386593222841,-0.000810007239283344,-0.00260411648444035,-0.00156148131193489,0.00877325021521544,0.00884998313472332,4.27036822492782e-06,0.00748870464791665,0.00544726315753609,0.00848284266423276,0.0117920304971629,-0.00200442213611071,0.00312566950766563,0.00381431787434399,0.00531698396579346,-0.00234651482439055,0.00452977208727349,-5.21656152457344e-05,-0.00378018182271297,-0.00017061763699805
"asc_ruta4",0.0891198230690449,0.0807823088784937,0.182588436200687,0.00878870432248705,0.0203592425021613,0.00877816440860593,0.0568052246693012,-0.00164469510056234,-0.00319441377153053,0.0635219136365305,0.00739747389636394,0.00098531276688139,0.0104904510758927,-0.000354637737500487,0.00521613882037399,0.0119501551893035,-0.0153583203812801,0.0350080696399848,0.00434054928605507,0.0124550839122709,0.020364139867207,0.00737393337367192,-0.0256472237773983,-0.0487613885482799,-0.00301818571587625,0.00997984171404756,0.00500317352364068,-0.00326660485457157,0.0136471405511129,0.0269792772430496,-0.00362256305182106,-0.0120304117028957,-0.00176111052010088,-0.00671618395704284,0.0026432483167203,-0.0305189381639807,-0.0207065414291789,-0.0159812895825356,0.0200740280719081,-0.026063767724415,-0.00432315296423949,0.0076239175409576,0.0373423848007764,-0.0386016600056857,0.000147079633412705,0.00965106121498108,0.0114222027738155,-0.0114871568767323,-0.0044290346702916,-0.00371052479921991,0.0044775925474157,-0.0139083582782242,-0.029655995038329,-0.0289433828734699,-0.0219705568795318,-0.0124344898898286,-0.0631815518743103,-0.0659522617057651,-0.0635985188359602,-0.000310452967766911,0.00769883666120003,0.00853427866853518,0.0160064301971689,-0.0137288977113931,-0.0096987447143713,-0.0112913743729044,-0.0234260214688053,0.00300804324439172,-0.00321038210307495,-0.00685221407511268,-0.0107624282726368,-0.0192784855654249,-0.00953193112358665,-0.00198507386406251,-0.00931985331624636,0.000242748061419712,0.00030405080055998,0.00426700365407269,0.0323494355454094,0.00995430254393088,0.0208607149873007,0.0315224669695957,0.0502363195242644,0.0104441988610576,0.00373188031047546,0.00428173128718923,0.00534716674009431,0.000214297932972984,-0.00270218829556293,-0.011737549345448,-0.0173653335848677,-0.00438514423998338,0.00178930745784722,0.0291901337017066,0.0195371503573195,0.00118328840507005,-0.00296037697174982,-0.00378440179375419,-0.0163262299121829,0.000817444005287572,-0.00235174684186899,-0.0027657640125188,0.00651163222076258
"b_tt",0.0456097078577634,0.0266494367947779,0.00878870432248704,0.0549826976592408,-0.0143824008737453,-0.0160405451164091,-0.0269593991733606,-0.00182898226842079,0.00123111824978876,0.00880532433995058,-0.0100568549018183,-0.00380025115578133,-0.00321084882383366,-0.00647795909496352,0.00415273255119815,-0.000168737888412945,-0.0031909441514091,0.00429487690771475,-0.00128623597349442,0.00805310296926058,-0.00641855902905614,0.00257375050737405,-0.00746276001008348,-0.00472808476935776,-7.46183334115934e-05,-0.00160023978949644,0.00241746093980896,0.00605207746531795,0.00715682816814777,-0.00123505157095846,-0.00133246750457006,-0.000437216349041498,-0.00281034295467901,-0.0072472067104779,-0.00513754127540376,-0.00127774615421224,-0.00662619377073086,-0.00558806741879054,-0.00677570900229296,-0.000535251817179295,0.00665321648629819,0.00680667683250175,0.00597744700586542,-0.00175433238555516,-0.0100893299774339,-0.011394782436133,-0.0203167981777061,0.000480914417311847,-0.00112377674672313,-0.00155534875309207,-0.00800486283363157,0.000527572103526277,-0.0134160284961149,-0.0115488537688374,-0.0177713182076199,0.00114285808927084,-0.0102657089718791,-0.0110414556661468,-0.017967744150619,-0.000307415216091373,-0.00209167308348878,-0.000390944667425053,0.00286434602586963,0.00177557175640889,0.00182786825796113,0.00153169427699751,-0.000302648656900471,-0.004798291140434,-0.0019050928054955,0.000773270991579381,-0.000902104070595,-0.000725299165914695,0.00309604206605848,0.00302229829600769,-0.00413444565124358,0.00230747286332728,0.0126003518857382,0.00704896025326941,0.0206427451068813,0.000358332319854791,0.00327743553085111,-0.00206045944280169,0.00792187865119023,-0.00282184429179028,-0.00361007611188172,-0.00118356350437914,-0.00203187271361825,0.00155660574737851,0.00497359424579512,0.00342369490773423,0.000225929088416119,0.00128915885162407,0.00103686718994297,-0.00103993870881597,-0.00600768103557646,-0.00369738951602273,-0.00341234341092961,-0.000636735673082938,-0.0138686339420478,0.0032905796584183,-0.000422891598853456,-0.00574351851692896,-0.0060735269903883
"b_dt",0.00605578696795598,-0.00498135993473357,0.0203592425021613,-0.0143824008737453,0.0570757199317357,0.000176998011396239,-0.0045321245646955,0.00793052668919303,-0.0182583740888242,-0.00559014581239457,0.00219848425708034,0.00502158379787202,-0.00254098803056605,-0.0104024758450988,-0.00179752922836267,7.66022760155001e-05,0.00455497986725529,0.000411929774315207,0.00193922213780631,0.00349466353846622,0.0117197622840995,0.00190040796503021,-0.00365925436016359,-0.0153075562801382,-0.000853228892749165,0.00265148365356146,-0.000331802992629565,0.00348358110157807,0.00861044134346049,0.00481870418513624,-0.00283084476263632,-0.00625263737123849,-0.00326344593519719,0.00233182358587626,0.00446809529036736,0.00106575591829133,0.00216908873275493,-0.000366671886936109,0.00623304386637796,-0.0044057735514863,0.00844380198202344,0.00899758850898142,-0.00230130751724737,-0.00403546467646416,0.010593858348823,0.0097266951622195,0.0423446065963061,-0.0022784342835156,0.000583281981475483,0.00089020312028349,0.000371947593716789,0.00110552305931857,0.00890661117060746,0.0108876424963109,0.0121806533686417,0.00455845057640747,-0.00719753275742386,-0.00759335092908242,-0.00761188251169178,-0.00230363746905332,0.000168747041839881,-0.000257050290977744,0.000665637712779374,-0.00803829367730479,-0.00307778803820002,-0.00304337099114959,-0.00733109046457675,0.00154756179081496,-0.00137713637999495,-0.00425616447430473,-0.00152876148558216,-0.00482572486364938,0.00428972110120386,0.00486629071344735,-0.00256478034622802,0.00282733051061291,0.00481598034608055,0.0212831596525084,0.0200404598990231,0.002963999238691,0.00275463105566142,0.0104895663443198,0.00979665422717521,0.000960587269182648,0.00434260061403338,0.00420462476293064,0.00315583125782353,-0.00596084781755017,-0.0111039365298912,-0.00964927052706108,-0.012290357462449,-0.0105394424432941,-0.00460249866126363,-0.00722301412487366,-0.00203801051403929,0.00062806771653692,-0.00417957671876066,-0.00371282684458204,-0.00632783803356164,-0.00123468844341842,0.000446147535450715,0.00138381292443317,0.00643899621817787
"b_CongCD",-0.0127683309036195,-0.00576910722812137,0.00877816440860593,-0.016040545116409,0.000176998011396244,0.0833572415513575,0.0498533069013275,-0.00135945715575487,0.00454112607368735,0.0238652573608168,-0.00152120837697534,-0.0005664179305927,0.00949630939679541,-0.0101265843171618,-0.0037082806373963,-0.00126058069301964,0.00256339886527297,-0.0082274185015549,0.00421427147528229,-0.00472016828722747,0.0258370368517781,-0.000192727495374173,0.00523540406481033,0.000364828177843707,-0.00138704825623983,1.79545771049687e-05,-0.00140743821572681,-0.00387017071801175,-0.00913447255448936,0.000812179561884922,0.00200635854948399,-0.00531689404131608,-0.0103099955319596,-0.00484757899532873,-0.00144806145750389,0.00601092570385483,-0.00121010444372391,-0.00221198172690427,0.00501688848797745,0.00896608363393502,-0.00744557166217354,-0.00852567834197882,0.0107748298527102,0.00135896182242656,0.0272827885702813,0.028637279281235,0.0578280584009537,0.00278766255345773,0.00323872422343429,0.00502647164036588,0.0107975987587097,0.00680311931766508,0.00287560271545398,0.00510593965851632,0.0118125170494416,0.00970374603870559,-0.0151586427861828,-0.0116961804889077,-0.000199222102564074,0.00514970082732088,0.00490607687554901,0.00869793124681184,0.00456431652482398,0.0049175601710232,-0.0031796543733877,-0.0018105681331292,0.000372020055561961,-0.00310883455042721,0.000782760402100666,0.00123285121238583,0.0055679440029719,0.00817721650468847,-0.00536806175261287,-0.00244457184138445,0.00620885709153498,-6.74966623518992e-05,-0.0106478611489014,-0.00542802955681392,-0.00603292867834559,0.00124689180145207,0.00222506019952855,0.0113597316852346,0.00771907408554168,0.00124249610319871,-0.00168294462127464,-0.00294652962460813,-0.00274396832203986,-0.00179063459175773,0.00378433434409306,0.00100844507563671,-0.000310344713129008,-0.00309523380403166,-0.010622373877066,-0.0032799727552703,-0.0122429011192894,0.00225567401449941,0.000983469085811442,0.00191935169882288,-0.0036674373691095,0.00251282994837948,0.000229467418403081,0.00531578447277174,-0.00143692023132658
"b_CongEF",-0.0159821072937885,-0.0071077962175007,0.0568052246693011,-0.0269593991733606,-0.00453212456469549,0.0498533069013275,0.110717029293882,-0.00460687015025544,0.00641940700900179,0.0594731333938039,-0.0019187560963788,0.000592487169116497,0.00836491860137101,0.00631680057687196,-0.0106309989454703,0.00660601758960525,-0.0015155464668513,-0.0107385264249637,0.00170422613547071,-0.0126577574860496,0.0290145378893691,-0.000603027887558848,0.00147961351770768,0.00137872852500027,-0.000763325964472938,-0.00527950201386908,-0.00568612130028412,-0.00969815758079848,0.00182040732476718,0.0058535569176923,-0.002168001471539,-0.00657027475209183,-0.00854380379706023,0.00623621214242859,0.00718270144772201,-0.00759724572342191,-0.0111179316974477,-0.0100362024426766,-0.000426023564869992,0.00155143697529214,-0.0229888755419641,-0.0174442184554647,-0.00646220591261139,-0.0149426648664964,0.0234658716336357,0.0277348023499727,0.0227187828781409,0.00243529355123623,0.0020791859284721,0.00503465599217114,0.0163580589698955,-0.00171340980098092,-0.000977635408667401,-0.00339521892998439,0.000548711939103809,-0.00233234073368432,-0.00850295870674704,-0.00630625104778475,0.00406235929706143,0.00204928993960076,0.00564563120223543,0.009195575751882,0.00895633383069148,0.00635847070200039,0.000785327402426441,0.0053216397544165,0.00710330057653636,0.00366062037384687,0.00607952776034313,0.00702737012349383,0.00802949328300028,-0.00141517982851782,-0.0139582941140275,-0.00799554371870781,0.0106589313170968,-0.00068721743415799,-0.00837117767446044,-0.00988386136525222,-0.00146929642611263,0.000976597131806959,0.00244959448254028,0.00601373145085195,0.00836163493737928,0.00913115764171903,0.00317054824707883,0.00145241069505687,0.00255043020768025,-0.00819868700413237,-0.0104207969419666,-0.0116864009807463,-0.0245651386821019,0.00178154142964506,-0.00762587176391609,0.00369236063574359,-0.00780909684347859,-0.000612900403565164,-0.000632741816423336,-0.000184369257089877,0.00340035249984987,-0.000716766162426069,0.00130463860697436,0.00706845625281393,0.0043854185216948
"b_Sem",0.0038442440872296,0.000445065771440992,-0.00164469510056235,-0.00182898226842079,0.00793052668919303,-0.00135945715575486,-0.00460687015025543,0.0140999172084815,-0.00453409324872622,-0.00593921123137311,0.000409551429542859,-0.00182620448722494,-0.00117228729671975,-0.0022436506816077,0.00144100290954643,-0.00297263122958334,0.00240098034059087,0.00115057180658767,0.000303142941378329,0.000118281685079514,-0.00988080665260945,0.000394145059715249,0.000341629809235826,-0.00301615236496455,-0.000712186436586581,-0.00520076976271215,-0.00171581547393754,0.000413437519220747,-0.00899785829402613,0.000655800582391197,-0.00125174375588397,0.000993560653065379,-0.00333707654162225,-0.00163581587567637,-0.00225554748524385,-0.000271688811437973,-0.00321273886370601,-0.0038122193077367,0.00217716443963239,-0.000733383321738971,-0.00040984726146684,0.00265063838349364,-0.00147343938571162,-0.000898725256849712,-0.014426859021244,-0.0162357529471124,-0.0223788454974526,0.000877226740513628,-0.000464178219746283,-8.77670028551859e-05,0.00242350853622666,0.000172596287252933,-0.000437603636222861,-0.00040403764701301,0.000394000899120853,-0.000381825208205962,-0.00527107792077869,-0.00415252357347614,-0.00528482653590317,0.00272432199240339,0.00201741413011208,0.00162476352540407,0.000333857644130478,0.00296720859069295,0.00352512666427278,0.00491630189869336,0.0092101561068759,-0.00116192313529049,0.00168616884201283,0.000839123892869979,0.0022299700106315,-0.00121299561797526,-0.00132537137659915,0.000200501079771654,-6.61012134843776e-05,0.00034821127229304,-0.00716909959262419,-0.011816526264554,-0.0198402389177094,-0.000314654443766172,-0.000162035563572528,0.00178257345610197,0.00227996153189467,0.00111622707448125,0.00212845513382401,0.00206964545611732,0.00141804714008897,-0.00316974684850361,-0.0012688327651153,0.00063991508665,0.00259800884326366,-0.00510481177490964,-0.00193939312685216,-0.00351110040318942,-0.00586818771266304,0.000355944236699222,-0.00318602938760494,-0.00439837341909231,-0.00452755751129985,0.000868855137188732,-0.00015443480315634,-0.00247286556936536,-0.00324744419596992
"b_ACC_1",-0.00523072788392628,0.00608781242110404,-0.00319441377153052,0.00123111824978875,-0.0182583740888242,0.00454112607368736,0.00641940700900179,-0.00453409324872623,0.092840322026246,0.0287271752462519,-0.0126420949284683,-0.00555887809727159,-0.00397152145663047,0.010366382169944,0.00536504781285381,0.00617162232105182,-0.00711160681594836,0.00045923853552546,0.00137920331273186,-0.0060170440522839,-0.00758008743906887,-0.000298074954360943,0.00172932034256598,-0.000360158519978992,0.00835265637972657,0.00151107858951358,-0.000546608481001603,-0.00460574232690973,-0.005190355030672,0.00110704392983951,0.00433376023359778,0.00610415669007335,-0.000324026758688785,-0.00938346513471734,-0.00684268788760985,0.00175856378760925,0.00234409174020297,0.00783561578137791,0.0136993522689869,0.0061607426229342,-0.00846399961415061,-0.0019789106495452,0.00534678704595742,0.000213557485626704,-0.00968957421459415,0.000782305457893442,0.00464187056718003,0.00187186232155016,0.0011494870778403,0.00327181174759887,-0.00449805481708455,-0.000834846464255781,-0.00299204585619539,0.00457473328111982,0.00160367809184941,0.0028242602644926,-0.012567856628637,-0.00202234958501549,-0.00856265515280279,-0.00393102308250949,-0.00821617962624303,-0.00520655873159743,-0.0214212531265745,0.0053988800236179,0.00196086216917941,0.00403151341851902,-0.000700536581697021,-0.00118313701973548,-0.00173985141525064,0.00171838713800316,0.00283254402871569,0.00725635456219884,-0.00290277606213322,-0.00212493318887915,-0.00737269564754102,-0.000705322281603007,-0.00357750556772623,-0.00163338549762172,-0.0119579185033969,-0.000517444976295489,0.00505526504543706,0.00554435495218185,-0.00165007765123948,-5.95027240936065e-05,-0.000126017585553225,-0.00283869086967672,-0.0037812003642292,-0.0046635425430938,0.0033140237064972,0.00582810144493731,0.0182669012894243,0.00270359804032356,-0.0043968940973795,-0.00587213156057899,-0.0114846722138859,-0.00214763450839129,-0.00105441130852377,0.000114048101121766,-0.0067802353472707,-0.00141280324739405,0.00281651199978633,-0.0030730183410097,-0.00501552555925123
"b_ACC_2",0.0207680136699984,0.0204110162166346,0.0635219136365304,0.0088053243399506,-0.00559014581239458,0.0238652573608168,0.0594731333938038,-0.00593921123137311,0.0287271752462519,0.552814946309798,-0.00807077271342535,-0.00606636149236947,0.0051776580430326,-0.0105689269113532,0.00717059057523752,0.00471677507195357,-0.00204385435098404,-0.00819579887031534,0.00776863137469842,-0.00426984746340242,0.00552809322356979,0.00519768609088344,-0.00114902988620886,-0.00529925415589095,-0.00548323473626094,-0.0198183526736599,-0.00979273611204503,-0.00786182842458771,-0.0166941472440705,0.0113303791728113,0.00259981292550662,-0.0762705739890401,-0.0116938726550814,-0.0284758409722208,-0.0130165192649483,-0.0226923447597412,0.00195049346914418,0.00815902591494758,0.0427177215608665,-0.00748203502335393,-0.00783691526628354,-0.00281661542631046,0.0272127930954053,-0.0257527331367021,0.0110146927323107,0.0152057673495183,0.0159168107026767,-0.00249819640681887,-0.00654939481772957,-0.00625571795212613,0.0104046770419666,-0.0126793229877664,-0.00028723975538294,0.00718460677405535,0.00573370944366508,-0.0177179853900177,-0.00951724429350891,-0.000273128883949827,-0.00209991849669391,0.00202404384892694,0.00251032879799711,0.00449700720209515,0.0135191827285366,0.00186052341491781,0.00540517425169517,0.0135209728176142,0.0140345289963065,-0.000350977058885615,0.00303122441406774,0.00317320689836819,0.00352762225602444,-0.00206617012506941,-0.00345326356379973,0.000961026511451085,-0.00435184709998455,-0.0112599225683959,-0.0387642514804557,-0.0272031902612316,-0.0339873928538773,-0.00697867567811496,-0.00275429701644466,0.0192335529834616,0.0206239372144363,0.0280641354138744,0.00787485002774922,0.000627798604529635,-0.00047564450261185,-0.00133502710108747,-0.0569192727398221,-0.111029978701624,-0.238681913918145,0.0071925106596325,-0.00010219922379068,0.00751255880152144,-0.0055128892978916,0.0149054300069508,0.00485744238066986,-0.00249992173292353,-0.0238896856845213,0.0128455124134821,0.00533365117002553,-0.00578921726344526,-0.00725478252197312
