"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.79474600574442,0.527291911805751,0.574237074272399,0.0668267245320624,-0.113880152151352,-0.144273007833181,0.129354514851207,-0.0500868616235085,0.065145077063445,-0.103108122056203,-0.135332190389253,0.015292635772801,0.00615800785633377,-0.142856166186144,-0.00148420479177385,0.0122852835705126,0.0287111953920346,-0.120039237166435,0.0305613681940063,0.148422323241841,0.049555890620551,0.0259318633419226,-0.0271704236670831,-0.0190332121884732,-0.0991761489130927,-0.0837484209970268,0.108848731321158,-0.0941698841444374,-0.0282666814025144,0.0153050776513739,0.0594728922333126,0.0527420576065785,0.0706814144853268,0.0411279424023486,0.139377838246113,-0.0363894129020447,0.0530224669409119,-0.070710503986927,-0.0252971299405051,-0.011036705544888,0.0685059893393677,-0.0254693714466629,0.0722102665975467,0.0809258339912739,0.00399476969486269,-0.0301823025469236,-0.0649806470973276,-0.0712146204877044,-0.0410089839003525,-0.0514591409984858,0.00151773465369567,-0.0126649502293669,-0.00924894774622574,0.0155501048977252,-0.0727540184857391,-0.0587607170520504,-0.0766323117598438,0.040736254104039,-0.0607164991491416,-0.05603405561335,-0.0730608002319332,-0.0169231207080502,0.10864586652659,0.117864566607888,0.105475741529595,0.0604876851936847,0.0725939224008621,0.0572193372292279,-0.0889763358168129,0.0325733614130653,0.0339567429976078,0.029685255070082,0.0185779456268539,-0.010528467895761,0.0373481064999478,0.0573980749923594,0.000704531244794302,0.0185028382010425,0.00859004815995448,-0.0135407967013841,0.00637786951606774,0.0308208349884693,0.0566834159664874,0.0375149842376959,0.0928692665064842,0.0749342773898961,0.0407266447865822,0.0158681578744333,-0.0153392852992382,0.0311654741510153,-0.0311458866365248,-0.0645780430422199,-0.0498700096588692,0.0294607490923971,0.069356805753888,0.0773610022109436,-0.00374907859940468,0.0538582651855693,0.0570361974077828,0.0616648221001342,-0.0659905523781468,0.0310760334115741,0.0203014908133756,-0.0166429689442026,0.00480416320706159
"asc_ruta2",0.79474600574442,1,0.498981982499891,0.343772409635208,-0.0614025918592134,-0.056589648024642,-0.0751296962603451,0.0444529867389431,0.0512424939164155,0.0678850130243651,-0.043149406784662,-0.17635505905933,-0.00389203140845488,0.136717279318242,-0.0698288170197351,-0.00637996216271842,0.0755455959259031,-0.00979310382438962,-0.0271998695003112,-0.0643684572320732,0.123617455490958,-0.0457783087657816,-0.0251056330591072,-0.106014792513447,-0.0476263401033119,-0.0455879483519726,-0.0271187624087776,0.0896801388109347,-0.0376150810646494,-0.00137632921981195,0.0263503903279649,0.0426815404720839,0.012564111596278,0.0387229907112441,0.0830124555859833,0.140050968886057,-0.0198152197418272,0.0511142564014071,-0.0695038990182546,-0.0304942750674115,-0.0280545999448158,0.0136144238559803,-0.0153308382837872,0.037429437827668,0.0404446980699588,0.0132350575087832,-0.0162586378700107,-0.0671895348480062,-0.0684652128289337,-0.0659032719727618,-0.0782593478058123,-0.0116421056153819,-0.00823426026826059,-0.00399758780201903,0.00461063903417621,-0.0380881015988951,-0.0374597507813848,-0.0588819814531443,0.00373748737920724,-0.0272649358722232,-0.028947997135186,-0.0570380050309257,-0.0492044696604272,0.089651169949386,0.11472219648701,0.10853387043959,0.00671069342996551,0.0164525429409472,0.00286070916685737,-0.112442454472929,0.0237188268656366,0.00970977641721778,0.00234257974294403,-0.0473064682131157,-0.0340735389977218,0.0527454830369204,0.0693098291871906,0.0132616380667093,0.00408436256999712,0.0121910547471317,-0.0191241588973417,0.0169676179231943,-0.00761067325669481,0.00342043567054285,-0.0158787300751519,0.0502778708799263,0.0660355030184686,0.0105986700511985,-0.0479232063110089,-0.0339524200065397,0.0629154986900514,0.0212628262676,-0.0446002694142997,0.0119039692690647,0.0371453926831878,0.0557368689741478,0.0642598361787881,-0.0280393391258877,0.0534604266018441,0.0713743043965803,0.0850249580128967,-0.0186612094050124,0.0221111277414994,0.00827881545307987,-0.0216840124844278,0.0153061720768732
"asc_ruta4",0.52729191180575,0.498981982499891,1,0.0586216689383049,0.25319999650923,0.215045572057241,0.467425154244696,-0.0553641210677064,-0.0514302403253719,0.205262898883115,-0.028751429082149,-0.0687831241009781,0.0773668938574796,-0.0362247323115445,-0.32432578395075,-0.316011620786057,0.154749333034513,0.425050946349892,-0.0178674621423004,0.171936572342587,0.118396299673259,0.107210161651502,0.00263916375146314,-0.00810038453850127,-0.0554833589001135,-0.0981656460451354,-0.191862745977824,0.0370536838131348,-0.0277990615693031,-0.0166659158416839,0.0153120638940179,-0.00379994327316126,-0.00369341570847956,-0.0364395731848092,0.0921089141343485,0.164419943623558,0.0515756923066401,-0.00377863460119191,-0.0313290908471317,0.086418355999924,0.0819390671166625,0.114005545570237,0.0650320977751764,0.115827499594076,0.114271469394024,7.47322770759897e-05,0.0738116047737157,0.00420187146629815,-0.00456656632037776,-0.0911567554398984,0.0212928853870242,0.0358921396152134,0.046180798550537,0.010700393337741,0.110964924573981,0.0137429188838707,0.000233207900826104,0.0187563197226875,0.169793588850488,-0.107920357724188,-0.10052904615567,-0.0960832752218401,0.0465893278805446,0.174311775016961,0.201550884963108,0.189315678360183,-0.00272324152807405,-0.0192264450454701,-0.0433683867828863,-0.115422904575821,0.0678912211714119,0.0171243238570848,-0.0278976337784158,-0.0863539913161014,0.075183957832895,0.116766533307608,0.112465128850514,0.0600458575634312,0.0694781836434096,0.0223829897037582,0.0147077792583946,0.0041190802919203,0.104510977979994,0.0988653797740209,0.0820129489691592,0.0851049639023903,0.11294488095384,0.0946938755944953,0.0640457232337427,0.0787377163481946,0.0772000444437701,0.0572291261580498,0.0372926365028091,0.0202731161545145,0.11527243925152,0.123471875353048,0.186712473827907,0.108800870366271,0.00611729820661945,0.0192121578695065,0.0553716946682591,-0.0129893340952742,0.07266885228799,0.0242604892765612,-0.00307353224471725,0.0602726529253763
"b_tt",0.574237074272399,0.343772409635207,0.0586216689383041,1,-0.218841865436983,-0.212513689306851,-0.314397712566976,-0.0075216992821554,-0.00874953599463715,0.0410323125190513,-0.18159833893598,-0.10747266100359,-0.0552383628572764,-0.0923590737044395,-0.204460096322548,0.0432875718201101,-0.0983946631343219,0.0471415305892614,-0.154996907280854,0.155715557637232,0.168232098380236,0.118683930295644,-0.0331720388542279,0.0149422774609552,0.0519067968637851,-0.0308039275668918,-0.0975593726557953,0.112723018012972,-0.0687364980007215,-0.116545975641715,0.0351240952087247,-0.022330762481185,-0.0409782379717699,-0.00185709871572141,0.00920364894126424,-0.11004195014255,-0.0311765468918384,-0.0277958098386786,-0.0379114019930521,0.0583345288324391,0.0743449753993706,0.0640907501422222,0.0477894120794749,0.0583172196471236,0.0255932020089607,-0.0368891789049064,0.00937951450761764,-0.0246588548160112,-0.0378965983158961,-0.0584688417935486,0.040435321337376,0.0284417403889432,0.0295069227041772,-0.0638305718515825,0.0254176764779816,-0.0207027707356231,0.00836416674813672,-0.033499010737312,0.0794129247743775,-0.0595803221190806,-0.0649816097370454,-0.102015464821662,-0.0285777833726721,-0.0110153307828448,0.0685363461557781,0.106609428672687,0.0447311564907866,0.0316635589500387,0.011656945608339,-0.04981864763742,0.037084495324255,0.0699183409933087,0.101894323883364,0.0860824769014202,0.0274490970057905,0.0493138604697231,0.0477641584436105,-0.000946515906852334,0.0146019174380073,0.0261744829950542,-0.023268818745702,-0.0459965249939875,-0.0096207218302607,0.0303208732358979,-0.0300397685605205,0.0290256740810105,-0.0496429087599732,-0.0942112050838886,-0.0487446286705443,-0.0814246471614044,0.0500634709372818,0.0504337466864524,0.0321093380609939,-0.00160342052559399,0.0374166601377737,-0.0285586697648282,-0.0832173254032324,-0.113686639882357,0.00751321451660866,0.029058103391296,0.0879353034216422,-0.0473643078420975,0.0968601703941658,0.0826123514358554,0.00561658554301152,-0.00941028909016394
"b_dt",0.0668267245320621,-0.0614025918592134,0.253199996509231,-0.218841865436983,1,0.026757352253545,-0.0331380589614363,0.25182459423799,-0.270965707428591,-0.0524827437742648,0.0620145060226385,0.0592810174565672,-0.0407503464205274,-0.181840177187138,-0.132775721345162,-0.153062353070119,0.0281535661907818,0.171620069099233,-0.235933677651358,0.190127490104617,-0.0904612278154714,0.0710891530488796,0.10766419927784,0.0620569615885547,-0.00561327271448182,-0.129260260108878,-0.11762430626743,0.0279277393061534,-0.0166629121677459,0.0900653820471636,-0.0534362835230455,0.0511772198801086,0.0180513149371643,0.0629622948645547,-0.196206115331695,0.0266786577955343,-0.132759249555182,-0.0810623575552185,-0.00168942810278345,0.0619628179141998,0.0480933310511458,0.0493512408692395,-0.0536092667721502,0.164432531995577,0.169057045586487,0.0356843152216841,0.00687961896103058,0.0305869497223169,0.0246338108591597,0.0734850742972835,-0.025554121681516,0.0208580005664717,0.028797481018152,-0.0140598690492042,0.06521464131989,-0.0063131444239583,-0.0123348707060652,-0.0433754219205826,0.0564125337528025,-0.0721347305971824,-0.0619098286850611,-0.0760837343213153,-0.0716727391749657,-0.0387825101161728,-0.0155144124907983,0.0072660054226907,-0.0155024297125096,0.0289758800190185,0.0273572964527197,-0.0672196536632187,-0.0275787021577017,-0.0839338792763558,-0.143371983736024,-0.0722827761765238,0.0528579750355736,0.00560989975741402,-0.00149536445228811,-0.0826475449135913,0.0341277033465683,0.0650646852803744,0.166488769397108,0.135591670531221,0.0796231710575522,0.0851625734646993,0.135738761342555,0.0909073251877907,-0.0108143268231788,0.0519191794032396,0.0512833476430651,0.00183443271838407,0.033316017002461,-0.0686972140098894,-0.0869084192552782,-0.0916308339975655,-0.0221138209093852,0.108467284244289,0.0861948803565951,0.123916258037516,0.138866922762081,0.069316461315367,0.0322317296080891,-0.0942752773486571,0.0840019685570226,0.0781948272724988,0.032780097357532,0.0868270207581748
"b_CongCD",-0.113880152151352,-0.0565896480246421,0.215045572057241,-0.212513689306851,0.0267573522535448,1,0.556282036740924,0.00499245146534489,-0.00120906148155188,0.105282067746246,-0.0455566738839643,-0.0560315250600695,0.118296635469979,-0.085511803992112,-0.123740786656502,0.0759230118842002,-0.139776502547722,0.133528226034464,0.0210257861763502,0.0512020594015595,0.0785572595690103,-0.0680986985882652,-0.0968737328827625,0.0147254886220992,-0.113783020000397,-0.0309372039360981,-0.033514979516311,-0.0663803404864547,0.0353470092918565,-0.0170194215504832,0.0434770125972257,-0.0165089151546532,-0.0548556272911011,0.023019897009366,-0.054348692797653,-0.0616077241372253,-0.00155738810111895,-0.00829224556241164,0.157234649693749,0.0377908946664598,0.0157366106340465,0.034129446588805,0.14129876315253,0.00383851566715559,-0.0208726017162745,0.0423368720350496,0.143016588531763,0.12889238682571,0.13132131069321,0.121065395534609,0.133309581646525,0.124336351884136,0.127832796214857,0.0911185591167499,0.131784456517249,0.043015983810705,0.0496949157049155,0.0858486402824065,0.12433751722083,-0.0130053843706844,-0.000171349324799076,0.031330671710222,0.123502014329402,0.102273792069584,0.158688544004372,0.0364688372513056,-0.0198480436779139,-0.101783358310007,-0.0847802908867488,0.0274297775857003,-0.00954682138715924,0.00201102546755578,-0.0124451763147611,0.0656729949693358,0.0757292712184814,0.048616189442447,0.0773294935088969,0.123698967343619,0.041281390442908,-0.00802026835973597,0.0106632642721567,-0.00962694424000969,0.0428137341375261,0.00991148247490052,0.0406621139330796,-0.0247250669924151,0.0187793477336678,-0.0184129538299545,-0.0573934056333758,-0.0298670880220701,0.0165617828792547,0.0197452423828463,0.00586063873618142,0.00878726613143252,0.0155184233845478,-0.032112913249883,0.0205728558270122,-0.0369528931857969,0.0331572466590053,0.0504797277933622,0.107357223377993,0.0698914066464854,0.0511285597785963,0.056949718820731,0.145014626017032,0.075200960676992
"b_CongEF",-0.144273007833182,-0.0751296962603454,0.467425154244696,-0.314397712566975,-0.0331380589614365,0.556282036740924,1,-0.0931912630382275,0.046847105835578,0.230525420504604,-0.0163571151906691,-0.0536849425525212,0.105922890858309,0.0596676428956259,-0.136528279839042,-0.0300379994443439,-0.0104413953060949,0.0494835511049931,-0.0438543061422652,0.122978899083562,0.0138144083145498,-0.0100560409822466,-0.0886623435986137,-0.0417818699119558,-0.0377236199967556,-0.0419424474060587,-0.0205827585031595,-0.171795249368811,0.0699514973456926,-0.00946927934839565,0.147611620510698,-0.0814567760880752,-0.0633626661732822,-0.111342110936086,0.0168301952825435,-0.0219645565542122,0.0798418305361748,0.0374755718085871,0.12253296280525,0.0888172650372874,0.0783922449256564,0.0833888239059608,0.174841898868674,0.0329082148341073,0.0484792145745902,0.0233810714339347,0.180311863037072,0.100440010006096,0.0987210463559977,-0.0054090231785721,0.148140031938319,0.147240849519629,0.178883581260823,0.161434142864078,0.156857694361917,0.0670381059120459,0.0603528651240417,0.0645784400673701,0.160805476817263,0.0493578899083579,0.0537502402412815,0.0574618603071145,0.183809832779432,0.155060385481228,0.185574681305287,0.0684988485383511,-0.0428330259415672,-0.115583530614823,-0.0765749429718576,-0.00334233800586511,0.0154587043347061,0.0224329949953044,0.0115741307071112,0.00362064579237222,-0.0152955247449774,0.129158533650726,0.171345169557849,0.244247254186917,0.0965188135204984,0.000951538678316938,-0.0328884809927903,-0.0821101070731335,0.0987335387698526,0.0634866203720525,0.0203663420926796,-0.0191961357154343,0.0897960160092971,0.0357214373161413,0.0273343328545644,0.0664254788563539,-0.0124902863403844,-0.0197690789690848,-0.00702920773225579,-0.0368350579014695,0.117544956427427,0.0255187001003976,0.108242131374756,0.0371227595704031,-0.00989044620783155,0.00707892028760291,0.0368167307961053,0.07077703186901,0.0365780303290193,0.062741957228796,0.0994693611582848,0.063394289952627
"b_Sem",0.129354514851207,0.044452986738943,-0.0553641210677065,-0.00752169928215533,0.25182459423799,0.00499245146534491,-0.0931912630382275,1,-0.194988815003051,-0.0834915274505232,0.0361440079382621,-0.109178437470156,-0.0141014500507695,-0.0502340943183419,-0.102101292406686,0.202421267931805,-0.20076704592038,0.0282377902411432,-0.0861046120569387,-0.00362423757212922,0.172787505900652,-0.0238127754537435,-0.0957062734221941,-0.0226013237653789,0.0121987394421135,-0.00192001553911642,-0.0256805592072711,0.0438366432968455,-0.0271017368286401,-0.0995903335675184,0.00787932373493616,0.0274488553584568,-0.138078640138221,-0.00720926022037589,0.0786763318650897,-0.114510859051506,0.0104496565031889,-0.021451909024501,0.15099382019054,0.0454515653697873,0.0242249104119844,0.0372751288675885,0.123189163924381,0.0687416417972112,0.0835911468696299,-0.0626202036942641,0.10426300850547,0.0310784074680586,0.0267789979585123,0.0301002319213388,0.111038067608659,0.0845561948130489,0.0963169184690748,0.0829134693025493,0.0986266809672446,0.0412104049986626,0.0293649531674415,0.0143436861082832,0.0944044138436755,0.00630828221534006,0.00691669459279171,-0.0182045705454916,0.100751508506921,0.0843805900283162,0.0694373557053938,0.00137656572726053,0.0188367497271184,-0.0198774741387795,-0.0140634653917499,0.072465541181816,0.0354595022037876,0.0906510062319757,0.0340331033557513,0.02717518114576,0.0759471956670962,0.0535698296827658,0.070785557779901,0.0375891016968316,0.0580551076877037,0.0622140233611065,0.0653511674604447,0.0517697275649012,-0.0216605491531513,-0.1202215138489,-0.111017460199731,-0.113204036450166,0.0474022841238882,0.105405926563475,0.113107298890077,0.076241687887611,-0.0621931848573148,0.0176379963596267,0.0692730177658517,0.0707178330123722,-0.0918893883247421,0.00153382083630295,-0.0801360843530856,-0.105410072623042,0.0168751260626166,-0.0418830333628498,-0.082746244912593,-0.0265309667663824,0.0574070591519394,0.0730936751791252,0.0343626871796827,-0.00612457967428969
"b_ACC_1",-0.0500868616235085,0.0512424939164155,-0.0514302403253721,-0.00874953599463709,-0.270965707428591,-0.00120906148155192,0.046847105835578,-0.194988815003051,1,0.130506761191203,-0.119175092945565,-0.0816588641194903,-0.0432176572061466,0.0825556851367011,0.13422433879075,-0.156023049978241,0.271355790692932,-0.22355515791716,0.0725395772510553,-0.11060760472027,0.00637604597894913,-0.00145598642216531,-0.0506205869436181,-0.0419018391706886,-0.0548120738897234,-0.00902360209643032,0.0340275744643487,-0.0471040967393533,0.00781510476527245,-0.0101758649226272,-0.0880664454392298,0.00676199091837851,0.031239999146588,0.0589556314167653,0.089134650106838,0.0749125597655617,0.0370934216388249,0.0516174675546616,-0.0104556255314564,-0.0309978490190393,0.0076356053813183,0.0331733175185468,0.0210246959729961,-0.11996279282793,-0.054834128665877,0.0091680999452662,-0.0214111459574397,-0.0752052128143758,-0.033751020462469,-0.0299324325399002,0.0475237764804311,-0.00522690079196946,0.018449495747673,-0.0407856913221642,0.0373837096682951,-0.0380056564949108,0.0105956809031515,-0.0300719602848947,0.039228634263464,-0.0200205826807267,0.0283512463749481,0.000248998189852656,0.0310909044603211,0.00116352520756577,0.0781546840828369,-0.0647689923386798,0.0762100133542071,0.0560043940608523,0.0946051883611594,0.0189303722477506,0.00127234595770075,-0.000319931138556063,0.046885329624231,0.0705281390809092,0.102237892457915,-0.0666634086752693,-0.0657021734063224,-0.0819409423741593,-0.0630544639028908,-0.0431114265370589,-0.0293233740114821,-0.0794962442906657,-0.0580915603218458,-0.0223240624118717,-0.0232401218147508,-0.0462203807640564,0.0115549778747179,0.00782241211844927,-0.0398253990662407,-0.0666152367824658,-0.111760091603398,0.00440204419648931,-0.0036819704066004,0.0523891230063604,0.0204485767973303,-0.077074809798109,-0.0648581770472372,-0.0693532620846473,-0.0587300969600537,-0.0428260366373925,-0.0110223879250859,-0.0295265195027027,-0.0629606763610475,-0.0117924697080258,-0.0747116029492529,-0.0690142040089006
"b_ACC_2",0.0651450770634449,0.0678850130243649,0.205262898883115,0.0410323125190513,-0.0524827437742649,0.105282067746246,0.230525420504604,-0.0834915274505232,0.130506761191203,1,-0.0553000944080638,-0.0698939969397917,0.0307736156997273,-0.041585927633206,-0.0265458742595699,-0.0121147444155895,0.0491786370689597,-0.0330589256728335,0.0602436963206638,0.0278166611891799,0.0465176367101228,0.0296495087094254,0.0294696622779874,0.0122558009439381,-0.032808408615984,0.0106502857625352,0.0292256272201884,0.00661148470769627,0.0280260564774259,0.0218995589195976,-0.0210755491619771,0.0455089319211354,0.0669270960591317,-0.0248541422107882,-0.0850899933345759,0.0207939363572276,-0.000534490918979218,0.00128297845114576,-0.0515930566078327,0.00366469687233714,0.0191625532000905,0.0578958557323442,-0.0196528741209771,-0.00266177944962614,0.0181798780931007,0.0651364043481313,-0.0382441150746569,0.00260232913888654,0.00450465185571746,-0.00362025651021929,-0.00424259616625602,-0.0746478308466828,-0.0878318029349627,0.00144696685920305,-0.0112160908024189,0.0333081212355361,0.0514192105874937,0.0206874220237728,-0.0264201912013506,0.0273040644561779,0.0428112356008767,0.0337907460601276,-0.0122559932171684,-0.0248568986110301,-0.0179273481674585,0.0236549557636222,-0.00768753870716792,-0.0484261174275128,-0.0447378758701746,-0.113356830664817,-0.000161724692356539,-6.31806075140924e-05,-0.0114820925976776,-0.0644105286953252,0.0205288920503987,0.000121434320946354,0.0104778757047596,-0.00215365644134179,-0.0480818410511636,-0.049014739446488,0.0130732364833849,0.00837556120626355,-0.06077192733535,-0.0246407582285407,0.0575729593092088,0.0466635739950356,0.196036706910075,0.108619933776518,0.039973901311343,0.0299443580863733,-0.0387438198951419,-0.173911526004547,-0.227371931582301,-0.363184626865139,0.0247661668911334,-0.0306585094892107,-0.0134521627368451,-0.0352631113726578,0.0217200068172065,0.0106561228424817,0.00797528390225506,-0.0158187144839006,0.0325912665001848,0.00763367084352465,-0.0345474159390628,-0.0325391975850948
