"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",2.18218043547088,0.269033836720378,8.11117464655179,4.44089209850063e-16,0.391555072995328,5.57311240734945,2.50227998321861e-08
"asc_ruta2",1.08396533003924,0.269500785103767,4.02212308814565,5.76759021901907e-05,0.36826434433092,2.94344360708784,0.00324582951432695
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",2.71239994895836,0.504655383958868,5.37475678487844,7.66861236733973e-08,0.630016660169311,4.30528289240705,1.66772479384125e-05
"b_tt",1.45544186193379,0.399629409273494,3.64197886381712,0.000270550291259442,0.482841489125972,3.01432642950462,0.00257550532847439
"b_dt",-0.548976625819027,0.25530688562586,-2.15026173098804,0.0315345176633977,0.274260822797355,-2.00165893261632,0.0453214260717421
"b_Cong",-0.363676111725498,0.214688503653947,-1.69397105823468,0.0902707827857061,0.194226565035597,-1.8724323918247,0.0611468071927195
"b_Sem",0.342213309477816,0.158150008404838,2.16385261644633,0.0304756624716991,0.128984532548757,2.65313447058823,0.00797480934281558
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.31828650896926,0.287897621030779,-1.10555449478769,0.268919395073556,0.343004977862271,-0.927935538874493,0.353441008151318
"b_ACC_2",-2.64729993430557,0.423720242468357,-6.24775422312581,4.16396250813023e-10,2.04079073421697,-1.29719323491603,0.194564707841284
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.848602961078624,0.275428114404446,-3.08103246073316,0.00206284158630488,0.299936492271792,-2.82927547312132,0.00466535228035903
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.370160837885479,0.207667445540886,-1.78246925954795,0.0746727398567117,0.199485037308963,-1.85558196684282,0.0635131660288439
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0210714022404833,0.253718476239577,-0.0830503263017645,0.933811523194085,0.264203598061647,-0.0797544105949941,0.936432583839247
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.208088019140963,0.326067065359769,0.638175520460392,0.523359430404119,0.349334857351889,0.595669211822609,0.551396229973314
"b_No_Info",-0.418271937617238,0.322204816236248,-1.29815544814995,0.194233923902809,0.417221702913875,-1.00251721014518,0.316093858746559
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",-0.342379405154806,0.380595670948951,-0.89958828039515,0.368339396314657,0.389420334274243,-0.879202689281475,0.37929138656572
"lambda1",0.0404955883403195,0.145632799797717,0.278066399853382,0.780961387986249,0.15463228557987,0.261883139012408,0.793411539204694
"lambda2",0.413358075785413,0.165149903281562,2.50292653868943,0.0123171106929292,0.176521674898909,2.34168453263394,0.0191969334036348
"gamma_EXP_3_LV1",-0.283800812896413,0.270735004126469,-1.04826050776885,0.294518599552655,0.357152244457627,-0.794621389898847,0.426833772036364
"gamma_HTRB_2_LV1",0.287103113206991,0.164749571822691,1.74266378983965,0.0813923602617537,0.192858532186743,1.48867208493006,0.136573739297796
"gamma_USODISPMOB_LV1",0.196142638564871,0.124169202795398,1.57963999243893,0.11418933511382,0.146875915258744,1.33543091948967,0.181735350698097
"gamma_EDUBASICA_LV2",-0.670393049782479,0.164139053685811,-4.08429946882552,4.42099858997125e-05,0.185245613691659,-3.61894155776529,0.000295810426780063
"gamma_JOVEN30_LV2",-0.784372168272545,0.360979079147591,-2.17290201450108,0.0297876928319885,0.442653856362914,-1.77197635804503,0.0763984818080337
"gamma_ADULTO40_LV2",-0.422158905617418,0.19186581839161,-2.20028199476243,0.0277868939333636,0.219245565649398,-1.92550715617439,0.0541659415581941
"gamma_EXP_2_LV2",0.576298971574372,0.260592420384545,2.21149552517281,0.0270015414096156,0.315074112087925,1.82909020279505,0.0673860964084732
"gamma_USODISPMOB_LV2",-0.456307509144335,0.179173851380294,-2.54673048343326,0.0108737378238044,0.200828773528509,-2.2721221721725,0.0230791322823001
"zeta_FRbr",4.35264891462794,0.690146671694113,6.30684620117551,2.84778645109895e-10,1.2994948066934,3.34949312010209,0.000809595662556895
"zeta_EnfCond",3.3674225210927,0.35657794341026,9.4437207441581,0,0.506022981986546,6.65468297086601,2.83910672749244e-11
"zeta_AFrSem",5.15863989269741,NA,NA,NA,1.32761215015726,3.88565281817159,0.000102055270071455
"zeta_CulFr",1.92792499636445,0.207294623994857,9.30041001165702,0,0.207056993630792,9.3110836903301,0
"zeta_OmLmVel",2.67918976472572,0.295295529049243,9.07291002119757,0,0.424211647839274,6.31569118474752,2.68956634741357e-10
"zeta_IgPare",3.72619915892851,0.33628863765768,11.0803599695852,0,0.519979741775518,7.16604678906348,7.72049091324334e-13
"zeta_PasoPeaton",1.17549248215708,0.174797728070272,6.72487277228518,1.75746084352113e-11,0.291170915308672,4.03712191140704,5.41109531597694e-05
"zeta_UsoDirec",2.13207390752016,0.106550579766455,20.0099700273184,0,0.806448501637728,2.64378184495397,0.00819854777585682
"zeta_UsoPito",2.41185341550657,0.246273281000327,9.79340270170584,0,0.285807228741342,8.43874182653831,0
"tau_FRbr_1",-1.16722936687195,0.380753391689793,-3.06557838314128,0.00217249424764199,0.494771533329476,-2.35912797775024,0.0183179373190032
"tau_FRbr_2",4.32403851404904,0.508107881695764,8.51007959100723,0,0.902659851098474,4.79032994409465,1.66507288779094e-06
"tau_FRbr_3",5.43583107638475,0.618197875240583,8.79302775712274,0,1.16740112205426,4.65635245134885,3.21860754115555e-06
"tau_FRbr_4",10.0602771712066,1.43593520292152,7.00608018435526,2.4509283491625e-12,2.51513879410035,3.99988946725507,6.33720754519285e-05
"tau_EnfCond_1",-0.579854154393445,0.260476267257751,-2.22613046669491,0.0260054437490949,0.348230117653418,-1.66514647929033,0.0958835356817123
"tau_EnfCond_2",3.94120495867255,0.389696492235879,10.1135243380302,0,0.653424266006209,6.03161707287299,1.62327062902534e-09
"tau_EnfCond_3",5.10291286699103,0.458409422326546,11.1317800604805,0,0.722139319673515,7.06638279895643,1.59028346047307e-12
"tau_EnfCond_4",7.70070842687077,0.784586457407948,9.81499024634167,0,1.12825314959911,6.82533740730705,8.77187211756336e-12
"tau_AFrSem_1",-1.05180621674651,0.379988574049881,-2.76799432555685,0.00564024376952932,0.548661261403046,-1.91704115223446,0.0552327037844307
"tau_AFrSem_2",6.3387991644572,NA,NA,NA,1.59881335185627,3.96468991023729,7.34914186171221e-05
"tau_AFrSem_3",7.1767944946818,NA,NA,NA,1.75426779502904,4.09104842203581,4.29427450086006e-05
"tau_AFrSem_4",12.7167071897949,NA,NA,NA,2.99112986484448,4.25147277597593,2.12369328573825e-05
"tau_CulFr_1",-2.02364874283184,0.22457076446745,-9.01118517199131,0,0.236663750715834,-8.55073384373794,0
"tau_CulFr_2",0.486751663143952,0.186235401529932,2.61363660799861,0.00895842625099741,0.232723013750061,2.09154932853659,0.0364788493706933
"tau_CulFr_3",1.61239854467349,0.214547835915926,7.51533352825488,5.6843418860808e-14,0.259175389120435,6.22126410283589,4.93165286385988e-10
