"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Cong","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","gamma_EXP_3_LV1","gamma_HTRB_2_LV1","gamma_USODISPMOB_LV1","gamma_EDUBASICA_LV2","gamma_JOVEN30_LV2","gamma_ADULTO40_LV2","gamma_EXP_2_LV2","gamma_USODISPMOB_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.153315375188377,0.119612348247435,0.131846271737789,0.111449352387279,0.00402062254987153,-0.0273536462083159,-0.000980939702214234,0.00546430310497231,0.0314480315652843,-0.0216264340389118,0.004037460015545,0.000234194587808269,0.0164778191310823,-0.0199740139279818,0.000762453655524956,-0.000223297930314521,-1.53108368549486e-05,-0.0039366622352891,4.26338019357571e-05,-0.0106671931323611,0.0109817558804963,-0.00776683752401008,-0.00445873954090772,0.00683100477230748,0.00403189499833014,0.0103485141008185,-0.0263326719780452,0.0264749481532891,0.00272811835903386,0.0177991417707202,0.0476926116158881,0.0218262365760289,-0.0885627673208376,0.00275457472295836,-0.0466935821334541,-0.0333230536341816,-0.042996558451834,0.0270037224671338,-0.0236964502802504,-0.047591489655048,-0.0603101356717367,-0.0884730760144545,-0.039398214297546,-0.0180057756247541,-0.0380291702652307,0.0604821194246143,-0.0186406170757854,-0.013212721738227,-0.0182434738698595,0.00781182757149139,-0.0316340941260815,0.0100840024541713,0.00910633076039462,0.0228112202952783,-0.0407016666518549,0.0281011217537183,0.0281109448430045,0.091737725327372,-0.0165668012798008,-0.00682195851137877,0.0024550549131029,0.00286078553156966,0.243808325912114,0.174643088485655,0.143711610879181,0.0374254371421995,-0.0287544201506683,-0.0187895893931117,-0.0170164689986771,-0.0117662475713708
"asc_ruta2",0.119612348247434,0.135618627305482,0.117971484134493,0.0760776288497174,-0.00599984511236614,-0.0214101482441355,-0.00358275241192739,0.0172693468773525,0.0623866361540687,-0.0135293631044289,0.00158930971932132,-0.004594596809602,0.0312950528172945,-0.0141060869996316,-0.00769638677618773,0.00225361853373389,0.00171320188781752,-0.00688609988621937,0.00491942329194324,-0.00911560494078096,0.0139911039280776,-0.00303252217641092,-0.00476873573580664,0.00463251237690412,0.00306217079244557,-0.0138800910552305,-0.0268848241813906,-0.0139680058307485,0.00114334389468506,0.0190563112235204,0.0557105970320759,0.0273850874363479,-0.0956044503673965,0.00124264627627173,-0.0413515968348713,-0.03527569386859,-0.0478899279527024,-0.00370860121296643,-0.0215263801236676,-0.0395453524844702,-0.0509207087241589,-0.0694884219083124,-0.0255627879132701,-0.0447267050744285,-0.0657008206712203,-0.0112531688760646,-0.0186667845020084,-0.0109817471330595,-0.0149369285464727,0.00837103511203892,-0.0273999195517465,0.0198824781236423,0.0154474371867852,0.0213617605081081,-0.037724211265415,0.0497605881222242,0.0486810036127941,0.105997413513683,-0.0266108471890169,-0.0124571053420635,-0.00169013451613463,0.00237154850981958,0.265691156409186,0.188696040675292,0.153164798870549,0.0369967824049529,-0.0245020388220459,-0.0139413466305932,-0.0135305685899686,-0.0117346092269449
"asc_ruta4",0.131846271737789,0.117971484134493,0.396920992090893,0.0720002383374684,0.00347035124807819,-0.0313287127868654,-0.0108796958797338,0.0326063100851082,0.00594499163188725,-0.0354523004174008,0.011075829758475,-0.010497887686519,0.0248671792163203,-0.1571859157181,-0.133215210501947,0.0167309061772982,0.0431784403746506,-0.0125820374231845,0.0197360019365835,-0.00195869535646335,0.00889785418071294,-0.0642872296888306,-0.0272713504648671,0.0505990556926368,-0.0109986652220307,-0.138106417966698,-0.0791459295891495,-0.029432656058174,-0.00452753827850426,0.048691990118039,0.0521427526689815,0.0514934129713603,-0.21959191549162,-0.00988876606074214,0.000271571459878827,-0.111402136864255,-0.152069438985913,-0.206417206590293,-0.00295243351160829,-0.0563241152921757,-0.0790179265601657,-0.0942967913442877,0.0190628380812678,0.00813528739168162,-0.0207281680247892,0.113307064273676,-0.0248350171542399,-0.0035421014968798,-0.00524502086105796,0.0269218170234382,-0.00777834918520652,0.1084442425457,0.112743954386869,0.148037478390241,-0.02113665076744,0.107517980219883,0.101957395018019,0.198559606898822,-0.0836048917877081,-0.042888798729859,-0.02297984914276,0.00306473761731064,0.516765413304955,0.354871087409828,0.276818184333782,0.0506826821000657,-0.0234799911235391,0.00163910763710902,-7.29418342241364e-05,0.0261670488048884
"b_tt",0.111449352387279,0.0760776288497172,0.0720002383374685,0.233135903621387,-0.0369971655581037,-0.0655413205685169,-0.0136504159159805,0.00915692349389395,-0.0126739775992177,-0.0413275289944569,-0.00291027667054507,0.00231657071293151,6.18384656148881e-05,-0.0116719902202263,-0.0082665803624814,-0.00154898146205499,0.00327231496667917,0.008452241522794,-0.00219017532079453,-0.00408414937356873,0.00777619285832533,-0.02060976546381,-0.00499252280320592,0.0152486567037754,-0.00164635116500824,-0.0915351004634424,-0.0235856492546716,-0.00170652883362087,0.00853756959745389,0.0136836342450373,0.0747705721071156,0.0218854119286564,-0.11244469930401,0.00244278564528585,-0.0110434193214047,-0.0887419664642801,-0.125553841704977,-0.175399048517481,-0.00259576786140006,-0.013766418112495,-0.0367538059283652,-0.0496540228734026,-0.0167618416484426,0.00799832291199808,-0.0226610579206188,0.0817133527146968,-0.00242997594215004,0.00388489868574969,-0.000730185973733696,0.0249346473664077,-0.0124037072619817,0.0260675861546154,0.0222485599161929,0.0334885153150059,-0.0118275674086842,0.10623625063906,0.102905378483455,0.181452262397639,-0.0208735036456486,-0.0152396012489834,-0.007591572283291,-0.00355770956572484,0.28320864363101,0.20042674709085,0.171751892317826,0.0460796018497444,-0.0131709667293778,0.000105297310424312,-0.00346101746438704,-0.00302291340952113
"b_dt",0.00402062254987152,-0.00599984511236609,0.00347035124807818,-0.0369971655581037,0.0752189989214821,0.00640429088056785,0.0119298120535938,-0.00993471194303104,0.180269686973365,0.00204313258433859,0.00790539161629331,-0.0069117550851579,-0.0043278571372613,0.0117952709126166,0.00455839437706062,2.14603857999531e-05,-0.00924833218936631,-0.0151291173410981,-0.00450608256764341,-0.0100119775450972,0.00988435520046256,0.0102879872605889,0.0090429342992932,-0.00931346555056862,0.00656915659840901,0.133288441649614,0.0287528841183237,-0.0516080280214817,0.0017626848434922,-0.0250635246401445,-0.0235365583279979,-0.00937413941755677,0.0273301625393388,0.0170826550004654,-0.0343912734417133,0.0702601958682343,0.0946440048903518,0.22918065890191,-0.0297322786414848,-0.0147767306736012,-0.00235604741890346,-0.018070660857236,-0.0171326701565797,-0.140409208964844,-0.145305376724387,-0.236885314756331,-0.010317898065904,-0.0126260283639928,-0.0141216927550825,-0.0271305954895846,-0.0250027215066889,-0.062337568214378,-0.0660301484912443,-0.074899881178688,-0.0273242310254759,-0.0773044360079378,-0.0689480309095221,-0.0646332513117903,0.0233636770933483,0.0236167674231072,0.0238337003205755,0.0128671937208816,-0.0287094025254172,-0.0159319688520765,-0.0115845694585262,0.0170045822484748,-0.0179772611895118,-0.0132459162881094,-0.0083894594069758,-0.0189566719647984
"b_Cong",-0.0273536462083158,-0.0214101482441354,-0.0313287127868654,-0.0655413205685169,0.00640429088056786,0.0377239585655269,0.00320744636444176,-0.00445230759623523,-0.00860817691948643,0.013359061586028,0.00388014027870777,-0.000901166321341977,-0.00934205387744251,0.007637147175531,0.0104894127385847,-3.31462370260591e-05,-0.00485524209609423,0.00013296647200536,-0.000438253967846849,0.00378000705254433,-0.00471001042385895,0.00892683749660478,-0.00125241259276748,-0.00795380180031795,-0.000396366283479903,0.0136718138996991,-0.000747355632973778,0.00697320879701607,-0.00132196919404599,-0.000172004535428732,-0.0247165937475383,-0.00377796998502023,0.0414555990338806,-0.00597852603122853,0.00983736182208505,0.0161521891188452,0.0265724502417726,0.0376035309171829,0.00615075828197877,-0.00051683621682863,0.00530933050538628,0.0122028549770733,0.00756741784924192,0.012292090839143,0.0249566178903435,-0.0025878960130075,0.00429145189082074,0.000883088951619758,0.00452144352483451,-0.00219612468583832,0.00831163417157249,0.00164198299861224,0.00569121825726616,-0.0023134547203257,0.0101214793716211,-0.0305461162616076,-0.0294964847720078,-0.0597193252329089,0.00131818385523049,-0.0017810379024106,-0.00314648741473199,-0.00229427676038683,-0.114986503559978,-0.0793560212342175,-0.0676368769479983,-0.0224080572277952,0.00910913272092253,-0.0020535188827918,-0.00118113045729606,-0.000298380012994327
"b_Sem",-0.000980939702214232,-0.00358275241192737,-0.0108796958797338,-0.0136504159159804,0.0119298120535938,0.00320744636444176,0.0166370096368214,-0.00734133290324844,-0.00343128989309069,0.00416087363116223,-0.0023848306474396,-3.86623228528475e-05,-0.00277175799625871,0.00345626198646249,0.00608317398557879,-0.0012921821528972,-0.00304962229273325,-0.000658932532091542,-0.00155656774072598,-0.00112033281631437,-0.00136776654993287,0.00386415227215435,0.00256957015117835,-0.00257921444498209,0.00320405465435316,0.0269101992313772,0.00441243051103544,0.0196971567109884,0.00141126101190437,-0.00186819209508047,-0.0128963422237393,-0.0043944368448768,0.026663991618863,0.0034257090654332,-0.00356923173664674,0.0144823768360791,0.0204707763682238,0.0439205781445725,-0.00211565903359333,-0.00183690567777322,0.00285549053808179,-0.00389667892973402,-0.00882117571570622,0.00806704757777071,0.0120298054008286,0.011900870919314,-0.000342897892311086,-0.0032495208613505,-0.00192196731831101,-0.00306486874373889,0.000411982504681005,-0.00910595872801721,-0.00819015949163101,-0.00883706461867056,-0.00156861851809963,-0.0268834563507947,-0.0265503672450226,-0.0406779875361224,0.00887133045657424,0.00474791375063009,0.00338611910398808,0.0016513282085805,-0.0651104959853812,-0.0413901829568231,-0.0337820070356291,-0.00717220916616631,-0.00155373801744537,-0.0021522620030477,8.41863563948669e-05,-0.00231874614792227
"b_ACC_1",0.00546430310497239,0.0172693468773525,0.0326063100851083,0.00915692349389406,-0.00993471194303105,-0.00445230759623527,-0.00734133290324846,0.117652414838297,0.261865299623273,-0.0237423544653071,0.00618261598525323,-0.00850449315654521,0.022160341809169,-0.0143678861208555,-0.0237062278491424,0.0155283533867356,0.00333908207111687,-0.00256763556185764,0.00460899797965083,-0.00549542947227823,0.00703580279593334,0.000689924906725118,0.00464403653181971,-0.0088864210385932,0.00325818979487353,0.0445975241728459,-0.0221248973191974,-0.122031127753362,-0.00824083213211876,-0.00851321757010028,0.0344535897563744,0.0292647774894947,-0.0978257081259311,-0.0104612067692395,-0.0179837011857499,0.023353516635459,0.029278265521336,0.131168335542329,-0.016237368216994,-0.044348623089116,-0.0425751638578045,-0.0605368088073435,-0.00259018796580892,-0.173109718487618,-0.18226439610573,-0.248048737703197,0.00272982927119592,-0.00620427796017086,-0.0125520038233232,-0.0171571301306769,-0.0252729704021623,-0.0260764601368127,-0.0311434017910382,-0.0402734709525472,-0.023876419458518,0.0174085510235512,0.0351078125884947,0.0958358030387852,-0.033826544766386,-0.0209161541829293,-0.0060740425047428,0.00432417367996256,0.252134368895868,0.17543736897592,0.144174026583012,0.0388707522427715,-0.00619521201772383,-0.0207172285080039,-0.0220605425748956,-0.0289598586312886
"b_ACC_2",0.0314480315652846,0.0623866361540687,0.0059449916318864,-0.0126739775992178,0.180269686973365,-0.00860817691948637,-0.00343128989309067,0.261865299623272,4.16482682086585,-0.16693995196022,0.132535118877305,-0.0890225077469367,0.127776232573792,0.180333007892906,-0.099293443951162,0.0456785134249967,0.037974571057826,-0.0710514199413111,-0.00550476717433092,-0.131581950906922,0.119020835362287,-0.0301687220705363,0.0831193379299068,-0.108957809394366,0.0706513383625499,0.686608751483332,0.0870924583657484,-1.82878321119417,-0.00393765443683598,-0.308015435358615,0.384386285193676,0.14738863869079,-0.584345640444941,0.0581860866185409,-0.328564249973852,0.139380481849796,0.249130616966866,1.59745864180241,-0.388385095125733,-0.383041754742038,-0.304284555287555,-0.417529943773095,-0.153825892520855,-2.81873330390754,-2.9774204402589,-4.46372777395493,-0.0926959093518583,-0.133421710361412,-0.204128620112685,-0.258613421393639,-0.397816085570671,-0.791499722932168,-0.944750644928628,-1.15892317275369,-0.383194914481756,0.0583191451552162,0.250580423635524,1.033197011664,-0.12133079458606,-0.0325092906244926,0.0722065035437618,0.130779587230483,1.73332374713379,1.23832348677639,1.03859492900669,0.413896198236262,-0.168212245375479,-0.227033872698909,-0.207145957281592,-0.273919944970567
"b_SI_CAMFD",-0.0216264340389117,-0.0135293631044288,-0.0354523004174007,-0.0413275289944569,0.0020431325843386,0.013359061586028,0.00416087363116223,-0.023742354465307,-0.16693995196022,0.089961899396307,-0.00836159005832895,0.0115989517775082,0.000349850199649368,0.00463252417696227,0.0250020934633605,-0.00459709306285388,-0.00716598999679116,0.0022234548302667,-0.0031250906549169,0.00413872426524854,-0.0025366870761213,0.0122357632365836,-0.00359086699212653,0.00116286961755897,0.00626565654402356,0.0376010383242878,0.0137952572142353,0.118906459737168,0.000346929160700632,-0.00119450963521164,-0.0454042622328987,-0.0198705000647362,0.0650794338003779,-0.000906765587774465,-0.0123509012964286,0.0313182912100266,0.0442753015247082,0.0623072058937388,0.00736982335628059,0.0169183670715485,0.0155986632776728,0.0319000660452978,-0.017767778358637,0.135982131581448,0.155182773883605,0.228096707722673,-0.00139022564753576,-0.00349290365517424,0.000435327288050736,-0.000783331155109729,0.0105365212758866,-0.0038770126235566,0.00263552409145709,0.00287164035514026,0.0052091556817238,-0.0771600397403626,-0.081955112906707,-0.145920066385888,0.0311580539942028,0.0200246994056062,0.00955343379555819,-0.000757782874689848,-0.168139685405341,-0.113464081203582,-0.0872969451887033,-0.0252832106329767,-0.000297303857791574,-0.00710631646280742,-0.00780387360498253,-0.00491800323029838
