"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.806766076964677,0.667458057035913,0.333532229769371,0.120402851896157,-0.07888229080521,-0.0290958127153575,0.188398898610256,0.0144187521697439,0.154041907837883,-0.104080976461101,0.0824088616664028,0.00517271108658113,0.0471595806360237,0.137476231140321,-0.126741984368161,0.0423761475888259,-0.0275189718530941,-0.0626195209669097,-0.145599928928177,0.0047878371074476,0.0266415286765329,-0.0290286179445914,-0.0240801637108439,0.114767147366386,0.0601760950315608,0.0211936497766011,-0.0346008886966593,0.0589402851273685,-0.134794671953075,0.0756545239445555,-0.124833271933868,0.0272403155688071,0.142925013218962,NA,0.0568177346233837,0.086959958581797,-0.136897031637632,0.00870683079484942,-0.130345579251592,-0.49728592217325,-0.448307141883717,-0.261901669628246,-0.170050905432137,-0.0647310140802797,-0.0364471959718089,0.0757298071036548,-0.166623684503874,-0.326745915215406,-0.310920652700178,-0.152989391277265,-0.124370562266474,-0.143100885799039,-0.127280871430282,-0.00972223265915792,-0.00346807842594602,0.139435196699807,0.145436032258544,0.151386959100657,-0.00206033477766686,-0.0625651133617874,-0.144738328038687,NA,0.0220252282217488,0.0422781700845244,0.0425741700869929,0.000514721800857223,-0.00169271620018552,0.0074610427302206,0.0450074205552626,0.106233112699638,0.171995399124292,0.195873596263096,0.197643831040493,0.139546860498549,-0.1540624712857,-0.15811212448967,-0.142184533440742,-0.096424982631263
"asc_ruta2",0.806766076964677,1,0.679336304755099,0.132767963886087,0.0325549073518938,-0.0194228589259218,0.0498573139779403,0.106128906126557,0.0579920657031947,0.189529370730891,-0.0492957387524148,0.0770170775527544,0.0394793272311217,0.112282558404326,0.161408026081958,-0.158638950272567,0.0933491380484357,-0.0344036832789151,-0.05014494600194,-0.150418764112986,0.00631219670618342,0.0401217014920807,-0.00930559993254733,-0.0140676483777459,0.115846140769649,0.0569353256919387,0.012722035014193,-0.0331421728180719,0.0572631852342011,-0.177926008918154,0.0797640357484811,-0.116982945050275,0.0322688560030851,0.150833936336422,NA,0.0608773312170233,0.0901218512639194,-0.151086898363283,0.00813982587990138,-0.0923982924630078,-0.546613017747986,-0.497908436719356,-0.320746109003728,-0.130426987109808,-0.042589631073745,-0.0168627371423477,0.0881338742705476,-0.147064910353218,-0.292816590326026,-0.279885615331587,-0.140818571563061,-0.101595570680511,-0.110424008896751,-0.0998735055746955,0.0103889009731284,0.0150679781283827,0.161118042443743,0.164259132730116,0.168842957531613,0.0215873063672354,-0.182681157766844,-0.30785101762136,NA,0.0127188552454725,0.0377106672052447,0.0427180115226249,-0.00352251224116762,-0.00616328209972436,0.00107189662450064,0.0386157805700912,0.0982665343286596,0.183522773633806,0.206944454009983,0.206765443267759,0.139392985300784,-0.118972583242508,-0.133662227267411,-0.121771213130712,-0.085691393250713
"asc_ruta4",0.667458057035913,0.679336304755099,1,-0.0892153302472662,0.117013385080573,0.185026900748676,0.51639597777545,0.0956046465969531,0.025413689778522,0.181012518188275,-0.0910874883745706,0.122817522922745,0.0606903944139694,0.0191307182962053,0.250198183261915,-0.304914336577482,0.365460746563492,-0.0625713097797506,-0.0980242885806321,-0.175046941040472,-0.0156907979574376,0.0883457120223425,0.0489498904261669,-0.00965999996946401,0.0556518092637835,0.0244040204414166,-0.0169321070288981,-0.018724708036773,0.0610530031563121,-0.102334367197446,0.0915037549767857,-0.0796376544493866,0.0484888011843956,0.308782472098479,NA,0.0502220837715253,0.0747820347137666,-0.172121046536829,0.0622956603089956,-0.112327551937406,-0.479189330838361,-0.424276866531092,-0.200460890085003,-0.12213259130798,-0.0598106369329255,-0.0368825783740171,0.0761158684432168,-0.154084132570834,-0.279213687438228,-0.26957399212196,-0.139075056952981,-0.0989254349161219,-0.126611927723833,-0.123693579563898,0.0106962987697402,0.112437668051362,0.360420417781236,0.358031740448008,0.364240910497246,0.0825803463484945,-0.548311760642465,-0.778054305316872,NA,-0.0160576631122772,0.0121215695081584,0.0204942733580181,-0.02186964227893,-0.0155127779762574,-0.0226252101435671,0.0013350375805377,0.053149380865216,0.187859871606164,0.197941797327433,0.189670317016323,0.0801639528660121,-0.111668929810831,-0.109119690945866,-0.0964697251242398,-0.0220289926307254
"b_tt",0.333532229769371,0.132767963886087,-0.0892153302472662,1,-0.22115498202425,-0.17211202974291,-0.25390800291547,-0.0407429589206307,-0.0190490906131486,0.0637597578435443,-0.0481427922616248,0.0272776261233706,-0.088411604160619,-0.0350872441002094,-0.0021954528639216,0.033855674538856,-0.14279519643861,-0.00508654941425678,-0.035005131952736,-0.042160079757887,0.015559517550085,-0.0102381310224033,-0.0147637259732741,-0.00591453946998681,0.0437857691212232,0.0510223537931296,0.0233627488999791,-0.0402298170370499,-0.000906738702157999,-0.0563911376973748,0.0209884360187575,-0.0369905465141055,-0.0110984591722386,-0.0678683598667342,NA,0.0242471453841016,0.0495822924398553,-0.0339085720900349,-0.0297400533098468,-0.0736354101263871,-0.172512340794916,-0.154432668215227,-0.128832229920763,-0.101879818570981,-0.0230561477980459,-0.00791253189825443,0.0216962044652814,-0.0839546406902399,-0.108034205345832,-0.0954888611426161,-0.0166691185060064,-0.0711695350497147,-0.0756475124361053,-0.0574872271479419,-0.0377634069342686,-0.0368161332773826,-0.0796546958526385,-0.0718056989413543,-0.0710674994324172,-0.0191634474274489,0.320062114463466,0.355204486241285,NA,0.0164546359157495,0.0143629925870579,0.0133648893639811,0.0162308862636035,-0.0243556678692005,-0.0186185296794213,-0.00200254906576488,0.0332938815698031,0.0448269647497616,0.0520950928972069,0.0547135952333609,0.0460003233433902,-0.0933936865840942,-0.0931734042656932,-0.0819482848868206,-0.083215410936646
"b_dt",0.120402851896157,0.0325549073518938,0.117013385080573,-0.22115498202425,1,-0.0818124273836183,-0.0782807714570959,0.292725152734844,-0.0610493875924425,-0.0301301502087372,-0.0856580473722824,0.023023931895059,-0.0859804493627749,-0.119144981989378,-0.142429973046784,0.139848701701114,-0.147189330135197,0.027178224452186,0.00537354479924754,0.020939045200903,0.0174379447080685,-0.00653061170174031,-0.0205159354851583,-0.00826520299552988,-0.048978340705035,-0.000653462782345808,-0.0133451023539402,-0.00121312179481814,-0.0101199108351618,0.0731020869279939,-0.05504844315636,-0.0287391897354296,-0.0112507743012421,0.0677893295117306,NA,-0.011412149114828,-0.0333364523425914,0.0795434433074769,-0.0225805454460887,-0.010449383348013,0.170430236613313,0.159419422232328,0.153771814910989,0.00182351290889876,-0.0321865508887162,-0.0390901301972291,-0.0437965356507195,0.0226795193706263,-0.0119370829754565,-0.0158760323773686,-0.0179197796146339,0.0101352471555442,0.00672184173335745,0.00113580748037111,0.01635067093798,-0.0198932137697051,0.0574304719737242,0.0547183149237798,0.0614125020560159,-0.053013490160155,-0.0981593575379057,-0.0995224197617861,NA,-0.0197212743518547,-0.0252812029256311,-0.0233178861797883,0.00225900594386605,0.0052257743625821,-0.00356372207159849,-0.019181513880637,-0.0300924447434644,-0.0938423100691993,-0.093835092179243,-0.0936361695124943,-0.0738192709199533,0.012711933499837,-0.00251535657568042,-0.00758787438268114,0.00830890922366518
"b_CongCD",-0.07888229080521,-0.0194228589259218,0.185026900748676,-0.17211202974291,-0.0818124273836183,1,0.513926196604624,0.00358648979120107,0.0693268557252482,0.0334048789358541,0.0103787354038555,-0.00569984156001455,0.0465616537310142,-0.0800315609930512,0.0560427548314371,-0.102563328468296,0.130365424962126,-0.0117569590705639,0.023779768609567,0.000730019095455194,0.00457730975837148,0.0371641739744897,0.0483958608926307,0.0208492130659679,-0.0122885624194402,-0.0377175912172604,-0.0351227502637755,0.0356668727381504,-0.00101937059563677,-0.0708351584286167,-0.0133855382143875,-0.0188685910435543,0.0143148510433104,0.0816735892680086,NA,-0.00326784337561876,-0.0116553419524855,-0.0049265721101697,0.00550019749717345,0.070477068830311,-0.0584737104791068,-0.066355853139545,-0.0824977829657804,0.0976767333271831,0.0303865900588098,0.0185898603730575,0.000577897764098206,0.069797469868856,0.0296798067222491,0.020944368311051,-0.0176054635208595,0.0392818811124721,0.0747850064821712,0.0651180357901212,0.0505515445499788,0.0601473360367237,0.110949478214983,0.110135527618178,0.108516802051366,0.0288896356388492,-0.583973213551029,-0.761233686099501,NA,-0.0226466791166925,-0.0261333046517435,-0.0193815255136151,-0.0209517173324827,0.0039268954370294,-0.00576243140378218,-0.0111048095081684,-0.0300083231759753,-0.00354008138997653,-0.0061012929239062,-0.0119186943285683,-0.03018555530259,0.0892116534995928,0.0656353765963097,0.0578114575405125,0.0459960232910462
"b_CongEF",-0.0290958127153575,0.0498573139779403,0.51639597777545,-0.25390800291547,-0.0782807714570959,0.513926196604624,1,-0.0162010856913442,0.0338841222989006,0.00308432939813892,-0.0362873459529796,-0.0282399428052443,0.0826940707107587,-0.0146943923068478,-0.0246241640057218,-0.0310313696173038,0.154739431975095,-0.0010629501741999,0.0484113834004659,0.00991460340054611,-0.00972401169440876,0.0320057510564385,0.0155699639633645,0.0118344837640034,0.0125526282138791,-0.0147381510098012,-0.0323517986482839,0.0203838997154614,0.0242884209425218,-0.0209575230422844,-0.0186178623702334,-0.0291015135051311,0.0183350958207308,0.155962782897657,NA,0.00862485168936936,0.0241041370687444,-0.0298878823163888,0.0245418448381027,0.0557498372434503,0.00170031071445361,-0.00618871905552012,0.0265417327571405,0.101437585869186,0.0191819020206277,0.0017687316014992,-0.00867620913708876,0.0649770680468934,0.00758883025242101,-0.00541399567376183,-0.041509834006108,0.0534327523571149,0.0713582429720684,0.0575469517421808,0.0593970865012083,0.0236857108798003,0.168806818153991,0.168648285509365,0.177593547129639,-0.0278508623008276,-0.856548325998864,-1.04139519151324,NA,-0.0205746636139283,-0.00448989036139609,0.00345364064218114,-0.0177566486663661,-0.00789711180489376,-0.0131347146753236,-0.00931324275535974,0.00148910781763463,0.0335052463257083,0.0336687505673045,0.0273585181105533,-0.00218861790784966,0.0981213088798178,0.0766818508611573,0.07047199030362,0.0811737165103915
"b_Sem",0.188398898610256,0.106128906126557,0.0956046465969531,-0.0407429589206307,0.292725152734844,0.00358648979120107,-0.0162010856913442,1,-0.0635026530981904,0.0656003179597395,-0.0955425087946108,-0.0243594575731722,-0.067524753433608,-0.113748991962472,0.10001757561262,-0.0871814716761876,0.0474929426795511,0.00268434027734125,-0.00255820549862669,-0.0228262343962877,-0.00194328685012351,0.015719647570155,-0.0111810501217237,-0.00955381096467571,0.0204289802608685,0.00339870151023441,-0.0115822253903261,0.00370882520375023,0.0290093214712122,-0.0193079414887474,0.0151224457525285,-0.0480914060122114,0.0151599107741942,0.0796881096876478,NA,0.0107477898792285,0.0153599960320606,-0.0283687538893144,0.0144503042912483,-0.00304098139618225,-0.0702741945259474,-0.0656822839306192,-0.0281036402087247,-0.00863071312702841,-0.00764202839502868,-0.00261267003099966,0.0250056483329165,0.0029243881165634,-0.086246726986762,-0.0847112629565046,-0.0553883678096681,-0.0102871886861451,-0.00671481183724251,-0.00645560243810489,0.0170734624404754,0.000117235983190966,0.0839656124032143,0.0843074605045942,0.0801956642224197,-0.0144292276955095,-0.160108208328088,-0.211165208025526,NA,-0.00123604825685017,0.00869361705700149,0.0107678095488881,-0.00098958573368016,0.00661255414448636,0.00768636399032622,0.0139204228623575,0.0280844062210253,0.0429496593353696,0.043273956714572,0.0416193862868961,0.026385041958795,-0.00916447324524741,-0.00696108096637555,-0.00669635436622132,0.00732386747484101
"b_ACC_1",0.0144187521697439,0.0579920657031947,0.025413689778522,-0.0190490906131486,-0.0610493875924425,0.0693268557252482,0.0338841222989006,-0.0635026530981904,1,0.0895501389773886,-0.0940902349202098,0.00443902335886494,-0.0200539103992795,-0.00867693443802962,0.0297230655279047,-0.0117799105435733,0.00271845472619574,-0.0153296592098261,0.023089782716402,-0.0200978827379106,0.0143412014098175,0.0385434950699999,0.0405307659886419,0.0146442417129093,-0.0375328018597126,-0.0285717364106919,-0.00904190446054027,0.0200798343524116,0.011348472756397,-0.0288196118888203,0.0411687387104703,-0.122035230189901,0.00729534564956334,0.151094335184885,NA,-0.0279234964743761,-0.00597768887128737,-0.00408113292511378,-0.00194375312517146,0.0623435365009328,0.00429259423707401,-0.00578158856852711,0.000108970902394398,0.0584161654294912,0.0760443850925537,0.0677779666452938,0.0843508478072071,0.0765471037367123,-0.116114075468599,-0.120965929536503,-0.13527348044228,0.0294433083850659,0.0502448679714877,0.045528618295828,0.0428266715056642,0.0696527232636634,0.191474126125323,0.186126258136912,0.162524819983356,0.0354414457107652,-0.386982907642103,-0.508661821906292,NA,-0.0065977790014422,-0.0163423049061267,-0.0142885930734948,-0.0206356930072834,-0.00646151551861342,-0.0190921325266148,-0.0215098401761796,-0.0270044046256491,0.00493629177380742,-0.00271329930393588,-0.00990050957740627,-0.0266908295059689,0.0555426506155764,0.0374546485264437,0.0327218538776002,0.0362180622602163
"b_ACC_2",0.154041907837883,0.189529370730891,0.181012518188275,0.0637597578435443,-0.0301301502087372,0.0334048789358541,0.00308432939813892,0.0656003179597395,0.0895501389773886,1,-0.0858447862633021,0.0897802232219061,-0.0671365508394658,-0.0614921556288021,0.172694441673279,-0.170415009729874,0.0310735103509168,0.0207797493295,-0.0299123961365956,0.0165761894029059,0.0309168727520357,0.123912517910911,0.136054337698048,0.0799730015046953,-0.172571506946475,-0.0239422860483836,-0.0987554376942102,-0.0032308667924948,-0.03805905067942,-0.104933843589192,-0.161438469070404,-0.0809498822594623,0.0574296807980782,0.28400884275713,NA,-0.075476437561529,-0.0346490904480215,0.238152047303635,-0.0221754378970981,0.112197168769437,-0.0210786737242196,-0.0362656562598781,-0.109597570279184,0.166113650019367,-0.0567661397960866,-0.08204917819877,-0.138621402592703,0.149941513550802,0.00786566541702956,-0.0030385020455413,-0.0195894433489003,0.0457250945332291,0.17584337304112,0.167527483871544,0.170422430353324,0.12012427122845,0.392970137734564,0.408558032546799,0.399164770937249,-0.0238422257464822,-1.44995525991275,-2.02764637283701,NA,-0.054853763330635,-0.0658233147965204,-0.0383679781989517,-0.00876696906391189,-0.0638224622736209,-0.115483591867509,-0.149038748593222,-0.163575463741602,-0.291421780450568,-0.283222058279233,-0.288592387838694,-0.257564375818877,0.168124674897457,0.107438993279398,0.0867705412863108,0.0705751623055584
