"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.119362666009833,0.0979463483459067,0.102462488031503,0.0250396109200147,0.0106902083493459,-0.00785289753737775,-0.00317019705443831,0.0105102063593208,0.00156410189875163,0.0598606190885734,-0.0103222539107401,0.00617757618386953,0.00047824710750302,0.00551853593013126,0.0111433248265028,-0.023700146073994,0.0027163125432802,-0.00166633867054371,-0.00419321243788395,-0.0080606839964166,0.00030312872914827,0.000768131363433149,-0.000855827280191567,-0.000727857251002269,0.00653131468697576,0.00705792934704332,0.00134909600779277,-0.0031450582100625,0.00357058482732112,-0.0160127935039793,0.00546332068837856,-0.0137469653235002,0.00112835563358365,0.0228931053782153,-0.000416200205759829,0.00278057559287564,0.00867123202165129,-0.0144674351782706,0.000415958850509213,-0.0209369629970702,-0.0627991217827657,-0.0677538257866058,-0.0999448122043278,-0.018195147413715,-0.0108830260023652,-0.00725154849395325,0.0223054008438001,-0.0243896573313821,-0.0665632334076423,-0.0686986971319212,-0.0740241658546044,-0.0103054513093918,-0.00988677093533135,-0.00992199007237845,-0.00141825216427502,-0.000381783592955806,0.0276815936947011,0.0336323988986488,0.0452501693210203,-0.000438904777115544,-0.00520871848606025,-0.0101683369877432,-0.00670600692875339,0.00155090109455715,0.00220987733874082,0.00235447455815881,6.54927600303188e-05,-0.000265519212963387,0.00081440828903919,0.00401459785958372,0.00944194334292931,0.0456525025994404,0.0374198394916833,0.0313832425937055,0.0127890013839205,-0.0127056099095687,-0.0145857225636902,-0.0146855340067024,-0.013677557911041
"asc_ruta2",0.0979463483459067,0.123484580508263,0.1060712903908,0.0101380674097804,0.00293993663183014,-0.00196668897183364,0.0055253113222127,0.00602197130465694,0.00639849824240837,0.0749119230885319,-0.00497261309556567,0.00587223382186487,0.0037125813884762,0.0133640579393769,0.0133071302970437,-0.0301725807251952,0.00608612249277844,-0.00211888857907529,-0.00341535932966946,-0.0084700282545201,0.00040648110906845,0.00117659719818932,-0.000279046290678378,-0.000432494304271914,0.0067055854757849,0.00679214930726686,0.000823693806520237,-0.0030640406470804,0.00352837498709978,-0.0214983893688338,0.00585869676714637,-0.013103012163845,0.00135953235101441,0.024573535315851,-0.0125490011834217,0.0030302503340595,0.00914036833996772,-0.0162403890826231,0.000395528233698133,-0.0150957061981308,-0.0702100829369522,-0.0765384672549514,-0.124496028105994,-0.0141943726302225,-0.00728304920865068,-0.00341245406544779,0.0264032965452172,-0.0218952615626258,-0.0606725198887643,-0.0629001409692819,-0.0693017577963727,-0.00856241557367916,-0.00775975072692348,-0.00791877589182085,0.00154144900572446,0.00168715678258727,0.0325338127707132,0.0386355823985176,0.0513318367285431,0.0046773845818518,-0.0154690810739888,-0.0219977915750693,-0.0272775902160242,0.000910927514425878,0.00200487967631736,0.00240287373213203,-0.000455874553801524,-0.000983322457607073,0.000119005674857859,0.00350344136463244,0.00888340031106099,0.0495461410394266,0.0402116529280733,0.0333937058582265,0.0129936030031032,-0.00997970397331749,-0.0125413294993829,-0.012792461803202,-0.0123631263349757
"asc_ruta4",0.102462488031503,0.1060712903908,0.197430081398873,-0.00861393646095453,0.0133615655329195,0.0236895983790945,0.072362076941151,0.00685937097055474,0.00354550006253981,0.0904655718015979,-0.0116180786993145,0.0118406879502081,0.00721649801937775,0.00287910579581879,0.0260821706273267,-0.073329845849897,0.0301280768712146,-0.00487280152179365,-0.00844195884285488,-0.0124634324943849,-0.00127763020253764,0.00327592718248017,0.00185602532353529,-0.000375522799428011,0.00407319045328278,0.00368118032226962,-0.00138618283235297,-0.00218891499487945,0.00475670875677637,-0.0156346546445907,0.00849832066583698,-0.011278915705961,0.00258313867166701,0.0636094313664408,-0.0552457055849535,0.00316095219327458,0.00959027735787007,-0.023393968400988,0.00382754641042644,-0.0232047065260938,-0.0778264019208633,-0.0824669486111086,-0.0983839037214683,-0.0168066288202568,-0.0129326668598196,-0.00943757280002783,0.0288330639722922,-0.0290067645568174,-0.0731532043819443,-0.0766036260047155,-0.0865433812631627,-0.0105421646138026,-0.0112501724175741,-0.0124009573241038,0.00200675048885148,0.0159188828892401,0.0920238648670878,0.106482874012042,0.140020902713504,0.0226246370877402,-0.0587081801583302,-0.070298927034411,-0.108547540263503,-0.00145418089510848,0.000814860470101994,0.00145764827433524,-0.00357877847459535,-0.0031294915649753,-0.00317619886887667,0.000153152405779078,0.00607536115759176,0.0641289587578908,0.0486335463823942,0.0387334630401037,0.00944861373705037,-0.0118441369007181,-0.0129460806673251,-0.0128144754744041,-0.00401870417163683
"b_tt",0.0250396109200147,0.0101380674097804,-0.00861393646095453,0.0472183740746352,-0.0123500120698922,-0.0107766282548544,-0.0174001669069235,-0.00142957422287236,-0.00129966933682817,0.0155836875918524,-0.00300300264274267,0.00128609196912203,-0.00514120190018442,-0.00258240561460155,-0.000111926403534243,0.00398183491471126,-0.00575695883246323,-0.000193720506537073,-0.00147431438313189,-0.00146802487869547,0.000619591025032079,-0.000185659980045117,-0.000273764418145042,-0.000112442105966243,0.00156724633842164,0.00376387380105033,0.000935367560487664,-0.00229990952031293,-3.45486064825624e-05,-0.00421333986691514,0.000953285808235969,-0.00256205524622731,-0.000289146416923032,-0.00683730698196961,0.0130808737951218,0.00074633303941089,0.00310963448888351,-0.00225386694673308,-0.000893620794944357,-0.00743918481440124,-0.0137021536331523,-0.0146797479759288,-0.030922013980778,-0.00685624063592392,-0.00243806490238414,-0.000990155414182099,0.0040192794782491,-0.00772920687059619,-0.0138422530441632,-0.0132700604970771,-0.00507278082720509,-0.00370906808610001,-0.00328721462589335,-0.00281856638710262,-0.00346481357859751,-0.00254910534384467,-0.00994606559053822,-0.0104439792552842,-0.0133605407794657,-0.0025676002726383,0.0167592345535536,0.0156951720395906,0.030115556852321,0.000728741029174619,0.000472191518720674,0.000464873123247924,0.00129892544253084,-0.00240288564851525,-0.00127823086015013,-0.000112347225072473,0.00186117483892406,0.00748356185829049,0.00625956421454476,0.00546425631350969,0.00265154320212302,-0.0048443714426734,-0.00540599944751089,-0.00532351538649503,-0.00742410343792643
"b_dt",0.0106902083493459,0.00293993663183014,0.0133615655329195,-0.0123500120698922,0.0660435304528603,-0.00605829728005586,-0.0063444174047255,0.0121471336586754,-0.0049260584779963,-0.00870932500535775,-0.00631905645348863,0.0012838212859999,-0.00591309321944011,-0.0103707599369862,-0.00858755339053984,0.0194522500918759,-0.00701803420781003,0.00122414548563141,0.000267657171154861,0.000862280356441902,0.000821228313292148,-0.00014005902694929,-0.000449916557851308,-0.000185832293735518,-0.0020733278213484,-5.70105259464593e-05,-0.000631887694890081,-8.20213144985324e-05,-0.000456020844066595,0.00645959125342468,-0.00295697543904534,-0.00235413784130903,-0.000346654757628317,0.00807678811961837,-0.00101215352433554,-0.000415431204988345,-0.00247264488531982,0.00625291875868924,-0.00080242708327588,-0.00124850109193764,0.0160093956532951,0.0179217445065421,0.043649534322478,0.000145133061741734,-0.00402524743169488,-0.00578515015910891,-0.00959541639339911,0.00246935595172299,-0.00180885327835575,-0.00260928664417819,-0.00644949566432068,0.000624690134098331,0.000345446914692279,6.58599289791465e-05,0.00177420544944121,-0.00162897412428402,0.00848090008896431,0.00941237946265071,0.0136542993610815,-0.00840039672441885,-0.00607870745100715,-0.00520077650792068,-0.0150487465365515,-0.00103295058381607,-0.00098294814365577,-0.000959219225058847,0.00021380555714917,0.000609738110634067,-0.000289352587391024,-0.00127268724301969,-0.00198948120385725,-0.0185279485292854,-0.0133343605380441,-0.0110595912185085,-0.00503230784897088,0.000779814228384432,-0.000172600964749935,-0.000582959526705075,0.000876685639239465
"b_CongCD",-0.00785289753737775,-0.00196668897183364,0.0236895983790945,-0.0107766282548544,-0.00605829728005586,0.0830294809005965,0.0467023170112343,0.000166872352586935,0.00627221267413045,0.0108266506557797,0.00085847870381475,-0.00035635994613979,0.00359041320664214,-0.00781082907038899,0.00378868548541738,-0.0159957472403538,0.00696951564730562,-0.000593755959314707,0.00132808739533876,3.37075245360237e-05,0.000241701831800891,0.000893681459167236,0.00119000803081454,0.000525603624537673,-0.00058326512301745,-0.00368959893405655,-0.00186469379496882,0.00270388597350962,-5.15040203409181e-05,-0.00701819050601432,-0.000806193951088088,-0.00173299720131914,0.000494541346035186,0.0109108859006999,-0.0381823219531128,-0.000133380988463109,-0.000969322756591438,-0.000434234438688131,0.000219154531480712,0.00944163307286285,-0.00615871298092619,-0.00836410178065246,-0.0262570646167771,0.00871665109770252,0.0042608979137574,0.00308478334684333,0.000141963305168666,0.00852099971999151,0.00504274744402648,0.00385965158895874,-0.0071046318023032,0.0027147109897648,0.00430931848148112,0.00423368796762865,0.0061504059373249,0.00552238465965015,0.0183707059835659,0.0212419885525367,0.0270527012281057,0.0051328253261246,-0.0405483776855293,-0.0446032273239764,-0.0635304276533409,-0.00132999533612867,-0.00113927410006014,-0.000893959151198862,-0.00222342386312721,0.000513739601986505,-0.000524602472054094,-0.000826134852654202,-0.00222446264856741,-0.000783687488526502,-0.000972142221196836,-0.00157842931622161,-0.0023072658599191,0.00613623738774196,0.00504989864974533,0.00498004435866344,0.00544153196092114
"b_CongEF",-0.00317019705443831,0.0055253113222127,0.072362076941151,-0.0174001669069235,-0.0063444174047255,0.0467023170112343,0.0994587554964251,-0.00082501958411936,0.00335521891746018,0.00109408313559568,-0.00328507765471909,-0.00193239214196888,0.00697904110197042,-0.00156961386199965,-0.00182194777044647,-0.00529686274847914,0.00905412570999716,-5.87531602484296e-05,0.00295918333616366,0.000501041079551693,-0.000561979482485382,0.000842348167448758,0.000419019880734273,0.000326530197509936,0.000652086100707862,-0.00157791484447427,-0.00187984823896556,0.00169128175437375,0.00134311642131915,-0.00227259258082306,-0.00122726644871846,-0.00292535997399525,0.000693273031383237,0.0228036673630628,-0.0512727552319143,0.000385291726440317,0.0021940187075315,-0.00288323415164194,0.00107024874178196,0.00817425606319408,0.000196003105411053,-0.000853780415549593,0.00924567272623846,0.0099074705445021,0.00294385340433804,0.00032122979767901,-0.00233270837602111,0.00868193102015238,0.00141119275150711,-0.00109195336154665,-0.0183337142201844,0.0040415152204735,0.00450032163185616,0.00409491816775562,0.00790933268161075,0.00238013740637595,0.0305911578710959,0.0356004111146378,0.0484558459536521,-0.00541574759748318,-0.0650935228197623,-0.0667835040767415,-0.109547870493868,-0.0013224634681734,-0.000214227380849236,0.000174346090245383,-0.00206238141795476,-0.00113075194455627,-0.00130873150190201,-0.000758308813393425,0.000120813337532711,0.00811797726125721,0.00587138120926706,0.00396546732346083,-0.000183093854556874,0.0073866793213282,0.00645717588858815,0.00664417676992563,0.0105104589067177
"b_Sem",0.0105102063593208,0.00602197130465694,0.00685937097055474,-0.00142957422287236,0.0121471336586754,0.000166872352586935,-0.00082501958411936,0.0260733753516184,-0.00321953840048956,0.0119144125195609,-0.00442857693669029,-0.0008534462635762,-0.00291784024441653,-0.00622108119856483,0.0037890284756849,-0.00761937045193896,0.00142282575952703,7.59684053214744e-05,-8.00639339920217e-05,-0.000590621671877262,-5.7502803319337e-05,0.000211828082797181,-0.000154065973990299,-0.000134967062202747,0.000543368032176616,0.000186307656206035,-0.000344582715396781,0.000157558621809584,0.00082135152286916,-0.00107199984927442,0.000510397101417196,-0.00247518879914779,0.00029349106593081,0.00596560321856672,-0.00425694179638828,0.000245829689641548,0.000715841643567205,-0.00140120651088128,0.000322649971003812,-0.000228294535138426,-0.00414770304245693,-0.00463949578579164,-0.00501243714018098,-0.000431606209818563,-0.00060049621771758,-0.000242949254389782,0.00344227588192113,0.000200063724036654,-0.00821166529487341,-0.00874791309421495,-0.0125255021627021,-0.000398391897225323,-0.000216825507058915,-0.000235199718845682,0.00116405478895935,6.03189334833833e-06,0.00779084401647252,0.009112052400297,0.0112033268184085,-0.00143661360311059,-0.0062298360988345,-0.00693350953231639,-0.0109008203546243,-4.06783646368454e-05,0.000212381589206928,0.000278316881665536,-5.88489243216666e-05,0.000484780805280243,0.000392128111668363,0.000580329605227849,0.001166624526819,0.0053280937383567,0.00386382103725892,0.00308869194546207,0.00113015686245917,-0.000353240538591362,-0.000300126146986861,-0.000323251230977691,0.000485538691198932
"b_ACC_1",0.00156410189875163,0.00639849824240837,0.00354550006253981,-0.00129966933682817,-0.0049260584779963,0.00627221267413045,0.00335521891746018,-0.00321953840048956,0.0985839514689273,0.0316255025247213,-0.00848040490022384,0.000302413016935567,-0.00168500834328063,-0.000922760746367885,0.00218952358325315,-0.00200189533882453,0.000158361361462701,-0.000843591946374774,0.0014051601540505,-0.00101118331855977,0.000825167516450993,0.00100994170435594,0.00108595901148573,0.000402274516863958,-0.00194116684004686,-0.00304550134173962,-0.000523077299888163,0.00165870982061439,0.000624789033123694,-0.00311136785574409,0.00270183117329281,-0.0122132307865336,0.000274630391597843,0.0219944701426753,-0.0293558944473534,-0.00124190806107328,-0.000541705999473406,-0.000391964838204582,-8.43917951306637e-05,0.00910076016008342,0.00049264729142511,-0.000794098186481248,3.77921319449955e-05,0.00568039492823622,0.0116191207262096,0.0122553022066763,0.0225788328904,0.0101827852272341,-0.0214970054970639,-0.0242901866894223,-0.0594831179920953,0.00221720005837385,0.00315480641423116,0.00322544005032608,0.00567767622871137,0.00696843586891344,0.0345459888059304,0.0391167108422994,0.0441489411940689,0.00686140096473408,-0.0292792055894344,-0.03247613793476,-0.0685784186669126,-0.000422211740194437,-0.000776308160731338,-0.000718135068124656,-0.00238620990474344,-0.000921117532676142,-0.00189393885548035,-0.001743668670022,-0.00218124749559014,0.00119074135696944,-0.000471077739374591,-0.0014286997026965,-0.00222304109392481,0.00416288213193207,0.00314005573023575,0.0030714548995433,0.00466888373878863
"b_ACC_2",0.0598606190885734,0.0749119230885319,0.0904655718015979,0.0155836875918524,-0.00870932500535775,0.0108266506557797,0.00109408313559568,0.0119144125195609,0.0316255025247213,1.26513281374782,-0.0277172990993002,0.0219108224961282,-0.0202081687645283,-0.023426502924448,0.0455721310152085,-0.103746192945084,0.00648458801742797,0.00409642660619987,-0.0065211191116042,0.00298764669221411,0.0063726064061141,0.0116312219772192,0.0130588809833111,0.0078698051301212,-0.0319731863223548,-0.00914224224476962,-0.020465950851447,-0.000956080129014497,-0.00750617834551939,-0.0405829639934402,-0.0379544433411231,-0.0290219446689718,0.00774469063710711,0.148102412659229,-0.391073978465769,-0.0120253019684271,-0.0112483061041899,0.0819380526143685,-0.00344902445912614,0.0586722957660069,-0.00866611587932771,-0.0178438067545546,-0.136162250325774,0.0578649731376095,-0.0310713714844159,-0.053146500622787,-0.13292518558029,0.071453689803329,0.00521667183006296,-0.00218570863483937,-0.0308580235252479,0.0123349625393795,0.0395523198260443,0.0425163054799028,0.080937168027966,0.0430519593635505,0.253987316856677,0.307590831398942,0.388434461329803,-0.0165353394589127,-0.392995028777562,-0.463759051556579,-0.634246430563512,-0.0125748820051116,-0.011201225512715,-0.00690797139621084,-0.00363165018605302,-0.03259261162728,-0.0410389977674735,-0.0432803660673219,-0.0473318466115021,-0.251827742505207,-0.176151725934697,-0.14918777158747,-0.0768486360513044,0.0451402458262008,0.032266994093135,0.0291771922916562,0.0325915250978339
