"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.872985021465655,0.780180535925517,0.419120241836177,-0.0436202041926145,0.0399045170457502,0.119598713499245,0.250306122423967,0.140961861539889,0.276837565144502,-0.264196322133021,0.108979883870827,0.134519186126762,0.0417648119814913,0.441407470095091,-0.44705808749787,0.281866976484824,-0.0934956850597355,-0.0811910290283671,-0.201765591438082,-0.0378754172234503,0.119033947375221,0.0712941904189394,-0.0109182634266285,0.283534058675851,0.0558595455858561,-0.111435390831991,-0.0591655741341182,0.13857416435239,-0.265762185118028,0.251383700055936,-0.26516253754808,0.100957489358628,0.306976930952,-0.256682397320406,0.152728676446079,0.185914150734764,-0.300254375019129,0.218033305129148,-0.0180015985245008,-0.569597468032043,-0.54977315984918,-0.338898084979138,-0.0154521150572958,0.0807822532356249,0.118789355603549,0.306671831223193,-0.0408071660527699,-0.453635190861575,-0.449641095516519,-0.295950321184406,-0.11780306234538,-0.059214966027618,-0.063673140963109,0.164597416238643,0.129543016899927,0.323529791212292,0.350557288838528,0.362096300632851,0.12042302797363,-0.305020198057187,-0.315804322598989,-0.292206680445821,0.0329477971694241,0.17722243784927,0.164484267907362,0.0458282275336669,0.00779787683296872,0.00215324116115286,0.0522329604948589,0.142161143955363,0.334933931314584,0.372061732379841,0.363538224760198,0.240013405111972,-0.0584043750576152,0.0418740915134252,0.0799644362699338,0.160228199586994
"asc_ruta2",0.872985021465654,1,0.785440081943747,0.23721391410703,-0.154723798397697,0.103919166642095,0.185295346690088,0.211541123047809,0.216722304408371,0.301176991464501,-0.239631827296732,0.0911151059947819,0.132950635941223,0.0972294731909337,0.510943629825288,-0.52100347537277,0.341507083404686,-0.0922189402929127,0.0208314039342837,-0.249326823783845,-0.0116401817172262,0.153717635136145,0.0710936714121233,0.050640911837255,0.301817948185789,0.105362640717407,-0.101846217212145,-0.0323255659153515,0.121085487797513,-0.370818479709689,0.241518519958177,-0.331059975464592,0.0844782501078608,0.34366748651864,-0.311407731156825,0.136128825717882,0.227660038903751,-0.302299006998906,0.209460857932701,0.0494759132938469,-0.593804403195358,-0.586400910299193,-0.430345652212095,0.0608644391176391,0.127700815978303,0.159887696641664,0.346394436490481,0.0405091946689029,-0.431502240541123,-0.426457860616761,-0.331838396960838,-0.0644790907657253,0.0101519335046409,0.00792404952391714,0.200701654032028,0.179895423542602,0.369399430678085,0.388649127831631,0.391915226514236,0.151383254534034,-0.346954314365722,-0.378862717302316,-0.399337596475839,0.0201898657155114,0.174671414100189,0.180513305879961,0.0365626947499283,-0.0157921340630777,-0.0263340534601741,0.0249901126355108,0.142235030851694,0.350323867409651,0.390345958841062,0.379330716704914,0.236236824155703,0.0241552499273217,0.106538596806388,0.136411070127742,0.202147546783524
"asc_ruta4",0.780180535925516,0.785440081943747,1,-0.00160209957085597,-0.0392774446873027,0.280767905240253,0.553631176112933,0.196218149147588,0.215829205960333,0.432141555170408,-0.293373103057888,0.248564559170086,0.142772733748671,-0.0242579565256854,0.579555565477123,-0.611496454386187,0.548792995528236,-0.0877660830415223,-0.108866030787135,-0.305235316337332,-0.066073732649911,0.21776201495625,-0.0160584232794823,-0.0538766654074872,0.281007090415571,0.0399034388764394,-0.0189962208863086,0.0494622062313512,0.185801944101919,-0.240621968327612,0.192656611660428,-0.258404923823686,0.160799246836588,0.55627974770876,-0.289640523949,0.124136685629702,0.222535360885771,-0.34513689111987,0.214913174153814,-0.104283894776984,-0.674105454359102,-0.640787945438886,-0.330582819668905,-0.0906737318202346,-0.0644073342440349,-0.0170832943592208,0.233750943711264,-0.0971058639789498,-0.544956704464371,-0.536455368587284,-0.341814305397038,-0.218752866699685,-0.141799307259751,-0.125113007096568,0.217373719633639,0.190650244127383,0.574749679512613,0.594438093501003,0.607189207107141,0.0927853258229657,-0.376378211159854,-0.395995537386355,-0.387018868655913,0.100907788145393,0.304463915896007,0.281247720733625,0.0696176157188995,0.0384920892941113,0.0402456321473882,0.0917572808816847,0.231593379039842,0.41715379632814,0.449387262484302,0.443682277137678,0.304978518313207,-0.146341264065631,-0.0635130541135963,-0.0218082658499133,0.152313496194332
"b_tt",0.419120241836177,0.23721391410703,-0.00160209957085583,1,-0.218348406721106,-0.185875254551419,-0.271646236865733,-0.1016740770812,0.023786870689124,0.0254059865660086,-0.127735741019883,-0.0859211839236838,-0.00600245449138858,0.00833896480442224,-0.051706741771172,0.0686412341097718,-0.137315930896542,-0.0236224247776689,0.0327117255135671,0.053319109685597,-0.0278219244015092,-0.00580693340959527,0.0675705025029307,0.100897719093384,-0.00428617482832577,-0.0102713302195339,-0.083865633452091,-0.118967915384083,-0.0618020919891201,-0.0826790734236258,0.109836837418399,-0.0350238233883806,0.0204627923655157,-0.160364346604564,-0.0470294140861143,4.11652334035489e-05,0.0145469687126843,-0.0151367504733015,0.0404586732675714,0.0595191967018011,-0.0594632467792524,-0.0634475092349178,-0.118651721319914,0.0705979399733841,0.131266533655807,0.130814643486213,0.128131928657668,0.0303986581641582,-0.00876048560392828,-0.00492661161859203,0.00993227353757418,0.0964818524709323,0.0816081031574176,0.0848096221613184,-0.0313899134560719,-0.0433029760321833,-0.162180859467455,-0.135823499934438,-0.136484775352828,0.0126930097800397,-0.0280603078235344,-0.01936764037762,0.0164644696186631,-0.0390566664554943,-0.135646759239903,-0.0688026170228732,0.039037755380761,-0.0597598834099829,-0.085089802068079,-0.0887674851301235,-0.111220255078215,-0.0437845175892837,-0.0229384572664676,-0.00900793573336231,-0.0274017299361642,0.0724550784480909,0.0729162365095139,0.0723187601249067,-0.0138371332663058
"b_dt",-0.0436202041926145,-0.154723798397697,-0.0392774446873025,-0.218348406721106,1,-0.0850882451699975,-0.122834381587985,0.258850776497086,-0.225565635150538,0.0606165697693704,0.133874097901056,0.0568184187906673,-0.034239012467802,-0.116108099206905,-0.23443594962439,0.234029250452324,-0.309325769823345,0.0850027095114643,-0.0924219029095437,0.0218116463246665,0.0464327087106413,-0.139528454115802,-0.132535446319212,-0.168996666319704,-0.0179997560291504,0.0477727455976028,-0.0663902107068272,-0.0162870357210123,-0.0613297231397613,0.153145459663489,-0.0982949205364365,0.0541489863074391,-0.0240683617450568,9.59308501123651e-05,0.27127849690933,0.0242440931076333,-0.124299264475008,0.131489209024644,-0.0619207884672221,-0.177308245302356,0.114387938248056,0.103953556121225,0.160634015301782,-0.211790096730885,-0.110618800152327,-0.127963376382514,-0.179146423122269,-0.159013835391404,-0.0185932738818032,-0.0418686916957958,0.0566468562005442,-0.212362902576673,-0.149232254787233,-0.127081298889577,-0.048727757732126,-0.184856154205642,-0.00656830046480847,-0.0242110839168821,-0.0297751410776794,-0.21512161640818,0.222021245425831,0.253164575800607,0.264869764464126,-0.094113054518,-0.0324902846769254,-0.04201307739744,0.0536351683880929,0.0447437026268563,0.0736889032396931,0.0420820725011993,-0.0756636448692849,-0.120725776047879,-0.134368495590529,-0.148920602008021,-0.114805089992942,-0.226372051109624,-0.132685464662341,-0.138569461538873,-0.198521736677527
"b_CongCD",0.0399045170457503,0.103919166642096,0.280767905240254,-0.18587525455142,-0.0850882451699975,1,0.523833580113125,0.00278851669812591,0.125787849944313,0.211904565254428,-0.186685075009807,0.0432154841053859,0.0838466310578831,-0.178360623307727,0.180620946369236,-0.201189823853235,0.218479741325452,-0.00888422721095191,-0.0160105872885967,-0.197569301896117,-0.0541491421174073,0.20153240132769,0.0323358305415316,0.0363758910270269,0.11129090368574,-0.0609604654039394,0.0524649115279746,0.09204449993015,0.0394354630330561,-0.146201130523286,0.035295900246081,-0.0112930623577861,0.0505856894794299,0.155422970101342,-0.152656872848282,-0.00190537528712778,0.0470869847206396,-0.0598712234983054,0.0293062410614418,0.0307505161372767,-0.307362478348528,-0.297409874077206,-0.254179500142179,0.0510739294305533,-0.0552060133054679,-0.0391854564957218,0.0612922178553702,0.0329171044229582,-0.0881087557639522,-0.0887714415843827,-0.0616495576105607,-0.00740405729984007,0.00269862379883915,0.017800989982758,0.086243584094414,0.229050871709408,0.180769158760585,0.193026285293305,0.206021964767285,0.159179835945991,-0.197496408062518,-0.182280537966338,-0.115607868634964,0.098191346764711,0.117469773238892,0.178111410514077,-0.00072690686971125,0.0706876897700999,0.027940179051563,0.0493481538040337,0.0937023205467349,0.0746496061004851,0.10370477452202,0.107700034802974,0.139341795674034,0.0490694265547694,-0.0727760971246472,-0.0468973026893641,0.0115860657809435
"b_CongEF",0.119598713499246,0.185295346690089,0.553631176112934,-0.271646236865733,-0.122834381587986,0.523833580113125,1,-0.0277971616873828,0.207539181010896,0.300517751935453,-0.21373823991297,0.0837068060387314,0.0770310635223911,-0.048268217246472,0.141582933041976,-0.169211775041991,0.233986179848612,0.0205959751943539,-0.0214279279112141,-0.103051022361935,-0.0893218022333314,0.156785479076129,-0.114778827081975,-0.0103024529241221,0.113910765969347,0.033306278208775,0.119985803769714,0.055031627885625,0.0513312106346233,-0.0778288719128423,-0.0245263774937083,-0.0576558975279939,0.139988734771381,0.324625441184946,-0.118392314095768,0.019875935240156,0.160331301451243,-0.127285597965267,0.0197300811202081,-0.094679080411675,-0.333193462171281,-0.307314976156506,-0.133433130061467,-0.0347672969882825,-0.163738932316935,-0.131883687446726,-0.0104019229335384,-0.05834689240985,-0.205079875173867,-0.208711206801941,-0.149138394895962,-0.0918032249591957,-0.0361759531939132,0.0123040713287743,0.21321153484548,0.0462729600115784,0.316117366573424,0.32459360480504,0.335644786001388,-0.056665599985321,-0.232160705516105,-0.194483287424629,-0.181265380052871,0.0537610337192998,0.190525742703786,0.230879915148462,0.0797971720185948,0.0191978713022574,-0.0210790432942686,0.0332818474592373,0.118726509212206,0.165496442270243,0.190299038303041,0.201433968063861,0.14116429135615,-0.0751061721353241,-0.136725220317117,-0.094164444340229,0.0462501528372092
"b_Sem",0.250306122423967,0.21154112304781,0.196218149147588,-0.1016740770812,0.258850776497086,0.00278851669812584,-0.027797161687383,1,-0.0256288917271496,0.127854648060568,-0.0537033452730777,0.0245284321639182,-0.000217601707648521,-0.0733689404092551,0.267992899368119,-0.261700093105948,0.147862989964669,0.0384141677822797,-0.101789512721445,-0.0828841255936319,-0.0942481011181897,0.0101898436255983,-0.0486090473912819,-0.0395775984882452,0.196073845040411,0.0311135662157924,0.00993689260562696,0.0293466699575026,0.197996030173236,-0.0284745467603963,0.145652879063623,-0.127393063168532,0.13356820248742,0.227586118543658,0.00704828489630542,0.131585814868347,0.127082697262003,-0.176560527238514,0.114919313331579,-0.0143506129478036,-0.261442290350309,-0.248754087850459,-0.119084134432119,-0.0480690555186113,-0.0140704964195292,0.0333753669485276,0.115655313865778,-0.0675666007985608,-0.323593000121724,-0.32005931102631,-0.235815166651837,-0.0946024597815995,-0.124738439903383,-0.0908571400732194,0.10886873136324,0.110195828080652,0.227030429748395,0.220838174975848,0.204304856712109,0.0520871893633529,-0.0177275162628433,-0.0203329333273071,-0.0959712416424172,0.122759086728745,0.194185536531981,0.16751696809723,0.0209279747594646,0.0730189227349296,0.0756145208459782,0.118223654530661,0.253021029794784,0.225694660014927,0.262438543579651,0.24797127016488,0.228233262368297,-0.077398125980319,-0.0858406586349013,-0.0524437283239619,-0.0189566979521638
"b_ACC_1",0.140961861539889,0.216722304408371,0.215829205960333,0.023786870689124,-0.225565635150538,0.125787849944313,0.207539181010896,-0.0256288917271496,1,0.244035117144816,-0.299693365420784,0.0612175696576366,-0.0110872176322684,-0.0295954571429486,0.194843743147107,-0.168017711381629,0.121330608279879,0.00952158356738055,-0.0790280485661076,-0.16183934780476,0.0360658373365468,0.0904661725842192,0.0280719006809051,0.102619952636955,-0.0362862949623885,0.0124383218145404,0.0957222207817503,0.0230648080039152,0.0763247101888212,-0.137661868680511,0.0893564498672871,-0.291354662768612,-0.0413417824036829,0.254142966973795,-0.00875948667284605,-0.0928725919081623,0.0581976037465847,-0.115754678285389,-0.0786535407553727,0.00198330215838445,-0.231658092263323,-0.193275581261328,-0.180366551040971,0.00265337267594332,0.0278902607524416,0.0662727659307603,0.182008773186307,-0.0243692707361811,-0.324494498743965,-0.291214276147203,-0.303895413792971,-0.0323365850047078,-0.0566611779532046,-0.0194357311622186,-0.0327836782579289,0.182414562701285,0.275947914387771,0.300378452229542,0.261536210609407,0.15068624582602,-0.0369524930503196,0.02263322508091,-0.0591626622769125,0.0772265830176754,0.0890334371942593,0.128744613734288,-0.0626053788615111,0.0310348036942521,0.005725106804385,0.0320220269068523,0.0296647704177007,0.139221161587528,0.119164607822034,0.134278115403551,0.0683465074982749,0.019432505545166,-0.0986729678343839,-0.0957341809637907,-0.106363640910027
"b_ACC_2",0.276837565144502,0.301176991464502,0.432141555170409,0.0254059865660088,0.0606165697693706,0.211904565254427,0.300517751935452,0.127854648060568,0.244035117144816,1,-0.251874295403142,0.212717241655001,-0.0176152250340094,-0.0696365094335521,0.299353651440113,-0.307148113506871,0.197713820158419,0.202383729440525,-0.217584085676436,-0.00228398133983086,0.0447779670746775,-0.0147821011498473,-0.218535613166331,-0.0291710232934154,-0.128132770940105,0.14973766245114,0.00668135381563009,-0.0437569848916034,0.0389491080985697,-0.228002144366549,-0.175100645812312,-0.162709129005376,0.132275043197686,0.466231065186846,0.219578705278162,-0.0174348585841731,0.145955170210456,0.0991187957769356,-0.122287749862018,-0.232682717589973,-0.498493643735071,-0.492666842215798,-0.39038273163063,-0.191748704082066,-0.276590627034714,-0.283522465351593,-0.199634296321095,-0.197181010007923,-0.317838281157217,-0.345864042214145,-0.0771756730209106,-0.327492852876126,-0.164408932046087,-0.140513974228509,0.163836448416728,-0.165510930459463,0.423319787923851,0.451662146595696,0.462694607077505,-0.301989462286204,0.12038032386352,0.110130082325392,0.241541742669667,-0.0734995742257617,0.0742508787890029,0.0497588889458859,0.0817494068245245,-0.110747728021743,-0.12033535201051,-0.138327603989216,-0.0895444313937383,-0.0787772066308026,-0.0418404937148333,-0.0245586826958646,-0.117792426705147,-0.208568123900598,-0.26897779595388,-0.270965797515974,-0.291763021854635
