"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.198703155217728,0.179506424787316,0.217412186765478,0.0442151428758893,-0.00498980571410827,0.00551515521146478,0.0187656031276915,0.0145122384878344,0.0218476033305243,0.15013268660296,-0.0357546846079523,0.00961328578490537,0.0157128677881206,0.0059646762421133,0.0656939833119708,-0.154986058932837,0.0306429571781258,-0.0077392518609672,-0.00850565251202672,-0.0151762294212119,-0.004609055687184,0.00463224920354307,0.00305350195412585,-0.000452172941163147,0.0251544854029047,0.0100198138149403,-0.00980708379091503,-0.00777169852151562,0.0119723534897968,-0.0589354527567497,0.0363692641472242,-0.0456154307322157,0.00714665518895519,0.115656005182817,-0.117225331864712,0.0112501166738122,0.0285660200919173,-0.0497722153921978,0.0178611946875783,-0.00630643376521738,-0.204906684836296,-0.22338898914659,-0.266879752531575,-0.00365220325922645,0.0297777238008972,0.0508099715464107,0.179328258778026,-0.0123278529930963,-0.194094279279638,-0.207426170516995,-0.273571523750184,-0.0178783031018597,-0.00833428154321542,-0.00912873968631282,0.0355986934600315,0.0203771737716368,0.159291437128594,0.189276450112218,0.253116089563056,0.040830743015552,-0.135554839158475,-0.151832845268963,-0.248925439312538,0.00275711417552859,0.0129875301232722,0.0127016026146114,0.00783661423968416,0.00175258045037364,0.000356556118290412,0.00721773109393267,0.0196953481139872,0.159532720894603,0.134929896018251,0.112221103217754,0.0383770877779306,-0.00930652535810572,0.00888825962946264,0.0179313878573559,0.0429209669170992
"asc_ruta2",0.179506424787316,0.212785312074198,0.226501078723405,0.0258964956014419,-0.0183156148340446,0.0148627706831409,0.0300863133133776,0.012691886556144,0.0347595565481394,0.169020922527375,-0.0335597815364066,0.008317337772875,0.0160705257813959,0.0143695351531435,0.0786914137542172,-0.186912239471835,0.0384197588910188,-0.00789943411354825,0.00225832567620089,-0.0194068131547788,-0.00146582704946973,0.00619032164989122,0.00315096402464546,0.00217030594494781,0.0277091820830839,0.0195576802604265,-0.00927534537608536,-0.00439401404039753,0.0108257451751004,-0.0850968039016994,0.0361589890860047,-0.0589351962208044,0.00618838946101888,0.133989058623356,-0.14717133049564,0.0103765976685009,0.0361986636234075,-0.0518564508901458,0.0177565662378006,0.0179363895878155,-0.22105479110061,-0.246570608401563,-0.350697260013331,0.0148867217953515,0.0487121892891489,0.0707709316769942,0.209611060335024,0.0126640630095724,-0.191054598084421,-0.203583284977455,-0.31742940285959,-0.0101264462525056,0.00147861085118425,0.00117562867865183,0.0449190371502069,0.0292831976535081,0.188210052751258,0.217151943070109,0.283502075690735,0.0531158357559867,-0.159561151285704,-0.188494191503524,-0.352036571724823,0.0017483574942759,0.0132464083605513,0.014424866963726,0.00646996671817301,-0.00367291481084374,-0.00451254321947404,0.00357349115318674,0.0203919033816711,0.172674733151402,0.146491123909483,0.121174407518805,0.0390888194593239,0.00398310872052511,0.0234016644770339,0.0316544726036547,0.056036043173746
"asc_ruta4",0.217412186765478,0.226501078723405,0.390816402461173,-0.000237031415716623,-0.00630119873462199,0.0544210794247262,0.12182616326987,0.0159546072891075,0.0469133448173006,0.32867015953932,-0.055681443830969,0.0307502554755071,0.023388399858691,-0.00485863828405157,0.120966470051915,-0.297308025003002,0.0836717874283202,-0.0101886850640279,-0.0159946959595341,-0.032198494727819,-0.0112763197238687,0.0118846724174454,-0.000964563827739414,-0.00312921727522817,0.0349632254310417,0.0100382171833694,-0.0023445957090713,0.00911180371180974,0.0225129043550457,-0.0748346484877346,0.0390899691294167,-0.0623425278624291,0.0159636540228487,0.293927151798092,-0.185510594926839,0.0128239139092753,0.0479535021475127,-0.0802366928908414,0.0246907745659786,-0.0512358587243745,-0.340094749856969,-0.365154428598877,-0.365099132260593,-0.0300560916436651,-0.0332962151282368,-0.010247715482113,0.191695636677648,-0.0411415337352646,-0.327003203405842,-0.347068467191824,-0.443125066794521,-0.0465594110695352,-0.0279894781789608,-0.0251559672827676,0.0659328868838733,0.0420582615427506,0.396863264485504,0.450119909596907,0.59525591201923,0.0441205631135628,-0.234582122122096,-0.267006578597821,-0.462376007241865,0.0118423274030689,0.0312915949516681,0.0304584063380876,0.0166954666866822,0.0121326895744964,0.00934626268139854,0.0177819997980446,0.0449979678178319,0.278657563329136,0.228558801460715,0.192079290362978,0.0683895548461796,-0.032703406717477,-0.0189068135204207,-0.00685838983321904,0.0572206703115395
"b_tt",0.0442151428758893,0.0258964956014419,-0.000237031415716603,0.0560092851832323,-0.0132609183904662,-0.0136390741285224,-0.0226291033341546,-0.00312968628391476,0.00195734382765672,0.00731499330373846,-0.00917796186975678,-0.00402395762300013,-0.00037224402424121,0.000632289717243595,-0.00408564588868104,0.0126340152141289,-0.00792565267022999,-0.00103814859423998,0.0018194104178176,0.00212925316162916,-0.00179750178081313,-0.000119976326042991,0.00153648683166155,0.00221850281141985,-0.000201886703767761,-0.000978175043790764,-0.00391857722744558,-0.00829668013767842,-0.00283483686788705,-0.00973434361711901,0.00843670867380886,-0.00319882735490779,0.000769053968929541,-0.0320773069580012,-0.0114030908807619,1.60988425847194e-06,0.00118669039808286,-0.00133216467320997,0.00175965260423589,0.0110702508378339,-0.0113570183848582,-0.0136873836443798,-0.0496075967295102,0.00885904011900429,0.0256895907092257,0.02970676909667,0.0397795477843327,0.00487565602402,-0.00199004002423352,-0.00120662831491493,0.00487448096430779,0.00777397218379648,0.006098142938031,0.00645546172920513,-0.00360436527423798,-0.00361639050208127,-0.0423940964922786,-0.0389349957226015,-0.0506532723287858,0.0022849146802415,-0.00662073936508366,-0.00494369883574371,0.00744653988607801,-0.00173520653093843,-0.00527770264019552,-0.00282076395899932,0.00354411560809674,-0.00713081166956131,-0.00748066775836997,-0.00651234808366163,-0.00818077167944094,-0.0110723250710799,-0.00441656901286805,-0.00147630932894665,-0.00232617365135729,0.00612969193196898,0.00821718779586737,0.00860985087929675,-0.0019679057804265
"b_dt",-0.00498980571410827,-0.0183156148340446,-0.00630119873462195,-0.0132609183904662,0.0658547522425858,-0.00677012091963902,-0.0110955067332598,0.00863979792301407,-0.0201264088074578,0.018924864135346,0.0104302308283966,0.00288539871737634,-0.00230241514719365,-0.00954618922277071,-0.020086362911507,0.0467078631556302,-0.01935948313456,0.00405071193813334,-0.00557398345094003,0.000944487911680162,0.0032528926239548,-0.00312589971216175,-0.00326788890510542,-0.00402921384457457,-0.00091932273324729,0.00493325578097923,-0.00336365907081228,-0.00123162951897815,-0.00305041863495922,0.0195514396821422,-0.00818690317814033,0.0053626706188606,-0.000980848643150828,2.08071174733622e-05,0.0713233827705696,0.00102809574085385,-0.0109950454121181,0.0125481273869114,-0.00292021832752815,-0.0357596185419216,0.0236896959943015,0.0243169307690107,0.0728241132806784,-0.0288179997708913,-0.023474462484999,-0.0315099921054071,-0.060307894293338,-0.0276552190582031,-0.00457986885917109,-0.0111193172393304,0.0301452621178632,-0.0185540852048969,-0.0120917890582566,-0.0104888378738262,-0.00606706504289155,-0.0167399838259751,-0.00186175420177598,-0.00752563224986011,-0.0119823132996616,-0.041990686106084,0.0568031134001877,0.0700715582634777,0.129898072090668,-0.00453387366903962,-0.00137073201565754,-0.0018677116492137,0.00528002811634255,0.0057892818024393,0.00702471147186552,0.00334768321446242,-0.00603477647276218,-0.0331041018504757,-0.0280531616978767,-0.0264649095058217,-0.0105679034989614,-0.0207661586749411,-0.0162138392253269,-0.0178885744318276,-0.0306146845288823
"b_CongCD",0.00551515521146479,0.014862770683141,0.0544210794247262,-0.0136390741285224,-0.00677012091963902,0.0961316943525723,0.0571689572981024,0.000112451978420151,0.0135603777063269,0.0799321446207366,-0.0175730319800643,0.0026515255216156,0.00681220579514721,-0.0177176550919462,0.0186975605139823,-0.0485138349401483,0.016520704647862,-0.00051151454318009,-0.00116664243677895,-0.0103363489035959,-0.00458328672541675,0.00545502664214174,0.000963294315651126,0.00104784141224268,0.00686753352573894,-0.00760573945611658,0.00321156419156905,0.00840960546349362,0.00236981871060802,-0.0225509626674977,0.00355183334463558,-0.00135127037876313,0.00249070835466198,0.0407294521463168,-0.0484922865246739,-9.76220409878918e-05,0.00503232971132072,-0.00690313994392884,0.00166985476625722,0.00749300622737857,-0.0769077034507365,-0.0840551890423355,-0.139225231787826,0.00839647879105426,-0.0141544447410702,-0.0116580859427527,0.024929358238003,0.00691677348938611,-0.0262214064647876,-0.0284840501428323,-0.039638111507473,-0.000781574539629829,0.000264186089097939,0.0017751277844808,0.0129738465985657,0.0250606775020061,0.0619060945658424,0.0724911434886525,0.100170560973371,0.0375402110180521,-0.0610487175931184,-0.0609563394493667,-0.068501085412939,0.00571521405546182,0.0059877672243507,0.00956658235979447,-8.64579827603794e-05,0.0110503566903636,0.00321806877690089,0.0047430519613483,0.00902950650024376,0.0247314205486685,0.0261591031386492,0.0231244393521868,0.0154970429541912,0.00543856199246964,-0.0107446188047275,-0.00731468799557757,0.00215872564631472
"b_CongEF",0.0187656031276915,0.0300863133133777,0.121826163269871,-0.0226291033341546,-0.0110955067332598,0.0571689572981023,0.123898849891466,-0.00127260798347044,0.025399989090664,0.128692021441672,-0.0228412395497487,0.0058306576100685,0.00710507022844619,-0.00544338258383412,0.0166390328058248,-0.0463223427978504,0.0200866697914073,0.00134623546725328,-0.00177260113426268,-0.00612068936615276,-0.00858308202223905,0.00481790433910793,-0.0038818352438033,-0.000336916977538467,0.00798006135626489,0.00471758370304541,0.00833830671806336,0.00570808560434503,0.00350195068287226,-0.0136287313178495,-0.00280196085787457,-0.00783203476686734,0.0078250772048665,0.0965775660969508,-0.0426953078456092,0.00115609964336961,0.0194530124138908,-0.0166612718537429,0.00127628537529037,-0.0261913602427027,-0.0946489507562606,-0.0986036996328638,-0.0829738880579479,-0.00648887173646031,-0.0476605165225055,-0.0445444665723689,-0.00480307903217901,-0.0139187424137222,-0.0692883625075695,-0.0760281770346819,-0.108861119018378,-0.011001677479831,-0.00402057272260876,0.00139294716900002,0.0364127096023704,0.00574762571790769,0.122901664356166,0.138391302100503,0.185270735437814,-0.015171498806802,-0.0814716286267419,-0.0738348170596032,-0.121934124248835,0.00355244394649022,0.0110253600415826,0.0140783437438547,0.0107749227333936,0.00340710818207371,-0.00275624216071166,0.00363157265784771,0.0129885809836242,0.0622458702526899,0.0544955488796602,0.0491007827470262,0.0178234850106289,-0.00945037556201896,-0.0229166547461216,-0.0166738245903058,0.00978306575230299
"b_Sem",0.0145122384878344,0.012691886556144,0.0159546072891076,-0.00312968628391476,0.00863979792301407,0.000112451978420148,-0.00127260798347045,0.0169169125887267,-0.00115901797920189,0.0202313529870039,-0.00212063387432863,0.00063132570561982,-7.41637524073849e-06,-0.00305736129225005,0.0116377058374524,-0.0264722421723553,0.00469033791122362,0.00092780564820194,-0.00311143545865457,-0.00181905700695833,-0.0033464574678755,0.000115703572827465,-0.000607462316026785,-0.00047825399962806,0.005075607599658,0.00162843420738075,0.00025516759034394,0.00112477035356544,0.00499127980405391,-0.00184246153238076,0.00614857740050356,-0.00639445543498175,0.00275883380768716,0.0250187949443223,0.000939219293497691,0.00282815809855813,0.00569746787534564,-0.00853983374086197,0.00274687476356266,-0.00146690297451186,-0.0274423998097453,-0.0294921630757448,-0.027362677181639,-0.00331505521553402,-0.00151336304848628,0.00416538976469268,0.0197332495299924,-0.00595581574041531,-0.0403983183271793,-0.043081041028956,-0.0636036411138426,-0.00418919248024467,-0.00512265563616889,-0.00380077168799326,0.00687024743011392,0.00505770233375353,0.032615226224822,0.0347912394643149,0.0416708660206738,0.00515307940113492,-0.00229875396167979,-0.00285237005167205,-0.0238549453652178,0.00299736883323541,0.00415224443593974,0.00377442786723118,0.0010441930111794,0.00478845250386062,0.00365341153253389,0.00476670864209765,0.0102281606743866,0.0313667902591462,0.0277701977089174,0.0223348988122318,0.0106481369013778,-0.00359857700211197,-0.00531645994713439,-0.00343137951667585,-0.00148166972023286
"b_ACC_1",0.0218476033305243,0.0347595565481395,0.0469133448173007,0.00195734382765672,-0.0201264088074578,0.0135603777063269,0.025399989090664,-0.00115901797920189,0.120892563834484,0.103228585034756,-0.031635938672403,0.00421210325494741,-0.00101016242481427,-0.00329684712866123,0.0226188121498405,-0.0454340190865967,0.0102885521812639,0.000614771899073214,-0.00645770587811836,-0.00949507305079775,0.00342332366014385,0.00274602640226584,0.000937806614378994,0.00331497474152571,-0.00251102040194117,0.00174028931866493,0.00657093125209858,0.00236316539322811,0.00514351296686882,-0.0238119252850959,0.0100837186135151,-0.0390948002776681,-0.00228271081318848,0.0746857859642712,-0.00312033665355276,-0.00533606875443697,0.00697492923468581,-0.014966959802469,-0.00502577864327268,0.000541949804435905,-0.0650029347702589,-0.0612565635723623,-0.11078983730686,0.000489173217643612,0.00801909801280959,0.0221107734162467,0.083016530656115,-0.00574236715370243,-0.108295584169345,-0.104787052884274,-0.219115768368215,-0.00382790614575466,-0.00622041978869508,-0.00217346596889779,-0.00553052215485572,0.0223813799903155,0.10597481848198,0.126503857342432,0.142601765965865,0.0398518755408111,-0.0128093644883031,0.00848772920208219,-0.0393119206665683,0.00504072029050937,0.00508930423839669,0.00775462205307956,-0.0083503459553115,0.00544061515186499,0.000739462620151845,0.00345145556455543,0.00320568729302218,0.0517241414331051,0.0337083800786261,0.0323315928648447,0.00852413376888208,0.00241528506802727,-0.0163367979341402,-0.0167448577692358,-0.0222239449109424
"b_ACC_2",0.15013268660296,0.169020922527376,0.328670159539321,0.00731499330373851,0.018924864135346,0.0799321446207365,0.128692021441672,0.020231352987004,0.103228585034756,1.48011584387834,-0.0930326741626735,0.0512122288290675,-0.00561571285226479,-0.0271430602507097,0.121595065007674,-0.290617661207347,0.0586636359541463,0.0457223431663695,-0.0622117173186102,-0.000468872543596986,0.0148718287045133,-0.00157001109433209,-0.0255453438906216,-0.00329722161034454,-0.0310252930770854,0.0733058737297105,0.00160482133043489,-0.0156869937325109,0.00918417714925565,-0.13799642705667,-0.0691401981544999,-0.0763936052183521,0.0255556935153808,0.479412250136373,0.273691352783983,-0.00350509940857775,0.0612071624364836,0.0448434602658429,-0.0273411068472006,-0.222475589709009,-0.489432916252106,-0.546357658986698,-0.83903983877926,-0.123692941092462,-0.27826492388238,-0.33098199853388,-0.318607115360589,-0.162577922855346,-0.371157014794266,-0.435460169462807,-0.194705388723754,-0.135649130456687,-0.0631549743892538,-0.0549818740327842,0.0967090333289736,-0.0710562189866797,0.568842707694085,0.665574611055479,0.882745625850713,-0.27945700534267,0.146011615726151,0.144510397745691,0.561586693797913,-0.0167864423300963,0.0148509737920531,0.0104869766645217,0.0381527187006115,-0.0679331713286371,-0.0543843478116457,-0.0521687442061177,-0.0338584292781938,-0.102408657858794,-0.0414128819533194,-0.0206906908506137,-0.0514042891919882,-0.0907059112151161,-0.155823601156048,-0.165835296827778,-0.213307568351647
