"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.82998127290498,0.372692448884336,4.91016460994334,9.09999718690102e-07,0.390394684645778,4.68751585223401,2.76541286536869e-06
"asc_ruta2",0.804872980585329,0.366131393853335,2.19831730929838,0.0279265017563095,0.366992528851317,2.19315903542934,0.0282959228261108
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.35078689903241,0.575732857580756,2.34620428771158,0.0189657091906879,0.57041947645443,2.36805886683345,0.0178816904975347
"b_tt",0.29639571208237,0.0957304141126022,3.09614990000708,0.00196051224011606,0.097527350563814,3.03910349628982,0.00237283322300108
"b_dt",-0.337817185115454,0.21506630812559,-1.57075828408317,0.116238805218711,0.193964444398668,-1.74164489869656,0.0815705997447405
"b_Sem",0.336854123934804,0.156484342897411,2.15263787863838,0.0313471491775186,0.125109587174501,2.69247250784198,0.00709243827174588
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.421327478465414,0.303824824790125,-1.38674474265379,0.165519612016109,0.296411214926427,-1.4214289380717,0.155192098710027
"b_ACC_2",-2.54767933012619,1.13930468744701,-2.23617032229992,0.0253406164379373,0.742693685748786,-3.43032313188123,0.000602862853662067
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.578513124852247,0.298742035634605,-1.93649723120932,0.052806831332415,0.30330415217761,-1.90736961791898,0.05647274082183
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.366411632432946,0.207517549807276,-1.76568985501822,0.0774478957227578,0.18227568088067,-2.01020580838111,0.0444094109226461
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.0676594276606685,0.250532109210876,0.270062898818765,0.787111864360806,0.243478168223606,0.277887040773739,0.781099072225986
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.252344255937247,0.33347872371375,0.756702715924548,0.449227987327243,0.319073521025665,0.790865550754835,0.429022452990045
"b_No_Info",-0.387259609247293,0.312043080577017,-1.24104533428906,0.214589002134903,0.324636623011711,-1.19290179171597,0.232907837455291
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.121394530416841,0.322851225255839,0.376007649717432,0.706911208990236,0.320961207321547,0.378221815121804,0.705265820943099
