"asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","asc_LV1","asc_LV2","asc_LV3","asc_LV4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5594.6294137351
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5594.6294137351
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-5594.6294137351
0.133023524540477,-0.338976475177333,0.736929425329436,-0.0423822493758053,-0.432405235187616,0.137216724397149,-0.442762255261187,0.342215258569922,0.00477022695122287,-0.123017962323502,-0.176888817804866,-0.245315488427877,-0.0926091597648338,0.004783840267919,0.650852427294012,0.897134526690934,0.687382398406044,0.472268580575473,-1.47791364724981,-1.88219158007996,2.82729487662437,-0.612172771070618,1.48716095625423,1.55057217832655,1.48216737195617,1.1447619360988,1.17170196952065,1.19193671323592,0.825329119630624,0.63115737773478,-0.020159063045867,1.44431373680709,-2.21807287703268,0.0731454531196507,0.748803937109187,2.22136609186418,-2.29400338826235,0.0789602965814995,0.868112521653529,2.11302400525892,-2.27022628637496,0.279184158192948,0.79951987916138,2.18484550673747,-2.34323682484683,-0.370527853898238,0.415425023471471,2.39097917033359,-2.01201735722134,0.347360972431489,0.925970310869161,2.01027486723615,-1.98873662116239,0.403929752996192,0.894699321885128,2.03763976565097,-2.49557829333935,-0.287553306203335,0.505702355236281,2.3172798169544,-2.25040686159628,-0.761296654469334,0.14778731908882,2.16359083383577,-2.21577779989457,-0.896909670496825,-0.16733655158896,1.88998394837836,-2.43324291618774,0.0947430346277545,0.757093341031577,2.12456472904887,-3884.0981912196
0.142527325837743,-0.392978907298385,0.911076013523207,-0.0351643948419705,-0.511595663523265,0.162096699017827,-0.535976205424222,0.395673947053033,0.00643983746646673,-0.154097433768756,-0.215132131814642,-0.293606586715662,-0.111926699214926,0.00440353318448801,0.483217767065574,0.649970554335553,0.823010822337846,0.274246693150761,-1.44467070051777,-1.73112600554612,3.08199135739571,-0.566184523415486,1.54585332201543,1.60150717333697,1.55743713294017,1.1075679064163,1.01712829193904,1.05314581988007,0.780678221523418,0.563547284518277,0.103929531137984,1.47220706642241,-2.25742994006481,0.172102481638854,0.721790153930886,2.25820267271883,-2.34566145356185,0.182221142584805,0.858921868385827,2.13530097299285,-2.3049780256663,0.413078518344324,0.773948291053002,2.21827073501833,-2.39898994091681,-0.363223506427712,0.358618530775844,2.43358854749434,-2.08452678431744,0.437118062528886,0.923506088403657,2.0093379292986,-2.06442056513546,0.516581467809167,0.878043747439636,2.04316704736074,-2.53691759803429,-0.265178313209442,0.463982951986604,2.35622685727598,-2.25089200707059,-0.721496628646236,0.105016361133018,2.17435093044744,-2.24079789351636,-0.887243356646582,-0.296325901852776,1.79746131669489,-2.49702729144995,0.188910621020496,0.731060873893812,2.14307679246542,-3714.02391545796
0.468319995948086,-0.402082680062965,0.969878920390808,-0.0631466327920951,-0.611311810770938,0.130069886104368,-0.420855234524317,0.381601154147686,0.00214520221815903,-0.252060072297359,-0.307560422860035,-0.368576111531025,-0.157151178692206,-0.0135773090502596,0.242647748401128,0.763739633682649,0.7390370065894,0.00552103961529915,-1.07823724665284,-2.08194580704471,3.37943387460264,-0.301967242675317,1.6477353110494,1.66292686221809,1.73971208595056,0.850142110704814,0.979856270291578,1.06572691213113,0.627590300716673,0.199923689261335,1.01884990849872,1.44722294683976,-2.46685755697525,0.283645110427622,0.726144406421675,2.40008408455766,-2.58648517822593,0.351349225557035,0.90158141877831,2.23203244813737,-2.48471488287151,0.641247371493653,0.793746148660928,2.35439168083412,-2.60197385847289,-0.600414637754417,0.27879061012714,2.54709823375304,-2.09211415455876,0.524042002000481,0.993234901853685,2.00177074837132,-2.10014584832116,0.704202675002121,0.878043445977613,2.06412634242118,-2.59205541846363,-0.431153326853026,0.449983973467556,2.47669938985884,-2.15628711849036,-0.615460294748862,0.204184959036292,2.15894910367513,-2.31398625691465,-0.956383523156407,-0.495776716108573,1.34126407697421,-2.75107602793006,0.278004220016212,0.736903119817777,2.20869983539937,-3647.77960804673
0.765070756951523,-0.357868709227241,0.972438690225105,-0.0568103748430561,-0.663380554665078,0.0832112617624323,-0.258057706717717,0.345444190129055,-0.00955190436024946,-0.345153631748587,-0.391122975014792,-0.417400805274025,-0.186126118378147,-0.0280043549647174,0.0844234961578413,0.930278529200619,0.613617250770538,-0.155672769222078,-1.0954602992978,-2.21161971103739,3.39482815543996,-0.315590531398603,1.76487972122938,1.76020874705852,1.88686322064651,0.882126874611614,0.707427979007892,0.766192207798552,0.675209152801249,0.172324508466869,1.12531128162361,1.51890992256317,-2.65604612245369,0.289755906496799,0.810179799542931,2.54730702086941,-2.78362140503735,0.431109429891985,1.00577451848314,2.33877540748883,-2.66131674252936,0.608873322538544,1.03984986523316,2.50028234437296,-2.71562193892901,-0.767211931152655,0.198217871689645,2.64393818751399,-2.15841069854318,0.529279831911001,1.07825381466751,1.99595728799587,-2.22658294601781,0.708393521217458,0.990544541468145,2.08484793015424,-2.58640620655048,-0.528586244813389,0.42701804765463,2.58848769423021,-2.04194537164559,-0.544038413703506,0.266479230994756,2.07474064123271,-2.38359897474499,-1.08557611545845,-0.476790279887878,1.29755998970237,-2.93925091211663,0.283071991539306,0.803352560790434,2.27756913386201,-3618.38335720671
1.17175311916758,-0.242524086497475,1.12749642455417,0.0433886437642011,-0.759923125115882,0.0148749395031253,-0.0420295379939153,0.304786705538077,-0.0383872621152168,-0.52888050722963,-0.559505414680846,-0.510205260967459,-0.227846230607003,-0.0446509661966705,-0.337724550689801,0.786879665664757,0.724385835817022,-0.585632532237041,-1.09812530827208,-2.61403102814461,3.17483023805269,-0.364433005468738,1.97583609555873,1.92887237433714,2.13803078493156,1.03728213607705,0.616344154749066,0.703958205129375,0.789613356163238,0.285116754149091,1.14809406297094,1.66139358371685,-3.02447035812629,0.229236390254392,0.982615712733882,2.8376155154602,-3.15416091936242,0.487055518994676,1.23402003347737,2.55652930449785,-3.01576294308222,0.645672065157276,1.34986337045566,2.80291317309418,-2.91129443536943,-1.08903460303486,0.0611253865666504,2.80446703663788,-2.09915190361629,0.483384381764962,1.23516829019862,1.99062203496028,-2.24712143065207,0.6929881902582,1.16170202556803,2.13120275001122,-2.55413584170491,-0.723591038161942,0.392364806323028,2.78826684663026,-1.79164862621234,-0.429097886529879,0.411885572544087,1.89245770954094,-2.51956351025861,-1.27835986467877,-0.399199721182814,1.37448240732741,-3.27661094212633,0.215868813994971,0.938954479130009,2.4135376339416,-3562.47254640585
1.42605951689805,-0.0813023220550606,1.23888030237147,0.173050010922904,-0.794012545775656,-0.0230788771677274,0.145034489758866,0.292630358244163,-0.0811912817314193,-0.683328605429915,-0.683848873088674,-0.56535825673021,-0.243298802240203,-0.0517777834833219,-0.295213428627754,0.682637143715429,0.88405185278507,-0.520624682206676,-1.04693884841829,-2.82755764698161,2.83555860896106,-0.322715892704645,2.20000474051432,2.11253603079079,2.35851892797221,1.23875885161841,0.484240521485917,0.603281851783739,0.791914842099382,0.480718330803418,1.25896902669255,1.83996145884706,-3.30505012590687,0.227613900728594,1.03312002904578,3.08887389744033,-3.42108586289974,0.51454771003957,1.36761780764581,2.75587513397213,-3.302557038725,0.825230438393322,1.40402467812793,3.08717758954024,-3.10402804504436,-1.22042423704169,-0.0952253229466628,2.91210210001649,-2.0750559233333,0.476864099954746,1.27622091036125,2.00982990062684,-2.27041125350432,0.737384030561053,1.17758543507978,2.18708015905284,-2.60521897476219,-0.754209237597291,0.296828855358174,2.93571772803595,-1.59790966739309,-0.301168801445617,0.423153966511229,1.84354029908642,-2.65742006204114,-1.27588053227023,-0.499800361709642,1.50311444918783,-3.51234701692917,0.198213716453138,0.953756055839349,2.53550617842959,-3510.72965979758
1.64315367259336,0.183535052437504,1.40373380743202,0.354602340040412,-0.814979871575812,-0.0422031071587061,0.333426049654185,0.306997172451044,-0.145017035067183,-0.878517768750857,-0.832095799905004,-0.601561485385884,-0.246993736756794,-0.0491281363424657,-0.133968009132582,0.36572227538835,0.97305980619134,-0.301807139991715,-1.20003054293909,-2.9075212110873,2.55702954845085,-0.458942634918268,2.52395242469084,2.40862387019857,2.65418094429073,1.42357589474369,0.666096287990018,0.449729106578931,0.897705946200678,0.573850609283286,1.58513909091096,2.09216939927725,-3.63842189334645,0.213546000547366,1.09408270524463,3.41841876359946,-3.71889838675302,0.552825429726807,1.49750869766339,3.03626177246075,-3.6329699246791,0.833128993059265,1.66242999757026,3.45877223086891,-3.40813134264701,-1.35148692112188,-0.253784143380554,3.02464865978899,-2.00784800978465,0.524677196971005,1.26934922940515,2.05779108533169,-2.33007359547435,0.707784178952408,1.22690430713023,2.26541474757322,-2.66431399058393,-0.711800211860371,0.217854338815907,3.09695369232642,-1.40766552545407,-0.2407843136668,0.522918913801598,1.955694978836,-2.83817018775689,-1.36839580600547,-0.532938805972795,1.5821142513509,-3.79367589847265,0.170078344678465,0.95392703125523,2.69865817163363,-3483.01664148869
