"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",2.15464750411543,0.323172891579507,6.66716658561487,2.607891680384e-11,0.357922282288246,6.01987529343094,1.74551506582077e-09
"asc_ruta2",1.07728180692919,0.323237195114937,3.33279035708168,0.000859797024628461,0.34142533362363,3.15524860295438,0.00160361399560771
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",2.0627480414955,0.37932463922565,5.4379489972135,5.38973969899104e-08,0.410218417803853,5.02841401548627,4.94553185292901e-07
"b_tt",0.606364535621833,0.210690436425521,2.87798794244836,0.00400220435992438,0.230968058749207,2.62531771235192,0.00865681483743375
"b_dt",-0.416539236245314,0.248287627818903,-1.67764797587551,0.0934158411059127,0.238599302947614,-1.74576887316711,0.0808511217829515
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",-0.0384754587585813,0.27842643031031,-0.138188959703645,0.890091080265166,0.286606954288885,-0.134244679631186,0.893209096404134
"b_CongEF",0.127586943048913,0.303805803098163,0.419962165790785,0.674513092764838,0.324723394457411,0.392909612385956,0.694386241723574
"b_Sem",0.361226491088312,0.157322890164186,2.29608349243602,0.021671107966398,0.120185257420888,3.005580707984,0.00265074239243468
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.36125534686569,0.302350267036573,-1.19482397156935,0.232155812443273,0.29655434591408,-1.21817586504147,0.223157149136905
"b_ACC_2",-2.59195687941859,1.14064827473885,-2.2723541838627,0.0230651265983026,0.756023798794131,-3.42840646491922,0.000607135707001216
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.617510374292227,0.277524875988345,-2.2250631482785,0.0260769992145187,0.269966618832756,-2.28735825548408,0.022174920759753
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.330794406329291,0.208267320510344,-1.58831642678603,0.112214804806374,0.181854424002335,-1.81900664855447,0.0689104157554592
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.00182877799087208,0.255558223517284,0.0071560130826641,0.994290376374713,0.24106764773505,0.00758616101353441,0.993947177308087
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.125097761201388,0.33814885484131,0.369948794474241,0.711420643825443,0.309753141975036,0.403862767634072,0.686313636737306
"lambda1",0.110987354800486,0.25400287368513,0.436953146199713,0.662145327847919,0.274531168990694,0.40427961316206,0.686007115330856
"lambda2",-0.064511698599576,0.184337745747855,-0.349964671304041,0.726365211316933,0.181793784419075,-0.354861959696391,0.722693007920873
"lambda3",-0.169680871342329,0.256037249545976,-0.662719473995364,0.507510235167512,0.26918322873703,-0.630354543774692,0.528462644219543
"gamma_EDUBASICA_LV_P1",0.287,NA,NA,NA,NA,NA,NA
"gamma_JOVEN30_LV_P1",-0.432,NA,NA,NA,NA,NA,NA
"gamma_ADULTO40_LV_P1",-0.504,NA,NA,NA,NA,NA,NA
"gamma_ADULTO60_LV_P1",-0.503,NA,NA,NA,NA,NA,NA
"gamma_EXP_2_LV_P1",-0.51,NA,NA,NA,NA,NA,NA
"gamma_EXP_3_LV_P1",-0.585,NA,NA,NA,NA,NA,NA
"gamma_HPICO_LV_P1",0.192,NA,NA,NA,NA,NA,NA
"gamma_SININFOTRF_LV_P1",-0.382,NA,NA,NA,NA,NA,NA
"gamma_USODISPMOB_LV_P1",0.332,NA,NA,NA,NA,NA,NA
"gamma_EDUBASICA_LV_P2",0.24,NA,NA,NA,NA,NA,NA
"gamma_ADULTO60_LV_P2",-0.154,NA,NA,NA,NA,NA,NA
"gamma_EXP_2_LV_P2",0.738,NA,NA,NA,NA,NA,NA
"gamma_EXP_3_LV_P2",0.349,NA,NA,NA,NA,NA,NA
"gamma_EXP_4_LV_P2",0.371,NA,NA,NA,NA,NA,NA
"gamma_EXP_5_LV_P2",0.378,NA,NA,NA,NA,NA,NA
"gamma_CSECO_LV_P2",-0.169,NA,NA,NA,NA,NA,NA
"gamma_LV_P3_P2",-0.593,NA,NA,NA,NA,NA,NA
"gamma_EDUBASICA_LV_P3",0.227,NA,NA,NA,NA,NA,NA
"gamma_JOVEN30_LV_P3",-0.558,NA,NA,NA,NA,NA,NA
"gamma_ADULTO40_LV_P3",-0.335,NA,NA,NA,NA,NA,NA
"gamma_ADULTO60_LV_P3",-0.428,NA,NA,NA,NA,NA,NA
"gamma_EXP_3_LV_P3",0.182,NA,NA,NA,NA,NA,NA
"gamma_HTRB_2_LV_P3",-0.21,NA,NA,NA,NA,NA,NA
"gamma_HPICO_LV_P3",0.122,NA,NA,NA,NA,NA,NA
"gamma_SININFOTRF_LV_P3",-0.265,NA,NA,NA,NA,NA,NA
"gamma_USODISPMOB_LV_P3",-0.14,NA,NA,NA,NA,NA,NA
"gamma_LV_P1_P3",-0.621,NA,NA,NA,NA,NA,NA
