"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.104255208041265,0.0816738390809904,0.0777464634228566,0.0243249360274885,0.00893351142964885,-0.00951271109901045,-0.00943665488782438,0.00748788211782951,-0.00582851665172786,0.00625519341868497,-0.0066202919647485,0.00108369875364038,-0.00437514045014152,-0.000202836246516219
"asc_ruta2",0.0816738390809904,0.104509903739673,0.0757746251433041,0.0107965641532796,0.00204289855589788,-0.00470299738862538,-0.0022756101775294,0.0030639562925886,-0.000447182643525688,0.0126114432926194,-0.000591429211046919,0.000326958903751716,-0.0011574614518857,0.00813939844256889
"asc_ruta4",0.0777464634228566,0.0757746251433041,0.127789360875018,-0.00473370640932672,0.0190156142317689,0.0127514763616423,0.0533968910177987,0.00270189533643216,-0.00422211091851823,0.0219412236636852,0.00195118295895202,0.00534347354535521,0.00448019480533034,0.000665523684834996
"b_tt",0.0243249360274885,0.0107965641532796,-0.00473370640932672,0.043553983957499,-0.0136642475231905,-0.0102462967508749,-0.0168937748482247,-0.00139296882427534,-0.00318405572907814,0.00173041556692172,-0.00516827758476096,0.000679171610837188,-0.00588812441333231,-0.00504525141377685
"b_dt",0.00893351142964885,0.00204289855589788,0.0190156142317689,-0.0136642475231905,0.0606683271645553,-0.00255700048609423,-0.00313314671351751,0.0115081607999532,-0.00474442663566535,-0.002378661492373,-0.00606993198181864,0.0020389502718445,-0.0057994048448754,-0.00962753664660553
"b_CongCD",-0.00951271109901045,-0.00470299738862538,0.0127514763616423,-0.0102462967508749,-0.00255700048609423,0.0741209528490357,0.0410130707280698,0.000408596688588912,0.00736953009738642,0.0123587491904889,0.00489666277325335,-0.000464182167865818,0.00535178734941519,-0.00518332108308514
"b_CongEF",-0.00943665488782438,-0.0022756101775294,0.0533968910177987,-0.0168937748482247,-0.00313314671351751,0.0410130707280698,0.0876390371517789,-0.000638340405011489,0.00362280149702197,0.0196952304654714,0.00275363163004618,-0.00143542256136615,0.00792574124293245,0.00359862958431977
"b_Sem",0.00748788211782951,0.0030639562925886,0.00270189533643216,-0.00139296882427534,0.0115081607999532,0.000408596688588912,-0.000638340405011489,0.0245766565534584,-0.00341211286163872,0.0044314780580022,-0.0034066294610914,-0.00115527249896212,-0.00234828540602576,-0.00656446862124751
"b_ACC_1",-0.00582851665172786,-0.000447182643525688,-0.00422211091851823,-0.00318405572907814,-0.00474442663566535,0.00736953009738642,0.00362280149702197,-0.00341211286163872,0.0897920229165586,0.0373264938820616,-0.00234578575773053,-0.00313989237217656,-0.00137272340551743,0.00463311397643099
"b_ACC_2",0.00625519341868497,0.0126114432926194,0.0219412236636852,0.00173041556692172,-0.002378661492373,0.0123587491904889,0.0196952304654714,0.0044314780580022,0.0373264938820616,1.2846782445067,-0.00342533369749657,0.00899473776828368,-0.00308243339719166,-0.00997468981028216
"b_SI_CAMFD",-0.0066202919647485,-0.000591429211046919,0.00195118295895202,-0.00516827758476096,-0.00606993198181864,0.00489666277325335,0.00275363163004618,-0.0034066294610914,-0.00234578575773053,-0.00342533369749657,0.0759914241286528,-0.00410002758921607,0.00798106285734341,0.00832615199218796
"b_SI_PANEL",0.00108369875364038,0.000326958903751716,0.00534347354535521,0.000679171610837188,0.0020389502718445,-0.000464182167865818,-0.00143542256136615,-0.00115527249896212,-0.00313989237217656,0.00899473776828368,-0.00410002758921607,0.0427102105838044,0.00109190186838064,-0.00458291878546683
"b_SI_ZER",-0.00437514045014152,-0.0011574614518857,0.00448019480533034,-0.00588812441333231,-0.0057994048448754,0.00535178734941519,0.00792574124293245,-0.00234828540602576,-0.00137272340551743,-0.00308243339719166,0.00798106285734341,0.00109190186838064,0.0642190138720688,-0.00283678095012682
"b_Si_MTRP",-0.000202836246516219,0.00813939844256889,0.000665523684834996,-0.00504525141377685,-0.00962753664660553,-0.00518332108308514,0.00359862958431977,-0.00656446862124751,0.00463311397643099,-0.00997468981028216,0.00832615199218796,-0.00458291878546683,-0.00283678095012682,0.11212863862241
