"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","g_HPICO_LV2","g_CSECO_LV2","g_LV1_LV2","g_EDUBASICA_LV5","g_EXP_2_LV5","g_EXP_4_LV5","g_EXP_5_LV5","g_USODISPMOB_LV5","g_EXP_3_LV6","g_SININFOTRF_LV6","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",0.205605570425897,0.150699483600032,0.104429801538444,0.0786611747010785,-0.00266089182651458,-0.0863729230656987,-0.120455241575484,-0.000656704621245654,0.0460978418847625,0.00901298350761323,-0.0348467422432979,0.0260481420837025,-0.0340859851593827,0.007777256535762,0.368898546592398,-0.0336415584516328,-0.0110537187268443,-0.0787462463266973,-0.0307329021397576,0.133203076537016,0.00797251094733067,-0.0332766101276169,0.403409384186618,0.0182142442881037,0.00349231975267703,0.0556717259776758,0.0560263265355553,0.0129595339094333,0.0662183524987406,-0.00847993893391438,-0.504342388549722,-0.232043874677925,-0.684800082628937,0.025496449199927,-0.203366149053451,-0.168057740537047,-0.0364572229748084,0.0144088027439577,-0.0821622890469084,0.269840951845097,0.181290036112462,0.125834707724835,0.000858056216816228,-0.00634314219646472,-0.00030341482632478,-0.0127810853436154,0.0829266802426478,-0.268441535088454,-0.317093427190466,-0.729337204428426,0.0850373934065774,-0.0895340783868263,-0.158774973467134,-0.122099244824469,0.0801579433590473,-0.51714146475607,-0.585083500555819,-0.500913057120834,0.0138415967389689,0.0255934051659639,0.0399057041010011,0.0236597913698674,0.0657720598377123,-0.260164591152317,-0.310505975863531,-0.490053336104521,0.174167863700164,0.0126797001829032,0.00807138151565041,0.230217112763218,0.0316791432171151,0.0136471230602509,0.00162744776009896,-0.0877452677585026,-0.0774373758127165,-0.0395877240492848,-0.0274917942196524,-0.0044562154397284,0.130245247932903,0.0443198007818777,0.0208072805010078,-0.012820573139794,0.066306945789211,0.294091062525256,0.332886379427371,0.345849034023954,0.314688710830308,0.447074981408442,0.534633472739727,0.524854964394597,0.240077878909973,0.300708711322856,0.372791157999908,0.434098414109729,0.0386323920997146,0.0291802207448202,0.0376903085410191,0.0610089549903093,0.0018774619805644,-0.00057281884063066,0.000580810998262299,0.00935008601205324,0.0109266292924261,0.00450349187181532,-0.00043551193257095,-0.0178783562931578,0.00458813232672438,-0.00319711696234152,-0.0148236489350421,-0.0347159827686144
"asc_ruta2",0.150699483600032,0.153591817142757,0.0956329069498226,0.0479113541727606,-0.00534942336275427,-0.0581867747113694,-0.0799111072921489,-0.00217955439029109,0.0337650140430902,0.0349126201915018,-0.0210288248067532,0.0188906479490821,-0.0184442488143821,0.00788157294457795,0.236423783232054,-0.0208577110170984,-0.00646168861567129,-0.0482287041542843,-0.0192264379499995,0.0841891441708485,0.0112291793038307,-0.0183167662862549,0.272840524818755,0.0101150125035873,0.00194789606856558,0.0362108895300771,0.0353131262967086,0.00701969647912844,0.0434885775052289,-0.00900624131627645,-0.307002062175317,-0.155778905766463,-0.44252164999321,0.0181873172898911,-0.133246595913899,-0.11308240174986,-0.0244035212773834,0.00728188137245892,-0.0566107869984366,0.178340506144838,0.125186556773168,0.0812441496754167,9.96687125010544e-05,-0.00427297936605781,-0.000441502946769022,-0.00956118333718248,0.0439111961147489,-0.169742137456253,-0.198754435579787,-0.451486932776284,0.0468396554597364,-0.0732007936413908,-0.118388750335655,-0.0907404269986939,0.0397079497119313,-0.353173016925545,-0.396419059861285,-0.308001948865405,0.00196341940593798,0.0110941102892557,0.0209340347444997,0.0141008706335882,0.0473810960944117,-0.159867711535796,-0.191361335329421,-0.313734468989088,0.113970763968054,0.0066071180405106,0.00278396158043979,0.152555830244467,0.022430383753454,0.00982459591618949,0.00222880635030363,-0.0564809413357088,-0.0513025647419026,-0.0261268305829898,-0.0185224431263664,-0.00427844654626263,0.0882332632458231,0.0304466397376936,0.0151032867923465,-0.00856388637294993,0.0341047540281823,0.186384073814966,0.213095415510164,0.224640036433378,0.201879831531794,0.289977356745007,0.353044111793903,0.348032187392713,0.150067630952279,0.188950092070888,0.233190106066336,0.274898192395722,0.024164819909108,0.0167458738325426,0.0221493421339795,0.0344267607660333,-0.00103362789115583,-0.00337286696111176,-0.00211170037072264,0.00330226440770601,0.00664249291904178,0.00203358809315955,-0.00207904306993862,-0.0154747654703695,-0.000540269359527778,-0.00631787183864969,-0.0172062859300343,-0.0314321835655051
"asc_ruta4",0.104429801538444,0.0956329069498226,0.179838746243667,0.0097071395879165,0.0170224280348705,-0.0138640902476242,0.0199444603608631,0.00337239861388656,0.0132482775116789,0.234694924698052,-0.0129594396884187,0.0222309123979377,-0.00495307358000592,-0.0134455615437454,0.0867661075127953,-0.0022909603924362,0.00170006269992208,-0.0320622662715885,-0.0266266505859607,0.0650763854137373,0.0305594844373242,0.0289785335235134,0.178822355394387,-0.00680653783051699,-0.0140298710900575,0.00174236711033249,-0.00110808069795891,-0.00129868252670773,0.0245224507943099,-0.0191555708885098,-0.10600248916374,-0.0514738642217825,-0.168848956470843,0.0179855466145014,-0.0672877023191689,-0.0797448410267842,-0.0146453049961197,-0.0156464118287203,-0.0309511985945896,0.102433861020749,0.0632413413001851,0.0244005846383112,-0.00138748534662094,-0.00352170563605761,-0.00113071323190571,-0.00795593775991348,-0.00663296023621912,-0.0879606291192693,-0.0986106033544177,-0.16524350465239,0.00339242925435046,-0.0472746208607477,-0.0620655953418851,-0.0538869488870217,-0.0146253686256566,-0.18412171373943,-0.196858789608655,-0.188618836049217,-0.0180065730550222,-0.0101664603666963,-0.00421528077162201,0.00787275170048409,0.0730266054189666,0.000966176180098259,-0.0115275250847521,-0.0819292289148819,0.111159112479749,0.00619624317616324,-0.00674868695089566,0.0468797679239198,0.0266502214379295,0.0192902279923862,0.0163712098397338,-0.00186745340427855,-0.012916181396109,-0.00655271765252724,-0.00790194745522391,-0.0147538543838973,0.0417083773544352,0.0142082225969942,0.00704590931515952,-0.00498850327055566,-0.00957020014638058,0.0777796122676256,0.0928936017399358,0.112713797069681,0.0254954280564865,0.0548501516572279,0.0937550775682275,0.112284948475408,0.00368371837287666,0.0154108035057347,0.0241214266147599,0.049487400556298,0.0057134058210697,-0.00023473407431619,0.00122988176047842,-0.00342733892319502,-0.00759033449064844,-0.0107354374229119,-0.00731468155810073,-0.00569089409351035,-0.000914748541625934,-0.00353665557788081,-0.00798831727032408,-0.0189377242260615,-0.00854920283255117,-0.0139788609145397,-0.0289148582025584,-0.0388113561811788
"b_tt",0.0786611747010785,0.0479113541727606,0.0097071395879165,0.0733035963125103,-0.0189917419133084,-0.0453325761428845,-0.0663152378361413,-0.0063166832702365,0.0204836098876203,-0.0192428441726907,-0.0168158289430904,0.00984915343191665,-0.0216555436811721,-0.00248897909072511,0.150498048844209,-0.0122448239105518,-0.00908894063859534,-0.0287964051715061,-0.0163988186569497,0.057293638664463,-0.00404672635725204,-0.0277096489257982,0.190234142363502,0.0114048098426291,0.00407663208305359,0.0277061186368021,0.0291086051293501,0.00719971502282368,0.0323321094168271,0.000374381434607673,-0.252599285188295,-0.110663923993888,-0.312976102007671,0.0126817264475365,-0.0979391694849684,-0.0760622821194263,-0.0171208649906448,0.0154931266649299,-0.0380143880788403,0.121477235387977,0.0700281055530119,0.0634411478808045,0.000524959751589214,-0.00272656375465118,-3.14388877575673e-05,-0.00529879285387715,0.0516075111641127,-0.126260698209447,-0.151442617071207,-0.356871123083945,0.0497709119199187,-0.0330652456078688,-0.0663894045695786,-0.0546838662061034,0.0560582383069553,-0.215770779236113,-0.248125812063308,-0.221156343320429,0.0131855237404411,0.0189197243514506,0.0257514114401211,0.014937272655891,0.0179075870158773,-0.139838516187207,-0.164843097108025,-0.246194053085752,0.0681573718472053,0.012751492701417,0.0131560995365795,0.112753211234429,0.011254174033988,0.00334125210575135,-0.00233125650898902,-0.0442232056885986,-0.0439588041572503,-0.0229845367790998,-0.0139766682590492,0.00330202355901301,0.0609535577900323,0.0212310818269389,0.0101038643041729,-0.006210130922791,0.041294018151597,0.14174096065639,0.158612447041139,0.162328447220852,0.15240867207703,0.207121326529636,0.236829893189907,0.227432866489066,0.125271657164633,0.156797721605854,0.194365150511894,0.223855137607764,0.0187073421970167,0.0146065258253411,0.0176941805711496,0.029620949139227,0.00376158123870129,0.00329223793350977,0.00336051470202068,0.00723395150670645,0.00589670430110699,0.00322148123505719,0.00145384977434488,-0.00571220982433046,0.00499794701157949,0.00183139636965889,-0.00133554864497153,-0.0100304134966809
"b_dt",-0.00266089182651458,-0.00534942336275427,0.0170224280348705,-0.0189917419133084,0.0604975551101961,0.00156562965598203,0.00030149846767225,0.0114497559475983,-0.00342021064353572,0.0399342191079482,-0.00378734400680407,0.00241189736092449,-0.00268735127326647,-0.000471514500845256,0.0162895137037337,-0.00225717283518995,0.00127746709008714,-0.005861400866183,0.0021832472100955,0.00301772341916824,0.0080838748153602,0.0162567107548495,-0.000662336728601448,-0.00402657329700854,-0.0060207202343396,-0.00336921772873677,-0.00404437268598935,-0.000167835539621651,-0.00452612570562019,-0.00219684792440311,-0.0177709580468848,0.00517398302338204,-0.00490345437065805,-0.00458357538639663,0.00452730250846671,-0.00510576038505222,-8.99868979717898e-05,-0.0085822399052057,0.00377771733960917,0.00643146619154845,0.0319509411471587,-0.0193940541325663,0.00020262900584304,5.23033787500396e-05,0.000397898158286714,-0.00012677892554314,-0.00952541635337929,-0.0250659246504183,-0.0254243290611131,-0.0207405489049901,-0.00608392302694943,-0.0026928529693771,-0.00203165565167164,0.00345597783977674,-0.0108725692588747,-0.0154864970345889,-0.0152042130047807,-0.0193336932746559,-0.00179406414048402,-0.00638477013747603,-0.00766964560602519,-0.00590565885595385,0.0215895963258601,0.0348855472623936,0.0373930724209774,0.0356196348222179,0.0265218236908805,-0.00519683426504722,-0.00786769346874039,-0.00503165519853429,0.00497160247357459,0.00488500319964869,0.00462564743563556,0.00418081457080535,0.0107396481796388,0.00583546075513383,0.0029727950236468,-0.00508012236589067,-0.00511889322202969,-0.0027823971007711,-0.0025006297027051,0.000749382087015658,-0.00563029594453316,-9.6333369741197e-05,0.000819687646890079,0.00321510631054176,-0.0026157839498703,0.0195765086113362,0.0442723670735395,0.0588561807216997,-0.0252960427371457,-0.0358935179414539,-0.045161184794211,-0.0533108319553899,0.000379577330519603,0.000280846487994102,0.00172748170651774,0.00318449036854834,-0.00194583877585201,-0.00243601097860191,-0.000993787786892144,2.91661410601743e-05,-0.000137920697094678,-0.000299626237255073,-0.000528452074436273,0.000268084990945712,-0.00147951241787603,-0.00200031979476385,-0.00333082008858112,-0.0035129778246735
"b_CongCD",-0.0863729230656987,-0.0581867747113694,-0.0138640902476242,-0.0453325761428845,0.00156562965598203,0.134702080462883,0.117835063036959,0.00651713359547855,-0.0306378341068208,0.017261636570936,0.0235020800279158,-0.0172415841431826,0.0293371871639174,-0.0238867568644399,-0.266471280124047,0.0181116840662148,0.0131903318869937,0.0678822599317439,0.0272143536266353,-0.102869739931635,0.000775410734127203,0.0329766274553523,-0.307941953446051,-0.0191984001913514,-0.00578643856136586,-0.0420407692987536,-0.0456948254178572,-0.010821882257015,-0.0523329370431612,0.00459360930468563,0.404019033675947,0.140735881704771,0.498879455778042,-0.0197559550743678,0.158672043305434,0.126024735025532,0.0277187522494118,-0.0190349652691991,0.055742132013409,-0.196982195663301,-0.102145574145517,-0.106317169740108,-0.0012537919154086,0.00464723708000722,0.000240151101332051,0.00754363954101627,-0.0731713743583554,0.21062154981623,0.251974021077225,0.585680763586994,-0.0762557342532378,0.0296871715080281,0.0753948092236317,0.0421289279492713,-0.0769568273680701,0.352686932327017,0.403753543536609,0.382779169744969,-0.0199899231437985,-0.027396172044664,-0.0374726888296916,-0.0200718487629475,-0.0410068211560682,0.218075433140339,0.260960680551337,0.389309404795683,-0.126465628104597,-0.0214330650103517,-0.0178733273442959,-0.165311247066974,-0.0195583243049848,-0.00767593859265065,0.00148539875861363,0.0633810741279343,0.0618618978440051,0.0333786721784718,0.0218311260021043,-0.00179843436230294,-0.0857849533477928,-0.0280466981392805,-0.011671819278259,0.0104103184871211,-0.0613335853313881,-0.221578851072179,-0.247504638984199,-0.253839683457109,-0.23717773486348,-0.316993734478092,-0.358422318833621,-0.34222067667703,-0.202541925114749,-0.254009578839605,-0.317508553907197,-0.365046077590709,-0.0286102532607736,-0.023438614913578,-0.0295690130082571,-0.0530755151018514,-0.00454583209916656,-0.00421732108821106,-0.00398756994103917,-0.0109039075458173,-0.00816093270389744,-0.00449360730313122,-0.00208377107401672,0.00804808389120551,-0.00830235445818067,-0.00366785662249157,-0.00153996022509861,0.0110595527444013
"b_CongEF",-0.120455241575484,-0.0799111072921489,0.0199444603608631,-0.0663152378361413,0.00030149846767225,0.117835063036959,0.197881367996229,0.0073549621735109,-0.0479074181568384,0.105139951037401,0.0255503356739052,-0.0231360484320756,0.0394971398652451,-0.0198182454069684,-0.345901476348838,0.0256759607419405,0.018664918615875,0.08818733780998,0.0337977897358789,-0.139471397309813,0.00341917404009421,0.0505083578276914,-0.38902055178036,-0.0307815860916219,-0.0189316295724173,-0.0694607955866792,-0.0730039786217844,-0.0153479800515343,-0.0710896259718698,0.0057834143328546,0.554784290389265,0.207570177525882,0.702120534158874,-0.0193512628201027,0.211226246646106,0.157518220440026,0.0356376087105099,-0.0240813711221083,0.07586791342043,-0.269693233559823,-0.142343592567607,-0.158699996583124,-0.00175945359770718,0.00611850477906512,0.00065301775515538,0.0105175721488059,-0.0953016476984774,0.289620133655004,0.344871610612674,0.810652774449108,-0.099401124222665,0.0544533186445696,0.120183057328708,0.0626965472286247,-0.101964613119773,0.50218262594873,0.575022326141041,0.454485487068407,-0.0265535270332835,-0.0341552528404798,-0.0474368848973864,-0.0194365589281279,-0.0425694452189591,0.32121347431829,0.379232860737713,0.558967412966967,-0.155777846676456,-0.0257043820695893,-0.026836785933774,-0.257124266748449,-0.021920245642239,-0.00693815028201076,0.00619090366634726,0.0970118133489709,0.0830018948620932,0.0447464826282933,0.0295106383343842,-0.000737295658938723,-0.117920509390153,-0.0373635447023758,-0.0149633443491184,0.013931698888562,-0.0823993426010277,-0.304845687421991,-0.342263867090907,-0.350848616101275,-0.365304561273014,-0.478962915501976,-0.535357981663008,-0.5019028211424,-0.315478440271954,-0.392134416073108,-0.484585902277897,-0.551092563125587,-0.0403501617014342,-0.0319507783327649,-0.0407339637480612,-0.0728374467424207,-0.00579131058908983,-0.0053371238375307,-0.00445613157222195,-0.0147820254284482,-0.0116073127097312,-0.00584634622648611,-0.00262432213621238,0.0118815331299406,-0.00969730806286025,-0.00365143827204543,-0.00159468023326484,0.0161621672213095
"b_Sem",-0.000656704621245654,-0.00217955439029109,0.00337239861388656,-0.0063166832702365,0.0114497559475983,0.00651713359547855,0.0073549621735109,0.0250798264187913,-0.00368005098319667,-0.0282228280217319,0.00328051134792648,-0.00274907933513166,0.00109436127402707,0.000513391082589639,-0.0187814606332791,0.000787407970685623,0.0033058881044694,0.00105836749534011,0.00316165405140302,-0.000924494351922003,0.00215050051345271,0.00686428416066544,-0.0316656483968002,-6.54198061366801e-05,0.00178944700152332,0.000816807473484412,0.00054187187441822,5.72895048708838e-05,-0.00671724336235812,-0.00122400798725071,0.00726702027820024,0.00677530846286122,0.0101273470105021,-0.00733048531843687,0.0144423969456242,0.0070081454684933,0.00239655493842635,-0.00816361651314682,0.00581667182655115,-0.00551201126109457,0.0114445352849342,-0.00794389607844906,0.000778134536187677,-9.80748965885104e-05,0.000210520550132057,0.00125579165975477,-0.0107403182947857,-0.00319525162998035,-0.000145980828206053,0.00517875886240404,-0.00846441361223164,-0.000907026620469987,9.69546778003429e-05,0.003154446329629,-0.0123950799688187,0.00188152157994079,0.00254087227081452,0.0122116902763506,-0.0004909505372721,-0.00475934392490859,-0.00679892000213497,-0.00900318474531027,0.00101798479026923,0.0212583819183644,0.0255779077758668,0.0364487011792219,-0.00404111613182131,-0.0253667450489395,-0.0240009219258907,-0.0185517521255897,-0.000770331745978942,-0.00033262288983883,-8.63955500512943e-05,0.000672338302483214,0.0126769955615139,0.00633260976175264,0.00246987621839043,-0.00506575633608872,-0.00687440485316195,-0.00332621435149746,-0.00267346270855856,0.000808495142539016,-0.00642774445060431,-0.00888203407920404,-0.00940213301657979,-0.00885539052215806,0.00797160818526946,0.0165560785503415,0.0243564638229231,0.0272800876471659,-0.00320449938483384,-0.00776438261845165,-0.0117427303280396,-0.0174316870418527,9.02774138944236e-05,0.00166510485931131,0.00292714185589534,0.00699352450523002,-0.00195993900910303,-0.00196225088206124,-0.00151591432367401,0.000139254752308022,-0.000398818356437503,-0.000404523711590972,-0.000120009016593922,0.00110553055123071,0.000203768882027493,0.000818777779205598,0.00143568926446814,0.00218614332733229
"b_ACC_1",0.0460978418847625,0.0337650140430902,0.0132482775116789,0.0204836098876203,-0.00342021064353572,-0.0306378341068208,-0.0479074181568384,-0.00368005098319667,0.112961365969936,0.0394416344126277,-0.0225359780179884,0.0058474177077634,-0.0204640517072639,-0.00227890441136608,0.143966683186412,-0.00814537441229751,-0.0099349528844456,-0.030010041539481,-0.0203987835332707,0.0540089369552515,-0.000116642041605326,-0.025985366940552,0.202516990184414,0.0122024740306979,0.00623511848290821,0.0268138408663153,0.0260250628479881,0.00514499370810579,0.0364121138586519,-0.00534097638369713,-0.212148172189892,-0.0938094416934962,-0.254786931978537,0.0214502780442378,-0.102037360849283,-0.077640010978285,-0.0173607884702435,0.0118078910867439,-0.0345688268295736,0.113400321745503,0.0222942467971211,0.0807416719975792,-0.0014049392056689,-0.00332963850176821,-0.00121960276353286,-0.00627598609258188,0.0414264715388652,-0.108765541059201,-0.131908082156539,-0.30849296312109,0.0410743204692245,-0.0313221417496182,-0.0592954062321143,-0.0572406557517987,0.0458160085887796,-0.17962556954312,-0.204991619037351,-0.196564924282565,0.00691718308002189,0.0176852770966101,0.0259519647733907,0.0202234195177239,0.0158448774896987,-0.145930588735128,-0.174762426104555,-0.262387485941863,0.064014129078372,0.0255340055102064,0.0225956745785514,0.0949864027961244,0.00921524479151218,0.00384776418744193,-0.000852414443530241,-0.0332993977461133,-0.0395868600769026,-0.0205055265348773,-0.0128676287472418,0.00240285975558882,0.0500095471604736,0.0163140360841742,0.00735807736737316,-0.00597968187096932,0.0329119046286607,0.12466582929348,0.139780116568129,0.143378716986467,0.120063450712681,0.134016710406327,0.134774538136226,0.116258272642628,0.127186325158636,0.167653729033216,0.212040634845824,0.252238145582955,0.0128920422779459,0.00692591617123295,0.00672560191992338,0.0110981440381456,0.00231249436894492,0.00189642003725276,0.00121311432836332,0.00273290607761928,0.00333855379867232,0.00108240483536984,-0.00098600024509434,-0.00918285691602888,0.00239402911998385,-0.00109244341933687,-0.00451046843745834,-0.0132770207688866
"b_ACC_2",0.00901298350761323,0.0349126201915018,0.234694924698052,-0.0192428441726907,0.0399342191079482,0.017261636570936,0.105139951037401,-0.0282228280217319,0.0394416344126277,1.14601677969703,0.106735480236319,0.00473738183087974,0.00392692038422014,0.0876857425466117,-0.856905900835323,0.214647188491677,-0.0201326371070235,-0.0265706857129244,-0.0330448046220659,0.0643797285402926,0.0420658663576906,-0.0279485115322134,0.229880560926643,0.0224506024840798,-0.0115026028058728,-0.00272161682974601,0.00143819647293382,0.00192273836735817,0.0322032039837024,-0.0219371602626072,-0.833520553220542,0.0858222789671081,-0.0914816831849348,-0.071905667925235,-0.0255326685651282,-0.0773088130926612,-0.0172192874983161,-0.0324762720190131,0.00951461267025026,0.130065475244122,-0.230496728632153,0.136743838689094,0.00597132785168116,-0.0272230014568703,-0.00295722344757608,0.000691208513415958,-0.0154598879775499,-0.627010512811105,-0.744906750866986,-1.33305482268874,0.0559929947901594,0.0547138682656898,0.0827570006746266,0.198574899426541,0.0890683010867274,-0.0104986069491039,-0.0166089054284849,-0.230859608264685,0.0292948921747813,-0.0434154244146721,-0.0613221942898724,-0.124536106922806,0.0397087985786094,0.21871790794765,0.220351159245706,0.291633876623381,0.0936211688491711,0.0385611479198137,0.0622022597218515,0.242305235593341,0.011117115134331,0.00518959371174863,-0.000392458357969207,-0.0224048658108545,0.0193264912382307,0.0150680386278904,0.00664549508117149,-0.0234425669923594,-0.0162753637624788,-0.0209292189313239,-0.0241166526728697,-0.00452051285920973,0.00711589391403851,0.0826356546028945,0.0945745038193923,0.15567022224351,-0.0793198534745081,-0.241575006401107,-0.414272332969973,-0.366333101677363,0.103393425146548,0.188865005658775,0.274982656573199,0.341096468378689,-0.000522056138028142,0.00470549784615978,0.00228003292116837,0.0650374048580615,-0.0313698059808048,-0.0404069055271162,-0.0424337192070451,-0.0208916416638412,-0.0196439994539007,-0.0165764451901551,-0.0168135292759679,0.0082746034238009,0.017433287555547,0.0158070676362035,0.0317932569655202,0.02333603482273
