"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","g_HPICO_LV2","g_CSECO_LV2","g_LV1_LV2","g_EDUBASICA_LV5","g_EXP_2_LV5","g_EXP_4_LV5","g_EXP_5_LV5","g_USODISPMOB_LV5","g_EXP_3_LV6","g_SININFOTRF_LV6","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.991883623639532,0.762711871179017,0.985645032219912,-0.152408416938216,-0.98034243884186,-0.984103709495389,-0.454898969046598,0.950519119047753,0.361260602829751,-0.926178805372094,0.922567494887442,-0.946404931229814,-0.114582420112643,0.969142833989816,-0.894873215589971,-0.830787467390277,-0.958447802693801,-0.962848293588136,0.975765676411807,-0.387982308562137,-0.900067439287421,0.979662624573361,0.932199407775809,0.471927785417216,0.962550924785664,0.96839705035194,0.932782173938691,0.969432357603243,-0.555051644866721,-0.969563379906841,-0.971602763870316,-0.987141443530413,0.87096056806738,-0.984366102345484,-0.980852930657313,-0.979118643362102,0.816487363828007,-0.983284957930909,0.984631527523336,0.911802167126361,0.984545083117626,-0.348477548951227,-0.701398765290009,-0.206464136633902,-0.932190800914405,0.939966304440735,-0.960983119152592,-0.96151263079525,-0.971348049236009,0.952635607522585,-0.886936653108298,-0.957657716686412,-0.897726577520635,0.910640669067399,-0.988307750876527,-0.988460398480577,-0.97210655739725,0.762789338810631,0.885037345118439,0.921218283724218,0.776230184679927,0.901805983850954,-0.978578265836686,-0.980254414569866,-0.982860838045077,0.973445187601998,0.874277457048067,0.863031641851441,0.970115754296618,0.949852158283642,0.766117566181346,-0.207055124483428,-0.955351644628284,-0.954965887177345,-0.947453322432147,-0.943404619493775,0.492573320888679,0.981054448336183,0.961734721381364,0.893548414862357,-0.897890251749717,0.94885658578741,0.983794627731746,0.984918338697864,0.986098959669282,0.972900126115516,0.965692149944257,0.957555095705833,0.950523579162445,0.982595459198037,0.984844395531443,0.985153748987441,0.986333289270671,0.971213069367702,0.895854412089357,0.868244705905171,0.85428752928989,0.636888202654179,0.503855441547181,0.245299919916966,0.485019440108758,0.888035564878144,0.680130421745808,0.25369053256968,-0.814499909191008,0.666415859671719,-0.0679525700346644,-0.396977320050232,-0.828521499447083
"asc_ruta2",0.991883623639533,1,0.787063431327749,0.970313483302552,-0.155797559020246,-0.964717871959302,-0.969687686121456,-0.447361894128019,0.939524298712101,0.346613477645645,-0.904889133159973,0.907876919681792,-0.928031444240582,-0.0997659389001541,0.949562286093699,-0.876623674495954,-0.808766972174871,-0.937531301823249,-0.943451456023312,0.958739756604897,-0.351919194077453,-0.876130724108949,0.963597491030214,0.918288415678726,0.486492566547579,0.952228404172665,0.956499989040313,0.91159877132833,0.953635931947159,-0.572360734211187,-0.952149226648413,-0.955371726613513,-0.972299344097563,0.847311832950372,-0.967244097534717,-0.964865602052637,-0.962576543020528,0.78644586563822,-0.968396843176879,0.971261398877533,0.901861310329447,0.973067604537731,-0.33651016407235,-0.687029047929966,-0.21036963024974,-0.921691813228061,0.911332614730698,-0.946875014648981,-0.946480103483571,-0.955275734318376,0.927817950002688,-0.888341557224613,-0.949756964914601,-0.882892005474311,0.882086683999432,-0.977482292070584,-0.977055771885739,-0.953774033451556,0.722565863645101,0.852000096073639,0.892419219820373,0.744467947077061,0.893133086419257,-0.959783627533506,-0.961872625901482,-0.965617196857358,0.957378200433956,0.851001005820176,0.839294636597986,0.956796795540748,0.935578403510527,0.761525820695966,-0.191034680897832,-0.938064236820288,-0.934722951072333,-0.927449806420896,-0.927328894831981,0.45615350622748,0.966539629965211,0.945911522710249,0.877588298494533,-0.889038911456139,0.922873473587991,0.96742048488552,0.969144542893272,0.971477862839834,0.960626323996566,0.953029995785395,0.945325895382661,0.9385250593477,0.970085968323677,0.972302444333865,0.972366388322454,0.973695984095342,0.956983570316868,0.881268139719421,0.854109266438806,0.843771247987577,0.606776451795133,0.473200499471379,0.223148905065797,0.463053089595058,0.875015063885213,0.664233611877996,0.237656027547186,-0.812754855385539,0.635517341088477,-0.0989576988712553,-0.422420826622755,-0.835077010211105
"asc_ruta4",0.762711871179017,0.787063431327749,1,0.692507859303978,0.124758878357503,-0.68706683828536,-0.663520237211166,-0.364724813503572,0.680561684612996,0.34767253593221,-0.568559267620499,0.672481121878979,-0.66468700186764,0.0265212546185516,0.628929634975949,-0.494882666086664,-0.535873048383326,-0.682813220241784,-0.687362420032112,0.712699428083874,-0.0308293724027942,-0.560254102633617,0.715341362616213,0.652339804093067,0.315977236906268,0.684142552906449,0.68075655013643,0.631799833275099,0.71448040436247,-0.642939566329659,-0.717431838836146,-0.656272516963344,-0.708816661296355,0.567268373449418,-0.698514207254981,-0.719210343180579,-0.713821852141748,0.432542201712852,-0.702995042440205,0.730707319139639,0.62020370770495,0.747229346794097,-0.234383667246942,-0.617340963343105,-0.224714343613953,-0.698373804139015,0.607655473508001,-0.750216659017878,-0.744354704399752,-0.728313227534703,0.656665187337618,-0.626438495766222,-0.667055509403182,-0.565734353027216,0.596757941130499,-0.728126212217365,-0.725971712876097,-0.717228024782921,0.444250810105816,0.524090244781325,0.574839664666549,0.440641026875848,0.765884439530547,-0.655154082192289,-0.66195284398237,-0.673598262950148,0.736435290997633,0.579628603780813,0.566363145659957,0.721635580275207,0.741761894332403,0.690123544816912,0.00659463934508134,-0.660066024584968,-0.635354789013987,-0.630673011383197,-0.662256930330929,0.113292106496022,0.697850834312259,0.67463697466935,0.59384820826605,-0.679081990782038,0.629192560973581,0.707240490563583,0.710655930301479,0.723324141429607,0.683852331730364,0.666830482897032,0.655924781756383,0.655946797364577,0.712038596918697,0.71990828571165,0.725122662535437,0.730839995017278,0.680335340354074,0.620889986455086,0.596956050410098,0.608780569728402,0.258955935806025,0.127871714923529,0.0509855626916669,0.297643833203872,0.610115393623165,0.415081446679118,0.0745361995841745,-0.655181998826751,0.453510652963037,-0.117297288938583,-0.385302869588719,-0.657234456645624
"b_tt",0.985645032219913,0.970313483302551,0.692507859303978,1,-0.236405259337346,-0.978216004021644,-0.981454135832158,-0.500887781313783,0.950220643703796,0.365621316603247,-0.934846972939461,0.916694599055659,-0.94869835405082,-0.130212491819423,0.970793244824834,-0.896886728465032,-0.851716225728877,-0.960745932989678,-0.967457056970958,0.973556017450715,-0.447459763028882,-0.923629418620742,0.977310726331116,0.93157962018337,0.458169951158774,0.956604401938366,0.963941221482166,0.941402068273044,0.966706680152642,-0.507786809049274,-0.97013228925308,-0.976080105063707,-0.981526112716155,0.888644850777308,-0.98232112054348,-0.977477663504081,-0.977122284851089,0.849919893752056,-0.978615126324545,0.975386095667076,0.906737513080152,0.97024211764264,-0.35593809260529,-0.693996852786149,-0.195922890928656,-0.921351482139696,0.956605529489025,-0.955818875248774,-0.957843859987389,-0.969428440086648,0.963401688017197,-0.877294878248093,-0.954917221291449,-0.910103113736999,0.932606620357366,-0.975121067301585,-0.976664174028449,-0.969667653779232,0.807226349504348,0.915481497384497,0.943571577234561,0.806757427252595,0.877285589975418,-0.978857832826441,-0.979988774399165,-0.981117206596987,0.963279372796366,0.883424790448125,0.875497910171858,0.962533659540448,0.934233334322133,0.722890647306659,-0.25179574118686,-0.958548759024019,-0.963963546927684,-0.957951289833753,-0.948244739714821,0.536727230345713,0.976413454115432,0.959489488916563,0.895485979588662,-0.88948212908075,0.963110307339853,0.98050544927279,0.980719364770895,0.97957939924951,0.968655194384958,0.963531745464646,0.955343392424442,0.948676233144714,0.975201564635555,0.976716738358276,0.976368780019103,0.977189021257554,0.969967034694341,0.90276435924743,0.86994224001994,0.85175042861881,0.679059334624217,0.543976674954776,0.275345145404916,0.494382990334929,0.880297868081723,0.683274355454869,0.270885745268368,-0.799862737324611,0.697573468240073,-0.022941684424563,-0.360617872230783,-0.805801574773824
"b_dt",-0.152408416938216,-0.155797559020246,0.124758878357502,-0.236405259337346,1,0.178766667071088,0.171101004826963,0.413396477641872,-0.244510987624247,0.0608468244344183,0.214384937578038,-0.170677331316184,0.170108182296561,-0.0409595348993643,-0.210046550575048,0.225960706343782,0.21703200978493,0.19384149129794,0.202353078006952,-0.178273808740475,0.263207189209967,0.277961942793776,-0.174532466015478,-0.196288062845198,-0.13269257777715,-0.198255072345189,-0.198012892802168,-0.247094420973052,-0.153133749474341,-0.125766474030794,0.188341130708112,0.250222374281264,0.179711394748022,-0.212432235328363,0.178816859100787,0.174788620557618,0.177545050463164,-0.233419668578592,0.178318583326149,-0.155113471750389,-0.26105379171916,-0.128538101377854,0.0622348292926256,0.0645692125048466,0.0251223706934838,0.14723419368933,-0.222631876095099,0.162097071198707,0.164018844443418,0.181045717930148,-0.199130773181778,0.263828964436929,0.254012549459055,0.309021119206701,-0.231296594599491,0.15387685837071,0.158772538796683,0.167767364339969,-0.282353446053484,-0.277656634566291,-0.247876968180924,-0.248850062935414,-0.0313664556766479,0.193650444494603,0.189367389426865,0.182009039092669,-0.126030262600586,-0.137310004723704,-0.154271694783009,-0.16870812416264,-0.115857901954226,0.0266141810073051,0.250644882610066,0.215518216827327,0.201411427454411,0.205500249817854,0.199868271517771,-0.199295891775155,-0.186330482098377,-0.188290559376822,-0.197597449101383,0.131111325089707,-0.225454040940807,-0.181451821677422,-0.179856043459249,-0.173276471842691,-0.21220681874083,-0.233288110825571,-0.239669743044559,-0.244675197798653,-0.176231178836583,-0.167520898839517,-0.15927232993662,-0.154954241445859,-0.218135319615224,-0.238723631298618,-0.208944473217718,-0.185881104728884,-0.325997954113793,-0.236051290141476,-0.15666523295195,-0.0789613225050128,-0.180312529555864,-0.20624089854501,-0.132368534839041,0.0582091258353,-0.231578580160544,-0.124797651173233,-0.0299033398449545,0.113166988736489
"b_CongCD",-0.98034243884186,-0.964717871959301,-0.687066838285358,-0.978216004021643,0.178766667071088,1,0.989960155340651,0.474770316170972,-0.953639175192374,-0.388781683563301,0.93193335044085,-0.925829220007893,0.959294507915251,0.0902783436661478,-0.981954998486627,0.908007365235504,0.853552431470236,0.972925619058736,0.974576586132814,-0.98295478282563,0.435508406058864,0.917755064864289,-0.985372653028018,-0.943983310300922,-0.44218613837213,-0.951680677110526,-0.967644576447969,-0.942396763209256,-0.97415240451574,0.532620316854265,0.976095842372262,0.974128489308837,0.988691965765589,-0.894412878757338,0.990580401737688,0.986545261742998,0.98564071640669,-0.860910915485713,0.98592111050537,-0.983836048209642,-0.908127476428813,-0.976732523581196,0.370846590045645,0.705415037590741,0.21098102539174,0.932347716910026,-0.959741518335228,0.961282740836128,0.963787975313009,0.975295575323226,-0.968189353126177,0.857942083475031,0.945979785770688,0.897875648399648,-0.932197404837838,0.982809364333653,0.984028474828965,0.981077660491618,-0.803037717429048,-0.91759982759313,-0.945933056229921,-0.808117900184853,-0.894836875178711,0.985388105728551,0.987405270640523,0.988653343677738,-0.975981424711304,-0.899228919784225,-0.885778681054062,-0.965696617486269,-0.945737967430966,-0.745939339785824,0.247709587205577,0.962580795682133,0.9737306033009,0.966153513915112,0.957343727263761,-0.548999848061576,-0.983414246459349,-0.966454302104926,-0.8966905883751,0.908712828436451,-0.96628780382743,-0.988163719887903,-0.987793041921631,-0.986651032708469,-0.972423126241758,-0.966798194234879,-0.958278786375039,-0.951519248731511,-0.97998114971856,-0.981769940583473,-0.981880029073886,-0.982740925742173,-0.975895862650254,-0.904028862359505,-0.873821242524957,-0.857921537092401,-0.683769972529117,-0.559245893287409,-0.280890502945805,-0.510727705026287,-0.892358213505688,-0.697618763119336,-0.270097520758467,0.794938541141689,-0.696536032178106,0.0198933425997566,0.3541738458108,0.798598989424203
"b_CongEF",-0.98410370949539,-0.969687686121456,-0.663520237211165,-0.981454135832159,0.171101004826964,0.989960155340652,1,0.444920018894136,-0.952808719051677,-0.363854134306471,0.940548098172453,-0.928894198315915,0.955465037705214,0.131910155249819,-0.987184775819251,0.92794148076528,0.840580352450616,0.967146115867957,0.971067600529667,-0.980747545732552,0.424703971657937,0.910689939133169,-0.981801861930677,-0.943205794904607,-0.475908086447655,-0.963464370011133,-0.974259766015167,-0.938607245574787,-0.971982163154212,0.540556527561725,0.96972860933064,0.977210519219972,0.990395309750021,-0.888880581926534,0.990056239927396,0.981712203275086,0.981219332066803,-0.852405405158911,0.988132010798174,-0.985530111083839,-0.922316912802219,-0.978475396702502,0.369098069330477,0.692124894767729,0.215175746569406,0.935286866675243,-0.953496826034919,0.955704000420635,0.95755176166168,0.970171189695447,-0.959761439379662,0.88071427821651,0.958991058926451,0.905594117588503,-0.921089795024468,0.989023073909875,0.989611187756484,0.972257903279646,-0.780349261783502,-0.905395260097594,-0.937300978643148,-0.79483548084473,-0.893073153479449,0.990394621818359,0.991467561977556,0.992618850196468,-0.974685780086248,-0.898355451841399,-0.887708335530309,-0.971571974029372,-0.942546355005102,-0.742879818346113,0.240970281853575,0.963988679958955,0.970966420066464,0.963843389423321,0.955420971397733,-0.54139021536984,-0.984370010012992,-0.966568621880804,-0.898934245155972,0.901931724447828,-0.95974623665705,-0.987361327346233,-0.987665231645378,-0.986697023812278,-0.979023535208415,-0.974525403517849,-0.967940479163862,-0.960508004211284,-0.983930723833122,-0.984798229074775,-0.984177049885364,-0.984229212158879,-0.976795762831518,-0.900943438161773,-0.875274954778187,-0.857256397905201,-0.668492653741106,-0.546058013118284,-0.262159000735638,-0.494119325320747,-0.892283022678412,-0.688448867939572,-0.259488529570721,0.80563378751598,-0.663213677288683,0.0678433959253077,0.384756853991673,0.81931345789378
"b_Sem",-0.454898969046598,-0.447361894128018,-0.364724813503572,-0.500887781313783,0.413396477641872,0.474770316170972,0.444920018894136,1,-0.512591613374393,-0.165646429332126,0.420391068755365,-0.492093980974411,0.476139594019393,-0.166512389456092,-0.45317879165482,0.317455018693144,0.518756768962967,0.536311702866455,0.506464223080964,-0.510131611381811,0.342512631889773,0.569884708734947,-0.508561423838119,-0.493893478739348,-0.189979178523618,-0.467004080188759,-0.485505708529497,-0.522780259202694,-0.499761320084114,0.195404938377089,0.552434192045774,0.507425278278708,0.490864398381826,-0.480428156834676,0.492915878530927,0.507452591626474,0.51262166114385,-0.425153260964746,0.473124196045865,-0.484034272459333,-0.464316568048879,-0.460798522123349,0.194949749019619,0.432997422590226,0.155255449582992,0.457065900130726,-0.534078000075672,0.553566832281136,0.555591453883997,0.550333261953585,-0.540142796947024,0.41180908306182,0.484958854504825,0.456296825667164,-0.576399379324333,0.45950907632112,0.467954680381692,0.510767538288133,-0.581064126280657,-0.550566940650855,-0.532020105778661,-0.466004017165221,-0.384611736314673,0.46725789398519,0.468511005234419,0.467273686121308,-0.470608274906329,-0.444842475222385,-0.4518761934963,-0.497223369910001,-0.417030588871884,-0.212649785321951,0.391306358940704,0.535984181211285,0.490599240435333,0.482936677337481,0.485332453980608,-0.21362362926982,-0.482642795107647,-0.457347152653718,-0.380450823574387,0.452060635661864,-0.546387074511733,-0.504009955281496,-0.500011974653811,-0.496675677578643,-0.493307248560696,-0.498710093304771,-0.49621369077486,-0.503727100695216,-0.487259737710252,-0.484404169447595,-0.48541702656247,-0.483368671375202,-0.51276512153062,-0.516334076508254,-0.463123315043482,-0.470982932754238,-0.456296296611736,-0.321849945444671,-0.195307506602259,-0.319721905824562,-0.415347196694177,-0.400404921038094,-0.223058973501094,0.297989925851871,-0.540090839673667,-0.241532324141747,-0.0315489633861002,0.296445377255488
"b_ACC_1",0.950519119047753,0.939524298712099,0.680561684612996,0.950220643703796,-0.244510987624247,-0.953639175192374,-0.952808719051677,-0.512591613374392,1,0.362087143630528,-0.916433680284732,0.898805863316137,-0.937489726909045,-0.0752635713374614,0.954314677455449,-0.871527299812403,-0.838200793858999,-0.95340563680154,-0.953528755056827,0.961547637907499,-0.412696042798067,-0.90217359233406,0.964407207346491,0.930616339627506,0.466199526547421,0.941172324541842,0.950111993868973,0.932118816918104,0.950547698581449,-0.549864904868758,-0.960111767872784,-0.960848879591732,-0.963694111681121,0.872751253726446,-0.965468522617751,-0.965193284695035,-0.965313353161979,0.813345384935892,-0.957295619674307,0.961360473771093,0.89801279193616,0.953306152655763,-0.363776696763886,-0.708837670965257,-0.242226150599009,-0.919619035344769,0.937106495587499,-0.951318387707751,-0.951846468808855,-0.960968797115463,0.945173767426107,-0.875335729972501,-0.94529306686345,-0.905492122755173,0.914055241103898,-0.957533678661937,-0.958910486143251,-0.95656956928124,0.799659735403598,0.897712139834839,0.925198349901456,0.783322774899714,0.873798451150939,-0.95587711195909,-0.956815578930117,-0.959526098036288,0.952301434337801,0.859295202181875,0.856703774030616,0.947899552306469,0.916252377389033,0.702602811276105,-0.259353206666086,-0.950317324234016,-0.938636049393353,-0.932058207124659,-0.925656897240508,0.499471833392399,0.95381994189598,0.930001014791281,0.852532226647464,-0.874394459556968,0.946507659943692,0.964894080181467,0.9649783732201,0.963396542959035,0.956663409477523,0.952131762722434,0.945731678473384,0.939668261815929,0.960637463916044,0.961566008588798,0.961491883001172,0.961311930950991,0.949733805350046,0.881948224095854,0.847068859923274,0.83921120299343,0.646440480136301,0.497147746427558,0.233110624033165,0.453061507131349,0.855549266791557,0.656744669784605,0.24285240132607,-0.788605939102113,0.6807857909944,-0.00993984714426829,-0.358108416777914,-0.796436846914858
"b_ACC_2",0.361260602829751,0.346613477645645,0.34767253593221,0.365621316603248,0.0608468244344183,-0.388781683563303,-0.363854134306472,-0.165646429332126,0.362087143630529,1,-0.420333073790008,0.375871776669521,-0.383179337011636,-0.365097684957058,0.376611892865347,-0.261527844860899,-0.354438968833374,-0.386633061716364,-0.416620521298557,0.384837678899541,0.0129860798674006,-0.384115677249592,0.457427436172382,0.254672927314217,-0.179904985122521,0.229495042341456,0.248075366551068,0.271501736145524,0.456748131215369,-0.255031585851667,-0.377248642096852,-0.326069292018206,-0.350427267223948,0.509512653453495,-0.416747677241838,-0.437727077982879,-0.434167517256211,0.412413739302299,-0.394462098683179,0.378749510289592,0.214787572817841,0.364126358382953,-0.409459892627568,-0.36682836792477,-0.20434287639783,-0.48448292023112,0.421714398067096,-0.37361378561438,-0.386155784548781,-0.364840519044044,0.434782151515736,-0.192149583891798,-0.271809668589753,-0.255310572083407,0.445385465878711,-0.337345148261284,-0.339401196793931,-0.411960619407741,0.285848813976774,0.399838962450182,0.418246925551465,0.480183523103534,0.532944229548295,-0.349525135164113,-0.363833168977257,-0.375759712108269,0.453404084960577,0.599897180097029,0.571616745204416,0.375483654532342,0.470066032323605,0.484105050223561,0.231394859611011,-0.319107911306309,-0.422165322860177,-0.425370025604265,-0.402364674264878,0.306191928440239,0.382706668673067,0.403007652645213,0.400028080680717,-0.376040550145046,0.395057100235711,0.372456078551893,0.371043704921636,0.380127658541818,0.253727533566506,0.240256397991068,0.231676343528895,0.237314082387259,0.293947314301661,0.313072544548193,0.32395741435439,0.339987561826438,0.29859381105619,0.176947031020796,0.0944956307043709,0.0659845774555046,0.274127690287416,0.181020878078574,0.137853750754517,0.0751444000576573,0.266114350953382,0.180126168897555,-0.101869596004641,-0.464154288422022,0.13944341684334,-0.270173318568021,-0.432670586379807,-0.457451807704705
