"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.789327935127033,0.508783094624298,0.416157883772102,0.122770612627509,-0.077097240197542,-0.154557017978988,0.137101227066661,-0.0643662308474503,0.161520513371953,-0.0293308534643525,0.0677693621533808,-0.18707489505664,0.105363428770106,0.0539985348058896,0.00208455023323128,-0.054092426357349,-0.0220365244091536,-0.111414219272434,-0.0676848967652066,0.0780428012251117,-0.0423569251938343,0.326037575446084,0.0214960002846767,0.0144841066679103,0.00191172813025876,-0.212647468214295,-0.0190106068712684,-0.0565812828732946,-0.0184140425024537,-0.161967911762208,-0.269352509833168,-0.0228554836752772,0.0438922771504707,0.0418169988539863,-0.118315871339425,-0.0513503111026,0.116495703560627,-0.12943782161772,-0.145063240635253,-0.119327956218073,0.0481166714274758,-0.229570412102722,0.201990537782001,0.284623458298391,0.370096309844833,-0.148032871012377,-0.0634726259587137,-0.0308521055224398,0.16949491991338,-0.0524302071104585,-0.0443053657428127,-0.0502645696358158,0.0661878443855238,-0.10400266280146,-0.0118330399769073,-0.000246274749632477,0.0262902901692021,-0.0751203321501052,-0.264932001482323,-0.251363783255939,-0.201214711109466,0.0140464356751515,0.00832815648784325,-0.00880889202873616,-0.00258514669269868,0.05862426792784,0.0781183498522535,0.0458557536951659,-0.0297547276639813,0.00759867014595237,0.0208380344806018,0.0196125937389067,0.0062668114632641,0.107712252245593,-0.16041196231222,-0.168604787887043,-0.177556990976117,-0.14730091996126,-0.289403119600907,-0.311145154886232,-0.286798165969469,-0.0762499599973001,-0.0669323572919038,-0.059871018261184,-0.0299049455338707,0.0409032736102951,0.0489076075478534,0.0554264835937278,0.0548467273045417,0.00823546623322532,0.0817477303861281,0.0936149488562563,0.110725242431459,-0.135675948967708,-0.117514396215117,-0.127940209767619,-0.10711610754195,-0.00673485796673167,-0.0203150574647899,-0.0397689036540568,-0.0310159256719224,-0.13816242475134,-0.0384695876893503,0.112582958655791,0.112594482618013
"asc_ruta2",0.789327935127033,1,0.517055432503718,0.207701351002893,0.0364417075095782,-0.0187760576884512,-0.0771821645162633,0.0398659988176182,-0.0200187902329699,0.138910469340239,0.030190428156294,0.0398187918946217,-0.129377333989729,0.158913902113707,0.0181267313679662,-0.00944331845948755,-0.0242113982392881,-0.0163357381005138,-0.0642546280319822,-0.0479942120794929,0.077275648701555,-0.0794322626260921,0.238654535297138,0.010526048789226,0.023030893481902,0.00201732636666595,-0.22970662884234,-0.0330236335360282,-0.0611276154464483,-0.025576584305624,-0.104593660256285,-0.220260738835483,-0.0185911621895118,0.0407351725324112,0.0355747177186215,-0.0861933509618735,-0.0413094984687042,0.115887002502268,-0.092316892235375,-0.175963616917051,-0.155810492447539,0.00970005396568098,-0.180557790577053,0.126836512367671,0.197517038317124,0.272882460514349,-0.120746846453948,-0.0733507567248587,-0.0467455068707368,0.128691148830402,-0.0566842398839547,-0.0442736374379133,-0.0476168492151683,0.0620473166415349,-0.0998446684802008,-0.000464225966605996,0.0102276709645849,0.0359273945674267,-0.0648106114896901,-0.273395720980375,-0.26364251249982,-0.202879603086386,0.0252213477539365,0.00648783932308809,-0.0103290190896947,-0.0156593179999189,0.0633552363628306,0.0746680778035968,0.050685760852711,-0.015267577085458,0.0121670373676879,0.0184465144466442,0.0124704564811971,-0.0070799910651451,0.0570355341682907,-0.12720060549385,-0.126461381344627,-0.125749522739459,-0.102624514792209,-0.233604747898549,-0.254583163992891,-0.232521508675382,-0.0554955563456556,-0.0503339301995075,-0.0472216029522599,-0.0199195795593031,0.0333062031320649,0.0373459054399557,0.0386255678383907,0.0386701799261743,0.0253656871961348,0.07442473407782,0.0857405427542269,0.0997996076452427,-0.0954053340118875,-0.0786841503833703,-0.0889262704585249,-0.073331425787357,0.0142377774922078,0.00275149737520721,-0.0153890700785006,-0.0114672225281211,-0.11077898401651,-0.00699105583367157,0.118162828412274,0.11613350148931
"asc_ruta4",0.508783094624298,0.517055432503718,1,-0.101378126511466,0.101969653407274,0.238561289751838,0.539377368474557,-0.023073134121153,-0.0826867250894117,0.246036647276082,0.00777941728380305,0.0721181192700497,-0.0307082185012379,-0.0502291384446128,-0.260692455256145,-0.287337403967268,-0.00653659881778532,0.268146988383977,0.137903013172932,0.103856071142907,0.165324955092955,-0.0934258164337181,0.0865464404315074,-0.158146443101259,0.0347721858242242,-0.101355647377492,-0.188934744874386,0.0517995195846871,-0.170890271140123,0.0317146613247391,-0.0257870650926177,-0.0073742179953621,0.0506524037589807,0.05502100485101,0.109531624155039,-0.0999838002206514,-0.0101377578035918,0.169376277452612,-0.0865221495663453,-0.20557749469033,-0.164882440888667,0.0288558240965375,-0.155971436285637,-0.104905343201336,-0.0472968738507432,0.0477172341505259,-0.0952896308830868,-0.224591684709053,-0.205521329614686,-0.026487766415972,-0.0498318689708762,-0.0529196927044435,-0.034278352125726,0.07894990872889,0.111814936734698,-0.0170412454180952,-0.00282868742899484,0.0107902080084394,0.130417525115903,-0.118381545024318,-0.162622377888044,-0.0655693864525453,0.0317186016123096,0.0486925129231219,0.0511062956697813,0.102508474156501,0.182146629459958,0.121057227471257,0.0777162449877492,-0.0386077112578363,-0.093465399302332,-0.0944387469326404,-0.115128310661167,-0.106879387479073,-0.0662144565170367,-0.159803783926586,-0.13643744367667,-0.121590624670008,0.0941031866963988,-0.016951913058213,-0.0278213556533905,0.0123524132054548,0.0369089943769635,0.0420670169492887,0.0313591343448287,0.0597404571668879,0.0521287172847218,0.0368332774648516,0.000341171380397032,-0.00760471437415824,0.0737899684925814,0.138693104708698,0.198948037725051,0.231746037468486,-0.0671930449025331,-0.0808188536259881,-0.0991460054368598,-0.0878927600010585,0.0339719607244121,0.0486818756171686,0.0332176652667479,0.0207674658789651,-0.0720838852211927,0.0424026945584435,0.202940725804638,0.202867814710506
"b_tt",0.416157883772102,0.207701351002893,-0.101378126511466,1,-0.212866110844969,-0.171788237847853,-0.304251564734751,-0.0123478631568645,-0.0193152970780242,0.0100192488794478,-0.0369793173655808,0.0334790091573707,-0.184602236327318,0.0270557871870929,0.0437658152737616,0.0707434347898508,-0.124989502075836,-0.0163067812135973,-0.184982585400179,-0.0549314576266321,0.12681698903729,0.0781188337456755,0.208699370728695,0.0762699972342592,-0.0356791231385984,0.0381584007497365,-0.0609126800785502,-0.00443457079429588,0.0248854887904246,-0.0753159786098396,-0.145951941917341,-0.215676415681627,-0.068463945825302,-3.1035627040869e-05,0.0251183303398487,-0.0260819539026428,-0.0129824225029348,0.00438760696033582,-0.0853526146823421,0.0516734934556362,0.0582041193280779,0.0890748091703347,-0.0990310187873289,0.214901631611874,0.251157606159151,0.267434968590204,-0.0634298384472876,0.0558753865479645,0.074475588393915,0.167651012946188,-0.00304871735929862,-0.0235272536115363,-0.0512425402002727,-0.0129752178291855,-0.0885189308732323,0.00653834467285571,0.00409494053647708,0.00332473858247826,-0.0762214372555874,-0.0996883977775945,-0.0813964833131929,-0.113295884973923,-0.00940218089353548,0.000895175104213804,-0.00262594206771571,0.00100958473501066,-0.0463479110335478,-0.00641053562259327,-0.0159618970844937,-0.0274906476484698,0.0810552418358381,0.0938306711503579,0.0999004400910366,0.0605873326214883,0.140482173646131,-0.0573910340488373,-0.0785518555937819,-0.0995902725748093,-0.173533594462433,-0.228357470001689,-0.238147816063786,-0.243403933227666,-0.0926472052221018,-0.097532516220947,-0.0931651629743108,-0.0818752435098725,0.0148787463540135,0.028448283661147,0.0493514513281159,0.0520287065936476,-0.0309615190886344,0.0299870504749267,0.0218370460235339,0.0168677538537104,-0.0659338533521256,-0.0479783252756823,-0.0437438891596755,-0.0308062555211073,-0.043206430575691,-0.0566713534621449,-0.0608042900972246,-0.0345372833448361,-0.0784031623053807,-0.0634739483740703,-0.0105427202459515,-0.0100141452917803
"b_dt",0.122770612627509,0.0364417075095782,0.101969653407274,-0.212866110844969,1,-0.0434107332052524,-0.0976414512495625,0.291770440549264,-0.0971980821848075,0.0832396948686493,-0.0560906594895607,0.0605431314184876,-0.131397570349856,-0.0995750645295624,0.121942948946477,-0.0313243144167766,-0.0511623277067438,-0.0217337187609698,-0.170809556277709,0.0240229275456797,-0.150949019130052,0.0106302191119541,0.166679435449785,-0.0118330124659488,0.0334096162871185,0.0453017043143149,-0.158535776229715,-0.0356902387058442,-0.00434035368267249,0.0149740616406537,-0.0463721973093669,-0.117103240962254,-0.0424339533328016,0.021713195698003,0.0374350120586736,-0.00616056675945035,-0.0406578051722504,0.0753014887428493,-0.0417698724454006,-0.0120757221910594,-0.000846375550498177,0.0381686261792891,-0.107226255036497,0.108602963034226,0.135174579820862,0.15937700882169,-0.0195607949304944,-0.0388838584152564,-0.0304977804157517,0.0389152354778321,-0.0361255955240515,-1.90696226383426e-05,0.0164033533066979,0.0518216364607831,-0.0684953275195151,0.0472405357872305,0.0497365711555504,0.0599743345348454,-0.0325088772327028,-0.18040281884938,-0.172082171293234,-0.140795981742388,0.020433161280226,0.0103642854618037,0.000220365378838172,-0.0122246394271659,0.0323924691980637,0.0401895559674476,0.0367245895378866,0.021150801023198,-0.00363586341730359,0.00411163838027152,0.00219189941446673,0.0298714555393742,0.0377150750648966,-0.0504082937192697,-0.0526933584830301,-0.0686721608480762,-0.0529929718481895,-0.118415278414515,-0.129392089585266,-0.12465474191656,-0.0587788976111678,-0.0611965949364729,-0.0586212701257232,-0.041641400112518,0.0213754803029344,0.0261309169089045,0.0312464156680575,0.0271176745054274,0.0298854381838662,0.0597901973126678,0.0636010058066878,0.0648648252095715,-0.030578797877067,-0.00937231067854636,-0.00981798982136375,-0.00251345940869215,0.00869621882480634,-0.00438802897800451,-0.0248756122671501,-0.0273198153779451,-0.0751731180440416,-0.00967793691938794,0.0709086220410853,0.0697002686280925
"b_CongCD",-0.077097240197542,-0.0187760576884512,0.238561289751838,-0.171788237847853,-0.0434107332052524,1,0.526041249416403,-0.00829694204540546,0.0566261842519499,0.0985380572772338,0.0938095758280848,-0.0315716089940476,0.0467052969039144,-0.0963637580771444,-0.236139909285061,0.0185737157802619,0.00595447037411866,0.033153115488137,0.0434400672681377,0.10517909631238,0.134820486563738,0.0541263736410009,-0.0889028419635588,0.0248439057026513,-0.0206200022723835,-0.148648614684421,0.0841222029965659,0.0189229977402774,0.00969953178940111,-0.0166534147502781,0.0910319033528393,0.0683301638134762,-0.0585599237038343,-0.0145310183434898,-0.0194038665303436,-0.0891807870938836,0.045046562990747,0.00371582325722635,-0.0559448490833457,0.0229615428340806,0.0285459936373974,0.0717386359747361,-0.0209303165274307,-0.144135095073131,-0.154402559246564,-0.12992797359537,-0.0395480545587707,-0.00110892890325649,0.0030847150123882,0.069261410249848,-0.0135304032211484,-0.0442379215851401,-0.0423726398233505,-0.0730047059250705,0.0694954591378951,-0.127759901367847,-0.123900468237844,-0.137678984491887,0.0133758707361189,0.105577682788016,0.0928414091027684,0.102207642532283,-0.0147056396170683,-0.0202105788211903,-0.0146528779214339,0.0285101742369022,-0.000873349800891291,-0.033530815779384,-0.0230926759391855,-0.00810077640928083,-0.0093541650743323,-0.012032719298484,-0.0210565227363819,-0.048056175871648,-0.144022214023499,-0.0160408624802053,0.0134055022908574,0.0465012851440004,0.0510463663801978,0.0647186296212265,0.0798963458889941,0.089727647988029,-0.0180659042693497,-0.0436582461891049,-0.0574269154193336,-0.0468660450319654,-0.023482909500202,-0.0344408294618417,-0.0501291037831495,-0.0455573755547552,-0.0183607646645697,-0.0236584995191049,-0.00727630629938422,0.0103734101669697,-0.0852888836158827,-0.0983602353599499,-0.0953750081702115,-0.0815152784979344,-0.0424313685612097,-0.0275035829008407,-0.00084921969357143,0.05935012887007,-0.0150898401375756,-0.0166649715444195,0.00190547881105369,0.00868132426096995
"b_CongEF",-0.154557017978988,-0.0771821645162633,0.539377368474557,-0.304251564734751,-0.0976414512495625,0.526041249416403,1,-0.0933929800513163,-0.000658875031847853,0.155864815031716,0.0432141901142386,-0.080118746403947,0.147901160947684,-0.0762189807990546,-0.325061808715812,-0.0850823191131287,0.179540074452074,-0.0646967106849834,0.0912277904811693,0.199442546662612,0.0934349067658224,-0.0263474920583519,-0.158994359817002,-0.204024842824653,0.0246602014968011,-0.103199829040839,-0.0180492283372232,0.0601493544099583,-0.0987003800976211,0.0982877046953876,0.112675459164163,0.250583473418395,0.0567784115228444,0.0203257870434487,0.0453595564595918,-0.0702236752610455,0.0538036364120995,0.0823127840467883,-0.00912357647725483,-0.0609015790040392,-0.0423462516810016,0.0251457854755646,0.00740786958122872,-0.267821904670875,-0.286453342139706,-0.23683687513137,0.00660064654629812,-0.201604295279463,-0.211794558697894,-0.199383796941547,-0.0143741863127707,-0.017876101382755,0.00511610730576246,0.0203239388574845,0.21411527866016,-0.00412372587774174,0.00160293321372357,-0.0212741406990104,0.210168681034593,0.099407162806816,0.0363999735034525,0.086861738067244,0.0209074887398033,0.0326052785943341,0.0501409502845438,0.102991455369155,0.123130103372978,0.0499297576163944,0.0440213145575894,0.0082687082505411,-0.138215843458873,-0.149246150337041,-0.163397128573938,-0.0955133952541512,-0.156751753573704,-0.0255783005770703,0.00231384357800273,0.0244627436110246,0.217914270301647,0.23856034132749,0.255709969754076,0.280586703469547,0.072492676892388,0.0682997910524099,0.0547067029871575,0.0612339535119163,0.015433049688811,-0.00554104684806779,-0.0463915021558613,-0.0557200857597688,0.0185040370549139,0.0369280552740975,0.0965150230098495,0.128965287625754,-0.0380759362612448,-0.0705644218753367,-0.0772434686218867,-0.0766631788550971,-0.000200009631213784,0.0406248519860339,0.0586563621276754,0.055064132096388,0.0125886814868802,0.0534770091402168,0.110317147295135,0.11272267050699
"b_Sem",0.137101227066661,0.0398659988176182,-0.023073134121153,-0.0123478631568645,0.291770440549264,-0.00829694204540546,-0.0933929800513163,1,-0.102497505617345,0.0097786193655372,-0.0161617786068848,-0.0224553149851312,-0.134295797017009,-0.0662227147805854,0.105256054345116,0.053934433985434,-0.121411963489057,0.0455544557629841,-0.0436156781185191,-0.095521323839289,0.0205267228581536,0.0167799250673551,0.133335322586322,0.0413880626939739,-0.000420923394395246,0.0351146252326189,-0.0976946334888084,-0.00834565728823527,0.00427999512492248,-0.0109467922339844,-0.0781472797437017,-0.13058439858658,-0.0536327162056,0.0180459082852292,0.0174863367449744,-0.029346150816625,-0.0384445641221319,0.0251060191738917,-0.0318384338729077,-0.000156086158158147,-0.00366011764325698,0.0356294076753739,-0.0532249795358111,0.135559047754802,0.156625041839124,0.157695885383938,-0.0171576197645207,0.0241973518726147,0.0357447336568405,0.123921809205176,-0.0127187418177464,-0.00849526554498662,-0.0176154290060107,0.011004159875262,-0.0455735039954322,0.0287655054014877,0.0249762563255649,0.0271514541883377,-0.0209752981539201,-0.112767538400846,-0.107229387406477,-0.116012223497852,0.0129111705080161,0.0151650608224617,0.0146660963402123,0.0134108636478492,0.00935786521326211,0.0212219079382886,0.0131490797753344,-0.00524918693872052,0.0252372510289625,0.0237872563213965,0.0190673778707423,0.0279720053062453,0.0906128844577219,-0.0177119436644785,-0.0304394797980789,-0.0522772350347951,-0.0886899240638544,-0.132931219025314,-0.144586319677147,-0.150907446293941,-0.0645312842570935,-0.0716902380358029,-0.0713816525689291,-0.0608521472653796,0.0181519953537578,0.0245297068029731,0.0327652865188838,0.0313238564932724,0.0111551071583832,0.0408800444508833,0.0423549265355305,0.0435087306520117,-0.0420602937889053,-0.0332552618894316,-0.0284085462992368,-0.0187226123912359,0.00478229436966691,-0.0154493698701294,-0.0306042191474814,-0.021182176107554,-0.0529574196411862,-0.0198974796430241,0.0255823400161011,0.024862016394496
"b_ACC_1",-0.0643662308474503,-0.0200187902329699,-0.0826867250894117,-0.0193152970780242,-0.0971980821848075,0.0566261842519499,-0.000658875031847853,-0.102497505617345,1,-0.00198549749363471,0.0134205120862608,-0.0710466774797733,-0.019365212286316,0.00597034937280837,0.00629970938814696,-0.0849481625491282,0.129899017717888,-0.118067175220511,-0.0336141131049092,-0.0374137733686639,0.046439792997374,0.11477878553559,0.0578682736557202,-0.0647402250785122,0.00171221849507309,-0.0265205508899683,-0.0405965817748383,0.00118557307452148,-0.00948251758895579,0.0267105366928214,-0.00951876711257575,-0.041793590427697,0.00473772941386642,0.0294511579023325,-0.00240752469286767,0.0201687463476026,-0.0111932448545101,0.0510298366484625,-0.0621547029576867,0.0878881438212506,0.100330549642159,0.10848483012918,-0.0661953141543546,0.00501294032159778,0.00744578466571718,0.0421583127228669,-0.0193982193517359,-0.0673016467876971,-0.0697303332080534,-0.0839495495306899,-0.0230601766282027,-0.018491363367273,-0.00474464688456178,0.00257268719696755,0.0343450333295723,-0.00236137754298221,-0.00421364785071321,-0.018048447804116,0.0360290441761505,-0.0189021067874845,-0.0286115627548783,-0.0319024800723498,-0.00129453680886002,0.0050000784411567,0.00571713640403126,-0.00576855937820513,0.0120115121409946,0.00343502157363606,-0.0059837001623844,-0.0216182391531183,-0.0219519223263508,-0.0217275593929409,-0.0192574150036994,-0.00012794243563296,-0.0166015733075572,-0.0515098213586571,-0.0455285722312696,-0.044172855374122,-0.00940727750782704,-0.0436064168422901,-0.0445270548488653,-0.0508739838756295,-0.0162109048953363,-0.0055292019168295,0.0102550688897104,0.00827515962158136,0.0152549746214329,0.0149844717152133,0.0108611810271175,0.00418932783154439,-0.0208789791084609,-0.00803772479056828,0.00236055567384014,0.0161862396402606,0.0133689677922094,0.00880547557609153,0.00748738660762506,0.0068371648003536,-0.0244582171569399,-0.0295859741700504,-0.0360232932469344,-0.0326929984977633,-0.0605886633989208,-0.025663499469084,0.0361061412470366,0.0364199020004307
"b_ACC_2",0.161520513371953,0.138910469340239,0.246036647276082,0.0100192488794478,0.0832396948686493,0.0985380572772338,0.155864815031716,0.0097786193655372,-0.00198549749363471,1,0.041365642123197,0.0461989727435492,-0.202409596386292,0.0155676175952483,-0.0676648677959471,-0.103976497391601,-0.0390686803895658,0.0184006925801286,-0.170599540463979,0.0827109113377496,0.073883810006375,0.133737069496243,0.449282406412313,-0.267780740692773,0.0211280013414367,0.0379708158944668,-0.399583774051106,0.0336063676717159,-0.155047106246743,0.0459030326653146,-0.102635942995709,-0.353251024758611,-0.106309793761969,0.0448585114270311,0.145635658567631,-0.113573767187015,-0.0762161008982067,0.27966302063723,-0.170894270850382,0.0691386432267882,0.110128694338543,0.264756544241737,-0.314066726450102,0.247888299528579,0.318049132266705,0.439589521907621,-0.0405817070544434,-0.289525690026222,-0.279303951983166,-0.210245850375032,-0.0509428835094989,-0.0120090838698916,0.00684601535303379,0.111124634432002,0.127024764912207,0.178419565901635,0.162416601285337,0.109800833476893,0.218891016048451,-0.231352044625236,-0.291301673630583,-0.352029315859243,0.0738636883274204,0.116395787886398,0.125500441128759,0.105784889065646,0.171347904123034,0.127920793909554,0.0542282084220346,-0.106635024396609,-0.0375146970807188,-0.0477860063541003,-0.060731463819519,-0.00974248942795032,0.0766492522401833,-0.148340615690367,-0.14405459161349,-0.177892786770407,-0.118416359381346,-0.367861890597914,-0.399386850189137,-0.403427570693445,-0.178134503870169,-0.195324487177616,-0.203327185043894,-0.154088621250309,0.0744635013939394,0.088040364813092,0.0984185270780135,0.0822180422320171,0.0274021877922397,0.177905962583867,0.229280164658668,0.267089483045467,-0.228695673252904,-0.178507080572255,-0.14992598993708,-0.115373956655484,-0.024179098982277,-0.0548893352148946,-0.103066262636711,-0.0778342787454343,-0.285411419255348,-0.0570664813455493,0.265328359708753,0.265114009035417
