"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",2.0874243249567,0.339090939052172,6.15594250554579,7.4632300339772e-10,0.517437513180946,4.03415730746746,5.47985995373867e-05
"asc_ruta2",1.02934095470449,0.331673791458711,3.10347389878898,0.00191263105070094,0.464903555496351,2.21409568185711,0.026822197626688
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",2.18507692225224,0.438634872061161,4.98153945668863,6.30804186219081e-07,0.668240597125571,3.26989550118823,0.00107587221073846
"b_tt",0.55692928069992,0.231586901973726,2.40483928906785,0.0161795793006774,0.297323069507298,1.87314520068296,0.0610483370811548
"b_dt",-0.523143084553828,0.267749779861183,-1.95385066170756,0.0507188808711998,0.288777604432181,-1.8115777557698,0.0700514645832657
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",0.0066762176024195,0.299511723030258,0.022290338204041,0.982216355965239,0.334740995385445,0.0199444277649113,0.984087703952037
"b_CongEF",0.0679619637499304,0.357026705897555,0.190355406548863,0.849030639123173,0.546654077550358,0.124323528426749,0.901059118827841
"b_Sem",0.375182405387265,0.161361084018544,2.32511083864649,0.020066034239911,0.143521920183002,2.61411221999313,0.0089459647825354
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.394557036355854,0.315692181561669,-1.24981567298897,0.211366889411088,0.339522690896391,-1.16209327663539,0.245197578157707
"b_ACC_2",-2.63070608579024,1.16133080426308,-2.26525127563421,0.0234972641919784,1.64303695682243,-1.60112411036568,0.109349433056696
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.70000038027939,0.290876785824218,-2.40651854803708,0.0161053861701346,0.305441549560836,-2.2917654172651,0.0219191832532162
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.315054078496911,0.220811997004573,-1.42679783150725,0.153638176428327,0.214637305100506,-1.4678439908169,0.142146605003664
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0670922814704308,0.292491457262944,-0.229382020583651,0.81857200915087,0.365478965439915,-0.183573578276041,0.854347992317097
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
