"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.886266436708225,0.467745905537342,0.612048271351268,0.259183695978687,-0.0559983506751628,-0.227256665974742,0.281390679883314,0.043917428560189,0.510406818624318,-0.0402805944029569,0.151453885554169,-0.412874484172515,0.174848107384981,0.157024111069181,-0.0538430488689809,-0.123052834222168,0.00120286750201045,-0.286318467045255,-0.21922508134959,0.167816949904846,0.0597117822867161,0.622188810433993,-0.0142349478445482,0.0524690679574316,0.0276666092694775,-0.0544000012067892,0.116368911619604,-0.138047957029043,-0.0612001827059779,-0.377718632177335,-0.316294389699468,-0.053490552545491,0.24610937268302,0.0831340338615118,-0.278926416519015,-0.143649190137907,0.252888682868869,-0.509169590644901,-0.25065997271005,-0.177720170822545,0.338957089217339,-0.526811999052571,0.302540834288848,0.419769574721477,0.637714952754246,-0.546673074926258,-0.134714236102175,-0.093958366855269,0.130672585007381,-0.342695922563254,-0.198632835372417,-0.21571846776557,0.273894614700633,-0.156150398473991,-0.0392345447945388,-0.0182301140940524,-0.0263540325194737,-0.145002532844969,-0.291272327915222,-0.149525659328174,-0.185969295458317,-0.000902960197472077,0.193257617892812,0.116741424334783,0.0418533764379406,0.147364937535103,0.186788141374254,0.0959052442666151,-0.211581519520106,0.068090965653413,0.149453865425263,0.149453585458854,0.00224724816719253,0.189307286022796,-0.376506494414856,-0.367161678895429,-0.388310521759553,-0.243658487924221,-0.398169484405596,-0.424898885266433,-0.350106728564734,-0.224122197772696,-0.177223765002045,-0.169437403472866,-0.0878576952357087,0.137799755338522,0.157533510537806,0.15280342713842,0.155961005506309,-0.0398614843741692,0.122021175477165,0.105970181382286,0.153842162171758,-0.35862342239353,-0.319652114908196,-0.329939824208094,-0.31915267768574,-0.0841850341629411,-0.110748127607563,-0.151226667047911,-0.17879627764139,-0.432517539042493,-0.170895773521951,0.177803733432045,0.17578588144967
"asc_ruta2",0.886266436708225,1,0.479149300551843,0.443991268437326,0.162951393679782,0.00451054099316326,-0.16390096515451,0.202859242413889,0.0846478675917778,0.461663729521699,0.00521921008091122,0.0676082891699056,-0.367834225124585,0.248477644849779,0.113268540429121,-0.0341726860641167,-0.0741322084599324,-0.0181677637789345,-0.203803200684072,-0.211777668939912,0.184293716387035,-0.037652717033896,0.521500891650427,-0.0423041709188128,0.0761569297517106,0.0329016190239077,-0.0874315766453047,0.0721101573248262,-0.129801724083061,-0.0495389461001126,-0.283398312502736,-0.25475572340628,-0.0327461474355973,0.261947515351492,0.0672207777262842,-0.280332427236976,-0.116736798743973,0.276069826086945,-0.455028702790172,-0.306367890823118,-0.251179324406812,0.243066359417945,-0.472429418298217,0.216223120159896,0.321134868655613,0.55257066134145,-0.483301143689185,-0.155556993252037,-0.118335595389672,0.0839679456892905,-0.379834045473634,-0.21630050996984,-0.20434215758685,0.276783248778648,-0.148248764109246,-0.00952509491465374,0.00240460508046362,-0.00285438137084309,-0.134626661887426,-0.301073276126749,-0.181650507714465,-0.220337417206626,0.00440280772329687,0.184240895384587,0.117726445446616,0.0217527259502937,0.138071622892152,0.151995546145498,0.0668911537982525,-0.212894555316183,0.0480485397753731,0.110262424253416,0.100767073778244,-0.104117304062908,0.104012227459986,-0.321427996049175,-0.303811937574185,-0.310138206110234,-0.174998073139144,-0.321026563025358,-0.35123385597647,-0.277592200259234,-0.178532429123006,-0.139913669364872,-0.139243779663538,-0.0609603502267013,0.128284271718726,0.119546323465569,0.0761456604522866,0.103762349687082,0.0710093214958974,0.154538565010494,0.116442507741498,0.17405301104225,-0.292799534365309,-0.274376689732233,-0.297240597345436,-0.30830277810493,0.00326641021588944,-0.00869824344090475,-0.0472579634945468,-0.0907681234132864,-0.37344423945507,-0.0903783498005214,0.220721760302338,0.219628907472601
"asc_ruta4",0.467745905537343,0.479149300551844,1,-0.0893842189237042,0.165382434795273,0.338573685337919,0.63356279191654,-0.124167517785907,-0.0114498067435307,0.525588416561233,-0.144289653031247,-0.0862266371043844,-0.000804998380478085,-0.222526731855034,-0.398377680995443,-0.472082877712625,0.247351462592498,0.0997858035475441,0.0751540242604443,0.247164429461078,0.199632176545146,-0.0901608261267343,0.200048666879985,-0.537679825750479,0.172154506912751,-0.305432555112909,-0.463318326993626,0.218822575292867,-0.489397911649958,0.383382556330642,-0.140283900155979,0.332247535039147,0.33271273312444,0.373183088341024,0.414551767986304,-0.117575666723897,0.142746817542285,0.596650474254255,-0.274798430689971,-0.452915836943676,-0.340264351806021,0.242547562899348,-0.472500337691429,-0.407902939336442,-0.296419528815452,0.0257538831646418,-0.249427694325044,-0.620483170187969,-0.605291330046929,-0.468090233046502,-0.328244754559524,-0.285316294832175,-0.127157958814827,0.418552627747218,0.431639961675081,0.0928930449169619,0.12626699966374,0.152051701725786,0.43656184818625,-0.275933012849989,-0.3317223799369,-0.0752297046793535,0.202786220294454,0.333897641898667,0.353666253741491,0.35598751889444,0.56000741119713,0.440955938174844,0.362252173913156,0.0166873051488847,-0.449466811741616,-0.418916184250789,-0.44065526319819,-0.334465284083384,-0.242852922435734,-0.537081607724529,-0.480203107625958,-0.455162105821047,0.454116333250447,0.290122702517142,0.291138119373168,0.362549081355883,0.302258351471486,0.312385418100396,0.292622395776691,0.343301314048311,0.405467767543687,0.309821932956882,0.161026967143504,0.0986175501254002,0.340488135635393,0.485792573828243,0.528299261630705,0.571616533645382,0.0287415291537544,-0.0294940083800255,-0.101362726046595,-0.159903987622406,0.0870783074879401,0.235172155039644,0.236224101993372,-0.00799663223415916,-0.231472624739919,0.209443652037029,0.601246934162072,0.5993017679454
"b_tt",0.612048271351268,0.443991268437327,-0.0893842189237042,1,-0.0710155103432671,-0.232135969631437,-0.484344641472611,0.181514977424338,0.0990923253698105,0.177208349643522,-0.0277937892778181,0.143783568372988,-0.401864643539259,0.162425451720526,0.204231498505025,0.112750368939576,-0.301216894159488,0.0536497690086459,-0.343695403979906,-0.231177201469624,0.175999701277681,0.222756329042216,0.431143524043976,0.211749445951459,-0.121990204822538,0.139054866572553,0.189110468900599,0.0755283134206299,0.0687494177167031,-0.314930821072258,-0.348465389156257,-0.471471517333417,-0.326297250685455,-0.0184675230559899,-0.0887825464058747,-0.205870137011386,-0.125745206418708,-0.10800395758797,-0.353315549635913,0.156663942847912,0.175828874128927,0.300977609436434,-0.200751768890572,0.511552889923505,0.552886513231413,0.564798354645744,-0.318022912294968,0.185916440182169,0.209295382238146,0.302783192997613,-0.0147066971752516,-0.0131079569618669,-0.133207012549832,-0.0542225176198478,-0.264875266106674,-0.067435485158934,-0.0668400395839095,-0.133954962450535,-0.276266364851344,-0.0214155716418322,0.10169272710369,-0.0975854855684959,-0.102015938627766,-0.00746261409351894,-0.0030564741142217,-0.000743565719751397,-0.129168452867014,-0.0417841033146661,-0.108014063027199,-0.226811564444072,0.306283936497317,0.373648139770716,0.39720377840197,0.256294243242592,0.384577134022011,-0.0731721984814876,-0.117160667975685,-0.183746535848716,-0.433917673465044,-0.48977035749852,-0.516319154424281,-0.498570921384877,-0.374721525134028,-0.3641619461832,-0.375813239896687,-0.320255155318483,-0.0889018412144124,-0.0650837480359392,0.0416327115172854,0.0551866750678088,-0.20869238701806,-0.082101185375587,-0.124563812554817,-0.132542790964131,-0.321133789049167,-0.293628247107125,-0.265529490315118,-0.20955071084783,-0.227576885754203,-0.280249760772603,-0.264230475022742,-0.174221469968708,-0.217895400429545,-0.276286784411285,-0.176403606389777,-0.180177617058248
"b_dt",0.259183695978687,0.162951393679782,0.165382434795273,-0.0710155103432672,1,0.00690715711525078,-0.120276395256161,0.38662522763413,-0.211741522080525,0.346516563525146,0.0596921882195069,0.182426568409232,-0.234160896884616,-0.122136916370772,0.159810235174165,-0.0884545605307968,-0.112179680388178,-0.00755284895824549,-0.374925600105389,0.0123096904820411,-0.140813286031215,0.0726931546074202,0.349386602428736,-0.0383271748095442,0.120570472179745,0.0360312699341359,-0.103265169027207,-0.000970827873454577,-0.0745828659674095,0.087573095251311,-0.163401626673491,-0.141866991014656,-0.0297723964077727,0.104740278158593,0.0560527364201113,-0.101679516386915,-0.163298893549259,0.176804616266928,-0.18423724919817,-0.0585302667348768,-0.0390014432783234,0.186249572010773,-0.297058802319423,0.17811409791115,0.216942994775083,0.267648865399126,-0.176971428523053,-0.102778388197601,-0.092553072192027,0.0482430980795842,-0.241042127767091,-0.060471788030034,-0.00498027768384969,0.224110191884606,-0.0413893031668201,0.0864776632082987,0.0845397301045645,0.0829103009170106,-0.0395808474417621,-0.199817639373522,-0.121643877127068,-0.141530034441188,-0.00358293593138858,0.0680145563121331,0.0313796298635137,-0.0211258492636406,0.0942019802789834,0.162206323000752,0.129468165718643,-0.0397066929826567,-0.0179102851112035,0.015105585425628,-0.0125635921540345,0.0545260999690398,0.0532299934778656,-0.188330000952889,-0.180592557249051,-0.238941121266581,-0.119798741723565,-0.190149696470215,-0.167401282979274,-0.13978294425119,-0.154882519854603,-0.129344988214768,-0.0894445535864182,-0.061603828457093,0.0385864649213324,0.138469999080961,0.146247684231699,0.102089691686112,-0.0960942080290693,0.0698735863188113,0.0815879812657621,0.108990495002922,-0.24155023643054,-0.150976600425021,-0.14796961440421,-0.110327150250042,0.0169997411451044,-0.0944029370273209,-0.157995545589305,-0.203904996164049,-0.286471425895566,-0.0744666488217028,0.13261372693325,0.146155913886871
"b_CongCD",-0.0559983506751628,0.00451054099316296,0.338573685337919,-0.232135969631437,0.00690715711525077,1,0.539910360915689,-0.141190448392043,0.0385892856543396,0.15242801445951,0.0469693600188506,-0.111296750396996,0.147672265785282,-0.173240700912038,-0.386364951285821,-0.0740127340188525,0.209151402479193,-0.100727812453134,0.119420590012466,0.245826411642489,0.207861731297857,0.193054136636522,-0.025218741293855,-0.162993264768734,-0.00824903380372226,-0.358766140779426,-0.0337325681517984,-0.0431205540454042,-0.0946686144927045,0.0497529162980768,0.110402279531741,0.170984631984157,0.0548098464940426,0.0777575871822696,-0.0144659695503864,-0.107935048074493,0.203676035762722,0.13425151524221,-0.106612959879024,0.0845777690203587,0.12528796440672,0.257104267564957,-0.146300898206024,-0.252219856024982,-0.239883291561313,-0.081293356626719,0.00846840876000306,-0.166261088365381,-0.169392149466411,-0.127711302071528,0.0374867443646168,-0.0205099598008348,0.0171073419421855,0.0105135800451674,0.19687451878917,-0.176602120227295,-0.181158943927892,-0.187662067649537,0.118072216538892,0.0589794449961635,0.00440842023772725,0.194008924905839,0.0399335770747575,-0.0293682467759887,0.028182142281288,0.0414244048956961,0.0936713571348027,-0.0245200749390493,0.00933183146997774,0.00967183595315794,-0.136688827542364,-0.148325104272414,-0.164160585202103,-0.114179342087343,-0.2706462867006,-0.158133771490217,-0.0988977336730568,-0.0348098012457289,0.186142786686639,0.167203010223622,0.202531030246303,0.221701981048376,0.12728167801576,0.101093996195777,0.0963432756949007,0.0944365294985828,0.0484657918485869,-0.0541836567689342,-0.117222225602189,-0.127586965860221,0.0206627145118525,0.0485755721792373,0.0537314385256004,0.0848046108496626,-0.0288664580132665,-0.0826752464879576,-0.074410064401548,-0.112410350148509,-0.0968173196430629,-0.00505547709905877,0.10724889172979,0.132728797192639,-0.0249675227913512,0.0162916411299147,0.133949826873428,0.132678114600572
"b_CongEF",-0.227256665974742,-0.163900965154511,0.633562791916538,-0.484344641472611,-0.120276395256161,0.539910360915689,1,-0.364177415168987,0.0322816872541036,0.233582233133248,-0.11859778523852,-0.273137621797089,0.36941053912586,-0.311088293710352,-0.570804917403684,-0.316174306519272,0.496951280431338,-0.199343837512169,0.20930261044293,0.454041358486154,0.0990598781875612,-0.0671352751638994,-0.178996604885632,-0.54815171766834,0.151109676809559,-0.352169348703223,-0.409305091875259,0.0803396985739036,-0.375442716865665,0.463215815121508,0.187331849866841,0.592740920840552,0.383266444955869,0.1948019583353,0.333850363613436,-0.00193055297132042,0.314211262480622,0.43516130182833,0.0479612822879249,-0.231262680590635,-0.161090877218855,0.083927414481985,-0.148565930435411,-0.638683263098975,-0.60802655303145,-0.399584697119691,0.11988507128614,-0.536065887328106,-0.550744345633863,-0.582524565021214,-0.0328551846453833,-0.0906619825143476,0.0792171185987637,0.27188221586725,0.585235295016067,0.109047079555018,0.143274792190416,0.14172176697169,0.574135476633487,-0.015112365772737,-0.193068723184649,0.0703794337699417,0.238824109805186,0.162707333110944,0.245056390434116,0.31415070481762,0.465612816027468,0.284051754285732,0.294444462797314,0.158528988553262,-0.533369096331735,-0.554150109308359,-0.562216708071918,-0.297977840451705,-0.440855140633507,-0.290928117712498,-0.214934362546116,-0.145040418749622,0.626035530694925,0.591113082829974,0.617915978910899,0.64547415338716,0.426666005132651,0.424777975458778,0.405154900330181,0.404720964503712,0.314987248692693,0.171929734484881,0.0295079415562177,-0.046124653947748,0.267959696690852,0.352289624191923,0.428336239563905,0.447794415162044,0.208919423179371,0.0863935354796222,0.0376191926353673,-0.0438988479881804,0.049249907708883,0.248028889035801,0.328125518083644,0.144534769063791,0.0261889932564223,0.310165996748221,0.473658740289474,0.471201651568141
"b_Sem",0.281390679883314,0.202859242413889,-0.124167517785907,0.181514977424338,0.386625227634129,-0.141190448392042,-0.364177415168987,1,-0.107335135637771,0.213777129086871,0.143205978926474,0.150820529615679,-0.369009479070307,0.0409439446402542,0.315592736449301,0.0769157659134662,-0.332639452051891,0.0965619522389,-0.340854954731413,-0.276732420936933,0.0617915415607943,0.00489842277876847,0.350764742975252,0.0663750988464567,-0.0444042195163911,0.225539540345798,0.107780992984403,0.0195776504425645,0.101150454699187,-0.165198385005036,-0.328666978348067,-0.313515198450721,-0.278388910896821,-0.0272887359325927,0.0178502122244518,-0.235620994954129,-0.12934500825286,-0.0458020059220625,-0.140320451112933,-0.0158376496886977,-0.0426505599777295,0.162202451094677,-0.155492621618426,0.398245793948411,0.44464180038676,0.444263730978109,-0.192987711149716,0.0499630643448317,0.0667128949619825,0.165899384615074,-0.0709353217525036,-0.0642465604230687,-0.116620802340099,0.102221046189845,-0.115569238502789,0.103973588440962,0.0783543043569941,0.0245914800223969,-0.127348601558511,0.0366317190974758,0.141638548484673,-0.142046586388113,0.121754298042935,0.165274108058304,0.116980026953415,0.00182513775990768,-0.0433919825424526,0.00741819423040603,-0.0490274838553781,-0.0240201604719871,0.192294136539617,0.285032658687458,0.245612686128475,0.187567129823963,0.364344442373354,-0.0952686976360758,-0.1156741567488,-0.175492064590959,-0.294912480366038,-0.342781474111222,-0.347938640325195,-0.339399542569062,-0.364110507382665,-0.373067571843968,-0.360861656242581,-0.333660162835407,-0.01308964945392,0.104109099003002,0.194054941682042,0.209156654461891,-0.191589530718532,-0.00265831470220316,-0.00796878210793855,0.00907491987059547,-0.416815034614045,-0.298099195767101,-0.281589193585044,-0.221970893472146,-0.104839157285651,-0.264740124164186,-0.324455350475163,-0.148173110770757,-0.226746533964596,-0.196073636184952,-0.0710307549012867,-0.088280768447734
"b_ACC_1",0.0439174285601888,0.0846478675917776,-0.0114498067435309,0.0990923253698104,-0.211741522080525,0.0385892856543394,0.0322816872541036,-0.107335135637771,1,0.11597096309391,-0.0907534240369098,-0.0962842308662902,-0.0703387226842517,-0.0164791006047991,0.00827583338283467,-0.0979096508659579,0.162805749049799,-0.194840528103226,-0.0708261596172992,-0.0237104504250133,0.108426366392441,0.233863262334824,0.162284744563549,-0.139692401866148,-0.0352806017906538,-0.0952780257410487,0.0399395874122571,0.0585396320429251,-0.104876632572814,0.044147225754685,-0.0983011496205544,0.0544069801985254,0.0724106088974261,0.175465943450659,0.131330012698658,-0.0727283427745438,0.0884198247688715,0.190789865661963,-0.181743037460308,0.100809191687839,0.179381584704243,0.273417854885306,-0.206437507825283,-0.077697248369438,-0.0242526214396962,0.123058666326555,-0.172288135892254,-0.167016195723996,-0.14591781939587,-0.110653248377206,-0.026675312889268,-0.0826040573110034,-0.0354625639923364,0.0190199698794415,0.155507830994573,-0.0377828292913742,-0.0110273648720724,-0.0861337716752954,0.124896009812924,0.0472969270333594,0.102216567438889,0.0676961821940228,0.000356016798603233,0.0204573410423765,0.0873328399314323,0.0324884648010987,0.138277455722237,0.103315424306488,0.0981199633632203,-0.0568470688836708,-0.0698443148686278,-0.0697445517544165,-0.0453057449554114,-0.00186574219437554,0.00646409209138042,-0.232642582093571,-0.217440872280136,-0.203693228063473,0.018650124509032,0.0158847385237693,0.0335099618328667,0.0432711134569781,-0.0361946681416995,0.0245515106416839,0.043505388257477,0.0352003064308142,0.084508558405184,0.078807835595473,-0.00250150067964779,-0.0633179822369238,-0.0556806036925738,0.112363738889779,0.127537431787363,0.169727484540487,-0.036380798491938,-0.119703664317053,-0.141230634203657,-0.157969269400876,-0.176658903591596,-0.0827540088927981,-0.0275122748006691,-0.0488145209228081,-0.225739877788616,-0.00783154168919492,0.141891474584736,0.151190094532605
"b_ACC_2",0.510406818624319,0.461663729521699,0.525588416561233,0.177208349643522,0.346516563525146,0.15242801445951,0.233582233133248,0.213777129086871,0.115970963093911,1,-0.0308257423369908,0.0868434431124095,-0.403663670358781,-0.135565005898902,-0.0918371534631443,-0.21388920136964,-5.98189447168285e-05,-0.098387730672864,-0.437795116054799,0.120909885354561,0.185963906728176,0.0906380906339174,0.659490528300262,-0.392342984475171,0.0212464265685234,0.0143898231270222,-0.221527250675592,0.166126511981097,-0.362093038088466,0.203981480704278,-0.377940367187098,-0.103806565175278,-0.108426628312502,0.272760438379485,0.333002966323072,-0.460087399612503,-9.95690658766149e-05,0.539347529067509,-0.484439359479927,-0.153064871058642,-0.0612351759826711,0.522310027019456,-0.639168831540459,0.113908850704829,0.239881073811416,0.574645576378244,-0.429060005295508,-0.435869585310475,-0.404673842351857,-0.267025203718667,-0.274639323078769,-0.216429276055798,-0.166758876965013,0.449623627436371,0.331484523376342,0.308431093220303,0.322357464624874,0.177737296569211,0.307848947443247,0.116484857397199,0.143608827022878,-0.135026501991378,0.260432039964452,0.381665178591169,0.377828255334337,0.328536888442855,0.434186994074521,0.380169439287474,0.211488688423369,-0.216460378838318,-0.183610359762775,-0.101749188104734,-0.120795410011297,-0.027668715674615,0.127619221890035,-0.518465443322125,-0.500160009929362,-0.509648003120806,-0.0376115294283485,-0.213235900374115,-0.176741061368931,-0.0998359570083095,-0.332394874189596,-0.31279125161803,-0.285934993658639,-0.213518541638004,0.291864307104149,0.278937220965653,0.194785477215936,0.131336272379479,-0.0111189590532687,0.367224677283945,0.393337515732817,0.427210142619192,-0.54736524437685,-0.552884956878517,-0.545913091196631,-0.514560915164077,-0.183551883181382,-0.127758374020329,-0.174871769255085,-0.152202600179075,-0.675416958522003,-0.18070789128168,0.44893857700919,0.449434376359113
