"asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-458.381154174648
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-458.381154174648
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-458.381154174648
-0.0128009330182977,-0.0233463768017828,0.0307901190899429,0.149312359299074,0.00457982321677264,0.00161730213221745,0.00297960566967959,-0.00128788258734858,-0.00564961294003297,-0.000738991493562935,-0.00792602215369698,0.0191764023475116,0.00650652147669462,0.00248976661168854,-0.000965727722359589,-0.00168934537214227,0.00185416001841077,0.00171532068634406,-0.00375097646610812,-0.00389792407077039,0.010964694993163,0.000567295519431355,-0.00306263707898324,-0.00736810103262542,0.00978245145233814,0.000825792412797455,-0.00216233545870637,-0.00404968550355989,0.00554746800844441,0.00640106100036064,-0.0103187377499125,-0.0162614576765918,0.0284147738057072,-0.000222880680667004,7.42399970476982e-05,-0.00198623818505439,0.00237795560678933,-429.268204343043
-0.325255632819328,-0.692316441821793,0.76344777381117,0.161428614959182,-0.454790837366869,0.0551962402819822,0.111396281198586,-0.0368065637337851,-0.141220629279355,-0.0222208203454799,-0.181146552356407,0.535410181669245,0.162013486986908,0.0773140493540715,-0.025271343941879,-0.0575566472790425,0.0532892139678158,0.0833183417257887,-0.102161226463084,-0.125644195709829,0.274826107108816,0.0548701928123396,-0.0805978193253579,-0.244842099534661,0.247891117628533,0.036710591342657,-0.0601567603703864,-0.139768642792117,0.132068426127328,0.263184575838866,-0.282950758394504,-0.543698827297703,0.730711487101564,0.00571211114165869,0.00563915085795003,-0.0647621396400041,0.03389687734237,-368.508214456788
-0.374204818369359,-0.941761597445751,0.724212852406174,0.146382840177854,-0.263585879092223,0.119982845888559,0.252955215122745,-0.0503059151782353,-0.183441413079431,-0.0317521311111902,-0.245035496264212,0.543523584438262,0.149724767224431,0.166577401816285,-0.0348736115101933,-0.0777390887246006,0.0365413032628139,0.188630856911558,-0.107515667890956,-0.155977765417977,0.249869481516836,0.142824605103793,-0.0540854842398476,-0.321137625226881,0.192560318060082,0.0850628050371714,-0.075846599842706,-0.184685818389003,0.174810911207613,0.591905036579817,-0.312161042033886,-0.704567672008505,0.728717986239162,0.0255785773849174,0.0263680633169521,-0.0936722484368216,0.000544620001120974,-342.128596992343
-0.163566734726549,-1.1484625275664,0.650507389275793,0.174772115262418,-0.409460907177031,0.307130709254897,0.263883106124801,-0.0834073130687897,-0.167333470866156,-0.0556921143488689,-0.234224753245306,0.620772301612922,0.169622754730227,0.362240471887135,-0.0558775539399103,-0.108979732352259,-0.0319417845656415,0.145918744280276,0.0074616151310901,-0.131015627386476,0.159741390603815,0.0045250939455771,0.196464187442593,-0.350160754397569,0.0342705015766934,0.181540099051158,-0.0881921765925215,-0.203614894128075,0.333145528041568,0.684640130702691,-0.106282945477915,-0.716079485498804,0.756649262543061,0.0639754038113581,0.134287442525965,-0.159362760783141,-0.0799478146340252,-334.250188430021
-0.157970648890067,-1.23499026788748,0.676830163350312,0.136551411041436,-0.212365536093166,0.626494333178522,0.229430017179278,-0.160858096729159,-0.243923903165865,-0.0954865257669799,-0.129250893717111,0.895750488564193,0.278252954787914,0.664210557116685,-0.107079281407976,-0.142525721923274,-0.0925759299015244,0.0117119448534586,0.139595034008728,-0.0178545526191808,0.0503684619709584,-0.215001049000216,0.463704734987362,-0.289850149102249,-0.178367784436196,0.364443605144576,-0.14722016386125,-0.173083504683155,0.578917317052944,0.767161755601746,-0.0216425681068824,-0.472964069122989,0.950446209667786,0.152952374690506,0.302383286218927,-0.255156859102725,-0.209556160700048,-326.410780926869
-0.428985887767087,-1.24037095246627,0.600367208342381,0.155811621996505,-0.406712521400483,1.19993711692016,0.297959170116587,-0.319979872192193,-0.404811793306555,-0.170249804160308,0.128008254923447,1.17941016667257,0.546560560173615,1.12762252136345,-0.198468509236771,-0.195190674502953,-0.206651098205914,-0.072497113301292,0.343667059667065,0.218096163505207,-0.258620599736964,-0.423355297892718,0.710860792608309,-0.122687772485173,-0.498457543022898,0.69820076571463,-0.263236249843721,-0.0860440275312171,0.92673088635688,1.17530475197866,-0.112132628341096,0.101727461160221,1.08183700881857,0.330789994896607,0.561328498687691,-0.415536305548447,-0.350666250449429,-317.571184784848
-0.439648365816103,-1.65429958840854,0.772386218784735,0.13769627597935,-0.349566557216886,1.69756938067158,0.382147125841692,-0.594519832564508,-0.304459210199152,-0.346424506572359,0.630553918718091,1.61124352745122,1.51893113697596,0.724030387397073,-0.277004820884202,-0.294210101348292,0.0091413982815455,-0.0335243913564341,1.14877291612336,0.617959545829137,-0.782781009207122,0.0707648983677593,0.899588161100002,0.0933720348995856,-0.702666540928799,1.15084566285473,-0.218772622205565,-0.00416963648852409,0.892840310239617,1.56604504402465,0.311895859803742,0.972700439843173,1.16271761268896,0.756016458289535,0.941760343491406,-0.695715995805918,-0.166205773272191,-305.396375801839
